,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews,type
32,The Bulldog Rome,https://www.thebulldog.com/the-bulldog-rome/,+39 06 6400 2019,12.4713114,41.9050753,4.4,452,"[]<b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Not the cheapest but a nice atmosphere and generous portions. The waiting staff were very helpful.<br><br><b>Author: </b>vektor57; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Hank did it again! A beautiful restaurant and Bulldog experience in one of the most historical plazas in Rome! Great drinks as well!<br><br><b>Author: </b>J T; <br><b>Rating: </b>4<br><b>When: </b>2 years ago<br>Interesting place. Seemed to be a chain, which isn't as common in Italy as it is here. We didn't eat anything, just had drinks. Drinks were fine, but it's more of a bar for beer and sports. It satisfied though since we were stopping every so often to grab a drink and snack before we moved on to the next place.<br><br><b>Author: </b>Steve Lipp; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Nice, cosmopolitan place with local and international brews and drinks. Didn't try burgers but they look delicious. Crew is very hospitable. Would recommend.<br><br><b>Author: </b>Matt Smith; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Hope the staff and bartender Luana are doing well....great bar!!!<br><br>",CLUB
33,Beige Roma,http://www.beige-roma.com/,+39 347 389 1974,12.4712072,41.8908691,3.8,399,"[]<b>Author: </b>Thomas Bollman; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>This place is much much bigger than it looks when you first walk in. Lots of places to sit and lounge around. Bartenders were very nice and their English was fine. Great for groups to sit around a table to have a drink or seven. Will go back on my next trip to Rome and when I’m not so hungover already.<br><br><b>Author: </b>Pondz Meme; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great staff.
Great food.
Great wine.
Great price.
The place is great. I threw a gathering for 17 people for my 19th bday and it was so nice. Totally recommend!!<br><br><b>Author: </b>Michal Glinka; <br><b>Rating: </b>3<br><b>When: </b>2 years ago<br>We arrived around 7pm for some good cocktails, but there was no other guests at the time. The bar was completely empty. The service was very good. The style of the bar is probably dated to the 90/00's looking on the interieur.<br><br><b>Author: </b>Wesam Rukun; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>An ok food. But the location is great.<br><br><b>Author: </b>Jorge R Tomey; <br><b>Rating: </b>4<br><b>When: </b>2 years ago<br>Good decor, gin and tonics €8 per. Closes at 0200h. Music wasn’t very good.<br><br>",CLUB
1,Alexanderplatz Jazz Club,http://www.alexanderplatzjazz.com/,+39 06 8377 5604,12.453644,41.909107,4.3,312,"[]<b>Author: </b>Divan Hattingh; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Beautiful place full of History. Good food great Jazz. (Making a booking is absolutely necessary)<br><br><b>Author: </b>Levent Parman; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Jazz is a music genre that originated in the African-American communities of New Orleans, United States, in the late 19th and early 20th centuries, with its roots in blues and ragtime. Since the 1920s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music, linked by the common bonds of African-American and European-American musical parentage. Jazz is characterized by swing and blue notes, call and response vocals, polyrhythms and improvisation. Jazz has roots in West African cultural and musical expression, and in African-American music traditions.As jazz spread around the world, it drew on national, regional, and local musical cultures, which gave rise to different styles. New Orleans jazz began in the early 1910s, combining earlier brass-band marches, French quadrilles, biguine, ragtime and blues with collective polyphonic improvisation.
In the 1930s, heavily arranged dance-oriented swing big bands, Kansas City jazz, a hard-swinging, bluesy, improvisational style and Gypsy jazz (a style that emphasized musette waltzes) were the prominent styles. Bebop emerged in the 1940s, shifting jazz from danceable popular music toward a more challenging ""musician's music"" which was played at faster tempos and used more chord-based improvisation. Cool jazz developed near the end of the 1940s, introducing calmer, smoother sounds and long, linear melodic lines.
The mid-1950s saw the emergence of hard bop, which introduced influences from rhythm and blues, gospel, and blues, especially in the saxophone and piano playing. Modal jazz developed in the late 1950s, using the mode, or musical scale, as the basis of musical structure and improvisation, as did free jazz, which explored playing without regular meter, beat and formal structures. Jazz-rock fusion appeared in the late 1960s and early 1970s, combining jazz improvisation with rock music's rhythms, electric instruments, and highly amplified stage sound. In the early 1980s, a commercial form of jazz fusion called smooth jazz became successful, garnering significant radio airplay. Other styles and genres abound in the 2000s, such as Latin and Afro-Cuban jazz.<br><br><b>Author: </b>Cary Ota; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Good music, but be ready to pay for the rest.<br><br><b>Author: </b>Paul Painter; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Jazz Club with no Jazz.  We came here tonight and paid €20 entrance each expecting a night of jazz and dinner.  Instead we got some kind of jazz performers talking on a microphone all night assumably about jazz.....but no jazz. We don't speak Italian....but that wasn't the point.  We had dinner that was very average....very salty and nothing special.  So we spent €114 for.... nothing.  If you are a jazz club and you are not going to play any music please warn people before they come!!<br><br><b>Author: </b>Giorgio Bruschini; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>If you are searching for some live jazz music, this is one of the most famous place in Roma for this purpose. You can find live music every night and listen to very good musicians here.<br><br>",CLUB
6,Roma Beer Company - Campo de' Fiori,http://www.romabeercompany.it/,+39 06 6819 2721,12.4722989,41.8957931,4.0,264,"[]<b>Author: </b>Balázs Krucsó; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>We took a beer and a prosecco there. Both of them were absolutely delightful and also we chatted a lot with the algerian waitress, whos has a very unique life story on Campo de’ Fiori. Definitely recommend to get the place and drink a bit and talk with the employees. You will not regret it!<br><br><b>Author: </b>Rok Bergman; <br><b>Rating: </b>3<br><b>When: </b>10 months ago<br>Good food and good beer selecetion.<br><br><b>Author: </b>Mr JoneZ; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>The food was very delicious and the waiters were very friendly. We recommend this place<br><br><b>Author: </b>Heloisa Lopes; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>We were attracted here during Happy Hour, I asked which beers were in Happy Hour, it was two. But they did not told us it was only 0,4L, so we asked 1L and it was not in Happy Hour, and we only discovered that while we were paying (they omitted the information, although I specifically asked which beers were included in Happy Hour). Besides that, they charged us for 2L of the beer that costs 14 euros, but we asked 1L of the 14 euros beer and 1L of the 12 euros beer. They subtracted the 2 euros, but complaining until the very end.<br><br><b>Author: </b>John Willemsen; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>The aperitivo dish was okay, the beer not bad but also nothing special, the waiter (the Albanian one) was very friendly, charming and added nice vibes to our evening. If I went back, it would be because of him.<br><br>",CLUB
48,Trastevere Barrio,,,12.4699402,41.8911486,4.6,234,"[]<b>Author: </b>Maria Nicolaou; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A neighborhood I always visit when in Rome. Lovely atmosphere, great restaurants, imaginative shops and souvenir shops. A lovely place for a stroll whether summer or winter.<br><br><b>Author: </b>Claudio C; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Best place in Rome to eat!<br><br><b>Author: </b>Johanna Ortiz; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Must try the pasta and meatballs 👌🏽<br><br><b>Author: </b>Jose Carlos Hernandez; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>All day and night cool<br><br><b>Author: </b>PREMIUM Shop; <br><b>Rating: </b>3<br><b>When: </b>2 years ago<br>Nothing special. Go during the night.<br><br>",CLUB
17,Emerald's Independent Bar,http://www.emeraldsbar.com/,+39 06 8865 4275,12.4607831,41.9058118,4.1,205,"[]<b>Author: </b>Sebastian Sanchez; <br><b>Rating: </b>4<br><b>When: </b>6 months ago<br>Quaint place. Excelent decor. The service of the waitress could be better but the guy at the bar is very friendly.<br><br><b>Author: </b>OLGA Bluesoul; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>It's a eally nice place.If you like nice design,something special.It's a right place to have a drink.
The service is excellent and the people are very nice.Good quality of wine,too.
Thanks.<br><br><b>Author: </b>Pei-Hsuen Liao; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Gorgeous bar, with phenomenal drinks and the nicest staff. Having experienced speakeasy style bars in New York, San Francisco, Shanghai, Taipei and Tokyo, I would put Emerald's up against the best. Not only were the drinks stellar, the staff was beyond nice. On a crowded night with no seats available, they noticed one person in my party had a mobility issue and immediately found a spare seat for him. Such hospitality and talent made for a truly wonderful night.<br><br><b>Author: </b>Jacquie Orphanopoulos; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Very cozy, nice atmosphere....cool people!! Cocktail barman super cool, Giuglio!!!<br><br><b>Author: </b>federico tocalli; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>Long drink badly served at an expensive price, seated on uncomfortable table on the street , service is ok<br><br>",CLUB
8,Dandies Barber Shop Prati,http://www.dandiesbarbershop.it/,+39 06 3751 3495,12.4608984,41.9181575,4.6,121,"[]<b>Author: </b>Darryl Glade; <br><b>Rating: </b>5<br><b>When: </b>4 years ago<br>Walked in for a shave. Great service and cool atmosphere.<br><br><b>Author: </b>Gaetano Marretta; <br><b>Rating: </b>5<br><b>When: </b>5 years ago<br>Very Good<br><br><b>Author: </b>Marco Romano; <br><b>Rating: </b>5<br><b>When: </b>5 years ago<br>Top<br><br><b>Author: </b>Cosimo Ciriaci; <br><b>Rating: </b>5<br><b>When: </b>5 years ago<br>Top<br><br><b>Author: </b>Gian Luca Ciotti; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Friendliness, professionalism, education, hygiene and cleanliness are the fundamental elements that characterize this exercise. Quality standards and punctual sanitation, carried out for each subsequent customer, in order to counter and contain the spread of COVID-19.
Flavio, the owner, does everything with me (and I am sure with everyone) to put me at ease and always does his utmost to find a space, even a small one, to solve my 'aesthetic' problems.
In short, an indispensable Barber Shop point.<br><br>",CLUB
16,Angelico18,http://www.angelicodiciotto.it/,+39 328 421 9912,12.4591442,41.90519789999999,5.0,103,"[]<b>Author: </b>harry alexander Boer; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A friend of mine told me about this place and I went without any expectations. It’s like going back in time and having a drink in Chicago. Best music, best cocktails and a wonderful service.... good job guys, I will be back!<br><br><b>Author: </b>Bryant B; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Definitely worth visiting while in Rome. Stopped by during vacation in Italy and found this spot. Loved the environment and drinks, good prices and quality. Definitely will return whenever I am in Rome again.<br><br><b>Author: </b>Martina Orlando; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Loved our experience here. It’s a small intimate spot, the atmosphere and drinks were absolutely amazing and service was great. Bartenders were attentive and even made us drinks based on our personal preferences. Definitely a spot you want to visit at least once!<br><br><b>Author: </b>Catherine Hickinbotham; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>This is an amazing speakeasy. It is so cute and quaint. The bartender, Alessandro, makes an amazing whiskey sour. It is a traditional yet unique Italian bar. I highly recommend to anyone traveling to meet locals and experience nightlife like a local. The owner open up just a few months ago and did a wonderful transforming this bar into something special.<br><br><b>Author: </b>Giuseppe Brindisi; <br><b>Rating: </b>5<br><b>When: </b>3 years ago<br>Must see!<br><br>",CLUB
36,Wisdomless Club,http://wisdomlessclub.com/,+39 06 6880 1823,12.470452,41.8976582,4.6,99,"[]<b>Author: </b>Jennifer Friedrich; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>What a fabulous find in Rome! Completely charming and fascinating cocktail bar- vintage decor with lots of wild taxidermy! The drinks were delicious and the staff friendly- go check them out!<br><br><b>Author: </b>neaux bodi; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Had an awful experience here. Walked in and ordered a drink then went to find a seat. Ended up walking into a room we weren't supposed to be in I guess, even though there was no sign or door to stop us, the owner rushed us out then proceeded to scream at the bartender until she cried. Very very awkward situation. We quickly paid for our 3 drinks, which was €40, and got out of there. DO NOT GO TO THIS BAR!<br><br><b>Author: </b>Sokol Elmazaj; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Lovely cocktail bar. You have to try this. Do not miss the Churchill.<br><br><b>Author: </b>Yana Osinsky; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>One of the best and craziest cocktail bars I have been in. If you visit Rome, you must visit this place! Enjoy...<br><br><b>Author: </b>Mr GillyFlower; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Fantastic experience, warm welcoming from the staff and a great atmosphere. Lovely cocktails! Would recommend to everyone.<br><br>",CLUB
12,Rabbit Hole Club Roma,http://www.rabbitholeclubroma.it/,,12.4706659,41.89068080000001,3.3,92,"[]<b>Author: </b>Blanche Leroy; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Horrible place to go out, misorganized, you have to sign a form to get in after waiting an hour for no obvious reason. I do not recommend at all!<br><br><b>Author: </b>Ruth Tacandong; <br><b>Rating: </b>1<br><b>When: </b>2 years ago<br>Went shortly after it opened and stayed for an hour in hopes that the crowd would grow. Left because we realized that we were the only ones around as everyone left. 5$ cover charge isn't worth it. Music was hard to dance to and drinks were up to 20$; they also don't do any fancy shots. They also record your full name, birth date, and state you're from. Mandatory ID.

Would not recommend<br><br><b>Author: </b>Carlos Villavieja; <br><b>Rating: </b>1<br><b>When: </b>3 years ago<br>Three room underground disco. 10 euros entrance that only includes bad alcohol, they asked for an  additional 7 euros for a good gin or whisky, total 17. €. They don't serve quality alcohol,  probably fake brands, be careful.<br><br><b>Author: </b>Sophie Hartley; <br><b>Rating: </b>2<br><b>When: </b>2 years ago<br>Thought it was a club. It was not. Nice bar, but not worth 15 euros entry<br><br><b>Author: </b>Dominic Mullen; <br><b>Rating: </b>1<br><b>When: </b>3 years ago<br>went on a Friday night at midnight: no one was in the club. went back the same night at 2:30am and it was completely empty. not one person except for a couple in the smoke room<br><br>",CLUB
