,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews,type
13,O'Sullivans Grands Boulevards,https://www.osullivans-pubs.com/pub-irlandais/grands-boulevards/,+33 1 40 26 73 41,2.342792,48.87136599999999,3.8,2941,"[]<b>Author: </b>Joe; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Sick atmosphere<br><br><b>Author: </b>Safaa Norredine; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Nice chill bar when u donno where to go :)

The waiters there are extra nice btw :))<br><br><b>Author: </b>Lea; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Really great place to go! The staff are so friendly and happy to help! The drinks are awesome and the food is great! Would definitely come back!<br><br><b>Author: </b>Terry Quinn; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>It was nice to go to a real Irish pub while visiting Paris. Jamison is not an easy drink to find but they had it! Food was good and the atmosphere was friendly. We watched the Women's Word cup game and we're not pressured in any way to leave. It was also great to have a person from Ireland to wait on us. (Sorry I don't remember his name)<br><br><b>Author: </b>A. OULDELALA; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Nice place to gather, but too noisy though.<br><br>",CLUB
4,Le Caveau de la Huchette,http://www.caveaudelahuchette.fr/,+33 1 43 26 65 05,2.3462726,48.8527247,4.5,1410,"[]<b>Author: </b>Adam Carlson; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>By far my favorite jazz spot in Paris. Old school 1950’s Blue Note / Prestige, Riverside jazz era vibe / mood. Great wine selection . Incomparable ambiance. Cannot wait for it to reopen!!<br><br><b>Author: </b>Thomas Brittain; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>One of my favorite places to visit in Paris. Unbelievable friendly and upbeat atmosphere.  Small cover charge to enter but do not let that discourage you. Look this place up online first to see who is playing what night, but honestly I’ve never been to a bad show here. All of their musicians are fantastic. On your next trip to Paris make this a stop, it will end up being one of the highlights of your trip. Remember to show up when the doors open so that you can ensure you get a good seat.<br><br><b>Author: </b>Hailey Frazier; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A hidden Jazz Gem! My husband and I had the most charming date night EVER here! The live underground swing band was amazing and we danced the night away!! It’s located in a great spot so you can easily grab food before or after going dancing!

There was a decent sized crowd, small enough to still feel intimate but large enough to have a blast!

We will be visiting again, on our next trip!!<br><br><b>Author: </b>Dev; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Absolutely memorable night of fantastic music and dancing, and watching all the couples dance to jazz was truly a night to remember! Couldn’t stop smiling and grooving to the really catchy music the whole time! Drinks a bit pricy, but would definitely go back there every single time I’m in Paris!<br><br><b>Author: </b>Viola H; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Not enough seats and too expensive. Good music and people are actually dancing which is nice<br><br>",CLUB
52,California Avenue,http://www.pubs-california.com/,+33 1 43 31 86 61,2.3482701,48.8596394,3.6,1255,"[]<b>Author: </b>CHEROFINE; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Best bar to chill, drink, and the parties are always lit. Very friendly staff . Wide range of options on drinks.<br><br><b>Author: </b>jawahar reddy; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>I get hangout when ever I like to be
The affordable price for students.
Mostly Pub offers beer with less price.
Music was awesome. Plays different tracks. No repeated songs. Pop songs plays well.A good place to hangout with friends<br><br><b>Author: </b>Pruthvi Erandole; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>A good place to visit which has a good ambience. The happy hours are great here. Nice place to hangout with friends. The seating area downstairs isn't well maintained though.<br><br><b>Author: </b>Marcellus Hinds; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A great American bar<br><br><b>Author: </b>Anja Geldenhuys; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>The California is great for its cheap beers, but beware of the hangover the next morning after drinking a Delerium Red. The floor is sticky, the underground area smells mouldy...and yet I keep on returning. On the positive side - I have never had a Cali evening that was not one to remember.<br><br>",CLUB
5,Le Duc des Lombards,http://www.ducdeslombards.com/,+33 1 42 33 22 88,2.3485647,48.8597509,4.4,1044,"[]<b>Author: </b>bellerina; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Verrrrry cool spot, expensive but totally worth it w the experience. Awesome shows and lovely staff (but srsly don’t go if it’s your last couple days in Paris and you’re broke bc you’ll go fully broke) 🥰<br><br><b>Author: </b>Vik Dowlul; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>A tad pricey but you have to remember the music is free.  A lot of seating although your luck where you end up.  We were up stairs which was good.  TVs dotted about to watch the action to while listening to the music.  Wine was good and location is close to the metro.  Recommended if in the area.<br><br><b>Author: </b>Axel Cateland; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>One of the best jazz bar in Paris. I got the chance to see and meet Ayo there... A moment of pure happiness<br><br><b>Author: </b>Jessica Campos; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>I had an amazing night with friends. Staff really nice! I forgot I was in a super crowded street!

Parisian prices but you can stay until 4am relax!

Music was AMAZING! There is a vibe in this place!<br><br><b>Author: </b>Derek Erb; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>My favourite jazz club in Paris. I've been going here for over 20 years. Excellent musicians from around the world. Good drinks at average club prices.  But great small club ambiance. Arrive at least 30 minutes before performance to get good seats.<br><br>",CLUB
8,Le Baiser Salé,http://www.lebaisersale.com/,+33 1 42 33 37 71,2.347761,48.8598659,3.9,1042,"[]<b>Author: </b>G Gonzalez; <br><b>Rating: </b>3<br><b>When: </b>9 months ago<br>Great for the live music but the venue is small and a bit cramped. Expect to pay 7 euro per person on top of your drinks bill. Also the open mic nights can be hit or miss.<br><br><b>Author: </b>Daniel Nordberg; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Good but small venue. There is a €7 extra charge on your obligatory first drink.
I enjoyed myself and the atmosphere was great. After the concert there is a free for all jam session,  I however couldn't stay long.
Recommended!<br><br><b>Author: </b>Roberto Rupcich; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Great time watching live Jazz with some very talented musicians! Above what I was expecting. The show is in a smaller room upstairs where they cram quite a bit of people. Fortunately, they don’t let people smoke up there. Chairs are not very comfortable. Drinks are good and prices are 10-14€ per drink. Go before the live shows and happy hour downstairs is fun with cheaper drinks. Server was very friendly although a little slow since he was the only one upstairs attending to the live music room.
My wife and I had a great experience here but it was certainly due to the music. Go check it out! They seems to hire very talented artists! Very impressed!<br><br><b>Author: </b>Felipe Rodríguez Martínez; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>A small and cozy but really high quality Jazz Club in the center of Paris, delicious jam sessions round bout midnight<br><br><b>Author: </b>Scarlett Booking; <br><b>Rating: </b>1<br><b>When: </b>7 months ago<br>I feel sorry for any musician who performs here.
They are treated like factory animals and abused in the most despicable way by the manager and owner of this club.
Avoid this place like you would avoid any toxic waste.
Horrible.<br><br>",CLUB
24,Bal Rock,http://www.balrock.fr/,+33 1 49 29 50 50,2.3427048,48.87094739999999,3.6,1040,"[]<b>Author: </b>Amelie Charmant; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Comfortable places, friendly atmosthere<br><br><b>Author: </b>Brahim R; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Best place in Paris to danse cuban salsa the Sunday<br><br><b>Author: </b>Sylvain Yver; <br><b>Rating: </b>1<br><b>When: </b>9 months ago<br>Booked in advance over the phone then, once one site, « we don’t take reservations »<br><br><b>Author: </b>David Rivas; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great place to grab a beer and some chicken wings while watching some soccer games!<br><br><b>Author: </b>Edo Cisca; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Expensive, ridiculous service, poor quality food. Tourist trap.<br><br>",CLUB
15,Club Banana Café,https://club-banana-cafe.com/fr/,+33 1 42 33 35 31,2.3476309,48.8601772,3.6,1028,"[]<b>Author: </b>Rafik Zribi; <br><b>Rating: </b>2<br><b>When: </b>9 months ago<br>Cocktails are meh in place that is competitive with so many better options. Go elsewhere you’ll thank me.<br><br><b>Author: </b>Gawon LEE; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Nice vibe, free chips!<br><br><b>Author: </b>Anthony Salinas; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Such a fun experience.<br><br><b>Author: </b>Ammar Ridzuan; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Funky and groovy theme!<br><br><b>Author: </b>Cristian Trejos; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>This bar is fine. Happy hour is super afordable for cocktails. Not much variety of beer though.<br><br>",CLUB
29,La Contrescarpe,http://www.facebook.com/Brasserie-la-Contrescarpe-476066745888070/,+33 1 43 36 82 88,2.3493611,48.8442806,3.7,1017,"[]<b>Author: </b>Maggie Hammerle; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Delicious and reliable at any time of day or night. Awesome flaky croissants and fresh juices, great fish and chips, buzzing happy hour. Loved it!<br><br><b>Author: </b>Thomas C; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Despite its location on a charming square, the friendly and arranging staff... The service is slow, the food quality is awful and drinks are expensive for what you get.

Expect to pay the same price (10€) for a pint of Monaco beer (usually the cheapest ""beer"" on the menu) and a pint of basic beer, or 10€ for a Croque Monsieur that has no taste with cold fries and salad with industrial dressing.

[Covid-19] Also, they did not seem to car about the current health crisis as we were all stacked up on the terrace, way less than 1m apart from each tables.

Very disappointed.<br><br><b>Author: </b>Jack SIMON; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Feel the Parisian Student Meeting Point... Easy to find Crêpes and All kind of Drinks<br><br><b>Author: </b>M J; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Loved the food and location. 10/07/19<br><br><b>Author: </b>Daria Dobrynina; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Nice to relax with friends in the evening)<br><br>",CLUB
20,Hide Pub Club in Paris,http://www.hide-pubs.com/hide-pub-club-chatelet-paris-irish-pub-club-live-sport-musique.html,+33 6 76 84 00 48,2.3484031,48.8597425,3.6,1013,"[]<b>Author: </b>Joyful; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>We ordered our shots in happy hour but he served after happy hour and made us to pay by normal price. And we didn’t have no more cash to pay extra so we tried to pay by card but he said it should be more than 10 so we asked for our cash back that we paid for happy hour price then we can all pay by card but he didn’t accept and just made us order one more drink.<br><br><b>Author: </b>Flammie Pirinen (Flammie); <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>It's your average Irish pub abroad: just a generic/sports bar, a bit expensive, they have a four-leaf clover on the sign so that should alert anyone even thinking that it would be authentic. But after all that, nice pub to hang out at, cool staff and nice atmosphere around.<br><br><b>Author: </b>Fernando Beauregard; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Nice service, excellent beers<br><br><b>Author: </b>Francisco Gonçalves; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Very informa and nice place in one of the best and lively streets in Paris. Not much food options but you can have a good pint for 3 euros ( considering normal price is around 10 in other places). You can seat while watching the crowd. Very cool!!!<br><br><b>Author: </b>Benoit Lamairesse; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Cheap beers, good vibes. Usually pretty busy Thursday to Saturday. Small outside terrace area for the summer. Well located, so good starting place for a night out - catch happy hour (pints of beer at 3€ - among the cheapest in Paris) and then either head downstairs to the dance floor or out to your next bar or dancefloor.<br><br>",CLUB
32,Le Memphis,,+33 1 45 23 34 47,2.3504429,48.8707199,3.4,1007,"[]<b>Author: </b>Henry Fung; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>This is an amazing place, even when it is closed...  Looking forward to go inside when it re-opens<br><br><b>Author: </b>Gabrielle Rul; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Amazing. Please reopen.<br><br><b>Author: </b>Seb K; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Overpriced, run down Nightclub with strange Music on two floors and questionable Crowd we left after 20 mins. Better pick a different spot to club.<br><br><b>Author: </b>Livia Lopez-brea; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Good comercial music in the first floor<br><br><b>Author: </b>Mahesh Rao Soneea; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Love this place! Awesome atmosphere<br><br>",CLUB
42,Shannon Pub,http://shannon-pub.fr/,+33 1 43 26 34 70,2.3298439,48.84258699999999,4.1,963,"[]<b>Author: </b>Alvin Harberts; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Fun dancing pub with a mix of rock/more mainstream music. Drinks are decently priced for Paris, not crazy cheap but nothing out of the ordinary. Good selection of shots with quite a few on fire. Closes around 4am on Friday/Saturday nights.<br><br><b>Author: </b>Theresa Thompson; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Visited Paris for the first time from the U.S. This bar was one of my favorite parts of our trip! The atmosphere was great..the drinks were great...and the bartenders were absolutely amazing! Super friendly and very engaging with the patrons. It was a very feel good, no worries, drink and have fun vibe that permeated through out.<br><br><b>Author: </b>Prannoy Alva; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great place, more of a bar than a pub. There is smoking room and a dance floor too and the staff are very kind.<br><br><b>Author: </b>Gabriel; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>The guy in front did not want did not know the laws on whether you are allowed to stand in front of the bar ( a public street Street ) and tried to make us move extremely hostile sis not even want to enter after this unpleasant experience. They should get a personel who at least know the very minimum of what you are allowed to do as a bouncer.<br><br><b>Author: </b>Christos-Nikolaos Zacharopoulos; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Amazing place. Superb shots/cocktails and a great taste of music.<br><br>",CLUB
51,Sunset/Sunside,http://www.sunset-sunside.com/,+33 1 40 26 46 60,2.347751,48.8599367,4.3,942,"[]<b>Author: </b>Alexander Vallar; <br><b>Rating: </b>4<br><b>When: </b>5 months ago<br>For those jazz lovers out there, this is the place to be!  I wasn't sure what to expect, but I was pleasantly surprised.  French jazz is pretty darn good!  The venue is very intimate and enhances the experience.  Order your drinks early and enjoy the ride!<br><br><b>Author: </b>Ghazal M; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Great musicians, very sympathetic band!!<br><br><b>Author: </b>Richard Blake; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Spent a very cool night on the Rue Des Lombards listening Nicolas Folmer's excellent band remind me why I love the work of Miles Davis.

Belgian beer too.<br><br><b>Author: </b>Jean Balland; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great band last night - 3 sets until early morning<br><br><b>Author: </b>Medi; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Nice cosy bar with live Jazz music. Friendly and welcoming staff. I would recommend.<br><br>",CLUB
