,Unnamed: 0,lugares,LAT_google,LON_google,labels,Quotes,Position,cluster_label
10,722,Vatican City,41.902916,12.453389,GPE,"To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",10,0
11,257,Rome,41.902783500000005,12.4963655,GPE,"To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",11,1
12,258,Rome,41.902783500000005,12.4963655,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",12,1
19,259,Rome,41.902783500000005,12.4963655,GPE,"One question looms: Will this highly volatile substance save the world, or will it be used o 
to create the m st deadly weapon ever made?
AUTHOR’S NOTE
R eferences to all works of art, tombs, tunnels, and architecture in Rome are entirely factual (as are their exact locations)",19,1
57,260,Rome,41.902783500000005,12.4963655,GPE,"But in the 1500s, a group of men in Rome fought back against the church",57,1
61,261,Rome,41.902783500000005,12.4963655,GPE,The scientists met regularly in Rome at an ultrasecret lair they called the Church of Illumination ,61,1
64,262,Rome,41.902783500000005,12.4963655,GPE," 
“Then the scientists were brutally murdered, their dead bodies dropped in the streets of Rome as a warning to others thinking of joining the Illuminati",64,1
67,545,Vatican,41.902916,12.453389,FAC,The Vatican denounced the brotherhood as Shaitan ,67,0
68,263,Rome,41.902783500000005,12.4963655,GPE," 
re survivors,” he explained 
“When they fled Rome, they traveled across Europe looking for a safe place to regroup",68,1
110,264,Rome,41.902783500000005,12.4963655,GPE,“Rome,110,1
111,265,Rome,41.902783500000005,12.4963655,GPE,".”
“Rome?” Vittoria demanded",111,1
112,266,Rome,41.902783500000005,12.4963655,GPE,"“The antimatter is in Rome? Who called?”
Kohler’s face was twisted, his gray eyes watering",112,1
113,267,Rome,41.902783500000005,12.4963655,GPE," 
“Rome? But ",113,1
114,723,Vatican City,41.902916,12.453389,GPE,“The sworn sentinels of Vatican City,114,0
116,268,Rome,41.902783500000005,12.4963655,GPE,".”31 
T he X-33 space plane roared into the sky and arched south toward Rome",116,1
117,546,Vatican,41.902916,12.453389,FAC,"Now that he had finished briefing Vittoria on the Illuminati and their covenant against the Vatican, the scope of itua 
this s 
tion was starting to sink in",117,0
119,724,Vatican City,41.902916,12.453389,GPE,"Although Langdon was ashamed to admit it, his initial horror on hearing about the antimatter’s location was not only the danger to human life in Vatican City, but for something else as well",119,0
127,269,Rome,41.902783500000005,12.4963655,GPE,".”32
L angdon held his breath as the X-33 spiraled into Rome’s Leonardo da Vinci International Airport",127,1
130,547,Vatican,41.902916,12.453389,FAC,"After a morning of space plane rides, Langdon had hoped the Vatican would send a car",130,0
131,548,Vatican,41.902916,12.453389,FAC,"It was the trad 
al s 
ition 
eal of the Vatican-the sacred symbol of the Holy Seeor “holy seat” of government, the seatbeing literally the ancient throne of St",131,0
133,549,Vatican,41.902916,12.453389,FAC,"He’d forgotten the Vatican owned one of these things, used for transporting the Pope to the airport, to meetings, or to his summer palace in Gandolfo",133,0
136,725,Vatican City,41.902916,12.453389,GPE,“Short pants are not permitted inside Vatican City,136,0
137,726,Vatican City,41.902916,12.453389,GPE,"Vatican City
had a strict ban on visible legs above the knee-both male and female",137,0
140,270,Rome,41.902783500000005,12.4963655,GPE," 
Langdon knew that with Rome’s maniacal drivers, flying was probably safer anyway",140,1
