,LAT,LON,order,Distance [m],lugares,quotes,Position_book,Type
0,48.8654924,2.3271121,0,0,"<a href=""https://www.booking.com/hotel/it/hotelatlantestarroma.it.html?aid=356980&label=gog235jc-1DCAsocUIPc3ByaW5naG91c2Vyb21hSBRYA2hxiAEBmAEUuAEXyAEM2AED6AEB-AECiAIBqAIDuALv04WFBsACAdICJDM2ZDE0NTY1LTQwNmQtNDlhYy04OTE5LTZhZWMyZDJjODAxMdgCBOACAQ&sid=0bcc5321a78bdda0537d7904da25a4ca&all_sr_blocks=8084308_195921877_0_2_0&checkin=2021-06-20&checkout=2021-06-25&dest_id=-126693&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=8084308_195921877_0_2_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=8084308_195921877_0_2_0__81239&srepoch=1621191667&srpvid=895785b95b220028&ucfs=1&from=searchresults;highlight_room=#hotelTmpl""target=""_blank""> The Westin Paris - Vendôme </a><br><b>Rating: </b>4.3<br><b>Popularity: </b>2045","[]<b>Author: </b>Hil; <br><b>Rating: </b>1<br><b>When: </b>4 months ago<br>My door card didn’t work and I replaced it twice a day i stayed here.  I asked them to replace it and had to go downstairs every day I stayed at this hotel. The last two days of my trip I received a new card for my room twice. One in the morning, one at night. The staff would apologize and wouldn’t do anything to solve the main problem.

It’s frustrating to go up and down to find out that I can’t get into the room.

The room service left my room door open after cleaning it our second day. The heat would barely work and I would come back to my room finding the window wide open.

It’s 40 degrees out. I stayed here 6 days and I checked out leaving sick.<br><br><b>Author: </b>Jaime Plath; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>We spent two nights at the Westin Vendome for our New Years trip to Paris.  We were beyond excited to be in the city of love! Upon arrival at the Westin we were told the room wasn’t ready although we were there at the scheduled check in time of 3pm.

The front desk staff did everything they could do to find us a room that was cleaned and ready but as Titanium Elite members we had already been upgraded to the largest room in our room category they had available.  We were obviously ready to hit the ground running and get out into the city but we were requested to wait until our room was ready.  However that time was undetermined so we were given a courtesy drink at the bar for each of us. While they held our luggage we made our way to the bar where we were delightfully surprised at the ambiance and friendly staff.  Plus the drinks were delicious!  We thought it was an amazing start to our few days in Paris as we sat enjoying our cocktails and snacks. After an hour our room was still not ready and the staff comped another round of drinks for us. Although it was frustrating not to be able to get in and clean up after arriving from the long trip and embarking on the city but we really enjoyed the relaxed start to the weekend and were thankful for the time at the bar.
Once we got checked into our room we were able to get to the streets of Paris!  We made it back to our room later that night to find a bottle of champagne and chocolate provided on the house!    We were recently engaged and couldn’t have been more pleased at the service the Westin was providing. Excellent touch!  The following evening we were upgraded to a suite which exceeded out expectation! It was HUGE!  We had two balconies which gave us a view of the Tuileries garden.  We thoroughly enjoyed the extra space especially the sitting room area.  Lastly of note was the breakfast, which was comprised of a full buffet including everything from pastries & coffees to made to order eggs.  We enjoyed this every morning as a perfect start to our day.  We would highly recommend this hotel for your stay in Paris - great location, excellent amenities & incredible staff.<br><br><b>Author: </b>Alex Everything; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>my stay was great. the staff are helpful and the rooms are well furnished.i have used this hotel for all my Paris trips. it has a great continental breakfast with everything from sushi to omelets.  so if I could I would rate it not 1 not 2 not the not four not five but six stars.
visit it our forever wish you had is my advice.<br><br><b>Author: </b>Kenya Avidis; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>I visited last July, and had a great stay here! Close proximity to all major attractions in the area. Overall very nice hotel.<br><br><b>Author: </b>Ali El; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>this is really the worst Hotel I've ever seen. This hotel is getting long in the tooth... I was here in September.. I can absolutely not recommend this hotel: bad service! My room was not really clean. The breakfast was a joke!!! And the staff is not friendly...Even a 3 star Hotel has a better service... but they ask an unreasonable price.   Never again this hotel!!!<br><br>",,HOTEL
1,48.8634916,2.327494299999999,30,224,"<a href=""https://www.parisinfo.com/musee-monument-paris/71304/Jardin-des-Tuileries""target=""_blank""> Tuileries Garden </a><br><b>Rating: </b>4.6<br><b>Popularity: </b><br>71897","[]<b>Author: </b>Joe N; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>This place is gorgeous! Even though there aren't green leafy trees because of the season, it's still amazing to walk around and enjoy the scenery and marvel at all the buildings around the park. You can enjoy seeing family and tourists gathered and just enjoying the same space as you and make you just want to enjoy the moment even longer. It's a nice area to go for a run with the ground mostly heavy sand and not very rocky.<br><br><b>Author: </b>Luca Doria; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Impressive in the historical context and beautiful architecture that surrounds it but the swathes of grit and very little green make them quite soulless as many other gardens in central Paris. The great space occupied by grit and sand in hot days make you feel almost like you are in a desert. With impending climate change there should be more grass, bushes and somewhat a turn towards an English landscaped garden...it would be much better. I hope that Paris local authorities are gonna adapt these Gardens as overall they're not welcoming places.<br><br><b>Author: </b>Elena; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>very beautiful! you can walk around, sit on one of the cute green chairs and watch. one of the water fountains, or relax in a nice café! beautiful roman statues you can see everywhere! sadly the floor is full of sand/dust and because it's a little windy the dust gets everywhere on your clothes and shoes...<br><br><b>Author: </b>Catalina Gomez J.; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>This is a very beautiful (and historic) garden and a must when visiting Paris. It’s usually very clean and there’s outdoor sitting, to enjoy the view, hangout and even have a snack. Just be careful with the birds (ducks, crows, doves, etc) and don’t feed them, because it’s against the law to feed wild birds and you could get a fine! (Even if you see a lot of people doing it, it’s better if you don’t!). Many people come here to hangout, for a walk and even for doing some exercise (jogging mostly).<br><br><b>Author: </b>Solyi H; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>What a beautiful place.  The flower garden was exceptionally well designed taken cared of.  It’s lovely to go when there are very few people around.<br><br>",,TOUR
2,48.8634916,2.327494299999999,44,0,"<a href=""https://www.parisinfo.com/musee-monument-paris/71304/Jardin-des-Tuileries""target=""_blank""> Tuileries Garden </a><br><b>Rating: </b>4.6<br><b>Popularity: </b><br>71897","[]<b>Author: </b>Joe N; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>This place is gorgeous! Even though there aren't green leafy trees because of the season, it's still amazing to walk around and enjoy the scenery and marvel at all the buildings around the park. You can enjoy seeing family and tourists gathered and just enjoying the same space as you and make you just want to enjoy the moment even longer. It's a nice area to go for a run with the ground mostly heavy sand and not very rocky.<br><br><b>Author: </b>Luca Doria; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Impressive in the historical context and beautiful architecture that surrounds it but the swathes of grit and very little green make them quite soulless as many other gardens in central Paris. The great space occupied by grit and sand in hot days make you feel almost like you are in a desert. With impending climate change there should be more grass, bushes and somewhat a turn towards an English landscaped garden...it would be much better. I hope that Paris local authorities are gonna adapt these Gardens as overall they're not welcoming places.<br><br><b>Author: </b>Elena; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>very beautiful! you can walk around, sit on one of the cute green chairs and watch. one of the water fountains, or relax in a nice café! beautiful roman statues you can see everywhere! sadly the floor is full of sand/dust and because it's a little windy the dust gets everywhere on your clothes and shoes...<br><br><b>Author: </b>Catalina Gomez J.; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>This is a very beautiful (and historic) garden and a must when visiting Paris. It’s usually very clean and there’s outdoor sitting, to enjoy the view, hangout and even have a snack. Just be careful with the birds (ducks, crows, doves, etc) and don’t feed them, because it’s against the law to feed wild birds and you could get a fine! (Even if you see a lot of people doing it, it’s better if you don’t!). Many people come here to hangout, for a walk and even for doing some exercise (jogging mostly).<br><br><b>Author: </b>Solyi H; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>What a beautiful place.  The flower garden was exceptionally well designed taken cared of.  It’s lovely to go when there are very few people around.<br><br>",,PRK
3,48.8634916,2.3274943,3,0,Tuileries Gardens,"<b>34</b><br>The agent gunned the sedan across the junction and sped onto a wooded section of Rue Castiglione, which served as the northern entrance to the famed Tuileries Gardens – Paris’s own version of Central Park<br><b>37</b><br>Most tourists mistranslated Jardins des Tuileries as relating to the thousands of tulips that bloomed here, butTuilerieswas actually a literal reference to something far less romantic<br><b>295</b><br>  CHAPTER 32 The security alarm on the west end of the Denon Wing sent the pigeons in the nearby Tuileries Gardens scattering as Langdon and Sophie dashed out of the bulkhead into the Paris night<br><b>38</b><br>Langdon could now see the end of the Tuileries Gardens, marked by a giant stone archway",34.0,LIB
4,48.86378839999999,2.3226724,42,354,"<a href=""https://www.musee-orangerie.fr/""target=""_blank""> Musée de l'Orangerie </a><br><b>Rating: </b>4.6<br><b>Popularity: </b><br>9369","[]<b>Author: </b>Maureen Veech; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Visited this lovely place many years ago. Sat for hours enjoying the water lollies. Thank you for the beautiful pictures as mine were destroyed on a fire.  Would love to visit there again. Qui sais ( who knows)<br><br><b>Author: </b>Ross Carroll; <br><b>Rating: </b>3<br><b>When: </b>a month ago<br>Unfortunately I just don't see the appeal.
There is ONE room that has a fascinating mural that goes around the entire wall, and that's about it?
Its not too expensive to get in, thankfully, otherwise it just would not be worth it.<br><br><b>Author: </b>emeczka7; <br><b>Rating: </b>5<br><b>When: </b>4 weeks ago<br>Just forget Louvre and come to Musée de l'Orangerie. This place was totally mesmerizing for me. I could just sit there in front of those Monet  paintings for hours...<br><br><b>Author: </b>Max Robinson; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>This small museum has an AMAZING collection of Monet and other impressionists and post-impressionists, and very interesting new architecture as well.<br><br><b>Author: </b>E G; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>This was one of my great experiences in my visit to Paris in 2017. An exceptional museum, on a medium scale, very accessible and walkable, with different works of great relevance and beauty, most notably the beautiful series of The Water Lilies by Claude Monet. The visitors to the museum, in general, were remarkably civilized and cultured.<br><br>",,MUSE
5,48.8599614,2.3265614,31,511,"<a href=""https://www.musee-orsay.fr/""target=""_blank""> Musée d'Orsay </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>53794","[]<b>Author: </b>igwinelove fujin421cellar; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>This is the greatest museum in the world. It’s so happy to live in Paris, as long as you have time, you can come and see it anytime. It’s very helpful for human beings. It’s very helpful for children. Born in Paris, you can come here every day when you have time.  In addition to food and wine, Chen Hao also has culture, art and healthy Paris. Happy Paris I love<br><br><b>Author: </b>Yrn Sbh Shll; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>One of the best Museum. Display, atmosphere, the building, object are amazing. there is a locker room for free and it is so convenient to leave bags and walk around. taking picture was forbidden for many saloons. yet the memory of it good enough.<br><br><b>Author: </b>Fabio De Angelis; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Who am I to evaluate such a wonderful, astonishing museum, full of masterpieces of world culture? If you are in Paris, take your time to spend three, four hours, one day in this must-to-be-seen museum! Enjoy that time! ;)<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Great museum, great location. You could think it is a small museum, but the distribution and the amount of art pieces you will find are endless. You can spend 3 hrs here easily. I recommend it for youngs and adults. I would go back definitively.<br><br><b>Author: </b>Jessica Zug; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Beautiful museum if you're mainly interested in impressionism, expressionism and everything around and between that! Heaven on earth for Monet-lovers like me!<br><br>",,TOUR
6,48.8599614,2.3265614,39,0,"<a href=""https://www.musee-orsay.fr/""target=""_blank""> Musée d'Orsay </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>53794","[]<b>Author: </b>igwinelove fujin421cellar; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>This is the greatest museum in the world. It’s so happy to live in Paris, as long as you have time, you can come and see it anytime. It’s very helpful for human beings. It’s very helpful for children. Born in Paris, you can come here every day when you have time.  In addition to food and wine, Chen Hao also has culture, art and healthy Paris. Happy Paris I love<br><br><b>Author: </b>Yrn Sbh Shll; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>One of the best Museum. Display, atmosphere, the building, object are amazing. there is a locker room for free and it is so convenient to leave bags and walk around. taking picture was forbidden for many saloons. yet the memory of it good enough.<br><br><b>Author: </b>Fabio De Angelis; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Who am I to evaluate such a wonderful, astonishing museum, full of masterpieces of world culture? If you are in Paris, take your time to spend three, four hours, one day in this must-to-be-seen museum! Enjoy that time! ;)<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Great museum, great location. You could think it is a small museum, but the distribution and the amount of art pieces you will find are endless. You can spend 3 hrs here easily. I recommend it for youngs and adults. I would go back definitively.<br><br><b>Author: </b>Jessica Zug; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Beautiful museum if you're mainly interested in impressionism, expressionism and everything around and between that! Heaven on earth for Monet-lovers like me!<br><br>",,MUSE
7,48.86171299999999,2.3328946,4,502,the Arc du Carrousel,"<b>39</b><br> Despite the orgiastic rituals once held at the Arc du Carrousel, art aficionados revered this place for another reason entirely",39.0,LIB
8,48.86275360000001,2.3348324000000003,15,182,Carrousel du Louvre,"<b>298</b><br> «No!» Langdon shouted, knowing the hedges around Carrousel du Louvre were there to hide the perilous chasm in the center –La Pyramide Inversée– the upside-down pyramid skylight he had seen earlier from inside the museum<br><b>297</b><br>He gripped the dash as the car shot out across a sidewalk and bounced back down over into the small rotary at Carrousel du Louvre<br><b>1091</b><br>Turning, he felt his feet again tracing the invisible path of the ancient Rose Line, carrying him across the courtyard to the Carrousel du Louvre – the enormous circle of grass surrounded by a perimeter of neatly trimmed hedges – once the site of Paris’s primeval nature-worshipping festivals… joyous rites to celebrate fertility and the Goddess",297.0,LIB
9,48.8635708,2.3359376,26,121,the Comédie-Française,"<b>1081</b><br>As he cut across the corner of the Comédie-Française, another bronze medallion passed beneath his feet",1081.0,LIB
