,LAT,LON,order,Distance [m],lugares,quotes,Position_book,Type
0,41.9069303,12.4656925,0,0,"<a href=""https://www.nh-hotels.com/hotel/nh-collection-roma-giustiniano?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb""target=""_blank""> Hotel NH Collection Roma Giustiniano </a><br><b>Rating: </b>4.3<br><b>Popularity: </b>1011","[]<b>Author: </b>Adriano Tamanza; <br><b>Rating: </b>4<br><b>When: </b>4 weeks ago<br>The hotel is in a very good location close to lots of shops restaurants and the Vatican. Could use a little renovation. Cleanliness could be improved<br><br><b>Author: </b>VICTORIA Santos Smith; <br><b>Rating: </b>5<br><b>When: </b>2 weeks ago<br>This hotel is located perfectly. It’s not far from the Vatican, piazza Navonna and all the important cites in Rome. The hotel staff is not very friendly. Rooms and beds are a nice size and adequate.<br><br><b>Author: </b>Ju; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Had a very good stay in this NH! Very well located for the visits, friendly and helpful staff (thanks Sergio!), hotel is very clean, junior suite is amazing. Only little thing that could be improved is the breakfast, not so much choice in comparison with other NH collections, but staff was very nice. We will come back!<br><br><b>Author: </b>Pablo Aponte; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Nice hotel close to the Vatican and main attractions. Excellent place to stay in rome. I also ate in the restaurant there, it can be a little bit expensive, but it is worth it, the food was exquisite. The rooms are comfortable and well cleaned. When I got there I even got a room upgrade. Overall I had a pleasant stay in here and I recommend it 100%<br><br><b>Author: </b>Giselle Espinal; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>Happy to be here in Italy and in a nice hotel like this but I could not get any sleep due to the uncomfortable mattress. Maybe this is due to a preference of a soft but a bit firm mattress that I have but I can not sleep because it feels as if I am laying on rocks. I woke up after a few 3 hrs of sleep now again in the middle of the night with back pain and aches in my neck. I’ve used the pillows as a topper. This is very unusual for me as I’ve slept in many hotel beds.<br><br>",,HOTEL
1,41.899677,12.470511,7,899,"<a href=""http://www.etabli.it/""target=""_blank""> Etablì </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>1068","[]<b>Author: </b>Marcos M; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Amazing food, great wine. This is Rome. Waitress recommended all of our food and I couldn’t be happier!<br><br><b>Author: </b>George Kolios; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A warm place for every hour of the day in the center of Rome. Tasty food and a nice atmospheric bar. The waiters were very friendly and the service perfect. We will be back again…<br><br><b>Author: </b>Jeremy Holifield; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>exceptional cheese flavors and cooked perfectly.  The waiter recommended two pizzas, but one sufficed.  Highly recommend.<br><br><b>Author: </b>Alfonso Irnan; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great ambience for a few drinks or even for a dinner. The meals are good in quality, the selection of drinks is also excellent, with some cocktails to delight. Very advisable.<br><br><b>Author: </b>Benedict Hince; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>A really comfortable and warm place with good coffee. The comfy chairs really won me over, as did the interior design. I can't vouch for the food as I did not try anything.

But I'd be happy to recommend this place as a good meeting point to grab a coffee.<br><br>",,TOUR
2,41.8991633,12.4730742,3,219,Piazza Navona,"<b>742</b><br> 
Dead center of Piazza Navona, outside the church of St",742.0,LIB
3,41.8997351,12.4746038,2,141,Sant’Eustachio,"<b>391</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",391.0,LIB
4,41.8992619,12.4768866,1,196,Piazza della Rotunda,"<b>390</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio<br><b>408</b><br>.”
As they rounded the corner into Piazza della Rotunda, the Pantheon rose before them",390.0,LIB
5,41.8972311,12.4763618,6,229,"<a href=""http://www.sharivari.it/""target=""_blank""> Shari Vari - Play House </a><br><b>Rating: </b>3.7<br><b>Popularity: </b><br>1609","[]<b>Author: </b>Kaleila; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Went to it at night, very fun nightclub. The drinks here are strong, so proceed with caution! Would love to go here again the next time I'm in Rome<br><br><b>Author: </b>Trevor Spence; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Good wee bar. Girls behind the bar are beautiful but they are more interested in lookin at themselves in the mirror rather than actually serving you. A bit much to be honest<br><br><b>Author: </b>Fatima Zahrae EL BARAKA; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Nice cocktails and very good burgers! The club has 3 rooms and each one has her own style.. Overall it's a very nice place to eat and to party all night long at Rome<br><br><b>Author: </b>Prem Bassi; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>As far as clubs go it's one of the worst I've been to. We were told that hip hop was playing on the night however only we heard 4 songs. The drinks are also very expensive compared to other clubs in Rome. I personally do not recommend this place<br><br><b>Author: </b>Youcant Sitwithme; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Worst experience ever!
I wanted to celebrate my birthday there.
My expectation was a good party with nice people.
Instead i got a club looking like a cellar full of people who only wanted to hear old italian pop.
Very loud music.
Ordering cocktails was a real torture. The bar was empty but the waitress was not interested in serving. She looked very arrogant and miserable. Barely she managed to mix two over expensive 'sex on the beach'. The glass was filled up with ice as much as possible and the rest of space with something that had a taste of bitter orange juice and cheap alcohol.
A terrible mix of something.
Best thing came as they closed the club very early and all the people had to wait for their jackets in a small room.
To keep it short: never ever EVER again. Waste of money and time.<br><br>",,TOUR
6,41.8962487,12.4799183,4,313,"<a href=""http://www.scholarsloungerome.com/""target=""_blank""> Scholars Lounge Irish Pub </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>4436","[]<b>Author: </b>Nele Van den Broeck; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>We went to this pub because we saw some marketing along the road, so I guess it really helps! The pub itself is big and has a very suited decoration setup. The small compartments are a nice feature, they devide the seating in a nice way. The waiters are really polite and helpful and respect social distancing. They have karaoke nights during the week, but unfortunately we weren't able to join. We can surely recommend a fresh pint of Guinness during the hot Italian days!<br><br><b>Author: </b>Anna Emese Csákvári; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Amazing drinks with cool staff and great atmosphere, good music. Really enjoyed our night here with my Scottish friends. The prices are quite high, but it is Rome we are talking about.<br><br><b>Author: </b>Orfeas Fella; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Loved this place because it is a total sports pub. I was lucky to find place to watch the Europa League Final 2020 there as I was holidays in Rome.
Food is quite good. Service is excellent and staff really helpful and friendly.
I was unlucky because I didn't find place for Champions League 2020 Final.
So if you want to watch an important sports event is better to make reservation.<br><br><b>Author: </b>Dean Spiller; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>If there is sport on this is where you want to be. There are screens everywhere and there is tons of comfy seating. The beer is a little pricey, but it's pretty much what you pay for a beer anywhere in Rome, at least here you get to enjoy it in comfort, while watching your favourite team. And the food is excellent!<br><br><b>Author: </b>Taylor Chung; <br><b>Rating: </b>4<br><b>When: </b>5 months ago<br>A buddy and I were looking for an irish pub to get a bite and a drink and came across this place. Wide open and good ambience, but the food was poor. Good bartenders and cozy atmosphere. Good wifi to boot.<br><br>",,TOUR
7,41.8935403,12.4757501,8,457,"<a href=""http://www.santamariabistrot.com/""target=""_blank""> Santa Maria Bistrot & Old Pub </a><br><b>Rating: </b>4.3<br><b>Popularity: </b><br>554","[]<b>Author: </b>P S; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Nice pub with friendly bartender, the choice of beers is good considering they have draft Guiness 👌🏼<br><br><b>Author: </b>Petr Sobíšek; <br><b>Rating: </b>4<br><b>When: </b>6 months ago<br>Nice pub with friendly staff. Guinness and two or three Italian craft beers on tap. We came just for a beer and were satisfied.<br><br><b>Author: </b>Lauren McKinnon; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>We stopped in for a quick drink on our way to dinner.  Extensive drinks menu, reasonably priced too.  The venue itself is decorated very nicely, with a cosy welcoming atmosphere.  I had the Black Swan cocktail which was lovely, very strong so only managed the one!<br><br><b>Author: </b>vk; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Tasty burgers, tasty snacks, delicious cocktails! Super atmosphere and cool music 😎😊<br><br><b>Author: </b>Linn Lerøy; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>A nice place for lunch. We had the club sandwich with chicken and a Maria Vittoria pita. Both very good. Recommend.<br><br>",,TOUR
8,41.8957931,12.4722989,10,379,"<a href=""http://www.romabeercompany.it/""target=""_blank""> Roma Beer Company - Campo de' Fiori </a><br><b>Rating: </b>4.0<br><b>Popularity: </b><br>264","[]<b>Author: </b>Balázs Krucsó; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>We took a beer and a prosecco there. Both of them were absolutely delightful and also we chatted a lot with the algerian waitress, whos has a very unique life story on Campo de’ Fiori. Definitely recommend to get the place and drink a bit and talk with the employees. You will not regret it!<br><br><b>Author: </b>Rok Bergman; <br><b>Rating: </b>3<br><b>When: </b>9 months ago<br>Good food and good beer selecetion.<br><br><b>Author: </b>Mr JoneZ; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>The food was very delicious and the waiters were very friendly. We recommend this place<br><br><b>Author: </b>Heloisa Lopes; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>We were attracted here during Happy Hour, I asked which beers were in Happy Hour, it was two. But they did not told us it was only 0,4L, so we asked 1L and it was not in Happy Hour, and we only discovered that while we were paying (they omitted the information, although I specifically asked which beers were included in Happy Hour). Besides that, they charged us for 2L of the beer that costs 14 euros, but we asked 1L of the 14 euros beer and 1L of the 12 euros beer. They subtracted the 2 euros, but complaining until the very end.<br><br><b>Author: </b>John Willemsen; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>The aperitivo dish was okay, the beer not bad but also nothing special, the waiter (the Albanian one) was very friendly, charming and added nice vibes to our evening. If I went back, it would be because of him.<br><br>",,TOUR
9,41.89166669999999,12.4702778,5,488,"<a href=""https://www.meccanismoroma.com/""target=""_blank""> Meccanismo Bistrot </a><br><b>Rating: </b>4.1<br><b>Popularity: </b><br>1901","[]<b>Author: </b>Francis Kaduki; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Very friendly staff<br><br><b>Author: </b>Garrett Romines; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>I spent over a week in Rome with my boyfriend. As much as I love Italian food, I need a good comfort American food. The burger was delicious as well as the fries! There’s plenty of selection in terms of beer and wine. Great escape if you need a little comfort food.<br><br><b>Author: </b>Ben Carlo; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>Is it a full-blown Denny's All-American Grand Slam? No. But this is one of the more American breakfasts around Rome. Think the continental breakfast you might get at a hotel back in the states. It's good, it satiates that craving for pancakes and sausage, but you won't be whistling the national anthem on the way out. The restaurant is cool and definitely had an American vibe, aside from the Tabacchi inside the from door. Generous indoor and outdoor seating, even in this, the age of Corona. Overall, good! You won't be transported back to America, but you will experience a satisfying nostalgia.<br><br><b>Author: </b>V/s ZaZza; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Don't bother searching for cheap places , it's in the Rome's city center after all . Enjoyed a nice cold beer and an american like burger (don't forget to get a coffee). Staff was very kind. Within walking distance you find lots of tourist attractions and if you love nature a google search will bring you close to the Botanical Garden wich is awesome.<br><br><b>Author: </b>Samantha; <br><b>Rating: </b>4<br><b>When: </b>a month ago<br>Great food, but aperitivo was meh.<br><br>",,TOUR
