,LAT,LON,order,Distance [m],lugares,quotes,Position_book,Type
0,48.8654924,2.3271121,0,0,"<a href=""https://www.booking.com/hotel/it/hotelatlantestarroma.it.html?aid=356980&label=gog235jc-1DCAsocUIPc3ByaW5naG91c2Vyb21hSBRYA2hxiAEBmAEUuAEXyAEM2AED6AEB-AECiAIBqAIDuALv04WFBsACAdICJDM2ZDE0NTY1LTQwNmQtNDlhYy04OTE5LTZhZWMyZDJjODAxMdgCBOACAQ&sid=0bcc5321a78bdda0537d7904da25a4ca&all_sr_blocks=8084308_195921877_0_2_0&checkin=2021-06-20&checkout=2021-06-25&dest_id=-126693&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=8084308_195921877_0_2_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=8084308_195921877_0_2_0__81239&srepoch=1621191667&srpvid=895785b95b220028&ucfs=1&from=searchresults;highlight_room=#hotelTmpl""target=""_blank""> The Westin Paris - Vendôme </a><br><b>Rating: </b>4.3<br><b>Popularity: </b>2045","[]<b>Author: </b>Hil; <br><b>Rating: </b>1<br><b>When: </b>4 months ago<br>My door card didn’t work and I replaced it twice a day i stayed here.  I asked them to replace it and had to go downstairs every day I stayed at this hotel. The last two days of my trip I received a new card for my room twice. One in the morning, one at night. The staff would apologize and wouldn’t do anything to solve the main problem.

It’s frustrating to go up and down to find out that I can’t get into the room.

The room service left my room door open after cleaning it our second day. The heat would barely work and I would come back to my room finding the window wide open.

It’s 40 degrees out. I stayed here 6 days and I checked out leaving sick.<br><br><b>Author: </b>Jaime Plath; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>We spent two nights at the Westin Vendome for our New Years trip to Paris.  We were beyond excited to be in the city of love! Upon arrival at the Westin we were told the room wasn’t ready although we were there at the scheduled check in time of 3pm.

The front desk staff did everything they could do to find us a room that was cleaned and ready but as Titanium Elite members we had already been upgraded to the largest room in our room category they had available.  We were obviously ready to hit the ground running and get out into the city but we were requested to wait until our room was ready.  However that time was undetermined so we were given a courtesy drink at the bar for each of us. While they held our luggage we made our way to the bar where we were delightfully surprised at the ambiance and friendly staff.  Plus the drinks were delicious!  We thought it was an amazing start to our few days in Paris as we sat enjoying our cocktails and snacks. After an hour our room was still not ready and the staff comped another round of drinks for us. Although it was frustrating not to be able to get in and clean up after arriving from the long trip and embarking on the city but we really enjoyed the relaxed start to the weekend and were thankful for the time at the bar.
Once we got checked into our room we were able to get to the streets of Paris!  We made it back to our room later that night to find a bottle of champagne and chocolate provided on the house!    We were recently engaged and couldn’t have been more pleased at the service the Westin was providing. Excellent touch!  The following evening we were upgraded to a suite which exceeded out expectation! It was HUGE!  We had two balconies which gave us a view of the Tuileries garden.  We thoroughly enjoyed the extra space especially the sitting room area.  Lastly of note was the breakfast, which was comprised of a full buffet including everything from pastries & coffees to made to order eggs.  We enjoyed this every morning as a perfect start to our day.  We would highly recommend this hotel for your stay in Paris - great location, excellent amenities & incredible staff.<br><br><b>Author: </b>Alex Everything; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>my stay was great. the staff are helpful and the rooms are well furnished.i have used this hotel for all my Paris trips. it has a great continental breakfast with everything from sushi to omelets.  so if I could I would rate it not 1 not 2 not the not four not five but six stars.
visit it our forever wish you had is my advice.<br><br><b>Author: </b>Kenya Avidis; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>I visited last July, and had a great stay here! Close proximity to all major attractions in the area. Overall very nice hotel.<br><br><b>Author: </b>Ali El; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>this is really the worst Hotel I've ever seen. This hotel is getting long in the tooth... I was here in September.. I can absolutely not recommend this hotel: bad service! My room was not really clean. The breakfast was a joke!!! And the staff is not friendly...Even a 3 star Hotel has a better service... but they ask an unreasonable price.   Never again this hotel!!!<br><br>",,HOTEL
1,48.8601772,2.3476309,13,1613,"<a href=""https://club-banana-cafe.com/fr/""target=""_blank""> Club Banana Café </a><br><b>Rating: </b>3.6<br><b>Popularity: </b><br>1028","[]<b>Author: </b>Rafik Zribi; <br><b>Rating: </b>2<br><b>When: </b>9 months ago<br>Cocktails are meh in place that is competitive with so many better options. Go elsewhere you’ll thank me.<br><br><b>Author: </b>Gawon LEE; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Nice vibe, free chips!<br><br><b>Author: </b>Anthony Salinas; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Such a fun experience.<br><br><b>Author: </b>Ammar Ridzuan; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Funky and groovy theme!<br><br><b>Author: </b>Cristian Trejos; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>This bar is fine. Happy hour is super afordable for cocktails. Not much variety of beer though.<br><br>",,CLUB
2,48.8598659,2.347761,12,35,"<a href=""http://www.lebaisersale.com/""target=""_blank""> Le Baiser Salé </a><br><b>Rating: </b>3.9<br><b>Popularity: </b><br>1042","[]<b>Author: </b>G Gonzalez; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>Great for the live music but the venue is small and a bit cramped. Expect to pay 7 euro per person on top of your drinks bill. Also the open mic nights can be hit or miss.<br><br><b>Author: </b>Daniel Nordberg; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Good but small venue. There is a €7 extra charge on your obligatory first drink.
I enjoyed myself and the atmosphere was great. After the concert there is a free for all jam session,  I however couldn't stay long.
Recommended!<br><br><b>Author: </b>Roberto Rupcich; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Great time watching live Jazz with some very talented musicians! Above what I was expecting. The show is in a smaller room upstairs where they cram quite a bit of people. Fortunately, they don’t let people smoke up there. Chairs are not very comfortable. Drinks are good and prices are 10-14€ per drink. Go before the live shows and happy hour downstairs is fun with cheaper drinks. Server was very friendly although a little slow since he was the only one upstairs attending to the live music room.
My wife and I had a great experience here but it was certainly due to the music. Go check it out! They seems to hire very talented artists! Very impressed!<br><br><b>Author: </b>Felipe Rodríguez Martínez; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>A small and cozy but really high quality Jazz Club in the center of Paris, delicious jam sessions round bout midnight<br><br><b>Author: </b>Scarlett Booking; <br><b>Rating: </b>1<br><b>When: </b>6 months ago<br>I feel sorry for any musician who performs here.
They are treated like factory animals and abused in the most despicable way by the manager and owner of this club.
Avoid this place like you would avoid any toxic waste.
Horrible.<br><br>",,CLUB
3,48.8597509,2.3485647,11,60,"<a href=""http://www.ducdeslombards.com/""target=""_blank""> Le Duc des Lombards </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>1043","[]<b>Author: </b>Axel Cateland; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>One of the best jazz bar in Paris. I got the chance to see and meet Ayo there... A moment of pure happiness<br><br><b>Author: </b>bellerina; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Verrrrry cool spot, expensive but totally worth it w the experience. Awesome shows and lovely staff (but srsly don’t go if it’s your last couple days in Paris and you’re broke bc you’ll go fully broke) 🥰<br><br><b>Author: </b>Vik Dowlul; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A tad pricey but you have to remember the music is free.  A lot of seating although your luck where you end up.  We were up stairs which was good.  TVs dotted about to watch the action to while listening to the music.  Wine was good and location is close to the metro.  Recommended if in the area.<br><br><b>Author: </b>Jessica Campos; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>I had an amazing night with friends. Staff really nice! I forgot I was in a super crowded street!

Parisian prices but you can stay until 4am relax!

Music was AMAZING! There is a vibe in this place!<br><br><b>Author: </b>Derek Erb; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>My favourite jazz club in Paris. I've been going here for over 20 years. Excellent musicians from around the world. Good drinks at average club prices.  But great small club ambiance. Arrive at least 30 minutes before performance to get good seats.<br><br>",,CLUB
4,48.860642,2.352245,2,286,Pompidou Center,"<b>41</b><br>Glancing left, he could make out the top of the ultramodern Pompidou Center, which housed the Museum of Modern Art",41.0,LIB
5,48.86064200000001,2.352245,14,0,"<a href=""https://www.centrepompidou.fr/""target=""_blank""> The Centre Pompidou </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>45802","[]<b>Author: </b>Cyril Martinot; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Interesting place with a lot going on, went there for the exhibition on protestation and loved it!<br><br><b>Author: </b>Alexander Fuchs; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Good collection of art. We showed up in time for our time slot but still had to wait 30min in line. Famous facade is currently under construction (August 2020)<br><br><b>Author: </b>Helen Cotton; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Loved this bizarre building and extensive art. Annoyingly the small rucksack that everywhere else has been allowed in had to be left in the cloakroom and we were told no water bottles inside. An absence of refill stations isnt acceptable these days either.
However, the art work is superb and the public spaces capacious with charging sockets meaning the bored teen could entertain himself whilst I finished pottering. Views splendid too. Definitely a must visit.<br><br><b>Author: </b>Ruben van Jaarsveld; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Great museum. Very nice collection of modern art. Wish there was more information on the building itself.<br><br><b>Author: </b>Mike Buckley; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>The Pompidou is a great place to visit as long as you enjoy modern art. I found a lot to enjoy. It’s well laid out and managed, staff helpful and friendly. Lots to enjoy.<br><br>",,MUSE
6,48.86064200000001,2.352245,9,0,"<a href=""https://www.centrepompidou.fr/""target=""_blank""> The Centre Pompidou </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>45802","[]<b>Author: </b>Cyril Martinot; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Interesting place with a lot going on, went there for the exhibition on protestation and loved it!<br><br><b>Author: </b>Alexander Fuchs; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Good collection of art. We showed up in time for our time slot but still had to wait 30min in line. Famous facade is currently under construction (August 2020)<br><br><b>Author: </b>Helen Cotton; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Loved this bizarre building and extensive art. Annoyingly the small rucksack that everywhere else has been allowed in had to be left in the cloakroom and we were told no water bottles inside. An absence of refill stations isnt acceptable these days either.
However, the art work is superb and the public spaces capacious with charging sockets meaning the bored teen could entertain himself whilst I finished pottering. Views splendid too. Definitely a must visit.<br><br><b>Author: </b>Ruben van Jaarsveld; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Great museum. Very nice collection of modern art. Wish there was more information on the building itself.<br><br><b>Author: </b>Mike Buckley; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>The Pompidou is a great place to visit as long as you enjoy modern art. I found a lot to enjoy. It’s well laid out and managed, staff helpful and friendly. Lots to enjoy.<br><br>",,TOUR
7,48.856614,2.3522218999999995,1,447,Paris,"<b>312</b><br> When she arrived at their Paris home, however, her grandfather was not there<br><b>263</b><br>Embassy in Paris is a compact complex on Avenue Gabriel, just north of the Champs-Elysées<br><b>440</b><br>Maintaining offices in Zurich, Kuala Lumpur, New York, and Paris, the bank had expanded its services in recent years to offer anonymous computer source code escrow services and faceless digitized backup<br><b>564</b><br>Paris<br><b>212</b><br>You are in Paris a short time<br><b>164</b><br> Spring in Paris is not all your song boasts<br><b>309</b><br> We ’ re going to make it ,Sophie thought as she swung the SmartCar’s wheel to the right, cutting sharply past the luxurious Hôtel de Crillon into Paris’s tree-lined diplomatic neighborhood<br><b>491</b><br>.» «And he lives in Paris?» «Teabing’s life passion is the Grail<br><b>397</b><br>.» «What truth? What secret could possibly be that powerful?» Langdon took a deep breath and gazed out at the underbelly of Paris leering in the shadows<br><b>660</b><br>«Hold on, aren’t you supposed tobe in Paris this week?» «Iamin Paris<br><b>167</b><br>Jacques Saunière was a very prominent and well-loved figure in Paris, and his murder will be news in the morning<br><b>50</b><br>.» Singlehandedly responsible for filling Paris with Egyptian obelisks, art, and artifacts<br><b>1082</b><br> Yes! The streets of Paris, Langdon had learned years ago, were adorned with 135 of these bronze markers, embedded in sidewalks, courtyards, and streets, on a north-south axis across the city<br><b>130</b><br>When the Pope visited Paris a few years back, Fache had used all his muscle to obtain the honor of an audience<br><b>22</b><br>Each had told Silas the exact same thing – that the keystone was ingeniously hidden at a precise location inside one of Paris’s ancient churches – the Eglise de Saint-Sulpice<br><b>59</b><br>She said the curator had heard I would be lecturing in Paris this month and wanted to discuss something with me while I was here<br><b>139</b><br>It had a Paris phone number and extension on it<br><b>1</b><br>In 1975 Paris’s Bibliothèque Nationale discovered parchments known asLes Dossiers Secrets ,identifying numerous members of the Priory of Sion, including Sir Isaac Newton, Botticelli, Victor Hugo, and Leonardo Da Vinci<br><b>825</b><br>«I thought you were going to Paris<br><b>86</b><br>«It is in Paris<br><b>568</b><br> Things must have gone well in Paris tonight<br><b>21</b><br>.» «Paris? Incredible<br><b>659</b><br>I also mentioned you would be in Paris soon and suggested you two chat<br><b>292</b><br> Tearing it open, she found four Paris phone numbers<br><b>124</b><br>«One of his numeraries is in Paris tonight…»As Sister Sandrine listened to the odd request, she felt a deepening confusion<br><b>1086</b><br>Paris ’ s ancient Rose Line<br><b>554</b><br>The most blatant M, of course, is emblazoned on the altar at Our Lady of Paris in London, which was designed by a former Grand Master of the Priory of Sion, Jean Cocteau<br><b>55</b><br>«A scar on the face of Paris<br><b>371</b><br>By broadcast-faxing photos of Langdon and Sophie to Paris travel authorities, hotels, and banks, Interpol would leave no options – no way to leave the city, no place to hide, and no way to withdraw cash without being recognized<br><b>1054</b><br>Thinking of Paris, Langdon flashed on the threesénéchauxwho had been killed the night before<br><b>305</b><br>Her eyes remained fixed ahead down the long thoroughfare of Champs-Elysées, the two-mile stretch of posh storefronts that was often called the Fifth Avenue of Paris<br><b>173</b><br>.»Standing in the kitchen of her Paris flat, Sophie felt a chill to hear him again after all these years<br><b>1071</b><br>.»Langdon felt an unexpected sadness to realize he would be returning to Paris without her<br><b>24</b><br> « Le capitainewas pleased to discover you were still in Paris tonight,» the agent said, speaking for the first time since they’d left the hotel<br><b>1075</b><br>The bathrobe beside his bed bore the monogramHOTEL RITZPARIS <br><b>1092</b><br>Turning, he felt his feet again tracing the invisible path of the ancient Rose Line, carrying him across the courtyard to the Carrousel du Louvre – the enormous circle of grass surrounded by a perimeter of neatly trimmed hedges – once the site of Paris’s primeval nature-worshipping festivals… joyous rites to celebrate fertility and the Goddess<br><b>204</b><br>  CHAPTER 19 The Church of Saint-Sulpice, it is said, has the most eccentric history of any building in Paris<br><b>268</b><br> A Paris exchange, followed by the three-digit code 454<br><b>127</b><br>«He lived in Paris<br><b>190</b><br>Although Paris fire codes required windows above fifteen meters in public buildings be breakable in case of fire, exiting a Louvre second-story window without the help of a hook and ladder would be suicide<br><b>709</b><br>She turned and staggered silently up the stairs, out of the house, and drove trembling back to Paris<br><b>1090</b><br>He knew that at the end of this tunnel stood the most mysterious of Parisian monuments – conceived and commissioned in the 1980s by the Sphinx himself, François Mitterrand, a man rumored to move in secret circles, a man whose final legacy to Paris was a place Langdon had visited only days before<br><b>20</b><br>The keystone is here in Paris<br><b>245</b><br>The brass marker in Saint-Sulpice was a memorial to the world’s first prime meridian, and although Greenwich had stripped Paris of the honor in 1888, the original Rose Line was still visible today<br><b>737</b><br>England was less than an hour from Paris, and yet a world away<br><b>1011</b><br>.»«The families of those in Paris who Silas…» He paused, swallowing the emotion<br><b>177</b><br> Sighing, she raised her eyes and gazed out at Paris’s dazzling landscape<br><b>44</b><br>Across a staggeringly expansive plaza, the imposing facade of the Louvre rose like a citadel against the Paris sky<br><b>248</b><br> If all went as planned tonight in Paris, Aringarosa would soon be in possession of something that would make him the most powerful man in Christendom<br><b>496</b><br>His estate outside of Paris was a seventeenth-century palace with two private lakes<br><b>1012</b><br>«My Lord, before I return to Paris, there is one final matter I’d like to discuss – your impromptu flight to London<br><b>333</b><br>We’re buying two tickets on the next train out of Paris<br><b>569</b><br> As Aringarosa began dialing the number, he felt excited to know he would soon be in Paris<br><b>500</b><br>The BBC had flown Langdon to Teabing’s Paris estate for the filming<br><b>662</b><br>«You called me collect fromParis? »«Take it out of my royalties, Jonas<br><b>1005</b><br> One more thing to attend to before I return to Paris<br><b>733</b><br> So far, the evidence they had uncovered was unhelpful: a single bullet buried in the floor; a paper with several symbols scrawled on it along with the wordsbladeandchalice;and a bloody spiked belt that PTS had told Collet was associated with the conservative Catholic group Opus Dei, which had caused a stir recently when a news program exposed their aggressive recruiting practices in Paris<br><b>157</b><br>Eager to know how plans in Paris were progressing, he wished he could phone Silas<br><b>5</b><br>  PROLOGUE Louvre Museum, Paris 10:46 P<br><b>734</b><br>«Monsieur Vernet, I am currently in charge of the Paris investigation<br><b>322</b><br>Pulling the door closed, she fled the deserted house, and drove in a tearful stupor back to Paris<br><b>479</b><br>Proof of that fact had been uncovered years ago in Paris’s Bibliothèque Nationale in papers that became known asLes Dossiers Secrets<br><b>1076</b><br>He had promised himself he would stop in the hotel lobby for a cafe au lait to clear his thoughts, but instead his legs carried him directly out the front door into the gathering Paris night<br><b>1053</b><br>«I know of a man at a bank in Paris who is probably very eager to see the return of this rosewood box<br><b>445</b><br>Langdon and Neveu just walked into the Paris branch of the Depository Bank of Zurich<br><b>435</b><br>«Paris,» he said, and walked out the door<br><b>446</b><br>  CHAPTER 43 André Vernet – president of the Paris branch of the Depository Bank of Zurich – lived in a lavish flat above the bank<br><b>1069</b><br>I’m going back to Paris in the morning<br><b>35</b><br>The agent gunned the sedan across the junction and sped onto a wooded section of Rue Castiglione, which served as the northern entrance to the famed Tuileries Gardens – Paris’s own version of Central Park<br><b>334</b><br>Embassy had now become a full-fledged evacuation from Paris<br><b>1047</b><br>It only made sense that Sophie, being the eldest, would stay in Paris to be taught and raised by Jacques, close to the heart and protection of the Priory<br><b>192</b><br> Fumbling with the controls, Collet called up a Paris street map and recalibrated the GPS<br><b>979</b><br>It would prevent Saunière from persuading Langdon to keep quiet, and it would ensure that once the keystone was in Teabing’s hands, Langdon would be in Paris for recruitment should Teabing need him<br><b>315</b><br>Jacques Saunière despised city driving and owned a car for one destination only – his vacation château in Normandy, north of Paris<br><b>617</b><br>His conversation with Paris had not at all been what he had imagined<br><b>137</b><br>Only a few of his colleagues knew he was in Paris<br><b>12</b><br> «If you would be so kind,» Langdon said, doing his best to remain polite,» could you take the man’s name and number, and tell him I’ll try to call him before I leave Paris on Tuesday? Thank you<br><b>599</b><br>I should admit, for my research, I have kept lists of men in Paris whom I thought might be good candidates for involvement in the Priory<br><b>394</b><br>As the Vatican closed in, the Priory smuggled their documents from a Paris preceptory by night onto Templar ships in La Rochelle<br><b>618</b><br> Everything in Paris has gone terribly wrong<br><b>319</b><br>Clearly he was hosting a party while Sophie was away at school, and from the looks of the automobiles, some of Paris’s most influential people were in attendance<br><b>1002</b><br>To successfully hide bugs in some of Paris’s most powerful offices, the British historian had turned to the Greeks<br><b>588</b><br>«The Merovingians founded Paris<br><b>1043</b><br>They had come to see Rosslyn Chapel before going back to Paris<br><b>244</b><br>Long before the establishment of Greenwich as the prime meridian, the zero longitude of the entire world had passed directly through Paris, and through the Church of Saint-Sulpice<br><b>661</b><br>«Hold on, aren’t you supposed tobe in Paris this week?» «Iamin Paris<br><b>516</b><br>.»«My manservant tells me that not only are you in Paris, but you speak of the Grail<br><b>282</b><br>The other half he sent to guard the only location in Paris where Robert Langdon could find safe harbor<br><b>296</b><br>  CHAPTER 32 The security alarm on the west end of the Denon Wing sent the pigeons in the nearby Tuileries Gardens scattering as Langdon and Sophie dashed out of the bulkhead into the Paris night<br><b>369</b><br>He told Sophie it was out near the tennis stadium on the western outskirts of Paris<br><b>509</b><br>Who better to help us than a knight?» CHAPTER 52 The Sprawling 185-acre estate of Château Villette was located twenty-five minutes northwest of Paris in the environs of Versailles<br><b>9</b><br> Where the hell am I? The jacquard bathrobe hanging on his bedpost bore the monogram:HOTEL RITZPARIS <br><b>511</b><br>Designed by François Mansart in 1668 for the Count of Aufflay, it was one of Paris’s most significant historical châteaux",1.0,LIB
8,48.85296820000001,2.3499021,6,439,Notre Dame Cathedral,"<b>519</b><br>Gargoyles had always terrified Sophie as a child; that was, until her grandfather cured her of the fear by taking her atop Notre Dame Cathedral in a rainstorm",519.0,LIB
9,48.8525736,2.350971,18,89,"<a href=""""target=""_blank""> Square Jean XXIII </a><br><b>Rating: </b>4.5<br><b>Popularity: </b><br>15703",[]<b>Author: </b>Honey Dominguez; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Regret didn't had a chance to see inside. It's crazy looong lines<br><br><b>Author: </b>Pete Kay; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Notre dame is absolutely beautiful I was fortunate enough to visit this wonderful building before it had the fire such a really sad thing to hear about such a very beautiful and exciting place<br><br><b>Author: </b>Saumya Bhargava; <br><b>Rating: </b>3<br><b>When: </b>11 months ago<br>This is so pretty. It was like one of those structures coming out of the books I have read. I was in awe. Totally took so many pictures.<br><br><b>Author: </b>good juju; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>The square is closed due to the reconstruction work on Notre Dame Cathedral.<br><br><b>Author: </b>Rowan Hunter; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Once was a beautiful addition to this city<br><br>,,PRK
