,LAT,LON,order,Distance [m],lugares,quotes,Position_book,Type
0,41.9018565,12.4837491,0,0,"<a href=""http://www.accademiahotel.com/?utm_source=google&utm_medium=organic&utm_campaign=knowledge-graph""target=""_blank""> Hotel Accademia </a><br><b>Rating: </b>4.0<br><b>Popularity: </b>730","[]<b>Author: </b>Ionel Roman; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A strategic location from where you have quick access to many attractions of Rome with cozy clean rooms, friendly and helpful staff and tasteful breakfast. We stayed here for 3 nights and had no problems, our room was cleaned every day, the breakfast was fresh and plentiful (not a lot of different things but enough for every taste) and the staff was very polite (from the reception to the cleaning and the kitchen). We also had an excellent spa day in the hotel with clean dry sauna, jacuzzi and hot steam Turkish bath.<br><br><b>Author: </b>massimo mancusi; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>60mt from the trevi fountain best location<br><br><b>Author: </b>Mel Levi; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>We stayed 5 nights from Nov 9-14th.  Very pleased with the hotel.  GREAT location.  Nice rooms and breakfast.  Staff is wonderful and very helpful.  First night we were put in a small room as hotel was at 100% occupancy.  They moved us to a very nice room for nights 2-5.  Would certainly stay there again and recommend.<br><br><b>Author: </b>Giovanna Gravina; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Terrible experience! dirty rooms with cigarette smells! bad breakfast with few options. I definitely don't recommend it. I think they disregard the whole because they are in a good location. Not to mention the time we arrived in the room, with cigarette butts in the toilet and sheets and room stinking of cigarettes. We just didn't change hotels because it was time to go back to our country. Not sure how it fits into a 3 star hotel.<br><br><b>Author: </b>Erin G; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Three stars based on convenience and location.  I always keep an open mind when traveling abroad, and when staying in bigger cities I expect to pay more for a hotel room.  This hotel is definitely on the pricier side.  However, I wasn’t in Rome to hang out in a hotel room.  It was a place to sleep and served its purpose.

Pros:   Convenience and location.  It’s around the corner from the Trivi Fountain, walking distance to all the touristy spots and easy to find.  Complimentary breakfast and nice kitchen staff.   They were kind enough to let me borrow a wine opener, and in no hurry to have me return it.   Hot tea in the lobby...sometimes.

Cons:  This wasn’t the cleanest hotel.  The rooms and restrooms weren’t the cleanest.  Over priced and very loud.  You can hear people talking in the hallways and in the other rooms.  Looks like they are remodeling.

Bottom Line:  If this hotel did a better job cleaning the hotel rooms and restrooms I would stay here again.<br><br>",,HOTEL
1,41.9043559,12.4852521,28,304,"<a href=""http://www.gregorysjazz.com/""target=""_blank""> Gregory's Jazz club </a><br><b>Rating: </b>4.3<br><b>Popularity: </b><br>671","[]<b>Author: </b>James; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>I'm sat here at my home in the UK under current COVID restrictions remembering a fantastic evening spent at Gregory's, it's what memories are made of. One of the best experiences of my life. You have won my heart. Thank you x<br><br><b>Author: </b>James Godbold; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Really nice intimate venue. Friendly staff and some class acts. Seats are 'compact' so if you're big/tall perhaps request a table or the front row. You must book, otherwise you won't get in. We paid €20 each and this includes a cocktail. The cocktails are really well made. Expect to pay around €11 for a drink.<br><br><b>Author: </b>Magdalena Kossewska; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Best espresso martinis I’ve ever had!! Great place, great service!<br><br><b>Author: </b>Karina Marin; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Quite pricey for what they offer<br><br><b>Author: </b>Karl David; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great place for some chill jazz music on a Wednesday night. The club is also an outstanding cocktail bar in its own right. Reasonable prices and would go again.<br><br>",,TOUR
2,41.9047008,12.4943693,19,755,Santa Maria della Vittoria,"<b>715</b><br>.”98
T he six pompierifiremen who responded to the fire at the Church of Santa Maria Della Vittoria extinguished the bonfire with blasts of Halon gas<br><b>766</b><br>To his right, the smoking cupola of Santa Maria della Vittoria<br><b>689</b><br> 91
L angdon and Vittoria dashed to the main entrance of the church of Santa Maria della Vittoria and found the wooden door locked",689.0,LIB
3,41.90278350000001,12.4963655,2,269,Rome,"<b>506</b><br>His view of Rome, however, got better with every step<br><b>672</b><br>He pictured the Vatican Curator collapsing in spasms of outrage at the thought of this priceless artifact being packed around Rome like some tourist ma 
thought of the m 
p<br><b>753</b><br> A cross , Langdon thought, still amazed by the arrangement of the markers across Rome<br><b>57</b><br>But in the 1500s, a group of men in Rome fought back against the church<br><b>417</b><br>.”More interesting?
s certain this part Langdon wa 
icular visit to Rome was plenty 
interesting<br><b>906</b><br>For this reason, the island had later become the site for Rome’s Hospital Tiberina<br><b>738</b><br>sprawled across Rome in an enormous, city-wide cross<br><b>512</b><br>In the distance, on the very edge of Rome, Michelangelo’s massive dome blotted the setting sun<br><b>492</b><br>.”
“Who other than a famous Vatican artist would have had the clout to put his artwork in 
specific Catholic chapels around Rome and create the Path of Illumination?notCertainly 
an unknown<br><b>762</b><br>Four markers, he thought, spread across Rome in a giant cross<br><b>739</b><br> ’Cross Rome the mystic elements unfold <br><b>423</b><br>“The Illuminati altars of science were here in Rome<br><b>517</b><br>The line missed, by a substantial margin, the cluster of black squares indicating Rome’s major churches<br><b>447</b><br>Spoils of Rome’s imperial 
elisks were scattered acrossplundering, ob 
Rome and referred to by symbologists as “Lofty Pyramids”-skyward extensions of the sacred pyramidal form<br><b>403</b><br>Nap time was eternal in the Eternal City-the ubiquitous public dozing a perfected extension of the afternoon siestas born of ancient Spain<br><b>270</b><br>Some of surrounding 
Rome may be in danger<br><b>140</b><br> 
Langdon knew that with Rome’s maniacal drivers, flying was probably safer anyway<br><b>764</b><br>All of Rome spread out before him was
<br><b>110</b><br>“Rome<br><b>898</b><br>Beyond the open door, the lights of Rome looked farther away with every passing second<br><b>491</b><br>Could it be that here in this tiny Chigi Chapel, the worldrenowned Bernini had placed a sculpture that pointed across Rome toward the next altar of science?
“Bernini,” he said<br><b>428</b><br>Half of the sculpting done
in Renaissance and Baroque Rome was for the funeraries<br><b>519</b><br>Unfortunately, Rome’s major churches were also Rome 
s <br><b>369</b><br>Not only had Milton made a well-documented 1638
pilgrimage to Rome to “commune with enlightened men,” but he had held meetings with Galileo during the scientist’s house arrest, meetings portrayed a in m ny Renaissance
paintings, including Annibale Gatti’s famous Gal which hung even nowileo and Milton,
in the IMSS Museum in Florence<br><b>730</b><br>Finally, Langdon’s finger th 
ran out of churches and trailed off intoe suburbs of Rome<br><b>505</b><br>“And I
don’t know Rome’s churches well enou-” He stopped<br><b>590</b><br>Peter’s Square ac 
ross the Tiber River and up into the heart of 
old Rome<br><b>416</b><br>“It is my job to make your visit to Rome more interesting<br><b>504</b><br>One that shows all the churches in Rome<br><b>401</b><br>Like every man there, Chartrand was Swiss Arm 
d tw 
y trained and had endure 
o
years of additional ausbildingin Bern before qualifying for the grueling Vatican pròvaheld in a secret barracks outside of Rome<br><b>361</b><br> Show yourself, damn it! Show yourself!53
S omewhere beneath Rome the dark figure prowled down a stone ramp into the underground tunnel<br><b>446</b><br>Spoils of Rome’s imperial 
elisks were scattered acrossplundering, ob 
Rome and referred to by symbologists as “Lofty Pyramids”-skyward extensions of the sacred pyramidal form<br><b>531</b><br>Not Rome<br><b>385</b><br>“Earthly? Actually, there’s probably no more earthly place in Rome than the Pantheon<br><b>741</b><br>A cross!’Cross Rome the mystic elements unfold!
It was cunning wordplay<br><b>904</b><br>The sky above Rome had been filled with sights tonight <br><b>594</b><br>four towering beacons rising over Rome to mark the altars of science<br><b>900</b><br>He raced 
in theto the open doorway of the chopper and stood
raging wind, gazing down at the lights of Rome below<br><b>244</b><br>What else do I know? That this whole situation is insanity, that’s what I know! “After the brandings, the scientists were murdered, and their bodies were dropped in public locations around Rome as a warning to other scientists not to join the Illuminati<br><b>666</b><br>All the traffic was moving in the other direction, toward the Vatican, as if the Holy See had suddenly become the hottest entertainment in Rome<br><b>507</b><br>Like an o 
i 
cean on f re, the red-tiled rooftops of Rome spread
out before him, glowing in the scarlet sunset<br><b>295</b><br>Galileo’s Illuminati needed to protect themselves from the Vatican, so they founded an ultrasecret Illuminati meeting place here in Rome<br><b>752</b><br> 
Nights in Rome, like those in the desert, can be surprisingly cool, even after a warm day<br><b>554</b><br>It seemed Rome was suddenly filled with ellipses, pyramids, and startling geometry<br><b>574</b><br>.”
At that exact instant, somewhere in Rome, the Hassassin enjoyed a fleeting moment of repose in a comfortable chair<br><b>266</b><br>.”
“You suggest we cancel conclave right now?”
“Do I have a choice?”
“What about your charge to bring a new Pope?”
The young chamberlain sighed and turned to the window, his eyes drifting out onto the sprawl of Rome 
ld m below<br><b>957</b><br>In addition to these, the camerlegno had found the Illuminati Collection-all the secrets the church had uncovered after banishing the group from Rome <br><b>12</b><br>Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory<br><b>528</b><br> 
“Besides, the poem says the elements are spread across Rome <br><b>726</b><br>There was
knew, of course, the spear was pointing far beyond the wall, into the night, somewhere across Rome<br><b>113</b><br> 
“Rome? But <br><b>298</b><br>Unfortunately, though, because of the Illuminati’s secrecy, scientists arriving in Rome never knew where to go for the meetings or to whom they could safely speak<br><b>511</b><br>Not to mention, Rome had changed dramatically since the 1600s when churches were by law the tallest buildings allowed<br><b>609</b><br>We have reports that two members of the College of Cardinals have been brutally murdered in Rome<br><b>381</b><br> 
“Oldest Catholic church in Rome<br><b>565</b><br>apparently one of Rome’s homeless<br><b>309</b><br>“The pieces blended into the sea of religious artwork all over Rome<br><b>411</b><br>Others sat enjoying Rome’s best iced coffee at La Tazza di Oro’soutdoor cafe<br><b>378</b><br>From there, across Rome, the markers blazed the trail<br><b>664</b><br>Where are we going?”88
E ven with its siren now affixed and blaring, Olivetti’s Alpha Romeo seemed to go unnoticed as it rocketed across the bridge into the heart of old Rome<br><b>803</b><br>Angelo, staring out across Rome, her eyes moist with tears<br><b>338</b><br>Like some of
Galileo’s previous manuscripts, Diagrammawas smuggled out of Rome ndby a friend a 
quietly published in Holland<br><b>426</b><br>If Raphael’s tomb wasn’t in Rome in 1655, then what was the poem referring to? Santi’s earthly tomb with demon’s hole? What the hell is it? Think!
“Was there another artist called Santi?” Vittoria asked<br><b>153</b><br>Peter’s Square was a staggering open space in the congestion of Rome, like a classical Central Park<br><b>651</b><br>Langdon hoped they could c 
the killer before he had to consider Water -Bernini had carved dozens of fountains in Rome, most of them in front of churches<br><b>415</b><br>The sarcophagus, like many in Rome, was askew with the wall, positioned awkwardly<br><b>890</b><br>For that instant, a perfect and silent sphere of light glowed over Rome<br><b>111</b><br>.”
“Rome?” Vittoria demanded<br><b>282</b><br>“What’s the angle?”
“Do you have a TV reporter in Rome covering the election?”
“I believe so<br><b>297</b><br>Word of Galileo’s brotherhood started to spread in the 1630s, and scien ts
tis 
from 
a around the world m de secret pilgrimages to Rome hoping to join the Illuminati <br><b>534</b><br>Peter’s Square as part of Vatican City, but because it’s outside 
a the walled city, Rom n officials for centuries have claimed
it as part of Rome<br><b>19</b><br>One question looms: Will this highly volatile substance save the world, or will it be used o 
to create the m st deadly weapon ever made?
AUTHOR’S NOTE
R eferences to all works of art, tombs, tunnels, and architecture in Rome are entirely factual (as are their exact locations)<br><b>686</b><br>Rome sat riveted, as did the rest of the world<br><b>141</b><br>Then with a roar, the craft shot up and banked sharply north toward Rome<br><b>382</b><br>“But do you really think the first cardinal could be killed at the Pantheon? That’s got to be one of the busiest tourist spots in Rome<br><b>518</b><br>Unfortunately, Rome’s major churches were also Rome 
s <br><b>380</b><br>Even in the 1600s, the Pantheon, with its tremendous, holed dome, was one of the best known sites in Rome<br><b>744</b><br>Everyone who came to Rome went to see it<br><b>11</b><br>To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable<br><b>595</b><br> 
“It’s a long shot,” Langdon said, “but I know that many of Rome’s obelisks were erected or moved during Bernini’s reign<br><b>424</b><br>In Rome<br><b>731</b><br> 
Surveying the whole of Rome, Langdon’s eyes touched down on the three churches where the first three cardinals had been killed<br><b>301</b><br>They created ma that
rkers 
faded into the backdrop of ancient Rome<br><b>591</b><br>“As you can see, the line passes through almost all of Rome<br><b>1018</b><br>there was no more fitting hotel in all of Rome<br><b>992</b><br> 135
D awn came late to Rome<br><b>736</b><br>When he leaned in to examine where he had placed the final mark, Langdon was surprised to find that the fourth point lay dead center of Rome’s famed Piazza Navona<br><b>268</b><br>“Marching one hundred sixty-five cardinals unprepared and unprotected into Rome would be reckless<br><b>425</b><br>“This was Raphael’s only tomb in Rome<br><b>685</b><br>satanic
urde 
presence in Rome <br><b>302</b><br>First, the sculptures had to look like the rest of the artwork in Rome <br><b>61</b><br>The scientists met regularly in Rome at an ultrasecret lair they called the Church of Illumination <br><b>729</b><br>He immediately realized he had asked the right people; the fire department’s map of Rome was as detailed as any Langdon had ever seen<br><b>508</b><br>From that spot, for the first time in his life, Langdon saw beyond the pollution and traffic of Rome to its ancient roots-Città di DioThe city of God<br><b>510</b><br>There are hundreds of churches in Rome , he thought<br><b>740</b><br> ’Cross Rome <br><b>497</b><br>It was getting dark now, the springtime sun setting late in southern Rome 
<br><b>116</b><br>.”31 
T he X-33 space plane roared into the sky and arched south toward Rome<br><b>310</b><br>By donating the artwork anonymously to specific churches and then using their political influence, the brotherhood facilitated placement of these four pieces in carefully chosen churches in Rome<br><b>732</b><br>Somehow he had imagined the churches would be scattered randomly across Rome<br><b>763</b><br>The bird’s deceptively dark color was the result of Rome’s pollution tarnishing the original bronze<br><b>127</b><br>.”32
L angdon held his breath as the X-33 spiraled into Rome’s Leonardo da Vinci International Airport<br><b>559</b><br>Not in his art books, not in his numerous trips to Rome, not everhad West Ponente ’s significance jumped out at him<br><b>359</b><br> “Merda, as we say in Rome<br><b>604</b><br>All Catholic churches in Rome are property of the Vatican<br><b>232</b><br>The IF signature suggests he’s somewhere in Rome 
, but there’s really no way to 
trace him<br><b>759</b><br>His work in Rome was done<br><b>64</b><br> 
“Then the scientists were brutally murdered, their dead bodies dropped in the streets of Rome as a warning to others thinking of joining the Illuminati<br><b>68</b><br> 
re survivors,” he explained 
“When they fled Rome, they traveled across Europe looking for a safe place to regroup<br><b>142</b><br> Rome<br><b>915</b><br> American? Roma joked that Am 
ns often 
ericans had gotten so abundant in Rome that
hamburgers should become the official Italian food<br><b>112</b><br>“The antimatter is in Rome? Who called?”
Kohler’s face was twisted, his gray eyes watering<br><b>147</b><br> 
As the chopper headed north, Langdon spied the Roman Forum-the heart of pre-Christian Rome<br><b>245</b><br>Have you not counted lately? There are over four hundred Catholic churches in Rome<br><b>901</b><br> 
Beneath him, the lights of Rome spread out in all directions<br><b>465</b><br>Gunther Glick was checking his map of Rome, apparen t<br><b>376</b><br> 
p, a clue unveiling the four a 
the four markers that
blazed a secret path across Rome<br><b>557</b><br>Today had been a day of phone tips, corpses, unmarked cars racing through Rome, and men in tweed jackets climbing scaffolding in search of God only knew what",11.0,LIB
4,41.8902102,12.4922309,3,1439,the Roman Coliseum,<b>145</b><br>His eyes found the crumbling ruins of the Roman Coliseum,145.0,LIB
5,41.8932529,12.484504,8,723,Vatican Prison,"<b>209</b><br>.”
’s a pretty big 
“What’s he going to do, shoot me for using the phone?”
“Who the hell knows! This is a pretty strange place, and the wa going-”
y things are 
“Either that,” Vittoria said, “or we can spend the next five hours and forty-eight minutes in Vatican Prison",209.0,LIB
6,41.8962487,12.4799183,24,505,"<a href=""http://www.scholarsloungerome.com/""target=""_blank""> Scholars Lounge Irish Pub </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>4436","[]<b>Author: </b>Nele Van den Broeck; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>We went to this pub because we saw some marketing along the road, so I guess it really helps! The pub itself is big and has a very suited decoration setup. The small compartments are a nice feature, they devide the seating in a nice way. The waiters are really polite and helpful and respect social distancing. They have karaoke nights during the week, but unfortunately we weren't able to join. We can surely recommend a fresh pint of Guinness during the hot Italian days!<br><br><b>Author: </b>Anna Emese Csákvári; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Amazing drinks with cool staff and great atmosphere, good music. Really enjoyed our night here with my Scottish friends. The prices are quite high, but it is Rome we are talking about.<br><br><b>Author: </b>Orfeas Fella; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Loved this place because it is a total sports pub. I was lucky to find place to watch the Europa League Final 2020 there as I was holidays in Rome.
Food is quite good. Service is excellent and staff really helpful and friendly.
I was unlucky because I didn't find place for Champions League 2020 Final.
So if you want to watch an important sports event is better to make reservation.<br><br><b>Author: </b>Dean Spiller; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>If there is sport on this is where you want to be. There are screens everywhere and there is tons of comfy seating. The beer is a little pricey, but it's pretty much what you pay for a beer anywhere in Rome, at least here you get to enjoy it in comfort, while watching your favourite team. And the food is excellent!<br><br><b>Author: </b>Taylor Chung; <br><b>Rating: </b>4<br><b>When: </b>5 months ago<br>A buddy and I were looking for an irish pub to get a bite and a drink and came across this place. Wide open and good ambience, but the food was poor. Good bartenders and cozy atmosphere. Good wifi to boot.<br><br>",,TOUR
7,41.8972311,12.4763618,26,313,"<a href=""http://www.sharivari.it/""target=""_blank""> Shari Vari - Play House </a><br><b>Rating: </b>3.7<br><b>Popularity: </b><br>1608","[]<b>Author: </b>Kaleila; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Went to it at night, very fun nightclub. The drinks here are strong, so proceed with caution! Would love to go here again the next time I'm in Rome<br><br><b>Author: </b>Trevor Spence; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Good wee bar. Girls behind the bar are beautiful but they are more interested in lookin at themselves in the mirror rather than actually serving you. A bit much to be honest<br><br><b>Author: </b>Fatima Zahrae EL BARAKA; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Nice cocktails and very good burgers! The club has 3 rooms and each one has her own style.. Overall it's a very nice place to eat and to party all night long at Rome<br><br><b>Author: </b>Prem Bassi; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>As far as clubs go it's one of the worst I've been to. We were told that hip hop was playing on the night however only we heard 4 songs. The drinks are also very expensive compared to other clubs in Rome. I personally do not recommend this place<br><br><b>Author: </b>Youcant Sitwithme; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Worst experience ever!
I wanted to celebrate my birthday there.
My expectation was a good party with nice people.
Instead i got a club looking like a cellar full of people who only wanted to hear old italian pop.
Very loud music.
Ordering cocktails was a real torture. The bar was empty but the waitress was not interested in serving. She looked very arrogant and miserable. Barely she managed to mix two over expensive 'sex on the beach'. The glass was filled up with ice as much as possible and the rest of space with something that had a taste of bitter orange juice and cheap alcohol.
A terrible mix of something.
Best thing came as they closed the club very early and all the people had to wait for their jackets in a small room.
To keep it short: never ever EVER again. Waste of money and time.<br><br>",,TOUR
8,41.8992619,12.4768866,11,229,Piazza della Rotunda,"<b>408</b><br>.”
As they rounded the corner into Piazza della Rotunda, the Pantheon rose before them<br><b>390</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",390.0,LIB
9,41.8997351,12.4746038,12,196,Sant’Eustachio,"<b>391</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",391.0,LIB
