,lugares,LAT_google,LON_google,labels,Quotes,Position
1089,the Guggenheim Museum,40.7829796,-73.9589706,FAC,,0
209,Bilbao,43.2630126,-2.9349852,GPE,,1
141,Barcelona,36.0881056,-95.9241306,GPE,,2
282,Catalonia,41.5911589,1.5208624,GPE,,3
842,Spain,40.46366700000001,-3.74922,GPE,,4
843,Spain,40.46366700000001,-3.74922,GPE,,5
723,Montserrat,16.742498,-62.187366,GPE,,6
1066,the Balearic Sea,40.2890514,2.1450245,LOC,,7
1015,Whiffenpoof,36.0865317,-95.9583804,GPE,,8
844,Spain,40.46366700000001,-3.74922,GPE,,9
845,Spain,40.46366700000001,-3.74922,GPE,,10
266,Cambridge,52.2042666,0.1149085,GPE,,11
244,Boston,42.3600825,-71.0588801,GPE,,12
245,Boston,42.3600825,-71.0588801,GPE,,13
373,Grail cup,38.899781,-77.03231199999999,FAC,,14
738,Nervión River,25.8672778,-80.34165139999999,LOC,,15
210,Bilbao,43.2630126,-2.9349852,GPE,,16
846,Spain,40.46366700000001,-3.74922,GPE,,17
1080,the Disney Concert Hall,34.0553454,-118.249845,FAC,"When the building was first unveiled in 1997,The New Yorkerhailed its architect, Frank Gehry, as having designed “a fantastic dream ship of undulating form in a cloak of titanium,” while other critics around the world gushed, “The greatest building of our time!” “Mercurial brilliance!” “An astonishing architectural feat!” Since the museum’s debut, dozens of other “deconstructivist” buildings had been erected—the Disney Concert Hall in Los Angeles, BMW World in Munich, and even the new library at Langdon’s own alma mater",18
654,Los Angeles,34.0522342,-118.2436849,GPE,,19
735,Munich,48.1351253,11.5819805,GPE,,20
1075,the Bilbao Guggenheim,43.2686712,-2.9340118,FAC,,21
976,The Fog Sculpture,42.3574812,-71.0512645,FAC,,22
656,Louvre,48.8606111,2.337644,LOC,,23
764,Prado,35.2564201,-120.6719665,FAC,,24
1146,Ávila,40.656685,-4.6812086,GPE,,25
714,Mediterranean,34.5531284,18.0480105,LOC,,26
1147,Ávila,40.656685,-4.6812086,GPE,,27
1148,Ávila,40.656685,-4.6812086,GPE,,28
1149,Ávila,40.656685,-4.6812086,GPE,,29
1150,Ávila,40.656685,-4.6812086,GPE,,30
1029,earth,37.2321077,-95.7243335,LOC,,31
825,Seville,37.3890924,-5.9844589,GPE,,32
1151,Ávila,40.656685,-4.6812086,GPE,,33
1152,Ávila,40.656685,-4.6812086,GPE,,34
1153,Ávila,40.656685,-4.6812086,GPE,,35
1154,Ávila,40.656685,-4.6812086,GPE,,36
1155,Ávila,40.656685,-4.6812086,GPE,,37
441,Ireland,53.1423672,-7.692053599999999,GPE,,38
