,lugares,LAT_google,LON_google,labels,Quotes,Position
153,Florence,43.7695604,11.2558136,GPE,"A threat to his life will propel him and a young doctor, Sienna Brooks, into a breakneck chase across the city of Florence",0
559,Transworld,33.1696456,-96.7312378,GPE,"All of my friends at Transworld, in particular Bill Scott-Kerr for his creativity, support, and good cheer, and also to Gail Rebuck for her superb leadership",1
367,London,51.5073509,-0.1277583,GPE,"For their impressive management of the London and Milan translation sites, Leon Romero-Montalvo and Luciano Guglielmi",2
392,Milan,45.4642035,9.189982,GPE,"For their impressive management of the London and Milan translation sites, Leon Romero-Montalvo and Luciano Guglielmi",3
154,Florence,43.7695604,11.2558136,GPE,Marta Alvarez González for spending so much time with us in Florence and for bringing to life the city’s art and architecture,4
320,Italy,41.87194,12.56738,GPE,The peerless Maurizio Pimponi for all he did to enhance our visit to Italy,5
155,Florence,43.7695604,11.2558136,GPE,"All the historians, guides, and specialists who generously spent time with me in Florence and Venice, sharing their expertise: Giovanna Rao and Eugenia Antonucci at the Biblioteca Medicea Laurenziana, Serena Pini and staff at the Palazzo Vecchio; Giovanna Giusti at the Uffizi Gallery; Barbara Fedeli at the Baptistery and Il Duomo; Ettore Vito and Massimo Bisson at St",6
598,Venice,45.4408474,12.3155151,GPE,"All the historians, guides, and specialists who generously spent time with me in Florence and Venice, sharing their expertise: Giovanna Rao and Eugenia Antonucci at the Biblioteca Medicea Laurenziana, Serena Pini and staff at the Palazzo Vecchio; Giovanna Giusti at the Uffizi Gallery; Barbara Fedeli at the Baptistery and Il Duomo; Ettore Vito and Massimo Bisson at St",7
868,the Palazzo Vecchio,43.7693012,11.2561509,FAC,"All the historians, guides, and specialists who generously spent time with me in Florence and Venice, sharing their expertise: Giovanna Rao and Eugenia Antonucci at the Biblioteca Medicea Laurenziana, Serena Pini and staff at the Palazzo Vecchio; Giovanna Giusti at the Uffizi Gallery; Barbara Fedeli at the Baptistery and Il Duomo; Ettore Vito and Massimo Bisson at St",8
957,the Uffizi Gallery,43.7677856,11.2553108,FAC,"All the historians, guides, and specialists who generously spent time with me in Florence and Venice, sharing their expertise: Giovanna Rao and Eugenia Antonucci at the Biblioteca Medicea Laurenziana, Serena Pini and staff at the Palazzo Vecchio; Giovanna Giusti at the Uffizi Gallery; Barbara Fedeli at the Baptistery and Il Duomo; Ettore Vito and Massimo Bisson at St",9
