,lugares,LAT_google,LON_google,labels,Quotes,Position
224,New York,40.7127753,-74.0059728,GPE,"Also by Dan Brown 
Digital FortressA N G E L S 
&D E M O N SD A NB R O W N POCKET BOOKS
New York London Toronto Sydney Singapore
h 
T is book is a work of fiction",0
8,Avenue,40.7494249,-74.0033364,FAC,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",1
6,Americas,54.5259614,-105.2551187,LOC,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",2
225,New York,40.7127753,-74.0059728,GPE,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",3
210,NY,40.7127753,-74.0059728,GPE,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",4
0,1230 Avenue,40.60639889999999,-73.9606407,FAC,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",5
7,Americas,54.5259614,-105.2551187,LOC,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",6
226,New York,40.7127753,-74.0059728,GPE,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",7
211,NY,40.7127753,-74.0059728,GPE,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",8
14,Blythe,33.6177725,-114.5882607,GPE, For Blythe ,9
722,Vatican City,41.902916,12.453389,GPE,"To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",10
257,Rome,41.9027835,12.4963655,GPE,"To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",11
258,Rome,41.9027835,12.4963655,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",12
79,Exeter,32.8996787,-96.9821243,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",13
221,New Hampshire,43.1938516,-71.5723953,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",14
1014,the Vatican Observatory,32.7012578,-109.8920589,FAC,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",15
510,Switzerland,46.818188,8.227511999999999,GPE," FACT
T he world’s largest scientific research facility-Switzerland’s Conseil Européen pour la Recherche Nucléaire(CERN)-recently succeeded in producing the first particles of antimatter",16
228,New York City,40.7127753,-74.0059728,GPE,"Antimatter creates no pollution or radiation, and a droplet could power New York City for a full day",17
107,Hiroshima,34.3852894,132.4553055,GPE,"A single gram antimatter contains the energy of a 20-kiloton nuclear
bomb-the size of the bomb dropped on Hiroshima",18
