,lugares,LAT_google,LON_google,labels,Quotes,Position
621,Royal Observatory Greenwich,51.476853,-0.0005002,FAC," For their generous assistance in the research of the book, I would like to acknowledge the Louvre Museum, the French Ministry of Culture, Project Gutenberg, Bibliothèque Nationale, the Gnostic Society Library, the Department of Paintings Study and Documentation Service at the Louvre, Catholic World News, Royal Observatory Greenwich, London Record Society, the Muniment Collection at Westminster Abbey, John Pike and the Federation of American Scientists, and the five members of Opus Dei (three active, two former) who recounted their stories, both positive and negative, regarding their experiences inside Opus Dei",0
412,Paris,48.856614,2.3522219,GPE,"In 1975 Paris’s Bibliothèque Nationale discovered parchments known asLes Dossiers Secrets ,identifying numerous members of the Priory of Sion, including Sir Isaac Newton, Botticelli, Victor Hugo, and Leonardo Da Vinci",1
771,Vatican,41.902916,12.453389,FAC," The Vatican prelature known as Opus Dei is a deeply devout Catholic sect that has been the topic of recent controversy due to reports of brainwashing, coercion, and a dangerous practice known as «corporal mortification",2
243,Lexington Avenue,40.773008,-73.96032,FAC,.» Opus Dei has just completed construction of a $47 million World Headquarters at 243 Lexington Avenue in New York City,3
382,New York City,40.7127753,-74.0059728,GPE,.» Opus Dei has just completed construction of a $47 million World Headquarters at 243 Lexington Avenue in New York City,4
413,Paris,48.856614,2.3522219,GPE,"  PROLOGUE Louvre Museum, Paris 10:46 P",5
45,Caravaggio,40.7733228,-73.96474660000001,FAC,"He lunged for the nearest painting he could see, a Caravaggio",6
646,Saunière,42.9278907,2.2629064,LOC,"Grabbing the gilded frame, the seventy-six-year-old man heaved the masterpiece toward himself until it tore from the wall and Saunière collapsed backward in a heap beneath the canvas",7
900,the Grand Gallery,45.5227482,-122.6553259,FAC," He was trapped inside the Grand Gallery, and there existed only one person on earth to whom he could pass the torch",8
410,PARIS,48.856614,2.3522219,GPE, Where the hell am I? The jacquard bathrobe hanging on his bedpost bore the monogram:HOTEL RITZPARIS ,9
54,Chartres Cathedral,48.4478026,1.4878371,FAC,Tonight’s lecture – a slide show about pagan symbolism hidden in the stones of Chartres Cathedral – had probably ruffled some conservative feathers in the audience,10
772,Vatican,41.902916,12.453389,FAC,"His books on religious paintings and cult symbology had made him a reluctant celebrity in the art world, and last year Langdon’s visibility had increased a hundred fold after his involvement in a widely publicized incident at the Vatican",11
414,Paris,48.856614,2.3522219,GPE," «If you would be so kind,» Langdon said, doing his best to remain polite,» could you take the man’s name and number, and tell him I’ll try to call him before I leave Paris on Tuesday? Thank you",12
504,Pavilion,36.8310774,-76.2979604,FAC," «Ladies and gentlemen…» the hostess had announced to a full house at the American University of Paris’s Pavilion Dauphine,» Our guest tonight needs no introduction",13
773,Vatican,41.902916,12.453389,FAC,Langdon’s refusal to speak publicly about his unusual role in last year’s Vatican conclave certainly wins him points on our intrigue-o-meter,14
182,Harris tweed»,37.2707143,-76.70703449999999,GPE,"He knew what came next – some ridiculous line about» Harrison Ford in Harris tweed» – and because this evening he had figured it was finally safe again to wear his Harris tweed and Burberry turtleneck, he decided to take action",15
181,Harris tweed,37.2707143,-76.70703449999999,FAC,"He knew what came next – some ridiculous line about» Harrison Ford in Harris tweed» – and because this evening he had figured it was finally safe again to wear his Harris tweed and Burberry turtleneck, he decided to take action",16
821,Vatican City,41.902916,12.453389,GPE,"Twenty-four hours later, he had almost lost his life inside Vatican City",17
622,Rue La Bruyère,45.6559713,-73.7549902,FAC,".»  CHAPTER 2 One mile away, the hulking albino named Silas limped through the front gate of the luxurious brownstone residence on Rue La Bruyère",18
383,New York City,40.7127753,-74.0059728,GPE,"He was a visitor here this week, and yet for many years he had been blessed with a similar sanctuary in New York City",19
415,Paris,48.856614,2.3522219,GPE,The keystone is here in Paris,20
416,Paris,48.856614,2.3522219,GPE,.» «Paris? Incredible,21
417,Paris,48.856614,2.3522219,GPE,Each had told Silas the exact same thing – that the keystone was ingeniously hidden at a precise location inside one of Paris’s ancient churches – the Eglise de Saint-Sulpice,22
893,the Eglise de Saint-Sulpice,45.8267429,-73.35544569999999,FAC,Each had told Silas the exact same thing – that the keystone was ingeniously hidden at a precise location inside one of Paris’s ancient churches – the Eglise de Saint-Sulpice,23
418,Paris,48.856614,2.3522219,GPE," « Le capitainewas pleased to discover you were still in Paris tonight,» the agent said, speaking for the first time since they’d left the hotel",24
1016,»,,,GPE," «I assume,» Langdon said,» that the American University of Paris told you where I was staying?» The driver shook his head",25
109,Europe,54.5259614,15.2551187,LOC,"On any given night, all across Europe, Interpol officials could pinpoint exactly who was sleeping where",26
894,the Eiffel Tower,48.85837009999999,2.2944813,FAC," As the Citroën accelerated southward across the city, the illuminated profile of the Eiffel Tower appeared, shooting skyward in the distance to the right",27
762,The Eiffel Tower,48.85837009999999,2.2944813,FAC,"The Eiffel Tower, Langdon suspected, would have made their list",28
583,Rome,41.9027835,12.4963655,GPE,"Sadly, he last kissed Vittoria in a noisy airport in Rome more than a year ago",29
895,the Eiffel Tower,48.85837009999999,2.2944813,FAC,"«I beg your pardon?»«She is lovely, no?» The agent motioned through the windshield toward the Eiffel Tower",30
132,France,46.227638,2.213749,GPE,.» «She is the symbol of France,31
133,France,46.227638,2.213749,GPE,"Symbologists often remarked that France – a country renowned for machismo, womanizing, and diminutive insecure leaders like Napoleon and Pepin the Short – could not have chosen a more apt national emblem than a thousand-foot phallus",32
626,Rue de Rivoli,45.4862984,-73.448331,FAC," When they reached the intersection at Rue de Rivoli, the traffic light was red, but the Citroen didn’t slow",33
767,Tuileries Gardens,48.8634916,2.3274943,LOC,"The agent gunned the sedan across the junction and sped onto a wooded section of Rue Castiglione, which served as the northern entrance to the famed Tuileries Gardens – Paris’s own version of Central Park",34
419,Paris,48.856614,2.3522219,GPE,"The agent gunned the sedan across the junction and sped onto a wooded section of Rue Castiglione, which served as the northern entrance to the famed Tuileries Gardens – Paris’s own version of Central Park",35
51,Central Park,37.6939465,-97.2946673,LOC,"The agent gunned the sedan across the junction and sped onto a wooded section of Rue Castiglione, which served as the northern entrance to the famed Tuileries Gardens – Paris’s own version of Central Park",36
206,Jardins des Tuileries,48.8634916,2.3274943,FAC,"Most tourists mistranslated Jardins des Tuileries as relating to the thousands of tulips that bloomed here, butTuilerieswas actually a literal reference to something far less romantic",37
996,the Tuileries Gardens,48.8634916,2.3274943,LOC,"Langdon could now see the end of the Tuileries Gardens, marked by a giant stone archway",38
881,the Arc du Carrousel,48.86171299999999,2.3328946,FAC," Despite the orgiastic rituals once held at the Arc du Carrousel, art aficionados revered this place for another reason entirely",39
658,Seine,48.6382687,2.4489006,LOC," Out the right-hand window, south across the Seine and Quai Voltaire, Langdon could see the dramatically lit facade of the old train station – now the esteemed Musée d’Orsay",40
507,Pompidou Center,48.860642,2.352245,FAC,"Glancing left, he could make out the top of the ultramodern Pompidou Center, which housed the Museum of Modern Art",41
577,Renaissance palace,25.6907729,-80.3766393,FAC," But it was straight ahead, to the east, through the archway, that Langdon could now see the monolithic Renaissance palace that had become the most famous art museum in the world",42
375,Musée du Louvre,48.8606111,2.337644,FAC, Musée du Louvre,43
420,Paris,48.856614,2.3522219,GPE,"Across a staggeringly expansive plaza, the imposing facade of the Louvre rose like a citadel against the Paris sky",44
308,Louvre,48.8606111,2.337644,FAC,"Shaped like an enormous horseshoe, the Louvre was the longest building in Europe, stretching farther than three Eiffel Towers laid end to end",45
110,Europe,54.5259614,15.2551187,LOC,"Shaped like an enormous horseshoe, the Louvre was the longest building in Europe, stretching farther than three Eiffel Towers laid end to end",46
309,Louvre,48.8606111,2.337644,LOC,"Langdon had once walked the Louvre’s entire perimeter, an astonishing three-mile journey",47
310,Louvre,48.8606111,2.337644,FAC,"The Louvre’s main entrance was visible now, rising boldly in the distance, encircled by seven triangular pools from which spouted illuminated fountains",48
967,the Paris Louvre,48.8606111,2.337644,FAC, The new entrance to the Paris Louvre had become almost as famous as the museum itself,49
421,Paris,48.856614,2.3522219,GPE,".» Singlehandedly responsible for filling Paris with Egyptian obelisks, art, and artifacts",50
685,Sphinx,35.4668786,-97.513937,FAC, François Mitterrand had an affinity for Egyptian culture that was so all-consuming that the French still referred to him as the Sphinx,51
686,Sphinx,35.4668786,-97.513937,FAC,"Now he was standing in front of a transparent pyramid built by the Sphinx, waiting for a policeman they called the Bull",52
1017,»,,,GPE," «I am Bezu Fache,» he announced as Langdon pushed through the revolving door",53
311,Louvre,48.8606111,2.337644,LOC,"Fache’s presence was anything but welcoming, and the Louvre itself had an almost sepulchral aura at this hour",54
422,Paris,48.856614,2.3522219,GPE,«A scar on the face of Paris,55
312,Louvre,48.8606111,2.337644,FAC,"Built fifty-seven feet beneath ground level, the Louvre’s newly constructed 70, 000-square-foot lobby spread out like an endless grotto",56
313,Louvre,48.8606111,2.337644,FAC,"Constructed in warm ocher marble to be compatible with the honey-colored stone of the Louvre facade above, the subterranean hall was usually vibrant with sunlight and tourists",57
986,the Sully Wing,41.582037,-93.703891,FAC,All Louvre night wardens are in the Sully Wing being questioned,58
423,Paris,48.856614,2.3522219,GPE,She said the curator had heard I would be lecturing in Paris this month and wanted to discuss something with me while I was here,59
861,Wicca,36.119322,-95.9081195,GPE,"Not only did Saunière have a personal passion for relics relating to fertility, goddess cults, Wicca, and the sacred feminine, but during his twenty-year tenure as curator, Saunière had helped the Louvre amass the largest collection of goddess art on earth – labrys axes from the priestesses’ oldest Greek shrine in Delphi, gold caducei wands, hundreds of Tjetankhs resembling small standing angels, sistrum rattles used in ancient Egypt to dispel evil spirits, and an astonishing array of statues depicting Horus being nursed by the goddess Isis",60
314,Louvre,48.8606111,2.337644,FAC,"Not only did Saunière have a personal passion for relics relating to fertility, goddess cults, Wicca, and the sacred feminine, but during his twenty-year tenure as curator, Saunière had helped the Louvre amass the largest collection of goddess art on earth – labrys axes from the priestesses’ oldest Greek shrine in Delphi, gold caducei wands, hundreds of Tjetankhs resembling small standing angels, sistrum rattles used in ancient Egypt to dispel evil spirits, and an astonishing array of statues depicting Horus being nursed by the goddess Isis",61
764,Tjetankhs,,,GPE,"Not only did Saunière have a personal passion for relics relating to fertility, goddess cults, Wicca, and the sacred feminine, but during his twenty-year tenure as curator, Saunière had helped the Louvre amass the largest collection of goddess art on earth – labrys axes from the priestesses’ oldest Greek shrine in Delphi, gold caducei wands, hundreds of Tjetankhs resembling small standing angels, sistrum rattles used in ancient Egypt to dispel evil spirits, and an astonishing array of statues depicting Horus being nursed by the goddess Isis",62
89,Egypt,26.820553,30.802498,GPE,"Not only did Saunière have a personal passion for relics relating to fertility, goddess cults, Wicca, and the sacred feminine, but during his twenty-year tenure as curator, Saunière had helped the Louvre amass the largest collection of goddess art on earth – labrys axes from the priestesses’ oldest Greek shrine in Delphi, gold caducei wands, hundreds of Tjetankhs resembling small standing angels, sistrum rattles used in ancient Egypt to dispel evil spirits, and an astonishing array of statues depicting Horus being nursed by the goddess Isis",63
134,France,46.227638,2.213749,GPE,"Then again, this was France; Christianity was not a religion here so much as a birthright",64
315,Louvre,48.8606111,2.337644,FAC," Usually impeccably illuminated, the Louvre galleries were startlingly dark tonight",65
316,Louvre,48.8606111,2.337644,FAC,"With acres of galleries to watch over, the Louvre would require several hundred technicians simply to monitor the feeds",66
317,Louvre,48.8606111,2.337644,FAC,Thirty yards ahead loomed the gateway to the Louvre’s most popular section –la Grande Galerie– a seemingly endless corridor that housed the Louvre’s most valuable Italian masterpieces,67
318,Louvre,48.8606111,2.337644,FAC,Thirty yards ahead loomed the gateway to the Louvre’s most popular section –la Grande Galerie– a seemingly endless corridor that housed the Louvre’s most valuable Italian masterpieces,68
901,the Grand Gallery,45.5227482,-122.6553259,FAC,"Arriving outside, Langdon peered through the bars into the dimly lit caverns of the Grand Gallery",69
319,Louvre,48.8606111,2.337644,GPE," «This area is still off limits to Louvre security,» Fache said",70
374,Murray Hill Place,40.7478792,-73.9756567,FAC,  CHAPTER 5 Murray Hill Place – the new Opus Dei World Headquarters and conference center – is located at 243 Lexington Avenue in New York City,71
244,Lexington Avenue,40.773008,-73.96032,FAC,  CHAPTER 5 Murray Hill Place – the new Opus Dei World Headquarters and conference center – is located at 243 Lexington Avenue in New York City,72
384,New York City,40.7127753,-74.0059728,GPE,  CHAPTER 5 Murray Hill Place – the new Opus Dei World Headquarters and conference center – is located at 243 Lexington Avenue in New York City,73
874,red brick,32.891298,-97.147491,FAC,"With a price tag of just over $47 million, the 133, 000- square-foot tower is clad in red brick and Indiana limestone",74
195,Indiana,40.2671941,-86.1349019,GPE,"With a price tag of just over $47 million, the 133, 000- square-foot tower is clad in red brick and Indiana limestone",75
245,Lexington Avenue,40.773008,-73.96032,FAC,Men enter the building through the main doors on Lexington Avenue,76
584,Rome,41.9027835,12.4963655,GPE," Now, sitting aboard a commercial airliner bound for Rome, Aringarosa gazed out the window at the dark Atlantic",77
11,Atlantic,39.5333379,-74.6868815,LOC," Now, sitting aboard a commercial airliner bound for Rome, Aringarosa gazed out the window at the dark Atlantic",78
