,lugares,LAT_google,LON_google,labels,Quotes,Position
85,Santiago,-33.4488897,-70.6692655,GPE,PART ONE The boy's name was Santiago,0
14,Andalusia,37.5442706,-4.7277528,GPE,"The girl was typical of the region of Andalusia, with flowing black hair, and eyes that vaguely recalled the Moorish conquerors",1
15,Andalusia,37.5442706,-4.7277528,GPE,"As long as the boy knew how to find the best pastures in Andalusia, they would be his friends",2
87,Spain,40.46366700000001,-3.74922,GPE,It was the time of day when all of Spain slept during the summer,3
98,Tarifa,36.0143209,-5.6044497,GPE,"Looking at the sun, he calculated that he would reach Tarifa before midday",4
99,Tarifa,36.0143209,-5.6044497,GPE,"He had suddenly remembered that, in Tarifa, there was an old woman who interpreted dreams",5
24,Egypt,26.820553,30.802498,GPE,“And this is my interpretation: you must go to the Pyramids in Egypt,6
25,Egypt,26.820553,30.802498,GPE,".” “Well, how am I going to get to Egypt?” “I only interpret dreams",7
26,Egypt,26.820553,30.802498,GPE,.” “And what if I never get to Egypt?” “Then I don't get paid,8
0,Africa,-8.783195,34.508523,LOC,Africa was only a few hours from Tarifa; one had only to cross the narrow straits by boat,9
100,Tarifa,36.0143209,-5.6044497,GPE,Africa was only a few hours from Tarifa; one had only to cross the narrow straits by boat,10
74,Salem,42.51954,-70.8967155,GPE,".” “Well then, we could say that I was born in Salem",11
75,Salem,42.51954,-70.8967155,GPE,".” The boy didn't know where Salem was, but he didn't want to ask, fearing that he would appear ignorant",12
76,Salem,42.51954,-70.8967155,GPE,"“So, what is Salem like?” he asked, trying to get some sort of clue",13
77,Salem,42.51954,-70.8967155,GPE,But he knew that Salem wasn't in Andalusia,14
16,Andalusia,37.5442706,-4.7277528,GPE,But he knew that Salem wasn't in Andalusia,15
78,Salem,42.51954,-70.8967155,GPE,“And what do you do in Salem?” he insisted,16
79,Salem,42.51954,-70.8967155,GPE,“What do I do in Salem?” The old man laughed,17
80,Salem,42.51954,-70.8967155,GPE,"“Well, I'm the king of Salem!” People say strange things, the boy thought",18
81,Salem,42.51954,-70.8967155,GPE,"* “I'm the king of Salem,” the old man had said",19
107,earth,37.2321077,-95.7243335,LOC,It's your mission on earth,20
1,Africa,-8.783195,34.508523,LOC,"When he's an old man, he's going to spend a month in Africa",21
2,Africa,-8.783195,34.508523,LOC,"There was a small building there, with a window at which people bought tickets to Africa",22
27,Egypt,26.820553,30.802498,GPE,And he knew that Egypt was in Africa,23
3,Africa,-8.783195,34.508523,LOC,And he knew that Egypt was in Africa,24
17,Andalusia,37.5442706,-4.7277528,GPE,He knew all the fields and pastures of Andalusia,25
4,Africa,-8.783195,34.508523,LOC,"From there, he could see Africa in the distance",26
62,Moors,36.918332,-88.219528,LOC,"Someone had once told him that it was from there that the Moors had come, to occupy all of Spain",27
88,Spain,40.46366700000001,-3.74922,GPE,"Someone had once told him that it was from there that the Moors had come, to occupy all of Spain",28
47,Levant,34.0757336,37.9784585,GPE,"He knew that wind: people called it the levanter, because on it the Moors had come from the Levant at the eastern end of the Mediterranean",29
61,Mediterranean,34.5531284,18.0480105,LOC,"He knew that wind: people called it the levanter, because on it the Moors had come from the Levant at the eastern end of the Mediterranean",30
18,Andalusia,37.5442706,-4.7277528,GPE,"The sheep, the merchant's daughter, and the fields of Andalusia were only steps along the way to his destiny",31
28,Egypt,26.820553,30.802498,GPE,"“It's in Egypt, near the Pyramids",32
65,Pyramids,36.8017443,-95.1432997,LOC,"“It's in Egypt, near the Pyramids",33
101,Tarifa,36.0143209,-5.6044497,GPE,"* At the highest point in Tarifa there is an old fort, built by the Moors",34
5,Africa,-8.783195,34.508523,LOC,"From atop its walls, one can catch a glimpse of Africa",35
82,Salem,42.51954,-70.8967155,GPE,"Melchizedek, the king of Salem, sat on the wall of the fort that afternoon, and felt the levanter blowing in his face",36
83,Salem,42.51954,-70.8967155,GPE,But the king of Salem hoped desperately that the boy would be successful,37
84,Salem,42.51954,-70.8967155,GPE,"Then when he spoke about me he would say that I am Melchizedek, the king of Salem",38
6,Africa,-8.783195,34.508523,LOC,".” * How strange Africa is, thought the boy",39
94,Tangier,35.7594651,-5.833954299999999,GPE,He was sitting in a bar very much like the other bars he had seen along the narrow streets of Tangier,40
