,lugares,LAT_google,LON_google,labels,Quotes,Position
45,Italy,41.87194,12.56738,GPE,"In her travels, she discovers the true pleasure of nourishment by eating in Italy; the power of prayer in India, and, finally and unexpectedly, the inner peace and balance of true love in Bali",0
37,India,20.593684,78.96288,GPE,"In her travels, she discovers the true pleasure of nourishment by eating in Italy; the power of prayer in India, and, finally and unexpectedly, the inner peace and balance of true love in Bali",1
8,Bali,-8.3405389,115.0919509,GPE,"In her travels, she discovers the true pleasure of nourishment by eating in Italy; the power of prayer in India, and, finally and unexpectedly, the inner peace and balance of true love in Bali",2
61,Philadelphia,39.9525839,-75.1652215,GPE," EAT PRAY LOVE l have a friend, Deborah, a psychologist…   …who was asked by the city of Philadelphia…   …if she could offer psychological counseling to Cambodian refugees…   …boat people, who had recently arrived in the city",3
74,West,37.0364989,-95.6705987,LOC,"These Cambodians…   …had suffered genocide, starvation, relatives murdered before their eyes…   …years in refugee camps, harrowing boat trips to the West",4
9,Bali,-8.3405389,115.0919509,GPE,I’m writing a magazine article on Bali,5
10,Bali,-8.3405389,115.0919509,GPE,  And you will come back to Bali…   …and live here for three or four months and teach me English,6
5,Aruba,12.52111,-69.968338,GPE,"  So my trip to Aruba next week, which is just a basic, you know…   …“where to sleep, swim and stuff your face” piece…",7
36,Greenland,71.706936,-42.604303,GPE,i wanted to slip quietly out the back door…   …and not stop running until i reached Greenland,8
6,Aruba,12.52111,-69.968338,GPE,  I don’t wanna go to Aruba,9
46,Italy,41.87194,12.56738,GPE,  Maybe I could write about a woman who goes to Italy to learn ltalian,10
38,India,20.593684,78.96288,GPE,  She has an ashram in India,11
75,Yonkers,40.9312099,-73.89874689999999,GPE,A yogi from Yonkers,12
78,quitter,38.9664664,-76.4841345,GPE,"Goes something like this:   Are you kidding?   Quitter, quitter, quitter!   How about i take the blame? I am the one who couldn’t deal…   …with another weekend roaming some box-shaped superstore…   …buying appliances on credit…   …and pretending to be a couple that neither one of us ever knew how to be",13
47,Italy,41.87194,12.56738,GPE,  -l am going to Italy,14
48,Italy,41.87194,12.56738,GPE,  I’m going to Italy and then l’m going to David’s guru’s ashram in lndia…   …and l’m going to end the year in Bali,15
76,lndia,20.593684,78.96288,GPE,  I’m going to Italy and then l’m going to David’s guru’s ashram in lndia…   …and l’m going to end the year in Bali,16
11,Bali,-8.3405389,115.0919509,GPE,  I’m going to Italy and then l’m going to David’s guru’s ashram in lndia…   …and l’m going to end the year in Bali,17
34,Florence,43.7695604,11.2558136,GPE,  Andy and i were talking about getting a little villa in Florence for a month,18
62,Rome,41.9027835,12.4963655,GPE,I’ve been in Rome for three weeks…   …all l’ve done is learn a few ltalian words and eat,19
79,saltimbocca,40.04524300000001,-74.09052419999999,GPE,  Then tripe alla romana…   …and saltimbocca,20
35,Genzano,41.7088828,12.6865837,GPE,  And two more liters of the vino sfuso from Genzano,21
63,Rome,41.9027835,12.4963655,GPE,  Maybe you and Rome just have different words,22
50,London,51.5073509,-0.1277583,GPE,"  Like, what is the word for London?   -l would say “stuffy",23
70,Stockholm,59.32932349999999,18.0685808,GPE,  -What’s the word for Stockholm? -Are you kidding? “Conform,24
54,New York,40.7127753,-74.0059728,GPE,.”   And New York?   “Ambition” or “soot,25
64,Rome,41.9027835,12.4963655,GPE,.”   What’s the word for Rome?   It’s kind of difficult to think about,26
51,Naples,26.1420358,-81.7948103,GPE,Let’s go to Naples,27
52,Naples,26.1420358,-81.7948103,GPE,".”   Listen, lady, I am only 7, but l can tell you’re a complete moron…   …because I am from Naples",28
53,Napoli,37.4195466,-94.70541469999999,GPE,"  What do you mean, you can’t? This is pizza in Napoli",29
65,Rome,41.9027835,12.4963655,GPE,"  The great Augustus, Rome’s first true great emperor…   …how could he have imagined that Rome…   …the whole world, as far as he was concerned, would be in ruins?   During the Dark Ages, someone came in here and stole the emperor’s ashes",30
66,Rome,41.9027835,12.4963655,GPE,"  The great Augustus, Rome’s first true great emperor…   …how could he have imagined that Rome…   …the whole world, as far as he was concerned, would be in ruins?   During the Dark Ages, someone came in here and stole the emperor’s ashes",31
67,Rome,41.9027835,12.4963655,GPE,  It’s one of the quietest and loneliest places in Rome,32
39,India,20.593684,78.96288,GPE,  And where are you going? lran?   India,33
82,turkey,38.963745,35.243322,GPE,  Luca?   What time will the turkey be ready?   The turkey…,34
83,turkey,38.963745,35.243322,GPE,  Luca?   What time will the turkey be ready?   The turkey…,35
81,the Holy Virgin,39.9271347,-75.19252709999999,LOC,"  I thank God and the Holy Virgin…   …for this very, very special day",36
55,New York,40.7127753,-74.0059728,GPE,"-l know, but is she “here” here?   She’s at her ashram in New York",37
56,New York,40.7127753,-74.0059728,GPE,  But i came from New York to see her here,38
40,India,20.593684,78.96288,GPE,  No one in my family understands my coming all the way to India,39
71,Texas,31.9685988,-99.9018131,GPE,"-Liz, have you met…   -…Richard from Texas? -Hello, Richard from Texas",40
72,Texas,31.9685988,-99.9018131,GPE,"-Liz, have you met…   -…Richard from Texas? -Hello, Richard from Texas",41
68,Rome,41.9027835,12.4963655,GPE,.”  I— I just spent some time in Rome and i came here feeling so great,42
32,Chicago,41.8781136,-87.6297982,GPE,"  What am i going to do when this year is over?   Where am I going to live?   Well, maybe Chicago",43
33,Delhi,28.7040592,77.10249019999999,GPE,  He studies computer programming in Delhi,44
73,Texas,31.9685988,-99.9018131,GPE,"  Go back to Texas, Richard",45
41,India,20.593684,78.96288,GPE,  So the holy truth of the whole adventure here in India is in one line:   God dwells within you as you,46
31,California,36.778261,-119.4179324,GPE,"  -You girl from California? -No, I girl from New York",47
57,New York,40.7127753,-74.0059728,GPE,"  -You girl from California? -No, I girl from New York",48
12,Bali,-8.3405389,115.0919509,GPE,"  Well, you told me I should come back here to Bali",49
58,New York,40.7127753,-74.0059728,GPE,-You sad girl from New York,50
69,Rome,41.9027835,12.4963655,GPE,"  But i was in Rome for four months, just feeding myself…   …and then I went to live at an ashram in lndia",51
77,lndia,20.593684,78.96288,GPE,"  But i was in Rome for four months, just feeding myself…   …and then I went to live at an ashram in lndia",52
13,Bali,-8.3405389,115.0919509,GPE,"  So, Liz, the Balinese believe that Bali’s the center of the universe",53
14,Bali,-8.3405389,115.0919509,GPE,  And here we are in the center of Bali,54
15,Bali,-8.3405389,115.0919509,GPE,"-People in Bali understand…   …in order to stay happy, must always know where you are…   …every moment",55
42,India,20.593684,78.96288,GPE,"  In morning, you do meditation from India",56
16,Bali,-8.3405389,115.0919509,GPE,"  In day, you enjoy Bali",57
17,Bali,-8.3405389,115.0919509,GPE,"  You sure? Not even once?   Okay, well, there was this one time…   …but i find when i tell people in Bali that I’m divorced, it upsets them",58
1,Armenia,40.069099,45.038189,GPE,  Armenia!   Armenia from Brazil,59
2,Armenia,40.069099,45.038189,GPE,  Armenia!   Armenia from Brazil,60
27,Brazil,-14.235004,-51.92528,GPE,  Armenia!   Armenia from Brazil,61
3,Armenia,40.069099,45.038189,GPE,"  Armenia, this is Liz from New York",62
59,New York,40.7127753,-74.0059728,GPE,"  Armenia, this is Liz from New York",63
80,the Beach Shack,42.8623673,-85.87464949999999,GPE,"  Put it on tonight, come to the Beach Shack",64
18,Bali,-8.3405389,115.0919509,GPE,Everyone has a little love affair in Bali,65
4,Armenia,40.069099,45.038189,GPE,  Armenia says everyone should have a love affair,66
19,Bali,-8.3405389,115.0919509,GPE,  This is Bali,67
20,Bali,-8.3405389,115.0919509,GPE,Everyone should have a love affair in Bali,68
21,Bali,-8.3405389,115.0919509,GPE,  -Food from Bali,69
28,Brazil,-14.235004,-51.92528,GPE,"  Did you always live in Brazil before you came to Bali?   No, no",70
22,Bali,-8.3405389,115.0919509,GPE,"  Did you always live in Brazil before you came to Bali?   No, no",71
7,Australia,-25.274398,133.775136,GPE,  Then i met my wife and i moved with her to Australia,72
29,Brazil,-14.235004,-51.92528,GPE,"  I’m sure it’s all normal in Brazil, but I didn’t grow up in Brazil",73
30,Brazil,-14.235004,-51.92528,GPE,"  I’m sure it’s all normal in Brazil, but I didn’t grow up in Brazil",74
44,Indonesia,-0.789275,113.921327,GPE,"  A cheaper, more lovely way to celebrate would be to…   …make a donation to help a healer named Wayan Nuriyasih…   …buy a house in Indonesia",75
23,Bali,-8.3405389,115.0919509,GPE,  This little group of people in Bali have become my family,76
49,Italy,41.87194,12.56738,GPE,"  When I was in Italy, I learned a word—   It’s “tutti” with double T",77
24,Bali,-8.3405389,115.0919509,GPE,"  I have to be in Bali because my business is here…   …and you have to be in New York…   …because that’s where your life is, right?   What if we tried to create a life that is divided between the two places?   Why would you wanna do that?   Because I’m in love with you",78
60,New York,40.7127753,-74.0059728,GPE,"  I have to be in Bali because my business is here…   …and you have to be in New York…   …because that’s where your life is, right?   What if we tried to create a life that is divided between the two places?   Why would you wanna do that?   Because I’m in love with you",79
25,Bali,-8.3405389,115.0919509,GPE,"  If it wasn’t for you, I wouldn’t have come back to Bali…   …and i wouldn’t have come back to myself",80
0,America,37.09024,-95.712891,GPE,  You fly back to America soon?   In two hours,81
26,Bali,-8.3405389,115.0919509,GPE,  When I die…   …you will come back to Bali? Come to my cremation?   Balinese cremation ceremony is very fun,82
