,lugares,LAT_google,LON_google,labels,Quotes,Position
384,Hudson Street,40.7408492,-74.0051347,FAC,"., 375 Hudson Street, New York, New York 10014",0
462,New York,40.7127753,-74.0059728,GPE,"., 375 Hudson Street, New York, New York 10014",1
463,New York,40.7127753,-74.0059728,GPE,"., 375 Hudson Street, New York, New York 10014",2
385,Hudson Street,40.7408492,-74.0051347,FAC,"., 375 Hudson Street, New York, New York 10014",3
464,New York,40.7127753,-74.0059728,GPE,"., 375 Hudson Street, New York, New York 10014",4
465,New York,40.7127753,-74.0059728,GPE,"., 375 Hudson Street, New York, New York 10014",5
496,ST,37.2245103,-95.7021189,GPE,"  Electronic edition: November, 2003  ALSO BY KEN FOLLETT THE MODIGLIANI SCANDAL PAPER MONEY EYE OF THE NEEDLE TRIPLE THE KEY TO REBECCA THE MAN FROM ST",6
484,PETERSBURG,37.2279279,-77.40192669999999,GPE,PETERSBURG ON WINGS OF EAGLES LIE DOWN WITH LIONS THE PILLARS OF THE EARTH NIGHT OVER WATER A DANGEROUS FORTUNE A PLACE CALLED FREEDOM THE THIRD TWIN THE HAMMER OF EDEN CODE TO ZERO JACKDAWS  Some of what follows really happened,7
623,Whitley,42.2940386,-85.589519,GPE,"“I was flying a Whitley,” Bart said",8
666,the North Sea,56.511018,3.515625,LOC,"We chucked out everything that wasn’t bolted down, to reduce our weight, but it was no good, and I realized we’d have to ditch in the North Sea",9
72,Ceylon,7.873053999999999,80.77179699999999,GPE,Where’s he from?” “Ceylon,10
314,Germany,51.165691,10.451526,GPE,"When we get to Germany, they’re ready for us",11
71,Caribbean,21.4691137,-78.6568942,LOC,How are you?” The newcomer’s accent was Caribbean overlaid with an Oxbridge drawl,12
296,Europe,54.5259614,15.2551187,LOC,"“The Nazis control Europe: Austria, Czechoslovakia, Holland, Belgium, France, Denmark, Norway",13
12,Austria,47.516231,14.550072,GPE,"“The Nazis control Europe: Austria, Czechoslovakia, Holland, Belgium, France, Denmark, Norway",14
160,Czechoslovakia,39.7784223,-84.1646244,GPE,"“The Nazis control Europe: Austria, Czechoslovakia, Holland, Belgium, France, Denmark, Norway",15
378,Holland,52.132633,5.291265999999999,GPE,"“The Nazis control Europe: Austria, Czechoslovakia, Holland, Belgium, France, Denmark, Norway",16
