,lugares,LAT_google,LON_google,labels,Quotes,Position
118,France,46.227638,2.213749,GPE,Ken Follett - Jackdaws Exactly fifty women were sent into France as secret agents by the Special Operations Executive during the Second World War,0
551,Sainte-C,25.6479292,-100.2897048,FAC,"THE FIRST DAY Sunday, May 28, 1944  CHAPTER I ONE MINUTE BEFORE the explosion, the square at Sainte-C,cile was at peace",1
619,Versailles,48.8048649,2.1203554,GPE,"A small version of Versailles, it had a grand projecting front entrance, and wings on both sides that turned right angles and tailed off rearwards",2
119,France,46.227638,2.213749,GPE,"Felicity, who was always called Flick, loved France",3
120,France,46.227638,2.213749,GPE,It angered her that the France she loved no longer existed,4
121,France,46.227638,2.213749,GPE,Her heart’s desire was that the real France would come back,5
403,New York,40.7127753,-74.0059728,GPE,"There were a hundred things she planned to do after the war: finish her doctorate, have a baby, see New York, own a sports car, drink champagne on the beach at Cannes",6
48,Cannes,43.552847,7.017369,GPE,"There were a hundred things she planned to do after the war: finish her doctorate, have a baby, see New York, own a sports car, drink champagne on the beach at Cannes",7
646,the Champagne district,39.7429773,-104.9701435,LOC,"The ornamental gardens had long ago been turned into vineyards, for this was wine country, the heart of the Champagne district",8
552,Sainte-C,25.6479292,-100.2897048,FAC,"The building now housed an important telephone exchange, sited here because the government minister responsible had been born in Sainte-C,cile",9
206,Germany,51.165691,10.451526,GPE,When the Germans came they enlarged the exchange to provide connections between the French system and the new cable route to Germany,10
111,Europe,54.5259614,15.2551187,LOC,"The heavy four-engined Lancasters and Flying Fortresses that roared high over Europe every night were inaccurate- they sometimes missed an entire city-but the latest generation of fighter-bombers, the Lightnings and Thunderbolts, could sneak in by day and hit a small target, a bridge or a railway station",11
11,Baker Street,35.4775936,-97.51853589999999,FAC,"Six months later she was a courier, carrying messages from SOE headquarters, at 64 Baker Street in London, to Resistance groups in occupied France, in the days when wireless sets were scarce and trained operators even fewer",12
332,London,51.5073509,-0.1277583,GPE,"Six months later she was a courier, carrying messages from SOE headquarters, at 64 Baker Street in London, to Resistance groups in occupied France, in the days when wireless sets were scarce and trained operators even fewer",13
122,France,46.227638,2.213749,GPE,"Six months later she was a courier, carrying messages from SOE headquarters, at 64 Baker Street in London, to Resistance groups in occupied France, in the days when wireless sets were scarce and trained operators even fewer",14
207,Germany,51.165691,10.451526,GPE,"The other six had been captured, interrogated, and tortured, and had then disappeared into prison camps in Germany",15
487,Reims,49.258329,4.031696,GPE,"Beside her sat her husband, Michel, leader of the Resistance circuit codenamed Bollinger, which was based in the cathedral city of Reims, ten miles from here",16
488,Reims,49.258329,4.031696,GPE,"He lived in Reims, and neither he nor any of his group was familiar with Sainte-Cdcile",17
581,Sainte-Cdcile,46.388197,4.6191829,FAC,"He lived in Reims, and neither he nor any of his group was familiar with Sainte-Cdcile",18
123,France,46.227638,2.213749,GPE,"She was a pale blonde with light green eyes, and she probably had German blood-it was not unusual here in the northeast of France, so close to the border",19
82,Cologne,50.937531,6.9602786,GPE,"He had a wife and two pretty children in Cologne, and he shared his Paris apartment with St,phame, but that would not stop him making a play for another girl",20
