,lugares,labels,Quotes,order
0,New York,GPE,"Also by Dan Brown 
Digital FortressA N G E L S 
&D E M O N SD A NB R O W N POCKET BOOKS
New York London Toronto Sydney Singapore
h 
T is book is a work of fiction",0
1,Avenue,FAC,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",1
2,Americas,LOC,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",2
3,New York,GPE,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",3
4,NY,GPE,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",4
5,1230 Avenue,FAC,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",5
6,Americas,LOC,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",6
7,New York,GPE,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",7
8,NY,GPE,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",8
9,Blythe,GPE, For Blythe ,9
10,Vatican City,GPE,"To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",10
11,Rome,GPE,"To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",11
12,Rome,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",12
13,Exeter,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",13
14,New Hampshire,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",14
15,the Vatican Observatory,FAC,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",15
