,lugares,labels,Quotes,order,Position,LAT_google,LON_google,LON_geopy,LAT_geopy,address,,,,
0,New York,GPE,"Also by Dan Brown 
Digital FortressA N G E L S 
&D E M O N SD A NB R O W N POCKET BOOKS
New York London Toronto Sydney Singapore
h 
T is book is a work of fiction",0,0,40.7127753,-74.0059728,144.2489081,-5.6816069,Papua Niugini,,,,
4,Avenue,FAC,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",1,1,40.7494396,-74.0033144,15.14056904,40.9965446,"Avellino, Campania, Italia",,,,
5,Americas,LOC,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",2,2,54.5259614,-105.2551187,-73.1349655,-13.6154418,"Americas, Pacobamba, Andahuaylas, Apurímac, Perú",,,,
1,New York,GPE,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",3,0,40.7127753,-74.0059728,144.2489081,-5.6816069,Papua Niugini,,,,
7,NY,GPE,"1230 Avenue of the Americas, New York, NY 10020
Visit us on the World Wide Web:
<http://www",4,4,40.7127753,-74.0059728,-86.23822026,41.70456775,"University of Notre Dame du Lac, Brother Andre Drive, Notre Dame, Saint Joseph County, Indiana, 46556, United States",,,,
9,1230 Avenue,FAC,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",5,5,40.6063989,-73.9606407,13.2,55.65,"Staffanstorps kommun, Skåne län, Sverige",,,,
6,Americas,LOC,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",6,2,54.5259614,-105.2551187,-73.1349655,-13.6154418,"Americas, Pacobamba, Andahuaylas, Apurímac, Perú",,,,
2,New York,GPE,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",7,0,40.7127753,-74.0059728,144.2489081,-5.6816069,Papua Niugini,,,,
8,NY,GPE,"For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020
ISBN: 0-7434-1239-7
POCKET and colophon are registered trademarks of Simon & Schuster Inc",8,4,40.7127753,-74.0059728,-86.23822026,41.70456775,"University of Notre Dame du Lac, Brother Andre Drive, Notre Dame, Saint Joseph County, Indiana, 46556, United States",,,,
10,Blythe,GPE, For Blythe ,9,9,33.6177725,-114.5882607,-114.5937537,33.6134767,"Blythe, Riverside County, California, 92226, United States",,,,
