,lugares_x,labels,Quotes,lugares_y,LAT,LON,lugares,LON_2,LAT_2,address
0,New York,GPE,,New York,,,1230 Avenue,13.2,55.65,"Staffanstorps kommun, Skåne län, Sverige"
1,Avenue,FAC,". 1230 Avenue of the Americas, New York, NY 10020  
 
 
 
 
 
Visit us on the World Wide Web:  
 
<http://www",Avenue,,,Abru,-0.05838414687109003,51.5151362,"Abru, Nelson Street, Dorian Estate, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 2DL, United Kingdom"
2,Americas,LOC,". 1230 Avenue of the Americas, New York, NY 10020  
 
 
 
 
 
Visit us on the World Wide Web:  
 
<http://www",Americas,,,Aegean,25.527275812289748,37.67171605,"Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
4,NY,GPE,,NY,,,America,5.9799001,51.4371483,"America, Horst aan de Maas, Limburg, Nederland"
5,1230 Avenue,FAC,". For inf rmation address Pocket Books, 1230 Avenue of the Americas, New York, NY 10020  
 
 
 
ISBN: 0-7434-1239-7  
 
 
 
POCKET and colophon are registered trademarks of Simon & Schuster Inc",1230 Avenue,40.598347,-73.959037,Americas,-73.1349655,-13.6154418,"Americas, Pacobamba, Andahuaylas, Apurímac, Perú"
9,Blythe,GPE,,Blythe,,,Barcelona,2.1774322,41.3828939,"Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España"
10,Vatican City,GPE,". To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",Vatican City,,,Bavaria,11.4038717,48.9467562,"Bayern, Deutschland"
11,Rome,GPE,,Rome,,,Bern,7.4514512,46.9482713,"Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
13,Exeter,GPE,". Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",Exeter,,,Borneo,114.74059919809318,1.42965855,"Borneo, Indonesia"
14,New Hampshire,GPE,". Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",New Hampshire,,,Boston,-71.0582912,42.3602534,"Boston, Suffolk County, Massachusetts, United States"
15,the Vatican Observatory,FAC,,the Vatican Observatory,,,Boston Harbor,-70.9661596,42.3417649,"Boston Harbor, Boston, Suffolk County, Massachusetts, 02152, United States"
16,Switzerland,GPE,,Switzerland,,,Camb,-1.0713154,60.6128895,"Camb, Yell, Scotland, ZE2 9DA, United Kingdom"
17,New York City,GPE,,New York City,,,Cambridge,0.1235817,52.2034823,"Cambridge, Cambridgeshire, East of England, England, United Kingdom"
18,Hiroshima,GPE,,Hiroshima,,,Camerlegno Ventresca,,,
20,Tulsa,GPE,,Tulsa,,,Central Park,-73.9653627406542,40.7827725,"Central Park, New York County, New York, United States"
21,Massachusetts,GPE,,Massachusetts,,,Chicago,-87.6244212,41.8755616,"Chicago, Cook County, Illinois, United States"
22,Ghana,GPE,". His shelves were packed with religious artifacts from around the world-an   ekuaba  from Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven   boccus  from Borneo, a young warrior’s symbol of perpetual youth",Ghana,,,Christendom,-7.098451808608115,52.25953025,"Christendom, Ferrybank, Waterford, County Waterford, Munster, Éire / Ireland"
23,Spain,GPE,". His shelves were packed with religious artifacts from around the world-an   ekuaba  from Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven   boccus  from Borneo, a young warrior’s symbol of perpetual youth",Spain,,,Crossing the plaza,-87.74094395863304,41.79929745,"The Crossing Plaza, Chicago, Lake Township, Cook County, Illinois, United States"
