,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,Antica Biblioteca Valle,,+39 06 6813 6830,12.4751553,41.8969569,3.7,54,"[]Author: Claire Wood; Rating: 5; When: 3 years ago 
 Nice aperitivo, we were a big group and they closed off an area for us.  The staff were very kind and helpful.
 NEXT 
 
Author: Donald Barnard; Rating: 2; When: 2 years ago 
 Visited this restaurant at the recommendation of a tour guide in 2013, and the experience was unsatisfactory. The prices were high for the small amount and quality of food presented, the value of their introduction to olive oils was minimal; the waitress was rude, arrogant and combative. s. Our guide was ultimately able to extract a partial refund for us after a herculean battle with the apparently reborn spirit of the goddess Discordia. Several other diners in our group voiced the same concerns and complaints but our valiant guide had been gravely wounded from the battle on our behalf and in this weakened state was unable to prevail. We are visiting Rome again soon but will avoid Valle.
 NEXT 
 
Author: Edel Dominguez; Rating: 1; When: 3 years ago 
 My husband and I had dinner here on our 2nd night in Rome as we were staying right next door in Di Rienzo Pantheon Palace and the service was fine. On our 4th day we decided to have lunch and I requested for a sprite with ice as it was scorching hot in italy. I received the sprite but no ice. I kindly asked for it again, only to have the older lady with short curly hair to place the can of sprite on my hand and rudely told me 'see its cold' and walked off. My husband called over another waitress to request it again, to his dismay found the older waitress complaining aloud about our request. This is such a  disgusting display of customer service that we got up, paid for the drinks and left. We did complain to the manager who told us that the waitress was crazy.
 NEXT 
 
Author: Giovanni Borromeo; Rating: 2; When: 4 years ago 
 Unfortunately we are not there ...
The restaurant would like and perhaps could offer a lot but also because of the point where it is found that, even if very central it does not have an adequate tourist passage to be tried, it cannot give an adequate service. Big but always with a few tables occupied and this in my opinion affects the freshness and quality of the ingredients used. Friendly staff but all foreign decent dishes but nothing more prices even too low, in short I would not recommend it
 NEXT 
 
Author: Corrado Iannucci; Rating: 3; When: 4 years ago 
 Well. In the center of Rome, a place where you can have decent lunch without spending a fortune. Buffet lunch is very convenient. They are also open in the evening but I went there only for lunch.
 NEXT 
 
"
1,Gregory's Jazz club,http://www.gregorysjazz.com/,+39 351 645 7888,12.4852521,41.9043559,4.3,670,"[]Author: James; Rating: 5; When: 6 months ago 
 I'm sat here at my home in the UK under current COVID restrictions remembering a fantastic evening spent at Gregory's, it's what memories are made of. One of the best experiences of my life. You have won my heart. Thank you x
 NEXT 
 
Author: James Godbold; Rating: 5; When: a year ago 
 Really nice intimate venue. Friendly staff and some class acts. Seats are 'compact' so if you're big/tall perhaps request a table or the front row. You must book, otherwise you won't get in. We paid €20 each and this includes a cocktail. The cocktails are really well made. Expect to pay around €11 for a drink.
 NEXT 
 
Author: Magdalena Kossewska; Rating: 5; When: a year ago 
 Best espresso martinis I’ve ever had!! Great place, great service!
 NEXT 
 
Author: Karina Marin; Rating: 3; When: a year ago 
 Quite pricey for what they offer
 NEXT 
 
Author: Karl David; Rating: 5; When: a year ago 
 Great place for some chill jazz music on a Wednesday night. The club is also an outstanding cocktail bar in its own right. Reasonable prices and would go again.
 NEXT 
 
"
2,Alexanderplatz Jazz Club,http://www.alexanderplatzjazz.com/,+39 06 8377 5604,12.453644,41.909107,4.3,312,"[]Author: Divan Hattingh; Rating: 5; When: 5 months ago 
 Beautiful place full of History. Good food great Jazz. (Making a booking is absolutely necessary)
 NEXT 
 
Author: Levent Parman; Rating: 4; When: 8 months ago 
 Jazz is a music genre that originated in the African-American communities of New Orleans, United States, in the late 19th and early 20th centuries, with its roots in blues and ragtime. Since the 1920s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music, linked by the common bonds of African-American and European-American musical parentage. Jazz is characterized by swing and blue notes, call and response vocals, polyrhythms and improvisation. Jazz has roots in West African cultural and musical expression, and in African-American music traditions.As jazz spread around the world, it drew on national, regional, and local musical cultures, which gave rise to different styles. New Orleans jazz began in the early 1910s, combining earlier brass-band marches, French quadrilles, biguine, ragtime and blues with collective polyphonic improvisation.
In the 1930s, heavily arranged dance-oriented swing big bands, Kansas City jazz, a hard-swinging, bluesy, improvisational style and Gypsy jazz (a style that emphasized musette waltzes) were the prominent styles. Bebop emerged in the 1940s, shifting jazz from danceable popular music toward a more challenging ""musician's music"" which was played at faster tempos and used more chord-based improvisation. Cool jazz developed near the end of the 1940s, introducing calmer, smoother sounds and long, linear melodic lines.
The mid-1950s saw the emergence of hard bop, which introduced influences from rhythm and blues, gospel, and blues, especially in the saxophone and piano playing. Modal jazz developed in the late 1950s, using the mode, or musical scale, as the basis of musical structure and improvisation, as did free jazz, which explored playing without regular meter, beat and formal structures. Jazz-rock fusion appeared in the late 1960s and early 1970s, combining jazz improvisation with rock music's rhythms, electric instruments, and highly amplified stage sound. In the early 1980s, a commercial form of jazz fusion called smooth jazz became successful, garnering significant radio airplay. Other styles and genres abound in the 2000s, such as Latin and Afro-Cuban jazz.
 NEXT 
 
Author: Cary Ota; Rating: 4; When: a year ago 
 Good music, but be ready to pay for the rest.
 NEXT 
 
Author: Paul Painter; Rating: 1; When: a year ago 
 Jazz Club with no Jazz.  We came here tonight and paid €20 entrance each expecting a night of jazz and dinner.  Instead we got some kind of jazz performers talking on a microphone all night assumably about jazz.....but no jazz. We don't speak Italian....but that wasn't the point.  We had dinner that was very average....very salty and nothing special.  So we spent €114 for.... nothing.  If you are a jazz club and you are not going to play any music please warn people before they come!!
 NEXT 
 
Author: Giorgio Bruschini; Rating: 5; When: a year ago 
 If you are searching for some live jazz music, this is one of the most famous place in Roma for this purpose. You can find live music every night and listen to very good musicians here.
 NEXT 
 
"
3,Etablì,http://www.etabli.it/,+39 06 9761 6694,12.470511,41.899677,4.4,1067,"[]Author: Marcos M; Rating: 5; When: 3 months ago 
 Amazing food, great wine. This is Rome. Waitress recommended all of our food and I couldn’t be happier!
 NEXT 
 
Author: George Kolios; Rating: 5; When: a year ago 
 A warm place for every hour of the day in the center of Rome. Tasty food and a nice atmospheric bar. The waiters were very friendly and the service perfect. We will be back again…
 NEXT 
 
Author: Jeremy Holifield; Rating: 5; When: a year ago 
 exceptional cheese flavors and cooked perfectly.  The waiter recommended two pizzas, but one sufficed.  Highly recommend.
 NEXT 
 
Author: Alfonso Irnan; Rating: 5; When: a year ago 
 Great ambience for a few drinks or even for a dinner. The meals are good in quality, the selection of drinks is also excellent, with some cocktails to delight. Very advisable.
 NEXT 
 
Author: Benedict Hince; Rating: 4; When: a year ago 
 A really comfortable and warm place with good coffee. The comfy chairs really won me over, as did the interior design. I can't vouch for the food as I did not try anything.

But I'd be happy to recommend this place as a good meeting point to grab a coffee.
 NEXT 
 
"
4,Darkness club privè,,+39 06 8377 1876,12.4677432,41.8868883,3.3,6,"[]Author: LadyBsx Couple; Rating: 1; When: 2 years ago 
 we were twice the location is carin, but we do not feel at all well. We found people dressed badly of any kind and unfriendly staff. We did not like it.
 NEXT 
 
Author: Mary Ciafardini; Rating: 1; When: 2 years ago 
 
 NEXT 
 
Author: clo Lo; Rating: 5; When: 3 years ago 
 
 NEXT 
 
Author: Jacopo Patteri; Rating: 3; When: 2 years ago 
 
 NEXT 
 
Author: Andrea Baccelli; Rating: 5; When: 3 years ago 
 
 NEXT 
 
"
5,La Saletta,http://www.lasalettakaraoke.it/,+39 06 6889 1238,12.4701903,41.8998292,4.2,70,"[]Author: Lou Lowton; Rating: 5; When: a year ago 
 Best night ever in this little Roman gem!! Lots of locals enjoying wonderful Italian songs and plenty of English/American anthems. Were made so welcome! Fantastic venue - thanks for a lovely evening guys!!
 NEXT 
 
Author: Zeichenkohle; Rating: 5; When: a year ago 
 One of the best evenings I had in Rome!

Things started off slow, we registered to sing, got a little card and took some seats next to the wall.

The karaoke system is old school, and most of the songs are in italian--but there is a nice list of American songs as well.

We all toss the mic around from person to person, sing together, create makeshift duets. It was a magical experience, I felt like I was back in my old choir group.

The amount of joy in the atmosphere was amazing. I really felt like part of this little inclusive group of singers.
 NEXT 
 
Author: Suzana Caneca; Rating: 5; When: 2 years ago 
 Best karaoke in Rome! All the people there  are so nice, and fun! Loved the place!
 NEXT 
 
Author: Andres Jimenez Ayala; Rating: 2; When: 2 years ago 
 Too small and hot but good atmosphere
 NEXT 
 
Author: Riccardo Nappi; Rating: 1; When: a year ago 
 Very small, unorganized, and grumpy bartenders.
If you ask for a song expect someone else to sing it....
as they don’t call who asked for the song.
Left after 20minutes...
 NEXT 
 
"
6,Pandora Club,,+39 06 3975 4613,12.4501043,41.9146087,2.0,1,"[]Author: Giulio Ferrucci; Rating: 2; When: 8 years ago 
 It is worth very little
 NEXT 
 
"
7,Cafè Notegen,https://lombradelleparole.wordpress.com/2016/07/10/caffe-notegen-roma-via-del-babuino-159-caffe-notegencronaca-di-una-morte-annunciata-la-societa-letteraria-di-fine-novecento-la-civilta-degli-incontri-letterari-e-delle-rivis/,+39 06 322 0648,12.4786185,41.9086849,4.0,1,"[]Author: Luca; Rating: 4; When: 4 years ago 
 
 NEXT 
 
"
8,Shari Vari - Play House,http://www.sharivari.it/,+39 06 6880 6936,12.4763618,41.8972311,3.7,1607,"[]Author: Kaleila; Rating: 5; When: a year ago 
 Went to it at night, very fun nightclub. The drinks here are strong, so proceed with caution! Would love to go here again the next time I'm in Rome
 NEXT 
 
Author: Trevor Spence; Rating: 3; When: a year ago 
 Good wee bar. Girls behind the bar are beautiful but they are more interested in lookin at themselves in the mirror rather than actually serving you. A bit much to be honest
 NEXT 
 
Author: Fatima Zahrae EL BARAKA; Rating: 5; When: a year ago 
 Nice cocktails and very good burgers! The club has 3 rooms and each one has her own style.. Overall it's a very nice place to eat and to party all night long at Rome
 NEXT 
 
Author: Prem Bassi; Rating: 2; When: a year ago 
 As far as clubs go it's one of the worst I've been to. We were told that hip hop was playing on the night however only we heard 4 songs. The drinks are also very expensive compared to other clubs in Rome. I personally do not recommend this place
 NEXT 
 
Author: Youcant Sitwithme; Rating: 1; When: a year ago 
 Worst experience ever!
I wanted to celebrate my birthday there.
My expectation was a good party with nice people.
Instead i got a club looking like a cellar full of people who only wanted to hear old italian pop.
Very loud music.
Ordering cocktails was a real torture. The bar was empty but the waitress was not interested in serving. She looked very arrogant and miserable. Barely she managed to mix two over expensive 'sex on the beach'. The glass was filled up with ice as much as possible and the rest of space with something that had a taste of bitter orange juice and cheap alcohol.
A terrible mix of something.
Best thing came as they closed the club very early and all the people had to wait for their jackets in a small room.
To keep it short: never ever EVER again. Waste of money and time.
 NEXT 
 
"
9,La Cabala,http://www.hdo.it/,+39 06 6830 1192,12.4723318,41.9019733,3.4,85,"[]Author: abigail garcia; Rating: 1; When: 3 years ago 
 Would not recommend going to this place if you are in Rome. Arrived around midnight, thinking this place would be starting up and instead was sent to the piano bar because the upstairs wasn't open yet. So we went to the empty piano bar, maybe three people in the whole bar. Decided to have a drink, when I asked for a menu they didn't have one, which I thought was pretty weird. Anywyas, bought two shots of tequila and it came out to 30€...so not worth it for that place.
 NEXT 
 
Author: Alexander Graf; Rating: 1; When: 5 years ago 
 First no menu, and then ridiculous 30 € for a Gin Tonic. The Ambient is definitely not that high class. This is just rip-off. Don't go there !
 NEXT 
 
Author: Oscar Andersson; Rating: 1; When: 2 years ago 
 They are not serious. They try to trick tourist to pay more and claim that its ”because of the service”. Beware!!!
 NEXT 
 
Author: EDOARDO MARCHETTI; Rating: 4; When: 4 years ago 
 Nice place, in a beautiful building in the center of Rome
 NEXT 
 
Author: Samuel Van der Stappen; Rating: 1; When: 3 years ago 
 Never seen an unfriendlier bouncer (seriously)
 NEXT 
 
"
