,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,Paris Marriott Champs Elysees Hotel,https://www.marriott.com/hotels/travel/pardt-paris-marriott-champs-elysees-hotel/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_MjY1MTc0OC03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D,+33 1 53 93 55 00,2.3052055,48.8713455,4.4,1349,"[]Author: Cornel West; Rating: 5; When: a week ago 
 Good services, The Team worker are Helpful and have a good definition of Customers Relation. Evertime I Cameback its better.
 NEXT 
 
Author: B Al-R; Rating: 1; When: 6 months ago 
 I'm a Marriott platinum member i still keep a bad memory about his hotel i visited in 2014 with my 4 sisters who came to visit Paris for the first time, they booked a suit and once in this hotel they got a small room with 1 Bed for all of them, imagine 4 people in 1 bed.
The tiny room was a part of a suit in which other clients were, they heard everything that happened in the other side and the next day when i visited them i heard everything too.

The 2nd bad thing i remember is the housekeeper who came at 11 to kick all of us because she was late for launch, i called the reception and told me they will ask her to leave, they called but after 10 min she came back and she was speaking french  with her colleague thinking i was a tourist but i replied her in French and she left the room after spending 5 min  in the bathroom and declared she cleaned it.

Whatever since that day on April 2014 i did not visit this hotel anymore.

It sad because i'm a Loyal member to Marriott and i receive emails about this hotel but i never reply.

If the manager see my review i want him to know that i still keep in mind this memory and i'm not ready to go back to this hotel.
 NEXT 
 
Author: Dr Fady Hachem; Rating: 5; When: 8 months ago 
 Wonderful hotel! Nice rooms, very clean. Big choice of restaurants at the hotel. We really enjoyed our stay and we will definitely stay there again!
 NEXT 
 
Author: Kay R; Rating: 5; When: a year ago 
 excellent service from arrival to departure. The reception staff was very knowledgeable about places to go and things to do. The rooms met all standards and the hotel itself was very comfortable. Visited here to experience Christmas in Paris and was not let down one bit. It is ideally located in the heart of everything, walking distance to many attractions and food places.
 NEXT 
 
Author: Brian Hicks (Hicks 206); Rating: 2; When: a year ago 
 Lobby is beautiful, staff at the front desk are very polite and kind - However!

Booked a high floor terrace room with king based off of the Marriott app images. Ended up getting a view of an alley, and construction. Absolutely terrible view - room was on par with the holiday inn. Sink wouldn’t drain, bathroom was very old and paint chipping, minibar fridge was warm.

Room service delivered the wrong food, and the gym was absolutely tiny! The entrance to the gym has a pull up bar so if anyone is using it you have to wait to enter. The limited machines are all from the mid 90s, and half the treadmills were out of service. No fans, no airflow, no strength training equipment aside from a basic set of dumbbells.
 NEXT 
 
"
1,Warwick Paris,https://www.warwickhotels.com/warwick-paris/?utm_source=google&utm_medium=local&utm_campaign=seo,+33 1 45 63 14 11,2.3030556,48.8722222,4.2,674,"[]Author: Eric Metens; Rating: 5; When: 11 months ago 
 went to the Warwick for the new year's eve dinner. Was quite amazing!
 NEXT 
 
Author: RAJESH PRASAD GUPTA; Rating: 5; When: a year ago 
 Excellent hotel, awesome experience.  Staff are very much polite and cooperative. Room size is big. Neat and clean room, interior of the room is pleasant. Very good location accessible to all sight seeing. At breakfast very good food enjoyed with french food. Thanks to all Warwick staff, making my trip memorable.
 NEXT 
 
Author: RA; Rating: 3; When: a year ago 
 Good location, friendly staff I was in honeymoon they did un upgrade for me from superior room to Executive Room
Breakfast is the same everyday, old furniture,
Bad smell at the room and the bathroom Also like sewer , Elevator is old but fast , Also Lagging sometimes, overall, good place to stay not more than three days ,
Thanks .
 NEXT 
 
Author: Anthony Garcia; Rating: 5; When: a year ago 
 Very elegant and pleasant hotel. Dreamy interiors and central location. For quiet elegance and a respite from chaotic city energy.
 NEXT 
 
Author: Mohammed Rashid; Rating: 4; When: 3 months ago 
 Concierge was not within expectation
 NEXT 
 
"
2,Sofitel Paris Le Faubourg,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1295&merchantid=seo-maps-FR-1295&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNjA0NTMtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,+33 1 44 94 14 14,2.3213527,48.868375,4.6,677,"[]Author: Youri Mougel; Rating: 5; When: 2 months ago 
 We stayed at the Sofitel Paris le Faubourg for a night and we spent an incredible time. The room was gorgeous, the staff was very nice and accommodating, and despite the Covid restrictions it was very easy and quick to get meals in the room. The food was excellent!
The location could not be any better, the building is beautiful, the staff is very friendly... There's no better place to stay at in Paris!
 NEXT 
 
Author: Gerhard Struger; Rating: 5; When: a year ago 
 This hotel is a true gem in the hustle and bustle of Paris.  Tucked away in a sidestreet to Rue du Faubourg Honoré, next to Hermés, the hotel leaves nothing to desire for.
The staff is friendly yet relaxed and takes best care of you.
The Concierge made it possible to get me tables in usually unavailable restaurants.
The breakfast team is attentive - just to the right point.
And the reception made it possible to arrange our room early - because we arrived fairly early.
A relaxed yet elegant Parisien atmosphere, makes it a true home away from home.
I sure will be back.  Thank you Sofitel Paris Le Faubourg.
 NEXT 
 
Author: Paulo Guardia; Rating: 5; When: a year ago 
 The hotel was lovely, very comfortable, great location...
But like anything ...service is everything. The service was excellent! The front desk reception, specifically Perine, a young lady from Provence; just made us feel so very welcome!
Highly recommend Sofitel le Faubourg. A great breakfast as well, I might add.
 NEXT 
 
Author: Kevin; Rating: 5; When: a year ago 
 Very good place, from the entrance to the exit everyone is carrying about you.
Eyes can stay close everything will be great!
 NEXT 
 
Author: Lindsey Hotetz; Rating: 5; When: a year ago 
 This is the second time I have stayed at the Sofitel and the staff is amazing!! They are always so warm and welcoming. The rooms are beautiful- suite 338 is stunning and VERY spacious. There are 2 bathrooms a living room, king size bed, a gorgeous bath and even a turkish steam shower! I will be coming to Paris often for work and plan on staying at the Sofitel every time. Thanks Sofitel!
 NEXT 
 
"
3,Queen Mary,http://www.hotelqueenmary.com/,+33 1 42 66 40 50,2.325144,48.873051,4.1,145,"[]Author: Karen Blackstone; Rating: 5; When: 9 months ago 
 The room was quite small, but adequate and always very clean.  Most of my time was spent touring Paris and it's surrounding areas.  I believe there has been major remodeling since my stay (October 2010).  I am not sure the room on the first floor in which I stayed (to the right of the entrance) remains the same.  It was a beautiful hotel in a lovely area of Paris.  The Staff were all very pleasant and helpful.
 NEXT 
 
Author: Diana Pop; Rating: 5; When: a year ago 
 Nice  central hotel. Rooms are not very spacious, but clean and cozy; and  but for a short trip they are ok. Friendly and helpful staff at the reception;  overall a nice stay.
 NEXT 
 
Author: Yagmur Gursu; Rating: 3; When: a year ago 
 Air conditioner was not working. Too hot!!!!
And double bed was not double bed. It was too seperate beds put together 🤷‍♀️
 NEXT 
 
Author: Andrea Vrazhalska; Rating: 1; When: a year ago 
 I decided to change my review and downgrade another star because if the arrogance if the staff. This hotel is run by indians who think they can apply their cultural heritage to Europe. Dirtiness bad service etc. For the money paid you could stay elsewhere and get more . There is no excuse why a room stinks of drainage upon checking there is no excuse for saying someone called all those are lies and fake excuses for someone who failed badly. When you are in hotel services the client comes first and if the client complains you listen. It says it all that they don't even bother to ask at chcekout if stay was ok or not they don't care all they care is to get money and goodbye
 NEXT 
 
Author: Mauro Bianchi; Rating: 5; When: a year ago 
 Excellent stay. A bit pricy but overall very good quality.
 NEXT 
 
"
4,Timhotel Opéra Madeleine,https://www.timhotel-paris-opera-madeleine.fr/?utm_medium=social&utm_source=GoogleMyBusiness&utm_campaign=mini-site,+33 1 43 87 53 53,2.3259404,48.8751785,3.6,460,"[]Author: A S; Rating: 3; When: 5 months ago 
 Nice basic hotel, for traveling.
Good location: next to the St Lazare train station, and restaurants.
Basic breakfast, taking in account the COVID measures.
 NEXT 
 
Author: Andreas Victoros; Rating: 3; When: a year ago 
 Quirky little hotel, with a small lift. Rooms are more than adequate. Breakfast is self service and very nice lots of choice, breakfast room can get very crowded with an overspill of a few tables on the landing. Well located with lots of restaurants and shops nearby. Metro and train station on your door step.
 NEXT 
 
Author: Anna H; Rating: 5; When: a year ago 
 Great hotel for a nice price in Paris! Great location! Very close to subway/metro, the Opera, supermarkets, restaurants, coffee places, shops etc. Nice staff! I am very satisfied with my visit here!
 NEXT 
 
Author: Kira Dunton; Rating: 4; When: 9 months ago 
 Great stay for the price and conveniently located across the street from St. Lazare. There is some wear and tear in the hallways and the rooms, but overall a nice place to stay!
 NEXT 
 
Author: ΑΛΕΞΑΝΔΡΑ ΒΑΣΙΛΟΧΡΗΣΤΟΥ; Rating: 4; When: 8 months ago 
 Good location,excellent breakfast,great service
 NEXT 
 
"
5,Hôtel Mayfair Paris,http://www.paris-hotel-mayfair.com/,+33 1 42 60 38 14,2.3260648,48.8661363,4.2,246,"[]Author: Nathan Beeley; Rating: 5; When: a year ago 
 Wonderful staff and hotel. Perfect location in Paris - you can basically walk to nearly all the main attractions within 30 min - maybe 45 min at the most. Its handy if there are train strikes also :)
 NEXT 
 
Author: Myles Osorio; Rating: 5; When: a year ago 
 I have to leave a review because my family had such a pleasant stay in this hotel. From the moment we got out of our car service, we were greeted by a super friendly staff who helped us with our luggage. The front desk agents were super nice, helpful and always with a smile.As soon as we got to our room - it was immaculately clean and perfect. We're thinking of coming back in November and we will definitely stay here again. It's close to everywhere we wanted to go. Thank you so much Hotel Mayfair!!
 NEXT 
 
Author: Lisa Owens; Rating: 4; When: a year ago 
 The staff was very friendly and helpful. The only reason I didn’t give the Mayfair a 5 star rating is because it is very noisy. Around 4:00am there was loud construction noises or the sounds of people moving furniture. It prevented sleep after 4am both nights i was there. Other than that great  spacious rooms and amazing staff.
 NEXT 
 
Author: Minwoo Lee; Rating: 5; When: a year ago 
 It is one of the best hotels in entire Paris area. I have visited Paris once or twice a year for more than 15 years. And I stayed 4 nights here at hotel Mayfair.
Among the similar price range, I’ve never seen any hotel that is better than this one.
People were very nice, the room was absolutely clean and quiet. Also the location was just amazing. Located in very Safe area and comfortable to get public transportations ex)metro, bus, taxi.
Also close to shopping area, such as rue saint honore.
Definitely one of the best hotels in Paris and I would visit again
 NEXT 
 
Author: Harsh Chugh; Rating: 5; When: a year ago 
 Good location (line 1, helpful during strike to be on the only running metro line besides line 14). Next to Louvre as well. Will come here again as rooms were nice, clean and updated. Breakfast bar was small but they had freshly made crossaint that were amazing
 NEXT 
 
"
6,Sofitel Le Scribe Paris Opéra,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0663&merchantid=seo-maps-FR-0663&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNjIxNzMtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,+33 1 44 71 24 24,2.3297304,48.8705685,4.4,795,"[]Author: Mehdi Morad; Rating: 5; When: a year ago 
 A beautiful address nestled in the heart of Paris. There is not one major attraction that you can’t reach walking. Beautiful rooms, recently renovated and very warm service. The place to stay in
 NEXT 
 
Author: Leanne Neumann; Rating: 5; When: a year ago 
 Spent 2 nights in this hotel for a birthday weekend. It is in an amazing central location which meant everything was in a good walking distance which was helpful as the strike was on. The hotel is beautifully decorated include the new refurbished room which had all facilities. The buffet breakfast has to be the best I have had! I would stay here again!
 NEXT 
 
Author: Fabien Faure; Rating: 5; When: a year ago 
 Wonderful hotel located in the center of Paris !
My wife and I stayed there for two nights and we absolutely enjoyed the location. The hotel was newly renovated and the personnel was very attentive and receptive to our needs.
It was my wife’s birthday and the GM has a birthday cake delivered to our room with a kind handwritten note...
 NEXT 
 
Author: Viran James Tilakdharie; Rating: 5; When: 7 months ago 
 This hotel is amazing. Next to the interior and design, the crew is professional, hospitable, friendly and makes you feel at home.

From the moment of arrival to departure, it was a joy.

The rooms are spacious, clean and very comfortable. The design is outstanding.

Bathrooms are a a treat and I appreciated the seperate toilet.

Even midst Covid, this hotel and its crew made
a solid effort to ensure their guests had a good time.

Highly recommended and will for sure stay again.

Thanks crew @sofitel and Pierre!
 NEXT 
 
Author: K Kallespapaz; Rating: 5; When: a year ago 
 Highly recommend this hotel to any US traveler. Hands down the winner, with its detailed room design(a bit weird light switches but thats ok) and terrific personnel. Breakfast was top quality; this hotel deserves its price. Location is great, if they put you in a room where you can be disturbed by the ongoing renovation, ask to be replaced in a quieter room. I would love to stay again on September if I could get the same price.
 NEXT 
 
"
7,The Westin Paris - Vendôme,https://www.marriott.com/hotels/travel/parvw-the-westin-paris-vendome/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_Mjc4MjE5OC03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D,+33 1 44 77 11 11,2.3271121,48.8654924,4.3,2044,"[]Author: Hil; Rating: 1; When: 2 months ago 
 My door card didn’t work and I replaced it twice a day i stayed here.  I asked them to replace it and had to go downstairs every day I stayed at this hotel. The last two days of my trip I received a new card for my room twice. One in the morning, one at night. The staff would apologize and wouldn’t do anything to solve the main problem.

It’s frustrating to go up and down to find out that I can’t get into the room.

The room service left my room door open after cleaning it our second day. The heat would barely work and I would come back to my room finding the window wide open.

It’s 40 degrees out. I stayed here 6 days and I checked out leaving sick.
 NEXT 
 
Author: Jaime Plath; Rating: 5; When: a month ago 
 We spent two nights at the Westin Vendome for our New Years trip to Paris.  We were beyond excited to be in the city of love! Upon arrival at the Westin we were told the room wasn’t ready although we were there at the scheduled check in time of 3pm.

The front desk staff did everything they could do to find us a room that was cleaned and ready but as Titanium Elite members we had already been upgraded to the largest room in our room category they had available.  We were obviously ready to hit the ground running and get out into the city but we were requested to wait until our room was ready.  However that time was undetermined so we were given a courtesy drink at the bar for each of us. While they held our luggage we made our way to the bar where we were delightfully surprised at the ambiance and friendly staff.  Plus the drinks were delicious!  We thought it was an amazing start to our few days in Paris as we sat enjoying our cocktails and snacks. After an hour our room was still not ready and the staff comped another round of drinks for us. Although it was frustrating not to be able to get in and clean up after arriving from the long trip and embarking on the city but we really enjoyed the relaxed start to the weekend and were thankful for the time at the bar.
Once we got checked into our room we were able to get to the streets of Paris!  We made it back to our room later that night to find a bottle of champagne and chocolate provided on the house!    We were recently engaged and couldn’t have been more pleased at the service the Westin was providing. Excellent touch!  The following evening we were upgraded to a suite which exceeded out expectation! It was HUGE!  We had two balconies which gave us a view of the Tuileries garden.  We thoroughly enjoyed the extra space especially the sitting room area.  Lastly of note was the breakfast, which was comprised of a full buffet including everything from pastries & coffees to made to order eggs.  We enjoyed this every morning as a perfect start to our day.  We would highly recommend this hotel for your stay in Paris - great location, excellent amenities & incredible staff.
 NEXT 
 
Author: Alex Everything; Rating: 5; When: 5 months ago 
 my stay was great. the staff are helpful and the rooms are well furnished.i have used this hotel for all my Paris trips. it has a great continental breakfast with everything from sushi to omelets.  so if I could I would rate it not 1 not 2 not the not four not five but six stars.
visit it our forever wish you had is my advice.
 NEXT 
 
Author: WOW!!! HotelBully. Com is giving away FREE Stays!!!; Rating: 5; When: 6 months ago 
 I visited last July, and had a great stay here! Close proximity to all major attractions in the area. Overall very nice hotel.
 NEXT 
 
Author: Ali El; Rating: 1; When: a year ago 
 this is really the worst Hotel I've ever seen. This hotel is getting long in the tooth... I was here in September.. I can absolutely not recommend this hotel: bad service! My room was not really clean. The breakfast was a joke!!! And the staff is not friendly...Even a 3 star Hotel has a better service... but they ask an unreasonable price.   Never again this hotel!!!
 NEXT 
 
"
8,InterContinental Paris - Le Grand,https://www.ihg.com/intercontinental/hotels/gb/en/paris/parhb/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-FR-_-PARHB,+33 1 40 07 32 32,2.3307253,48.8708361,4.6,2401,"[]Author: Melissa Jackson; Rating: 5; When: a year ago 
 If anybody is trying to find good deals for hotels visit RoomBuIIy.  com booked a hotel on there and they had the best rates anywhere!

The hotel is in a very good location. Small room but well-maintained and exceptional service. You can go to boutiques, department stores, and the Louvre museum by walk. The food was really rich and delicious. Would highly recommend it!
 NEXT 
 
Author: J Wu; Rating: 5; When: a year ago 
 The hotel gave us early check in at 11am. We were just off from red eye that we were very appreciated. There were some construction near our room making some noise, the hotel offer complimentary breakfast for us which is a very sweet touch. Recommened, a truly 5-stars experience.
 NEXT 
 
Author: Nida Abudalbouh; Rating: 5; When: a year ago 
 I love this hotel..
The rooms are spacious. The service is great.and most important is the the amazing location..
Every time  I visit Paris I stay in it
 NEXT 
 
Author: Marlo Cruz; Rating: 4; When: a year ago 
 It is always a joy to stay in InterContinental Paris.  This year though we noticed the great jump from joy to great experience.  It moved its service 1 notch higher again.
 NEXT 
 
Author: Stephen Fishburn; Rating: 4; When: a year ago 
 A good location near the Opera, luxury shopping and the river. Our room was okay sized and comfortable with a view to an area of the building under construction. Staff is helpful.
 NEXT 
 
"
9,Hôtel d'Orsay,https://www.paris-hotel-orsay.com/,+33 1 47 05 85 54,2.323112,48.86038899999999,4.6,207,"[]Author: Abhishek Chidambaram; Rating: 5; When: 3 weeks ago 
 I can never forget my stay at d'Orsay even after 3 years. The attention to detail on every aspect on the hotel is amazing. I would always look forward to staying here again!
 NEXT 
 
Author: Jud Lewis; Rating: 4; When: a year ago 
 The hotel is excellent and priced fairly for what it is. The breakfast is a bit over priced since it seems to be boxed eggs and sausage as the only hot items.

Maid service varied in quality each day and sometimes wine and coffee dishes would not be replaced.

The location is great and has easy access to the Louvre and several other popular attractions. The road is very quiet for the most part.

The staff downstairs are all so nice and incredibly helpful.
 NEXT 
 
Author: Rosemary Jordenttyy09987654321qsdg; Rating: 5; When: a year ago 
 Beautiful and very clean hotel.  Our room was perfect and very comfortable.   The staff is incredibly friendly, helpful and first rate.  Location was perfectly central to all of the city's big attractions.  We will be back!
 NEXT 
 
Author: Janis R; Rating: 5; When: a year ago 
 Paris is so beautiful and I found the people so nice and accommodating. This hotel is a gem with a breakfast that is delicious and elegant and impeccable service. The room is larger than most and very comfortable. The location is superb with walking distance to many restaurants and museums, such as the d'Orsay which is right across the street.
 NEXT 
 
Author: Cecilia Lee; Rating: 5; When: a year ago 
 Great location, great service, and great room. 2min walk to d’Orsay museum.
We love the high quality breakfast buffet. The Croissant, baguette, and even the fresh orange juice are just amazing.
We will definitely recommend this hotel to our friends and we will stay here again.
 NEXT 
 
"
