,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews,type
1,Vatican Museums,http://www.museivaticani.va/content/museivaticani/it.html,+39 06 6988 4676,12.4536413,41.9064878,4.6,109209,"[]<b>Author: </b>Claudia Andrea C; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>A must! I would highly recommend to assign half a day to the museums, in order to see everything inside. It is really big and it could take a while to finish it. Take comfy shoes because you will walk a lot. Also don't forget your water.<br><br><b>Author: </b>James Blassingame; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>If you find yourself in Rome, do what the Romans do.........check out The Vatican!!!  The earlier in the day that you can get there the better off you will be. This place gets PACKED!!!  Not really an issue right now, but when school is in session the school groups swamp the place, and that's not even mentioning regular tourist.  The setting is immaculate, absolutely beautiful.  One thing that I noticed, there was a legit military/law enforcement presence at the Vatican.  If someone is going there with the intention of breaking bad, I pray for their soul.  The armed guards aren't playing, and looked legit as any military operation I can think of.  The Sistine Chapel is a sight to behold, worth the churning herd of people to see it in person.  Don't pull your cameras out, they don't take too kindly to that either.  This isn't from personal experience, but I didn't see some people who encountered issues.<br><br><b>Author: </b>Angelos Odyseakis; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Amazing experience, but very crowded.<br><br><b>Author: </b>Aicha Ben; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Just amazing! Everything is beautiful and they have everything!! From Painting, sculptures to tapestry... but the ceilings... oh the ceilings just beautiful you’ll spend 80% of your time looking up<br><br><b>Author: </b>Mrs Mrs; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>A fantastic museum that is like a time capsule. There are displays that go back as far as Constantine, all the way up to the present day. We were lucky enough to have come on an evening tour and the museum was not crowded. Our tour guide was able to give fantastic insight into the pieces of art and relics on display. The artwork on the ceiling is amazing, it looks like 3D plaster but it's not it's actually all hand painted!<br><br>",MUSE
0,Castel Sant'Angelo,http://castelsantangelo.beniculturali.it/,+39 06 681 9111,12.466276,41.90306319999999,4.7,54181,"[]<b>Author: </b>Ghazzal Mehdi; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Surely a five star place. Perhaps the most iconic in Rome? To be honest, Rome has so many iconic places that I lost the count...
Anyway, near to. Vetican, great bridges.. Simply outstanding...<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Greater sight from the outside, I hope the pictures make sense of the very nice place this is. The architecture is different from other landmarks as it was intended for a different purpose in the religious history. Prepare to walk a lot. I would recommend the walking tour if possible.<br><br><b>Author: </b>Marcel van Poeijer; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>This huge Castle is definitely worth a visit. Even though I did not go in (entrance fee = 15EU), I still loved the outside area and the little park next to it. When you go inside, it is recommended to go before sunrise, as the sunrise view on top of the terrace should be lovely.<br><br><b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Great place to visit with spectacular views all around Rome. Interesting artefacts and some Papal history to see. Some of the rooms are stunning. There are a lot of stairs so people with mobility issues may struggle although there is a lift to the second level which can be used on request. This does mean that you will lose out on the top terrace which provides the best views. All the staff were extremely helpful and kind.<br><br><b>Author: </b>Rich; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>A fine visit. The best thing about this castle is the view you get once you're on the top floor.<br><br>",MUSE
2,Sistine Chapel,http://www.museivaticani.va/content/museivaticani/it/collezioni/musei/cappella-sistina/storia-cappella-sistina.html,+39 06 6988 4676,12.4544835,41.9029468,4.7,34266,"[]<b>Author: </b>David Herbst; <br><b>Rating: </b>3<br><b>When: </b>5 months ago<br>I can appreciate the history behind it but I fail to understand why the ceiling of this place seems to be one of the highlights of Rome.

If you can, be sure to do the entire tour of the Vatican Museum. Along your way you will see dozens of long hallways with tall ceilings, all of which are painted with beautiful art.

Don't rush to see it, rather enjoy all the other beautiful art Rome shows you just by walking anywhere.<br><br><b>Author: </b>Daniela Romero; <br><b>Rating: </b>5<br><b>When: </b>3 weeks ago<br>It’s just stunning. Somehow we got there but the journey was a labyrinth. We did not follow the signs, just moved by instincts and it seems it was designed to be the last part of the tour. Obviously we were not allowed to take pictures and it was crowded, so we just enjoyed the view for some minutes. You can also take sit to stay a little longer there.<br><br><b>Author: </b>Dmitriy Mitin; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>This place has already more than 32k reviews, so I don't think I could add something new. I was blessed to visit this place during the pandemic - it was so calm and peaceful without tourists. As a short remark - if you take an audio guide, the content will be different for different languages. The most complete is Italian and English.<br><br><b>Author: </b>heath; <br><b>Rating: </b>4<br><b>When: </b>a month ago<br>The most magnificent architecture in Rome. The paintings were fascinating. The whole experience was engaging. My only complaint is that some in my family are claustrophobic, and they were letting way too many people into a room at a time. They packed some rooms full so that there was virtually no room. Other than that, it was an amazing experience.<br><br><b>Author: </b>Karen Blanco; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>A must see. So much art and so much more. Tons of stolen relics from other cultures are on display here. This is the Louvre of Italy, if you like seeing everything you may need a full day or two<br><br>",MUSE
8,Museo di Roma - Palazzo Braschi,http://www.museodiroma.it/,+39 06 0608,12.4727241,41.897551,4.5,2615,"[]<b>Author: </b>M in Paris; <br><b>Rating: </b>3<br><b>When: </b>2 months ago<br>The building is amazing and especially on the third floor there is a very interesting little exhibition of the evolution of the Roman architecture. The second floor you'll find a little bit of history of the clergy and romans aristocracy through the centuries but no ground breaking paintings.<br><br><b>Author: </b>Dominic Arbuthnott; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Great view from top floor<br><br><b>Author: </b>Vijay Sisodia; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Nice little museum. (Be warned that it isn't very big so don't expect to spend more than a few hours here.)
Information is multilingual
Staff are friendly
Has seating area in almost every room.
Has good interactive videos explaining the history of Rome.
For those with a Roma pass, you still have to go to the ticket office to get your tickets.<br><br><b>Author: </b>David naftalis; <br><b>Rating: </b>2<br><b>When: </b>9 months ago<br>Museum with variable exhibitions.
Not pricy.
The staff not welcoming and very not patience...<br><br><b>Author: </b>Tony Popa; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The Museo di Roma is a museum in Rome, Italy, part of the network of Roman civic museums. The museum was founded in the Fascist era with the aim of documenting the local history and traditions of the ""old Rome"" that was rapidly disappearing, but following many donations and acquisitions of works of art is now principally an art museum. The collections initially included 120 water-colours by the nineteenth-century painter Ettore Roesler Franz of Roma sparita, ""vanished Rome"", later moved to the Museo di Roma in Trastevere.<br><br>",MUSE
12,Museum Leonardo Da Vinci Experience,http://www.leonardodavincimuseo.com/,+39 06 683 3316,12.4615696,41.9021225,4.4,1668,"[]<b>Author: </b>Dr. Francesco Prato; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>A reduced version of the original museum in Vinci (near Florence) but with all the most important inventions showcased. You can also try them out. Well done.<br><br><b>Author: </b>Daniel Stiller; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>It waa a nice and informativ visit, although the tour is a littlebit shorter then expected first. Bit the audio guides are kreativ and well made and the workers are very helpful.

I can recommend it, espacially as a ""free"" addition to one of the city pass tourist tickets.<br><br><b>Author: </b>Kyle Taylor; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Very friendly staff, some awesome gifts and items for the house or friends :)<br><br><b>Author: </b>Paul R; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Really good value...nice place to escape the heat for a bit<br><br><b>Author: </b>Dave Ruijer; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Fun and interactive museum about the great ideas and creations from Leonardo Da Vinci. We went late afternoon without a line stopping us to enter the museum quickly. By entrance you get a map of the museum with pictures of the objects on it. With a little scanner, headphone included, you can tab on the picture what is relevant at the moment you stand in front of an object. You will here a voice in your selected language explaining the background of the piece. Several mechanical creations can be tried. By doing this you get close in the genius mind of Leonardo Da Vinci and realize he went far in front of his era. Also for kids this is a very educative museum wich stimulates the mind. After the tour in the museum you can buy fun souvenirs like T-shirts, books, etc.<br><br>",MUSE
4,Villa Farnesina,http://www.villafarnesina.it/,+39 06 6802 7268,12.4672868,41.89359939999999,4.6,1488,"[]<b>Author: </b>M in Paris; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Amazing ceiling painting from Raffaelo. It is mind blowing and definitely one of the more hidden unknown museums<br><br><b>Author: </b>JUZER KAPADIA; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>The wealthy Sienese banker Agostino Chigi commissioned this villa in 1508 for his lavish banquets and for sojourns with the courtesan Imperia, who allegedly inspired one of the Three Graces painted by Raphael in the Loggia of Cupid and Psyche.
Designed by the Sienese architect Baldassare Peruzzi, the harmonious Farnesina, with a central block and projecting wings, is one of the first true Renaissance villas. Peruzzi decorated some of the interiors himself, such as the Sala della Prospettiva upstairs, in which illusionistic frescoes create the impression of looking out over Rome through a marble colonnade.
The painted vault of the Sala di Galatea shows the position of the stars at the time of Chigi’s birth. After his death, the banking business collapsed, and in 1577 the villa was sold to the Farnese family.<br><br><b>Author: </b>Andrew Potts; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Beautiful building, amazing Raphael frescoes.<br><br><b>Author: </b>A. Lexander; <br><b>Rating: </b>2<br><b>When: </b>10 months ago<br>""Don't download the guide app it takes too long almost 5 minutes per room"" was said to us when we bought tickets and wanted to download the free guide app they ADVERTISED AS PART OF TICKET... What a joke. And that for 10€. Very rude and unfriendly people at ticket counter.<br><br><b>Author: </b># Volkmer; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The most amazing library I have ever seen in my life and probably the most amazing one I will ever see in my hole life. 😯 Just extraordinary fantastic. Extremely happy to be taken there.<br><br>",MUSE
5,Spada Gallery,http://galleriaspada.beniculturali.it/index.php?it/1/home,+39 06 683 2409,12.4719221,41.89420339999999,4.5,1468,"[]<b>Author: </b>Alex Unguru; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Probably one of the most immersive Art Galleries in Rome. The smell of orange blossoms from the inner courtyard accompanies you in every room.
Better take a day, enjoy it in peace and then taste Rome from one of the nearby terraces.<br><br><b>Author: </b>Call Me M.; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Nice place to go, it wasnt crowded at all but your experience may differ!
If you like forced perspectives, this is for you! and you hardly pay anything (up to 25)<br><br><b>Author: </b>Avery Haviv; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Lovely formally private art collection.  Very intimate and quiet experience.<br><br><b>Author: </b>Marek Rewa; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Very good experience<br><br><b>Author: </b>Tony Popa; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The Galleria Spada is a museum in Rome (Italy), which is housed in the Palazzo Spada of the same name, located in the Piazza Capo di Ferro. The palazzo is also famous for its façade and for the forced perspective gallery by Francesco Borromini.

The gallery exhibits paintings from the 16th and 17th century.<br><br>",MUSE
22,Museo Napoleonico,http://www.museonapoleonico.it/,+39 06 0608,12.4719869,41.901886,4.4,1342,"[]<b>Author: </b>Marion Zahn; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Nice place. Perfect<br><br><b>Author: </b>Sondra Rapoport; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Small but beautiful museum. Really lets you get to know Napoleon and his family. My son and I have visited several times over the past few years.<br><br><b>Author: </b>Joseph Scarfone; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>It’s a small museum but it is among the best Napoleonic collections I’ve seen outside of Paris. There are a considerable number of original paintings and busts with their original frames. Perhaps more interestingly, the exhibits give insight into the Bonaparte Kingdom of Italy and its impact on the Papal States. I encourage others to donate at the end of their visit as it is a free museum.<br><br><b>Author: </b>Zakaria Elkhattabi; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Perfect<br><br><b>Author: </b>Karina H; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Nice museum. Here history is more the focus than the art displayed - its like a history lesson in an interesting background, with lots of portraits from the characters.<br><br>",MUSE
20,VIGAMUS - The Video Game Museum of Rome,http://www.vigamus.com/,+39 06 4547 5940,12.4596795,41.9167655,4.3,814,"[]<b>Author: </b>Lawrence Lyle; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Nice place to visit when You are a fan of videogames. There are a lot of old and newer consoles there pluss, some arcade machines too. You can also play some older games there sadly most on x-box. I wished that there were more games to see, but they mostly show consoles and their add-ons, like The Powerclove and so on. It is quite easy to find and people there are nice and friendly 😊😊. Thank You!<br><br><b>Author: </b>Marcin Borkowicz; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>This is fantastic place to visit if you are interested in video game culture. You can as well play video games of various decades.<br><br><b>Author: </b>Dan G.; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>#vigamus Video Game Museum in Rome. Fine #game #arcade #transgenerational #experience<br><br><b>Author: </b>EYE EYE (M.M); <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Very cool place if you have even the slightest interest in games. It's not just a place to go and play arcade games, it showcases much of gaming history and gives detailed information. There is a pretty cool VR experience room where you can check a few VR games and experiences (just watching, not much controlling the action), there are old arcades, classic ones, there are also new consoles with new games that you can try out. The souvenir shop also has some very cool figurines and other stuff that a game lover would love.<br><br><b>Author: </b>Андрій Лобан; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>I like this place so much. It is cool idea to create museum of video games, where you can play on any console and come back to your childhood.

Minus: it is little bit cold inside<br><br>",MUSE
16,Stadium of Domitian,http://www.stadiodomiziano.com/,+39 06 6880 5311,12.4725301,41.9002133,4.2,728,"[]<b>Author: </b>Zoe Walker; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Great hidden historical gem beneath Piazza Navona. Entry includes an smart audio guide pen. A lot of extra information relating to the period is also available. In depth information about the stadium and games held here, many videos playing on loop too.
Recommended!<br><br><b>Author: </b>Etty Villanueva; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Nice archeological museum with fun details and comprehensive audio guide. Recommended!<br><br><b>Author: </b>Rui Oliveira; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>An amazing view of one of the greatest places of antic Rome<br><br><b>Author: </b>Rachel Ridler; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Really interesting little museum.  Audio guide is essential to get the most out of this, and there isn't lots of the stadium left, but they have done a great job in showing how it was found and what it would have looked like.
Included in our turbo pass tickets and glad we got to visit it.<br><br><b>Author: </b>Tobi; <br><b>Rating: </b>1<br><b>When: </b>2 years ago<br>Audio Guides are without earpods and in my Example I Bought one bottle of iced tea and its Date of expiry was over...in the end i could Not feel Good if i said it was nice...Not very well<br><br>",MUSE
