,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews,type
2,Louvre Museum,https://www.louvre.fr/,+33 1 40 20 50 50,2.337644,48.8606111,4.7,210845,"[]<b>Author: </b>Vic; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Absolutely in love with this place. It is huge so I would recommend spending a day or two if you really wanna go through everything. wasn’t too crowded overall except around the Mona Lisa where it was a stampede. There is something for everyone here, it ranges in different time periods and art forms. It surpasses anything we have in Canada in terms of an art museum.They have cute gift shops all around which is convenient. I came from Canada to visit and got the membership which I would recommend considering it was almost the same price as single admission and the line was shorter.p<br><br><b>Author: </b>Walt Bionik; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>The best art museum in the world. The Mona Lisa may be on your bucket list, but please do yourself a favor and see the rest of the museum. There are many paintings that are breathtaking that do not get the attention because of the ""Photo Op"" paintings. Contrary to what I read, I did not have to wait in a long line. The Louvre is very easy to get to by Metro and easy to navigate. I'm American and it was my first time in Paris. I can't wait to visit again.<br><br><b>Author: </b>Priya Indian Vlogger in Germany; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>There is no doubt that it is an absolute must visit for anyone who visits Paris. The place is the most beautiful museum of the whole world and houses a great deal of artworks, paintings and monuments. It is a  real gem with lots of very high-end artworks. The quality of all sculptures is way too high as you can easily see and feel it. Mona Lisa is also in this museum. I was simply amazed at each and every part of this museum as it was full of history and has lots of very fine artworks around. It is very well organized and maintained and worth every penny. I would recommend to must visit it if you are going to Paris.<br><br><b>Author: </b>Marinko Zubac; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>The museum is amazing. We were the whole day in Louvre and still you have the impression that you could stay there forever. It's something you definitively should visit when in Paris.
Buy your tickets online so you don't have to wait in queues for the entrance.
The entrance to the museum is very simple. We waited for about 10 minutes to get through security. My suggestion is to get the Nintendo audio guide when visiting the Museum. It costs only 5 Eur and it helps a lot. The audio guide follows your location and helps to find around the museum. Its something like google maps for Louvre. When we were there Mona Lisa room was not too crowded so we had plenty of time to watch the painting. Do not search for souvenirs in the museum itself, you will have to go outside the museum in the direction of Metro station. There you will find the official Louvre Musem Shops.<br><br><b>Author: </b>Jenny Fall; <br><b>Rating: </b>5<br><b>When: </b>3 weeks ago<br>Visiting the Louvre is an amazing experience that will stay with you forever. There is so much history and beauty to absorb and admire. The building itself is exquisite along with the beautiful painted ceilings. Then, there is of course all of the art. Winged Victory, Venus Di Milo, and the Mona Lisa are just a few of the world's most famous works of art that are permanently on display at the Louvre.<br><br>",MUSE
1,Musée d'Orsay,https://www.musee-orsay.fr/,+33 1 40 49 48 14,2.3265614,48.8599614,4.7,53875,"[]<b>Author: </b>igwinelove fujin421cellar; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>This is the greatest museum in the world. It’s so happy to live in Paris, as long as you have time, you can come and see it anytime. It’s very helpful for human beings. It’s very helpful for children. Born in Paris, you can come here every day when you have time.  In addition to food and wine, Chen Hao also has culture, art and healthy Paris. Happy Paris I love<br><br><b>Author: </b>Yrn Sbh Shll; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>One of the best Museum. Display, atmosphere, the building, object are amazing. there is a locker room for free and it is so convenient to leave bags and walk around. taking picture was forbidden for many saloons. yet the memory of it good enough.<br><br><b>Author: </b>Fabio De Angelis; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Who am I to evaluate such a wonderful, astonishing museum, full of masterpieces of world culture? If you are in Paris, take your time to spend three, four hours, one day in this must-to-be-seen museum! Enjoy that time! ;)<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Great museum, great location. You could think it is a small museum, but the distribution and the amount of art pieces you will find are endless. You can spend 3 hrs here easily. I recommend it for youngs and adults. I would go back definitively.<br><br><b>Author: </b>Jessica Zug; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Beautiful museum if you're mainly interested in impressionism, expressionism and everything around and between that! Heaven on earth for Monet-lovers like me!<br><br>",MUSE
3,The Centre Pompidou,https://www.centrepompidou.fr/,+33 1 44 78 12 33,2.352245,48.86064200000001,4.4,45852,"[]<b>Author: </b>Cyril Martinot; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Interesting place with a lot going on, went there for the exhibition on protestation and loved it!<br><br><b>Author: </b>Laurie Bostian; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>My friend and I had a great experience exploring Centre Pompidou on one of our layovers in Paris. Definitely worth the trek! She had been before and was sure that I would love it as well. I'm an artist and try to visit as many museums as I can all over the world, seeking inspiration and insight.<br><br><b>Author: </b>Norma Goro; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>The bookstore at this center is wonderful, it has incredible titles, catalogs of past exhibitions and excellent editions, critiques and art reviews. The architecture of the Center is very interesting, the square fills with people talking, it is a place full of life and that offers art exhibitions that you can only find in Paris.<br><br><b>Author: </b>Alexander Fuchs; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Good collection of art. We showed up in time for our time slot but still had to wait 30min in line. Famous facade is currently under construction (August 2020)<br><br><b>Author: </b>Avand Fardi; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Good collection, good taste.

Don't forget to take a look at Paris itself from the top of Pompidou Museum buildings.

Splendid!<br><br>",MUSE
9,Grévin Museum,https://www.grevin-paris.com/,+33 1 47 70 85 05,2.3422204,48.87183779999999,4.3,16401,"[]<b>Author: </b>Abu Ali; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>I liked it. You will see politicians, musicians, actors, and part of the French history and much more.
Some of them are just real, but some others are not.

It costs €22.5 if you buy from them.<br><br><b>Author: </b>Mohamed Seda; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Nice place and nice people, you can take many photos with celebrities<br><br><b>Author: </b>Doranne CADRANEL; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>A lovely tourist spot  where we spent an hour and a half.  Entrance fees for us were 24.50 euros for an adult, for a student it was 22.50 and for 5 - 15 years old it was 18.00 .  As a treat we spent 75 euros on photographs that were taken by the museum in the theatre part and that was for 4 printed photos and 82 photos that were taken of us that the museum will send by email which we can download within a year. Yes it is expensive but it is a one time thingy!!<br><br><b>Author: </b>Sangmo Tibetan; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>It would be more magnifying in my point of view to have statue of world 1989 noble peace prize winner H H The 14th Dalai Lama of Tibet👍! Over all I just love visiting !Its amazing!<br><br><b>Author: </b>jose N; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Nice museum.<br><br>",MUSE
12,Musée de l'Orangerie,https://www.musee-orangerie.fr/,+33 1 44 50 43 00,2.3226724,48.86378839999999,4.6,9384,"[]<b>Author: </b>Maureen Veech; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Visited this lovely place many years ago. Sat for hours enjoying the water lollies. Thank you for the beautiful pictures as mine were destroyed on a fire.  Would love to visit there again. Qui sais ( who knows)<br><br><b>Author: </b>Ross Carroll; <br><b>Rating: </b>3<br><b>When: </b>a month ago<br>Unfortunately I just don't see the appeal.
There is ONE room that has a fascinating mural that goes around the entire wall, and that's about it?
Its not too expensive to get in, thankfully, otherwise it just would not be worth it.<br><br><b>Author: </b>emeczka7; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Just forget Louvre and come to Musée de l'Orangerie. This place was totally mesmerizing for me. I could just sit there in front of those Monet  paintings for hours...<br><br><b>Author: </b>Max Robinson; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>This small museum has an AMAZING collection of Monet and other impressionists and post-impressionists, and very interesting new architecture as well.<br><br><b>Author: </b>E G; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>This was one of my great experiences in my visit to Paris in 2017. An exceptional museum, on a medium scale, very accessible and walkable, with different works of great relevance and beauty, most notably the beautiful series of The Water Lilies by Claude Monet. The visitors to the museum, in general, were remarkably civilized and cultured.<br><br>",MUSE
5,Musée National Picasso-Paris,http://www.museepicassoparis.fr/,+33 1 85 56 00 36,2.362285,48.8598775,4.4,7943,"[]<b>Author: </b>Walk Fly; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Hello, there is a wonderful contrast between the classical architecture of the museum and Picasso’s free wheeling expressions. There’s some great work here and the museum is comfortable and the work is accessible and well lit. There’s a warm vibe at this gallery and I truly appreciate it.

I love this place. It rings with the spirit of the man. It’s a must — especially if you’re fan of Picasso’s surreal cubist works. The reflection of the Spirit of Picasso is alive and well here and and the collection of his work will take you to a place of inspiration and reflection on the magical nuances of life here on earth.<br><br><b>Author: </b>Max M K; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Magical place an old chateau? Everything about the art the energy the place.  I will remember for a long time.<br><br><b>Author: </b>John Krugoll; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Impressive masterpieces. I fully enjoyed discovered more about Picasso artwork. It was worth a visit.<br><br><b>Author: </b>Adrienne Keyser Beauty; <br><b>Rating: </b>5<br><b>When: </b>11 months ago<br>This is an impressive museum designed in a mansion where the architecture is as incredible as the great master's art! We were fortunate to visit at the time when American sculpture Alexander Calder's work was also on display.
We explored the entire museum in spite of the fact my 6 year old (now 7) was only mildly interested. We had already seen many museums this being the 8th day of our 14 day trip. He was a trooper and even though I didn't get to linger on each work as I would normally, I did get lots of pictures so I can study them whenever I want!!<br><br><b>Author: </b>Matt Perrone; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>The Picasso museum in Paris is definitely one to see. It holds some very interesting pieces of work both by Picasso and some other very influential French artists over the course of recent history. Doesn't take too long to get through the entire museum, but I can tell you it's definitely worth going there to check it out.<br><br>",MUSE
29,Grande Galerie de l'Évolution,http://www.jardindesplantesdeparis.fr/fr/programme/galeries-jardins-zoo-bibliotheques/grande-galerie-levolution-2763,+33 1 40 79 54 79,2.356003499999999,48.84165609999999,4.6,6489,"[]<b>Author: </b>Nobukhosi (Message In A Bottle); <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Very nice , child friendly. Lovely museum.<br><br><b>Author: </b>Jeremy Berger; <br><b>Rating: </b>5<br><b>When: </b>11 months ago<br>Probably my favourite museum. I have been there every year and I always found very interesting<br><br><b>Author: </b>Mixez Moi; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>The building it self is amazing and the content is very well presented with an excellent quality. A must to do in Paris<br><br><b>Author: </b>Zacharie Nelsen; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>An excellent museum for adults and children. Whatever your knowledge and interest in science are you will be able to have a great time here (I have a master's degree in teaching biology and geology and it's definitely well thought out to please all audiences)<br><br><b>Author: </b>Emily Page; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Stunning!! Beautiful building over several floors. Displays are wonderful. Only downside is all the information on the signs is in French, so not the most English friendly museum. Still amazing to look around though and a reasonable price. Set in beautiful gardens.<br><br>",MUSE
4,Conciergerie,http://www.paris-conciergerie.fr/,+33 1 53 40 60 80,2.345495299999999,48.85601139999999,4.3,5086,"[]<b>Author: </b>Manuela Barilari; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Beautiful, very nice and Maddalena, the guide, gave us a wonderful tour! From middle age to the revolution in few steps :)<br><br><b>Author: </b>Michael Asheroff; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Very interesting museum and not heavily visited.  If you are interested in the history surrounding and following the French Revolution  - this is a nice stop.  Just down the street from St. Chappelle.   Included in the museum pass which was why we went.  Now we recommend it to others.<br><br><b>Author: </b>Emily Elizabeth; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Cool place - I have visited twice. Doesn't look like much from the outside but is an interesting piece of French history and a good, cool place to take a break while touring Paris<br><br><b>Author: </b>Ciobanu Cristina; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>The Conciergerie is a building in Paris, France, located on the west of the Île de la Cité, formerly a prison but presently used mostly for law courts. It was part of the former royal palace, the Palais de la Cité, which consisted of the Conciergerie, Palais de Justice and the Sainte-Chapelle. Hundreds of prisoners during the French Revolution were taken from the Conciergerie to be executed by guillotine at a number of locations around Paris.<br><br><b>Author: </b>Abhishek Goswami; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Seeping with history of the french revolution a fascinating tour through the prison cells and the remnants of the French revolution.<br><br>",MUSE
8,Metiers Art Museum,https://www.arts-et-metiers.net/,+33 1 53 01 82 00,2.3554383,48.86663919999999,4.5,4988,"[]<b>Author: </b>Gerardo Gomez; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Great collection and display, I did not got the audio guide so I may have missed on a few things. Reserve 3 hours of your time at least if you are planning to go through the entire place.<br><br><b>Author: </b>Adam Ruskin; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>This was a super cool place. The church was super cool and all the things on display were great. Very clean a calm. They did a nice job with the Covid restrictions. I really loved the old computers and measurement standards.<br><br><b>Author: </b>Yashmee Bhana Jogessar; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>They definitely have an incredible collection but there needs to be some small explanations on each item... And perhaps in English too(?!).<br><br><b>Author: </b>Silvia Patono; <br><b>Rating: </b>3<br><b>When: </b>9 months ago<br>I would give 5 stars if there weren't issues on the way. Currently there's a promotion: if you buy the ticket online is 5€50 instead of 8. However, the mobile version of the shopping page doesn't work, therefore impossible to buy tickets online. I show it at the entrance and they tell me they cannot do anything so I have to pay full price. Annoying!
I ask how long the tour takes following the audio-guide. Answer: 1h30. Great: I have 2h before the museum closes. Well, after 1h30 I have done only half of the museum, so I have to rush the second part and I have no time to see the church.
Very disappointed by the experience, overall.
However, the museum is great and I recommend it. Consider at least 2h to visit it and 3 if you follow the audio-guide.<br><br><b>Author: </b>Rob Godfrey; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Stumbled across this place by chance when going for brunch. Food is good and the museum is fantastic for anyone interested in engineering, one of the best selections of mechanical devices with loads of great displays, well worth a visit<br><br>",MUSE
11,"Musée des Arts Décoratifs, Paris",https://madparis.fr/,+33 1 44 55 57 50,2.3335527,48.8631736,4.5,3883,"[]<b>Author: </b>Shrimp새우; <br><b>Rating: </b>2<br><b>When: </b>11 months ago<br>I couldn’t go in because I had a lot of luggage. Yea I understand that but when I turned back, I heard the staff guys saying “Ni hao” and laughing. I am Asian but not Chinese and whether it was intended to make fun of me or not, I am sure it is not so polite thing to say when I am around since it’s probably referring something about me. Saying Nihao or Gonnichiwa to any asian (which is not Chinese nor Japanese) is one of the things done by Western people that many Asians find annoying. Imagine saying “Guten tag” or “Hola” to French people just because they are all Europeans. Of course it’s not super offensive yet annoying. Ignorance is not excused sometime 😋<br><br><b>Author: </b>Kylee Hosken; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>This is the exhibition I'd always wanted to see as an avid Dior fan. It did not disappoint! It was breath taking from the minute I entered and just when I thought I'd seen my favorite installation, around the next corner was something even better.<br><br><b>Author: </b>Kate Solomina; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Expo HARPER BAZAAR - must-see this autumn 👌<br><br><b>Author: </b>Sébastien Nan; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>This museum need 4hour to be visited correctly.<br><br><b>Author: </b>Mirza Yusof; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Very well curated. Not too big not too small. For people who like more than conventional artistique stuff<br><br>",MUSE
