,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews,type
3,Luxembourg Gardens,http://www.senat.fr/visite/jardin/index.html,+33 1 42 34 20 00,2.3371605,48.8462217,4.7,77274,"[]<b>Author: </b>hafs Abdelwaheb; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>This will be my place to pass the weekend 👌🏻<br><br><b>Author: </b>Halim Hamdan; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Such a lovely place truly. There is banks, chairs and so many space to sit down and just enjoy a peaceful day with a partner, friend or family or your child/children. You will find people who play multiple activities and sports and you will find a great spots for taking pictures. Enjoy!<br><br><b>Author: </b>Claudio Tavares; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>A bit crowded, as usual, but very well kept and clean. One of my favorite parks in Paris. And props to the gardeners, the flowers are always bright, healthy and in excellent shape!<br><br><b>Author: </b>Diku 2627; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>It was one of the best place to spend summer time. Surrounded by trees and spacious place and moreover you will get needful thing to eat. Must visit and enjoy the atmosphere.<br><br><b>Author: </b>Véronique Robin; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Beautiful and peaceful garden, very pretty statues and elegant building for the Senate. You can play chess and there is a safe place for young children.
Two reservations: crowded and no toilets.<br><br>",PRK
4,Tuileries Garden,https://www.parisinfo.com/musee-monument-paris/71304/Jardin-des-Tuileries,,2.327494299999999,48.8634916,4.6,72225,"[]<b>Author: </b>Joe N; <br><b>Rating: </b>5<br><b>When: </b>11 months ago<br>This place is gorgeous! Even though there aren't green leafy trees because of the season, it's still amazing to walk around and enjoy the scenery and marvel at all the buildings around the park. You can enjoy seeing family and tourists gathered and just enjoying the same space as you and make you just want to enjoy the moment even longer. It's a nice area to go for a run with the ground mostly heavy sand and not very rocky.<br><br><b>Author: </b>Luca Doria; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Impressive in the historical context and beautiful architecture that surrounds it but the swathes of grit and very little green make them quite soulless as many other gardens in central Paris. The great space occupied by grit and sand in hot days make you feel almost like you are in a desert. With impending climate change there should be more grass, bushes and somewhat a turn towards an English landscaped garden...it would be much better. I hope that Paris local authorities are gonna adapt these Gardens as overall they're not welcoming places.<br><br><b>Author: </b>Elena; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>very beautiful! you can walk around, sit on one of the cute green chairs and watch. one of the water fountains, or relax in a nice café! beautiful roman statues you can see everywhere! sadly the floor is full of sand/dust and because it's a little windy the dust gets everywhere on your clothes and shoes...<br><br><b>Author: </b>Solyi H; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>What a beautiful place.  The flower garden was exceptionally well designed taken cared of.  It’s lovely to go when there are very few people around.<br><br><b>Author: </b>Abigail Cai; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>It’s my favorite vibe in Paris. I spent time sitting on the chair with my friends under the shade of the tree. There are always beautiful flowers there and the Ferris wheel.<br><br>",PRK
7,Jardin des Plantes,https://www.jardindesplantesdeparis.fr/fr,+33 1 40 79 56 01,2.3609587,48.84332870000001,4.5,31599,"[]<b>Author: </b>세상을 보는눈; <br><b>Rating: </b>4<br><b>When: </b>a month ago<br>I've been visited this place first time.
I adore that place.
You can go three places when you go there. Zoo, plants and museum.
But not now because of covid 19.
There are a lot if benches.
You can use them conveniently.<br><br><b>Author: </b>Strolls Paris; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Great place to make a pause and enjoy sitting under a tree. Fun for kids and adults as there is a small zoo as well as the National natural history museum.<br><br><b>Author: </b>Daniela Telehuz; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Such a lovely place, it has a greenhouse and a small botanical section with didactical pictures and information. There are also some cherry trees that are absolutely amazing in spring<br><br><b>Author: </b>Jack SIMON; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Strolling in the Jardin des Plantes is a Must and Admiring the Beauty of Historical buildings Massive Buildings is a Good way to start the day. I love the part of the Cedar's and to clmb to the top of the hill<br><br><b>Author: </b>Nicolas Oliveros; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>A very precious place in Paris. A bit of Kew gardens (the green houses), a bit of the Physics garden, a bit of Regent park (the little zoo), a bit of the museum of natural history museum, and a nice park experience.<br><br>",PRK
5,Place des Vosges,http://www.parisinfo.com/transports/73189/Place-des-Vosges,,2.3655266,48.85561140000001,4.6,18236,"[]<b>Author: </b>Deppie Dam; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Special place. Victor Hugo's house is located there.<br><br><b>Author: </b>Laura Ponzoni; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Most beautiful place in Paris. Houses date back from 1600, the garden with fountains is wonderful and you can sit on the grass.
Under the arcades there are many art galleries.
Renzo Piano lives here when in Paris.<br><br><b>Author: </b>valentino dardengo; <br><b>Rating: </b>4<br><b>When: </b>5 months ago<br>A little park where you can enjoy the rares sunny days.
No matter if it is for the workout or for a book, this park is ''cozy'' and the area around the park is absolutely nice.<br><br><b>Author: </b>Léo Liénard; <br><b>Rating: </b>4<br><b>When: </b>in the last week<br>Nice spot. Somewhat crowdy for a strolling area. I also like the buildings that surround the plaza, they kind of brand the place in their own right.<br><br><b>Author: </b>Chantelle Y; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>There are nicer parks in Paris, but it's okay.<br><br>",PRK
18,Square Jean XXIII,,+33 1 44 54 75 04,2.350971,48.8525736,4.5,15699,[]<b>Author: </b>Honey Dominguez; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Regret didn't had a chance to see inside. It's crazy looong lines<br><br><b>Author: </b>Pete Kay; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Notre dame is absolutely beautiful I was fortunate enough to visit this wonderful building before it had the fire such a really sad thing to hear about such a very beautiful and exciting place<br><br><b>Author: </b>Saumya Bhargava; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>This is so pretty. It was like one of those structures coming out of the books I have read. I was in awe. Totally took so many pictures.<br><br><b>Author: </b>good juju; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>The square is closed due to the reconstruction work on Notre Dame Cathedral.<br><br><b>Author: </b>Rowan Hunter; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Once was a beautiful addition to this city<br><br>,PRK
8,Square of Saint-Jacques Tower,https://www.paris.fr/equipements/square-de-la-tour-saint-jacques-33,+33 1 42 72 64 01,2.349140500000001,48.85769550000001,4.3,3011,"[]<b>Author: </b>Nean Derthall; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>... purpose? you can't go under it<br><br><b>Author: </b>Ika d'Amonds; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Nice garden, with Narcissus and Pansies. A lot of sitting spots too.
Didn't get to see the actual tower though.<br><br><b>Author: </b>Alice; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Such a nice, cozy park in the middle of Paris. The tower is so nice in his gothic style<br><br><b>Author: </b>Zdeněk Novák; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Nice supermarket. Wide selection of products.<br><br><b>Author: </b>Aurélien André; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>This is the place you want to relax when having a day in Le Marais ! The trees give you shade, the grass is perfect to sit on, and there are a number of benches. A lovely square, especially in a super busy and polluted city such as Paris !<br><br>",PRK
10,Square du Temple - Elie Wiesel,https://www.parisinfo.com/musee-monument-paris/71331/Square-du-Temple-Elie-Wiesel,,2.3608011,48.8644895,4.3,2318,"[]<b>Author: </b>Tim S; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>It gets extremely busy on sunny days but has a fantastic play equipment for kids and some ugly but cool looking ducks the kids will enjoy seeing.<br><br><b>Author: </b>Marc Roos; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Trees, ducks, sun and greenery. A true oasis in the city. Kiddy playground, table tennis, early in the morning is the Tai Chi group. Sit and eat your lunch, or just breathe for a few minutes.<br><br><b>Author: </b>Nitin Malla; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>I love getting a sandwich and eating it in this park. There is plenty of benches and it's fun watching people enjoy activities here like table tennis<br><br><b>Author: </b>ellec apaga; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>my kids just love the pond abd the duck<br><br><b>Author: </b>Redouane El Honsali; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Nice cosy park. It's small though and can be overcrowded when it's sunny.<br><br>",PRK
11,Square René Viviani,https://www.paris.fr/equipements/square-rene-viviani-2441,,2.3478242,48.8522208,4.4,1851,"[]<b>Author: </b>Simon Nobes; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Huge underground car park within walking distance of Notre Dame. The charges are very reasonable. Exit barriers accept cards for payment - there are no signs to inform new users!<br><br><b>Author: </b>guillot jeanpierre; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>A pleasant flowery place for a rest and a view over Notre Dame<br><br><b>Author: </b>Strolls Paris; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Lovely little square just steps away from the Cathedral of Notre-Dame. Most of the year the flowers decorate the place, our favorite are the roses that have an exquisite parfum! Perfect place to make a break and rest under a tree. The oldest tree of the city is here and a pretty old church as well, don't miss the misterious hidden water well and Saint Julien le Pauvre's fountain in the center.<br><br><b>Author: </b>DAnica Mracevic Jurisic; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Really nice and right in from of Shakespeare&co, on the one side and Notre Dame on other...<br><br><b>Author: </b>Francesco Pisanu; <br><b>Rating: </b>4<br><b>When: </b>3 weeks ago<br>Nice place, not always quite<br><br>",PRK
56,Fontaine des Innocents,https://www.parisinfo.com/transports/73158/Fontaine-des-Innocents,,2.348032700000001,48.860647,4.1,1372,"[]<b>Author: </b>Gahee Filet; <br><b>Rating: </b>4<br><b>When: </b>a month ago<br>A nice spot to sit while grabbing a quick lunch. It's extra nice because there is a homeless man who help you fight off the hungry pigeons herding and stalking you for the next crumb you drop.<br><br><b>Author: </b>FasTer FasTer; <br><b>Rating: </b>3<br><b>When: </b>5 months ago<br>Beautiful monument. But fully with drunky people<br><br><b>Author: </b>Dunhill An; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>Good place to sit on for a while<br><br><b>Author: </b>David Frew; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Sadly there was no water in the fountain, so it lost a lot of the potential appeal.  A nice little square with very limited traffic (although motorcycles seem to think they can cut across the pavements.)
It has a few bars/bistros which really benefit from the limited traffic so they are quiet and you can people-watch without the constant noise of car horns which is my abiding memory of Paris.<br><br><b>Author: </b>SW L; <br><b>Rating: </b>3<br><b>When: </b>11 months ago<br>The place is becoming livelier as the deconfinement happens.<br><br>",PRK
9,Fontaine du Châtelet,,,2.3472993,48.85749759999999,4.2,970,"[]<b>Author: </b>Alex Sierra; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Nice fountain! If you are in the area you should visit!<br><br><b>Author: </b>Minod dilakshan; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>👍<br><br><b>Author: </b>Mahmoud Turki; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>nice golden statue<br><br><b>Author: </b>Grant Goldman; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Attractive city park with big fountain<br><br><b>Author: </b>Moutaz Elkaissi; <br><b>Rating: </b>3<br><b>When: </b>2 years ago<br>Not maintained well, beautiful though. Not running no water when we visited. There were pictures and flowers of someone that passed there so not sure what that is about<br><br>",PRK
