,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews,type
30,Piazza Navona,https://www.turismoroma.it/it/node/1516,,12.4730742,41.8991633,4.7,120149,"[]<b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>So beautiful, and so crowded sometimes. It is sometimes impossible to get a good picture in this plaza, but it is Rome, you need to enjoy the life that comes with it. Is a great place to have dinner and if you wait time enough you can take a very good night picture. Just be patience.<br><br><b>Author: </b>Creative Jay; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Incredible place. The massive church as you walk onto the plaza is amazing. Make sure you go inside and view it, words can not describe how stunning it is. Go day or night and enjoy this place. The only negative is the restaurants. Just avoid them if you can<br><br><b>Author: </b>Shelby Elkins; <br><b>Rating: </b>5<br><b>When: </b>2 weeks ago<br>Free to enter and walk around. Beautiful fountains, access to a nice church, and plenty of places to eat. A must visit site when you are in Rome! Highly recommend!<br><br><b>Author: </b>Bert Parham; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>A fantastic place to go and people watch, enjoy pretty good food and ice cream. We visited several times as our hotel was in close proximity. Each time of day brings something different.<br><br><b>Author: </b>Kai; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>It was really calming and relaxing. Honestly I would love to go there again. The restaurants and coffee shops where top quality and the place was magnificent.<br><br>",TOUR
10,St. Peter's Basilica,http://www.vatican.va/various/basiliche/san_pietro/index_it.htm,+39 06 6982,12.4539367,41.90216669999999,4.8,119027,"[]<b>Author: </b>Thomas Sallermann; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>This is the most important place in Roman Catholicism. The building in itself is quite impressive. You can discover lots of beautiful art. Fortunately not all the money💶 made by the church is given to the poor. It seems that comparatively few people come here to pray (I discovered some nuns in a small chapel doing this). Please wear the mask😷. Protect the Vatican.<br><br><b>Author: </b>Vedat Odacı; <br><b>Rating: </b>4<br><b>When: </b>3 months ago<br>We can call St. Peter's Basilica as the most important Catholic House of Worship in the world. Just as the Kaaba is important for Muslims, St. Peter's Basilica is of similar importance to Christians. The only difference is that in addition to its religious importance, this place is also interesting in terms of art and tourism.

The basilica, one of the 12 apostles of Christ and built on the tomb of St. Peter's (or at least the tomb of the person thought to be St. It is also one of the most important stops of travel.

Being the largest church in the world in terms of its area of ​​coverage, St. In addition to being a religious building, Peter’s Basilica is an exquisite example of Renaissance architecture and perhaps the most expensive artworks in the world.

Located in the heart of the Vatican, in St. Peter's Square (St. Peter's Square or St. Peter's Square), St. Peter's Basilica is an important and striking structure with its interior, exterior, underground part, in short, with every centimeter.<br><br><b>Author: </b>Isabella Dicaprio; <br><b>Rating: </b>5<br><b>When: </b>2 weeks ago<br>I suggest looking at this city not only as a work of art and opulence, but also historic and controversial. They have done a great job at preserving these fantastic displays of art. The entrance is free but the wait may be long. I highly recommend to go up the dome of the basilica. It's worth the money and effort. When you walk on  the roof, you'll see a complete different view as of being down on the plaza.<br><br><b>Author: </b>Al Dhalla; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>It was an incredible experience. We joined a tour group. They picked us up from the hotel and they assisted us through the security and had preferred seating for us. We attended a mass. We had a great view of the Pope as he entered the area and took some great photos. After the mass, we walked around, visited the gift shop, got some lunch and went back to our hotel. Overall great visit and highly recommended. Thank you.<br><br><b>Author: </b>Muthu; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>A visit to Rome will not be complete without a visit to Vatican City, and St. Peter’s Basilica is the most important place to visit in Vatican. It is the largest church in the world. There is a stunning view of Rome and St. Peter’s Square from the Dome of St. Peter’s Basilica. The two semi circular colonnades by Bernini with the Egyptian Obelisk in the middle look impressive from the dome. But there is no elevator to this part of the structure.<br><br>",TOUR
7,Vatican Museums,http://www.museivaticani.va/content/museivaticani/it.html,+39 06 6988 4676,12.4536413,41.9064878,4.6,109209,"[]<b>Author: </b>Claudia Andrea C; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>A must! I would highly recommend to assign half a day to the museums, in order to see everything inside. It is really big and it could take a while to finish it. Take comfy shoes because you will walk a lot. Also don't forget your water.<br><br><b>Author: </b>James Blassingame; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>If you find yourself in Rome, do what the Romans do.........check out The Vatican!!!  The earlier in the day that you can get there the better off you will be. This place gets PACKED!!!  Not really an issue right now, but when school is in session the school groups swamp the place, and that's not even mentioning regular tourist.  The setting is immaculate, absolutely beautiful.  One thing that I noticed, there was a legit military/law enforcement presence at the Vatican.  If someone is going there with the intention of breaking bad, I pray for their soul.  The armed guards aren't playing, and looked legit as any military operation I can think of.  The Sistine Chapel is a sight to behold, worth the churning herd of people to see it in person.  Don't pull your cameras out, they don't take too kindly to that either.  This isn't from personal experience, but I didn't see some people who encountered issues.<br><br><b>Author: </b>Angelos Odyseakis; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Amazing experience, but very crowded.<br><br><b>Author: </b>Aicha Ben; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Just amazing! Everything is beautiful and they have everything!! From Painting, sculptures to tapestry... but the ceilings... oh the ceilings just beautiful you’ll spend 80% of your time looking up<br><br><b>Author: </b>Mrs Mrs; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>A fantastic museum that is like a time capsule. There are displays that go back as far as Constantine, all the way up to the present day. We were lucky enough to have come on an evening tour and the museum was not crowded. Our tour guide was able to give fantastic insight into the pieces of art and relics on display. The artwork on the ceiling is amazing, it looks like 3D plaster but it's not it's actually all hand painted!<br><br>",TOUR
5,Castel Sant'Angelo,http://castelsantangelo.beniculturali.it/,+39 06 681 9111,12.466276,41.90306319999999,4.7,54181,"[]<b>Author: </b>Ghazzal Mehdi; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Surely a five star place. Perhaps the most iconic in Rome? To be honest, Rome has so many iconic places that I lost the count...
Anyway, near to. Vetican, great bridges.. Simply outstanding...<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Greater sight from the outside, I hope the pictures make sense of the very nice place this is. The architecture is different from other landmarks as it was intended for a different purpose in the religious history. Prepare to walk a lot. I would recommend the walking tour if possible.<br><br><b>Author: </b>Marcel van Poeijer; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>This huge Castle is definitely worth a visit. Even though I did not go in (entrance fee = 15EU), I still loved the outside area and the little park next to it. When you go inside, it is recommended to go before sunrise, as the sunrise view on top of the terrace should be lovely.<br><br><b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Great place to visit with spectacular views all around Rome. Interesting artefacts and some Papal history to see. Some of the rooms are stunning. There are a lot of stairs so people with mobility issues may struggle although there is a lift to the second level which can be used on request. This does mean that you will lose out on the top terrace which provides the best views. All the staff were extremely helpful and kind.<br><br><b>Author: </b>Rich; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>A fine visit. The best thing about this castle is the view you get once you're on the top floor.<br><br>",TOUR
31,Campo de' Fiori,https://www.turismoroma.it/it/luoghi/campo-de%E2%80%99-fiori-e-piazza-farnese,+39 06 0608,12.4721829,41.8955904,4.4,40690,"[]<b>Author: </b>Wunderklumpen; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>It is okay. But not worth to visit.<br><br><b>Author: </b>Marlene Münch Schuster; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>As most piazzas, it is beautiful. And I like Giordano Bruno, although I have been told he was lacking charm<br><br><b>Author: </b>SilverWolf Beats; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>A good place to spend time with friends and family.  There's bars, restaurants and many more.  Police is always visible in the area to insure people follows safety protocol. Just a five minutes walk from the main road..<br><br><b>Author: </b>Deniz Hassan; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Splendid square comprised of four roughly equal sides. It houses several pleasant establishments for drink and food. The water fountain has excellent pressure and nice, cool water.<br><br><b>Author: </b>Vladimir Balaz; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>The place is famous for final moments on Giordano Bruno. The place, however, also has its own atmosphere. It is lively, with many people, shops and cafes. And there are flower shops as well, of course.<br><br>",TOUR
17,St. Angelo Bridge,,,12.4664617,41.901788,4.7,14856,"[]<b>Author: </b>Aayush Khandelwal; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>It's worth to visit. Look at the alignment with St Peters basilica. Sit near by on bridge and feel the beauty of place and architecture.<br><br><b>Author: </b>Vasilis Karaman; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Amazing bridge! The most beautiful I have ever seen. All these statues all over the road are in the highest level! At the night this beauty increases!!<br><br><b>Author: </b>Father Kenny Ang; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Seeing the statues of Saints Peter and Paul at the eastern end of this bridge reminds me that I’m standing in a city that witnessed the life of the early Christians. When I came here about two years ago, there were people dressed as Roman soldiers with whom tourists eagerly took pictures (I did too!). Unfortunately, I see that many visitors missed the ten statues of angels holding the symbols of Christ’s Passion devised by none other than Bernini (he wasn’t the only sculptor though; other sculptors collaborated in the project).<br><br><b>Author: </b>Dom Swatton; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Couldn't recommend this bridge more for crossing the water.
It has everything you need, clearly marked walkways, cobble stones and even statues.
Great views of the homeless camping along side the water.
Simply stunning<br><br><b>Author: </b>מאור לוי; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Their shark was, in this moment, a pioneering sheep. Credible grapefruits show us how goldfishes can be snails. An eager chicken is a grape of the mind! A powerful melon without bees is truly a chicken of boundless melons. Recent controversy aside, the chimpanzee of a peach becomes a painstaking lime; Few can name an amusing fish that isn't a confident camel. After a long day at school and work, they were lost without the pro-active giraffe that composed their peach. After a long day at school and work, a sympathetic squirrel without sheeps is truly a giraffe of dynamic sharks; Few can name a skillful lime that isn't a decisive cat. The kumquat is a cow!<br><br>",TOUR
15,Fiumi Fountain,http://www.060608.it/it/cultura-e-svago/beni-culturali/beni-architettonici-e-storici/fontana-dei-fiumi.html,+39 06 0608,12.4730872,41.8989673,4.8,4575,"[]<b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>All comments agree in one thing. This is a beautiful square, the 4 rivers fountain is a great sight. The details and the history behind it are just marvelous. You can have a coffee. Lunch or dinner at the surrounding restaurants, have a look at the daily life at the Piazza Navona is just delightful. Recommended for all parties<br><br><b>Author: </b>Shelby Elkins; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Always a pretty sight to see! Of course, Piazza Navona is free to visit. There are plenty of food options in the square and so much to see. The church is free to visit, and the three fountains are very nice. You can even talk to a psychic and learn your possible destiny!🤫<br><br><b>Author: </b>Mahammad Alizada; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Amazing<br><br><b>Author: </b>Hartmut P; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Fountain made by the famous baroque artist Bernini , depicting the four great rivers of the World<br><br><b>Author: </b>Regan; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>The coolest back story for a fountain ever! The figures on the fountain are all covering their faces to save their eyes from the sight of a rival Architects Building adjacent. Brilliant! Incredible sculpture also and set an an impressive square.<br><br>",TOUR
16,Church of St. Louis of the French,http://saintlouis-rome.net/,+39 06 688271,12.4745405,41.899581,4.8,4410,"[]<b>Author: </b>Father Kenny Ang; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>This is one of my favorite churches in Rome, since I especially love Caravaggio and his works. Every time I come here, I almost always head directly to the Contarelli chapel just to delight in his three paintings of St. Matthew. My favorite one is the Calling of St. Matthew on the left-side wall of the chapel (which is the darker side of the wall, unfortunately). When I went there yesterday, some ladies already put some euros into the machine so the entire chapel was brightly illuminated. I was a lucky pilgrim and photographer!<br><br><b>Author: </b>Veranika Tsybulskaya; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Spectacular! Definitely worth to visit not only for a Caravaggio works, but for an ambience itself. Rich and spaced. Were lucky to end up there during the organ mass - truly recommend!<br><br><b>Author: </b>Iman Traveler; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>3 Caravaggio paintings!!! What could you expect more?

Short explain:
is a Roman Catholic church in Rome, not far from Piazza Navona. The church is dedicated to the Virgin Mary, to St. Denis the Areopagite and St. Louis IX, king of France. The church was designed by Giacomo della Porta and built by Domenico Fontana between 1518 and 1589, and completed through the personal intervention of Catherine de' Medici, who donated to it some property in the area. It is the national church in Rome of France.<br><br><b>Author: </b>George; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>The ceiling is covered in beautiful art. If you are in the area you must pop in for a look. It is free and marvelous.<br><br><b>Author: </b>Ron Nederpelt; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>I Caravaggi. I CARAVAGGI! A day without seeing a painting by Caravaggio is a day not lived.<br><br>",TOUR
20,Orto Botanico di Roma,https://web.uniroma1.it/ortobotanico/,+39 06 4991 7107,12.4628307,41.8923247,4.4,3655,"[]<b>Author: </b>tomas kochan; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>Doesn't worth the money..8€ I could spend a lot better.<br><br><b>Author: </b>Vladimir Kostic; <br><b>Rating: </b>1<br><b>When: </b>9 months ago<br>Don't go here... 8eur ticket to see sad plants..many of them half dead... parts of the garden are literally a mess

there are many beautiful gardens in Rome that are better taken cared and more pleasant to spend time in... the only worthwhile place was a bench in bamboo section with a nice view (actually bamboo section was the only decent part)

All in all it was very sad experience for us<br><br><b>Author: </b>Alice Ho; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Maybe it's the time of the year. Not much plants nor flowers to see. Also not very well kept.<br><br><b>Author: </b>Dri Kool (thekoolitaly); <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>An absolute delight. During the summer can be an oasis to hide away from sun. Take a guided tour , highly recommended... although I'm not sure if their tours are only in Italian.<br><br><b>Author: </b>Kuala Bound; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>The hill is a huge help to the beauty of the garden. I was impressed by the massive ancient platanus next to the eleven fountains steps. And i liked also the tropical greenhouse but i fear they should find a way to increase its roof not enough high. Fens valley looked a bit messy. The Samples garden can be risky so pay attention to bees.<br><br>",TOUR
34,Museo di Roma - Palazzo Braschi,http://www.museodiroma.it/,+39 06 0608,12.4727241,41.897551,4.5,2615,"[]<b>Author: </b>M in Paris; <br><b>Rating: </b>3<br><b>When: </b>2 months ago<br>The building is amazing and especially on the third floor there is a very interesting little exhibition of the evolution of the Roman architecture. The second floor you'll find a little bit of history of the clergy and romans aristocracy through the centuries but no ground breaking paintings.<br><br><b>Author: </b>Dominic Arbuthnott; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Great view from top floor<br><br><b>Author: </b>Vijay Sisodia; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Nice little museum. (Be warned that it isn't very big so don't expect to spend more than a few hours here.)
Information is multilingual
Staff are friendly
Has seating area in almost every room.
Has good interactive videos explaining the history of Rome.
For those with a Roma pass, you still have to go to the ticket office to get your tickets.<br><br><b>Author: </b>David naftalis; <br><b>Rating: </b>2<br><b>When: </b>9 months ago<br>Museum with variable exhibitions.
Not pricy.
The staff not welcoming and very not patience...<br><br><b>Author: </b>Tony Popa; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The Museo di Roma is a museum in Rome, Italy, part of the network of Roman civic museums. The museum was founded in the Fascist era with the aim of documenting the local history and traditions of the ""old Rome"" that was rapidly disappearing, but following many donations and acquisitions of works of art is now principally an art museum. The collections initially included 120 water-colours by the nineteenth-century painter Ettore Roesler Franz of Roma sparita, ""vanished Rome"", later moved to the Museo di Roma in Trastevere.<br><br>",TOUR
