,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews,type
4,Louvre Museum,https://www.louvre.fr/,+33 1 40 20 50 50,2.337644,48.8606111,4.7,210845,"[]<b>Author: </b>Vic; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Absolutely in love with this place. It is huge so I would recommend spending a day or two if you really wanna go through everything. wasn’t too crowded overall except around the Mona Lisa where it was a stampede. There is something for everyone here, it ranges in different time periods and art forms. It surpasses anything we have in Canada in terms of an art museum.They have cute gift shops all around which is convenient. I came from Canada to visit and got the membership which I would recommend considering it was almost the same price as single admission and the line was shorter.p<br><br><b>Author: </b>Walt Bionik; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>The best art museum in the world. The Mona Lisa may be on your bucket list, but please do yourself a favor and see the rest of the museum. There are many paintings that are breathtaking that do not get the attention because of the ""Photo Op"" paintings. Contrary to what I read, I did not have to wait in a long line. The Louvre is very easy to get to by Metro and easy to navigate. I'm American and it was my first time in Paris. I can't wait to visit again.<br><br><b>Author: </b>Priya Indian Vlogger in Germany; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>There is no doubt that it is an absolute must visit for anyone who visits Paris. The place is the most beautiful museum of the whole world and houses a great deal of artworks, paintings and monuments. It is a  real gem with lots of very high-end artworks. The quality of all sculptures is way too high as you can easily see and feel it. Mona Lisa is also in this museum. I was simply amazed at each and every part of this museum as it was full of history and has lots of very fine artworks around. It is very well organized and maintained and worth every penny. I would recommend to must visit it if you are going to Paris.<br><br><b>Author: </b>Marinko Zubac; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>The museum is amazing. We were the whole day in Louvre and still you have the impression that you could stay there forever. It's something you definitively should visit when in Paris.
Buy your tickets online so you don't have to wait in queues for the entrance.
The entrance to the museum is very simple. We waited for about 10 minutes to get through security. My suggestion is to get the Nintendo audio guide when visiting the Museum. It costs only 5 Eur and it helps a lot. The audio guide follows your location and helps to find around the museum. Its something like google maps for Louvre. When we were there Mona Lisa room was not too crowded so we had plenty of time to watch the painting. Do not search for souvenirs in the museum itself, you will have to go outside the museum in the direction of Metro station. There you will find the official Louvre Musem Shops.<br><br><b>Author: </b>Jenny Fall; <br><b>Rating: </b>5<br><b>When: </b>3 weeks ago<br>Visiting the Louvre is an amazing experience that will stay with you forever. There is so much history and beauty to absorb and admire. The building itself is exquisite along with the beautiful painted ceilings. Then, there is of course all of the art. Winged Victory, Venus Di Milo, and the Mona Lisa are just a few of the world's most famous works of art that are permanently on display at the Louvre.<br><br>",TOUR
9,Luxembourg Gardens,http://www.senat.fr/visite/jardin/index.html,+33 1 42 34 20 00,2.3371605,48.8462217,4.7,77274,"[]<b>Author: </b>hafs Abdelwaheb; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>This will be my place to pass the weekend 👌🏻<br><br><b>Author: </b>Halim Hamdan; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Such a lovely place truly. There is banks, chairs and so many space to sit down and just enjoy a peaceful day with a partner, friend or family or your child/children. You will find people who play multiple activities and sports and you will find a great spots for taking pictures. Enjoy!<br><br><b>Author: </b>Claudio Tavares; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>A bit crowded, as usual, but very well kept and clean. One of my favorite parks in Paris. And props to the gardeners, the flowers are always bright, healthy and in excellent shape!<br><br><b>Author: </b>Diku 2627; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>It was one of the best place to spend summer time. Surrounded by trees and spacious place and moreover you will get needful thing to eat. Must visit and enjoy the atmosphere.<br><br><b>Author: </b>Véronique Robin; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Beautiful and peaceful garden, very pretty statues and elegant building for the Senate. You can play chess and there is a safe place for young children.
Two reservations: crowded and no toilets.<br><br>",TOUR
15,Tuileries Garden,https://www.parisinfo.com/musee-monument-paris/71304/Jardin-des-Tuileries,,2.327494299999999,48.8634916,4.6,72225,"[]<b>Author: </b>Joe N; <br><b>Rating: </b>5<br><b>When: </b>11 months ago<br>This place is gorgeous! Even though there aren't green leafy trees because of the season, it's still amazing to walk around and enjoy the scenery and marvel at all the buildings around the park. You can enjoy seeing family and tourists gathered and just enjoying the same space as you and make you just want to enjoy the moment even longer. It's a nice area to go for a run with the ground mostly heavy sand and not very rocky.<br><br><b>Author: </b>Luca Doria; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Impressive in the historical context and beautiful architecture that surrounds it but the swathes of grit and very little green make them quite soulless as many other gardens in central Paris. The great space occupied by grit and sand in hot days make you feel almost like you are in a desert. With impending climate change there should be more grass, bushes and somewhat a turn towards an English landscaped garden...it would be much better. I hope that Paris local authorities are gonna adapt these Gardens as overall they're not welcoming places.<br><br><b>Author: </b>Elena; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>very beautiful! you can walk around, sit on one of the cute green chairs and watch. one of the water fountains, or relax in a nice café! beautiful roman statues you can see everywhere! sadly the floor is full of sand/dust and because it's a little windy the dust gets everywhere on your clothes and shoes...<br><br><b>Author: </b>Solyi H; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>What a beautiful place.  The flower garden was exceptionally well designed taken cared of.  It’s lovely to go when there are very few people around.<br><br><b>Author: </b>Abigail Cai; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>It’s my favorite vibe in Paris. I spent time sitting on the chair with my friends under the shade of the tree. There are always beautiful flowers there and the Ferris wheel.<br><br>",TOUR
3,Musée d'Orsay,https://www.musee-orsay.fr/,+33 1 40 49 48 14,2.3265614,48.8599614,4.7,53875,"[]<b>Author: </b>igwinelove fujin421cellar; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>This is the greatest museum in the world. It’s so happy to live in Paris, as long as you have time, you can come and see it anytime. It’s very helpful for human beings. It’s very helpful for children. Born in Paris, you can come here every day when you have time.  In addition to food and wine, Chen Hao also has culture, art and healthy Paris. Happy Paris I love<br><br><b>Author: </b>Yrn Sbh Shll; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>One of the best Museum. Display, atmosphere, the building, object are amazing. there is a locker room for free and it is so convenient to leave bags and walk around. taking picture was forbidden for many saloons. yet the memory of it good enough.<br><br><b>Author: </b>Fabio De Angelis; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Who am I to evaluate such a wonderful, astonishing museum, full of masterpieces of world culture? If you are in Paris, take your time to spend three, four hours, one day in this must-to-be-seen museum! Enjoy that time! ;)<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Great museum, great location. You could think it is a small museum, but the distribution and the amount of art pieces you will find are endless. You can spend 3 hrs here easily. I recommend it for youngs and adults. I would go back definitively.<br><br><b>Author: </b>Jessica Zug; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Beautiful museum if you're mainly interested in impressionism, expressionism and everything around and between that! Heaven on earth for Monet-lovers like me!<br><br>",TOUR
7,The Centre Pompidou,https://www.centrepompidou.fr/,+33 1 44 78 12 33,2.352245,48.86064200000001,4.4,45852,"[]<b>Author: </b>Cyril Martinot; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Interesting place with a lot going on, went there for the exhibition on protestation and loved it!<br><br><b>Author: </b>Laurie Bostian; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>My friend and I had a great experience exploring Centre Pompidou on one of our layovers in Paris. Definitely worth the trek! She had been before and was sure that I would love it as well. I'm an artist and try to visit as many museums as I can all over the world, seeking inspiration and insight.<br><br><b>Author: </b>Norma Goro; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>The bookstore at this center is wonderful, it has incredible titles, catalogs of past exhibitions and excellent editions, critiques and art reviews. The architecture of the Center is very interesting, the square fills with people talking, it is a place full of life and that offers art exhibitions that you can only find in Paris.<br><br><b>Author: </b>Alexander Fuchs; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Good collection of art. We showed up in time for our time slot but still had to wait 30min in line. Famous facade is currently under construction (August 2020)<br><br><b>Author: </b>Avand Fardi; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Good collection, good taste.

Don't forget to take a look at Paris itself from the top of Pompidou Museum buildings.

Splendid!<br><br>",TOUR
2,Cathédrale Notre-Dame de Paris,https://www.notredamedeparis.fr/,+33 1 42 34 56 10,2.3499021,48.85296820000001,4.7,43246,"[]<b>Author: </b>Priya Indian Vlogger in Germany; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>It is one of the most visited and beautiful church in Paris. There is a lot of history attached to it. You can visit this place very easily and conveniently via public transport. The ancient architecture is worth admiring in every aspects and you can take great shots of the church. The surrounding region is very beautiful and you can enjoy the natural and architectural beauty of this place by planning a day or half day trip to this place. There is a large shopping area with lots of restaurants and shop about a few hundred meters from this place.<br><br><b>Author: </b>권주환; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>At first, I feel sorry for the fire occurred last year. As one of the people who've visited here before the accident,  I hope the restoration ends successfully. Even though I have been here when I was about 12-13 years old, this structure gave an strong impression. It was big, and details all over the building were interesting. I hope to see this beautiful church again with my grown up sights.<br><br><b>Author: </b>Pamela Rajah; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Loved it...I had visited...before the actual fire...it was beautiful...as it was meant to be....I got on my knees...and prayed in this church...we even lit a candle...tried not to feed the birds...but...it was an amazing experience...my cousin's  loved it also.<br><br><b>Author: </b>Tom Sitt; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>I saw it before the fire and it was pretty cool to see. Seeing it now all damaged is sad but there are interesting facts and information posted around the church as it undergoes repairs...still worth it to go by and check it out.<br><br><b>Author: </b>Anil Rayarala; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>A place to visit once in a lifetime. Breathtaking and very picturesque. Structure is the best tourist attraction in Paris. Would love to visit again if ever have a chance. Most famous cathedral of the middle age .<br><br>",TOUR
35,Panthéon,http://www.paris-pantheon.fr/,+33 1 44 32 18 00,2.3464138,48.8462218,4.6,31314,"[]<b>Author: </b>Generic Username; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Really stunning. This wasn’t on our list of places to visit but we were nearby and popped in. Very grand tributes to some of France’s monumental figures in history. Amazing architecture, it’s very moving inside.<br><br><b>Author: </b>Ido Naim; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Impressive monument and the burial grounds of some of the most famous and influential people ever lived.
A converted cathedral, older than 240 years. Super big, spacious and was built to mimic St. Paul's Cathedral in London.
The audio guide is pretty messy and requires you to go with the brochure as well. Make sure to not confuse the location market numbers with the audio guide numbers.<br><br><b>Author: </b>Chad Taylor; <br><b>Rating: </b>5<br><b>When: </b>3 weeks ago<br>Highly recommend! Nestled in the Latin Quarter, adjacent to The Sorbonne and other prominent architecture, the Pantheon commands attention; drawing the eye to its detail and grandeur. Inside, the eyes wander ever upward to the painted, patterned domes and vaulted ceilings.<br><br><b>Author: </b>Ricardo Marino; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>A national treasure and a monument to the Republic. The interior is grandiose and the crypt is also pretty nice. I just wish the heroes of the Republic that lay there had a decent explanation of their story, for now this is only true to a handful of them.<br><br><b>Author: </b>Aikaterini Stamou; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Impressive monument and museum.  Is overwhelming to see the burial grounds of some of the most  influential people ever lived.
And Foucault's pendulum was spectacular!!
Must visit place!<br><br>",TOUR
5,Sainte-Chapelle,http://sainte-chapelle.monuments-nationaux.fr/,+33 1 53 40 60 80,2.3449609,48.855375,4.7,25732,"[]<b>Author: </b>Marianne Nageh; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>I like it.But 10 euros is too much for a ticket.<br><br><b>Author: </b>S.K. K; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>must see in Paris. But 11,50€ per adult for maybe 10 minutes of sightseeing (it’s really small in there) is extremely expensive. They should overthink their pricing policy. But except for the price the chapel is really beautiful, especially when the sun is shining. Incredible colors!<br><br><b>Author: </b>Briana Villanueva; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Best money I’ve ever spent. It’s very well priced, but I would pay anything to see this place. It is so beautiful. No lines when we went, and everyone was very friendly! Definitely worth seeing!!<br><br><b>Author: </b>Deli Rosca; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>A must see in Paris<br><br><b>Author: </b>Agostina Pignataro; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Amazing! Quick visit, it’s small but incredible beautiful. Totally worth it<br><br>",TOUR
29,Palais Garnier,https://www.operadeparis.fr/,+33 1 71 25 24 23,2.3316014,48.8719697,4.7,23922,"[]<b>Author: </b>Jenny Fall; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>This was easily the most breathtaking hidden treasure in Paris! Why it isn't listed in the top sights to see is beyond me. I am so glad that I researched and planned my visit, otherwise, I would have missed seeing this beautiful opera house. It is definitely in my top 10 sights to see in Paris! The architecture, the interior opulence with marble and mosaic flooring, the room with the hall of mirrors, which reminds me of Versailles, and so much more made this a visit that I shall always remember with awe and appreciation. When planning a trip to Paris, I hope you visit. You will be glad that you did. You can book a tour and/or see a live performance. For those who love the story of the ""Phantom of the Opera,"" there are special tours available that are phantom inspired as well.<br><br><b>Author: </b>Priyadharshni RAMANUJAM; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>I went on the tour inside the palace. It was incredibly beautiful! Every bit of the palace has some detailed work or the other. Too bad I couldn't get any tickets to see any show but I've been told multiple times that they're really good.<br><br><b>Author: </b>Tim Paris; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>My favourite building in the city, probably one of the most beautiful. It's stunning architecture is one of the selling point of the Opera<br><br><b>Author: </b>Eric F Raigosa-Sanchez; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>The house that inspired the immortal novel: THE PHANTOM OF THE OPERA, which inspired the silent classic, starring the IMMORTAL LON CHANEY SR!<br><br><b>Author: </b>Moven MVRL; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>beautiful architecture, but unfortunately it's temporarily closed when I visited.  The gift shop was cute though, it's definitely a place I would come back to again.<br><br>",TOUR
22,Place des Vosges,http://www.parisinfo.com/transports/73189/Place-des-Vosges,,2.3655266,48.85561140000001,4.6,18236,"[]<b>Author: </b>Deppie Dam; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Special place. Victor Hugo's house is located there.<br><br><b>Author: </b>Laura Ponzoni; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Most beautiful place in Paris. Houses date back from 1600, the garden with fountains is wonderful and you can sit on the grass.
Under the arcades there are many art galleries.
Renzo Piano lives here when in Paris.<br><br><b>Author: </b>valentino dardengo; <br><b>Rating: </b>4<br><b>When: </b>5 months ago<br>A little park where you can enjoy the rares sunny days.
No matter if it is for the workout or for a book, this park is ''cozy'' and the area around the park is absolutely nice.<br><br><b>Author: </b>Léo Liénard; <br><b>Rating: </b>4<br><b>When: </b>in the last week<br>Nice spot. Somewhat crowdy for a strolling area. I also like the buildings that surround the plaza, they kind of brand the place in their own right.<br><br><b>Author: </b>Chantelle Y; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>There are nicer parks in Paris, but it's okay.<br><br>",TOUR
