,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,Cantina e Cucina,http://www.cantinaecucina.it/,+39 06 689 2574,12.4716376,41.8979905,4.6,5855,"[]Author: Hailey Brittain; Rating: 5; When: 5 months ago <br> ABSOLUTELY TO DIE FOR! The food was amazing, the waitresses and owner made it so incredibly fun, and the atmosphere was perfect. Picturesque place with the most fun servers and truly delicious food. It is a must in Rome!<br> NEXT <br> <br>Author: John Von Bryan Umali; Rating: 5; When: 6 months ago <br> I must say that this restaurant is one of the best restaurant here in Rome. The food was first class and the service excellent. Our waitress Roxy was helpful, attentive and efficient. I would certainly go back to this restaurant.<br> NEXT <br> <br>Author: Rachel Cross; Rating: 5; When: 6 months ago <br> SUPER cute atmosphere in a small Italian alley with candles on the tables. The food is amazing as well as they service. They speak perfect English. Eating here at least once is a must.<br> NEXT <br> <br>Author: LL v Vemde; Rating: 5; When: 6 months ago <br> Delicious food and friendly and fun staff. Martina was our waitress and she was great! We made nice conversation and she gave us some tips on where to go and have drinks. 10/10 would recommend<br> NEXT <br> <br>Author: david west; Rating: 5; When: 6 months ago <br> Good food good service happy to recommend would return when back in Rome deep fried artichoke worth a shot.<br> NEXT <br> <br>"
1,Sant' Eustachio Il Caffè,https://www.santeustachioilcaffe.it/,+39 06 6880 2048,12.4754254,41.8982749,4.2,5759,"[]Author: Maria Bondarenko; Rating: 4; When: 6 months ago <br> Super busy and not very friendly. Coffee is good but very expensive. This costs 6.8 eur<br> NEXT <br> <br>Author: Lou Mustillo; Rating: 4; When: 6 months ago <br> Very good espresso and pastries, but service is slow. Good location. Staff were friendly. Many pastry choices.<br> NEXT <br> <br>Author: Tina Leong; Rating: 5; When: 9 months ago <br> Best espresso I've had in my entire life. Never had espresso so creamy and smooth. Not a hint of burn/bitter taste like the ones we get in North America. Pastries were good too. I went there every day while I was in Rome for a week. I love the novelty of being able to stand by the bar and seeing the pros at work and listening to the clicking of cups, hissing of the espresso machines. Sitting is over-rated. Hey, when in Rome right. Can't wait to be back! Thank you Eustachio!<br> NEXT <br> <br>Author: Carol Murillo; Rating: 5; When: 6 months ago <br> This is a must stop! This place has been her since early 50's...their coffee is amazing...I had the coffee granita with fresh whipped cream!!!<br> NEXT <br> <br>Author: Nathan Lewis; Rating: 5; When: 8 months ago <br> Best coffee in Rome! And a great buzz around the cafe with locals & tourists. Especially in the summer months, stop by for a refreshing iced coffee.
I always purchase enough coffee to take back home.<br> NEXT <br> <br>"
2,L'Antica Birreria Peroni,http://www.anticabirreriaperoni.it/,+39 06 679 5310,12.4824441,41.8987803,4.4,4625,"[]Author: Keeley Levers; Rating: 5; When: 6 months ago <br> Recommended here by our tour guide Davida from city wonderers and we are so glad we went! A true authentic Italian restaurant where the locals eat! So reasonably priced for the quality. My only issue which I feel I have to mention is that our waiter was not too inviting as we were tourists who didn't speak Italian, he practically chucked my meal on the table and I had to catch it 😅. I am not marking down the place for this issue as we feel it was just him personally as everyone else was very welcoming and other waiters were friendly and joking with their tables, even those tables with tourists. But if you want a VERY good meal please don't let this put you off.<br> NEXT <br> <br>Author: Martin Webb; Rating: 5; When: 7 months ago <br> Fantastic Peroni served by hosts with huge character. One not to miss<br> NEXT <br> <br>Author: ernesto ramos; Rating: 4; When: 6 months ago <br> The food is very good and tasty, vert good value for the money that you pay. The only thing is that one of the pasta was a bit salty. But still delicious. 100% recommended<br> NEXT <br> <br>Author: erwin starkl; Rating: 5; When: 8 months ago <br> Great food, good drinks, and perfect service. No fancy food, but you get something for your money. And till now, the best service in Rome, attentive and polite. Highly recommended. If you come to Rome, dont miss this place.<br> NEXT <br> <br>Author: Kayley Moore; Rating: 3; When: a year ago <br> This place has cheap food and decent portion sizes. Always pretty busy with tourists and Italians.
Not bad, fun for a birthday experience as they have a special little treat/show for any birthday guests<br> NEXT <br> <br>"
3,Open Baladin,https://open-baladin-roma.business.site/,+39 06 683 8989,12.474626,41.893488,4.5,3878,"[]Author: Ezekiel Mercau; Rating: 5; When: a month ago <br> Great bar with a vast variety of craft beers. Yhe La Touche Belgian ale is very good!<br> NEXT <br> <br>Author: Daniele Calisi; Rating: 1; When: 6 months ago <br> I have been there for years, they have always been kind and professional. It never happened in three years that a pub does not allow me to give to my son his own food. They have good food, but definitely (or at least in my humble caring-parent opinion) not suitable as main meal for a 3 yo kid. Maybe something has changed in the last months: they refused to swap chairs to make my kid more comfortable, they do not have seats for children and they do not allow parents to give their own food to children. As a sad end of the story, while we were going away saying we cannot stay in a place where they do not allow to feed our son, they just answered ""please go away, we have other customers waiting"".
My son, as soon as we were out, expressed his clear-as-only-a-child-can opinion: ""they were not friendly, daddy"".<br> NEXT <br> <br>Author: Matt Sanders; Rating: 5; When: 4 months ago <br> Wide selection of beers, nice to find craft beer in Italy. The staff were friendly and knowledgeable. Craft beer in Italy still has a way to go in my opinion, but these guys are pushing forward.
Vegan snacks and food is also great.<br> NEXT <br> <br>Author: Paul; Rating: 1; When: 6 months ago <br> We ordered Tomato caprese; it was totally un seasoned. The tomatoes were green and not ripe, no taste.
We tried to order a Beer Cocktail wich was presented on a Menu Board in the bar. They told us they have no Cocktails because they have no ice!
Other Food we ordered wasnt available.
We tried the chicken. It was well seasoned But very dry.<br> NEXT <br> <br>Author: Mikołaj Buszman; Rating: 4; When: a year ago <br> Very nice choice of beers! I really liked what they were offering. I was there more than month ago and I remember that some of stuff was a bit grumpy but everybody have their days. Thus I understand that too :) To sum up, I would still go back there as it was in general nice place and their beers are awesome! 🍻🍻<br> NEXT <br> <br>"
4,Ginger,http://www.gingersaporiesalute.com/,+39 06 6994 0836,12.4795148,41.9042435,4.2,3626,"[]Author: Blaec von Kalweit; Rating: 5; When: 3 weeks ago <br> Love Ginger! Great for smoothies - which can be hard to find in Rome! Also good for brunch / lunch. Great atmosphere and always love coming here.<br> NEXT <br> <br>Author: Varun Mundkur; Rating: 4; When: 3 weeks ago <br> Nice mix of food with lots of vegetarian options. Good for all 3 meals of the day<br> NEXT <br> <br>Author: Lauren Busby; Rating: 1; When: 5 months ago <br> Sat for over 45 minutes with no service. No hello, no water, no drink orders, nothing but a hostess who sat us near a wall four tables deep where the server didnt want to walk to. The table near us was sat, orders taken, and appetizers served by the 45 minute mark.<br> NEXT <br> <br>Author: Никита Карпов; Rating: 4; When: 6 months ago <br> Very good location, right in the center.  A varied menu.  Good prices.  Good service.  Been here for breakfast, everything was good. Our friends from Rome advised to go there for dinner.<br> NEXT <br> <br>Author: Gaelle De Clercq; Rating: 3; When: 6 months ago <br> Delicious, fresh food. Horrible service though.<br> NEXT <br> <br>"
5,Caffè Portofino,https://www.caffeportofino.it/?utm_source=googlemaps&utm_campaign=Local&utm_medium=organic&utm_content=link_home_gmaps,+39 06 3211 0837,12.4670168,41.9081764,4.3,2606,"[]Author: Michael Quintana; Rating: 3; When: 4 months ago <br> Maybe it was just me, but the service was incredibly slow and unfriendly. My waiter also forgot a portion of my order and didn’t apologize when I pointed it out to her.<br> NEXT <br> <br>Author: Li Kyu Li; Rating: 5; When: 6 months ago <br> Very fresh juice!
The juice was 4.8€, but they gave a lot of free nuts.<br> NEXT <br> <br>Author: Daniel Loo; Rating: 4; When: a year ago <br> Solid place with decent prices. Breakfast was okay but service was quick and the prices are reasonable. Not a bad place to start the day. Got the Italian breakfast - you can pick four items. Coffee, juice, pastry, and water<br> NEXT <br> <br>Author: Matt Ownbey; Rating: 4; When: 2 months ago <br> Excellent service and ambiance.<br> NEXT <br> <br>Author: Timar Ivo Batis; Rating: 3; When: a year ago <br> Coffee was good. Hot chocolate was absolutely terrible.<br> NEXT <br> <br>"
6,Antico Caffè Greco,https://anticocaffegreco.eu/,+39 06 679 1700,12.4815533,41.9056208,4.1,2489,"[]Author: Luis B. C. Farias; Rating: 2; When: 6 months ago <br> EN/PT
What separates good standards and snobbery is not a fine line, both are constituted by entirely different things. Artwork is too cluttered, and the bathrooms are not up to my expectations. Staff should be trained to have at least a minimal amount of knowledge about the art displayed, which they don't. Waiter didn't ask me which Amaro I would prefer and ended up serving me a 10 € Jägermeister, with that money I can buy a bottle of it in the corner store of my house, 11.000 km away from there, I would expect nothing less than a fine Italian Amaro once he didn't ask. And also looked annoyed when I asked if it was more typical in Italy drinking it with or without ice. Regrettable seeing a café which has been open since 1760 like this.

O que separa os bons padrões da pretensão não é uma linha tênue, os duas são constituídos de coisas completamente diferentes. A arte fica amontoada nas paredes e os banheiros não se enquadram com o esperado. O serviço deveria ser treinado para ter o mínimo de conhecimento sobre a arte disposta, o qual eles não tem. O garçom não perguntou qual Amaro eu gostaria e me serviu uma Jägermeister de 10 €, com esse preço eu consigo comprar uma garrafa na esquina da minha casa, 11 mil km de distância de lá, por esse preço eu esperava um amaro italiano de primeira qualidade. O garçom também pareceu enojado quando eu perguntei se na Itália se toma o amaro com ou sem gelo. Uma pena ver um café aberto desde 1760 nessa forma.<br> NEXT <br> <br>Author: Nicola Caravaggio; Rating: 5; When: a week ago <br> One of the best and oldest cafe in Rome. If you want a true throwback to the Italian Belle Époque this is the must-go place.<br> NEXT <br> <br>Author: M Pozzim; Rating: 2; When: a month ago <br> It´s a wonderful place and well decorated but the girls in the staff are rude and give you no attention at all!!<br> NEXT <br> <br>Author: Andrew Dardi; Rating: 5; When: 5 months ago <br> One of the most outstanding places where you can have food or drinks. Since 1700's a must.<br> NEXT <br> <br>Author: Isabella Formento; Rating: 5; When: 6 months ago <br> It is not to be missed. The ambiance is out of the ordinary. Immerse yourself in the exhibits in the walls as you sip your coffee made by experts. The cakes are delicious.<br> NEXT <br> <br>"
7,Roscioli Salumeria con Cucina,,+39 06 687 5287,12.4742417,41.894256,4.4,2379,"[]Author: Kent Jakobsen; Rating: 5; When: 6 months ago <br> Very good place. Food and wine is superb<br> NEXT <br> <br>Author: Cyrille Dequidt; Rating: 5; When: 6 months ago <br> High quality dishes.
Nice service staff.<br> NEXT <br> <br>Author: Christiana Raht; Rating: 4; When: 5 months ago <br> Pretty tasty but my Cacio e Pepe didn’t pack as much flavour as I hoped. We enjoyed the wine cellar in the basement. My friend had a tomato based pasta that was delicious.<br> NEXT <br> <br>Author: hsaubewersy saurewesay; Rating: 5; When: 2 months ago <br> Absolutely if you find us in Rome you have to go to the best. Nothing to say, fully satisfied. They offer a taste of various types of bread and a dessert at the end. We had cacio e pepe and carbonara and a bottle of water. Without too many words, THE BEST EVER. I highly recommended this place.<br> NEXT <br> <br>Author: Sher Vasquez; Rating: 5; When: 7 months ago <br> Here's the thing.. I really don't even want to give Roscioli a rating... because I'm afraid it's already been discovered and I don't want to not be able to get a table next time I come to Rome (or let's get real, tomorrow when I go back for dinner again).

They are known for the cabonara, which is creamy perfection, but I cannot hold back my praises for the world's creamiest burrata and most mouth watering pasta: the cacio e pepe (which is four cheese & four peppers).  Oh my god.

The wine is great, the meats and cheeses are obviously fabulous (it's literally a stone cellar restaurant in the back of a butcher shop), but Jesus is that cacio e pepe pasta good.<br> NEXT <br> <br>"
8,Bar del Fico Roma,https://www.bardelfico.com/it/,+39 06 8865 7702,12.4707292,41.89937819999999,4.0,2030,"[]Author: Gahil John; Rating: 5; When: 6 months ago <br> Lounge Bar is super service!!!<br> NEXT <br> <br>Author: Lebsack Stephens; Rating: 5; When: a month ago <br> If you want to eat in a place where the menu is interesting and authentic, where staff are genuinely interested in their customers, where the wine on offer complements the food and where you feel that you are experiencing real and Italian hospitality, then this is the place to visit.<br> NEXT <br> <br>Author: Livio F; Rating: 4; When: 4 months ago <br> Decent place with good selection of finger food. All in all you can't expect anything more than a standard bar. The benefit comes from the location. A plus is the free WiFi. Staff courtesy is acceptable. In summary, the place is worth a visit. But I found the prices a little high.<br> NEXT <br> <br>Author: Spiros Adams-Florou; Rating: 5; When: 6 months ago <br> Excellent drinks (had a really good Paloma!) and really tasty food to accompany it! With our second drink we got a platter of delicacies, some empanadas, delicious little vegeburger, potatoes with cacio e Pepe sauce, croquettes etc. mmmm. Highly recommend<br> NEXT <br> <br>Author: Mordjann Souilamas; Rating: 1; When: 6 months ago <br> The waiters are soooooo rude and incompetent it’s unbelievable<br> NEXT <br> <br>"
9,Hostaria Romana,http://www.hostariaromana.it/,+39 06 474 5284,12.487334,41.90236,4.5,1961,"[]Author: Xavier Guerra; Rating: 5; When: 6 months ago <br> The place was selected bases on their reviews, and I wanted to try it to see how good it was. From the beginning they waiters were very welcoming. The have a pretty good menu selection for entries, main plates, wines and desserts. The food is pretty good and I definitely loved it the tiramisu. I will certainly come back.<br> NEXT <br> <br>Author: John McEwen; Rating: 5; When: 8 months ago <br> Incredible food and even better service. Take the recommendations  and you can never go wrong.<br> NEXT <br> <br>Author: Olga Durlik; Rating: 5; When: 7 months ago <br> Best food in Rome, amazing pasta and panna cotta. Can't wait to be back in Rome and in Hostaria Romana.<br> NEXT <br> <br>Author: Chaise Murphy; Rating: 5; When: a year ago <br> I’ve never written a Google review before, but I had to after the experience my girlfriend and I had this evening. By far the best dining experience we have ever had, not just on our trip to Rome, but in our lifetimes—our server consistently exceeded expectations and provided an amazing value. When I received the bill after the dinner, I felt like I had committed robbery. This place is an incredible deal and you will not be disappointed dining here. I can highly recommend the artichoke prepared Roman style, regardless of which main dish you order or whether you think you like artichoke (I didn’t before tonight but tried it on a server recommendation). I cannot recommend a single restaurant I’ve visited in my life more highly than this one. This was the pinnacle of our experience in Rome.<br> NEXT <br> <br>Author: Darren O'Shea; Rating: 4; When: 4 months ago <br> Good authentic Italian food. It was reasonably priced for central Rome.<br> NEXT <br> <br>"
