,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,Hotel NH Collection Roma Centro,https://www.nh-hotels.com/hotel/nh-collection-roma-centro?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,+39 06 328481,12.4687189,41.909606,4.2,1178,"[]Author: PM B; Rating: 5; When: 4 months ago <br> Was here for work. Good advice on the current state of the lock down. Friendly staff, very very clean hotel!<br> NEXT <br> <br>Author: paul alvarado; Rating: 4; When: a month ago <br> Friendly staff. Nice rooms.<br> NEXT <br> <br>Author: Daniele Corti; Rating: 3; When: a year ago <br> Well located. Rooms are cleaned and comfortable. A bit too noisy. Breakfast is good despite nothing special. Hotel is good for a short stay<br> NEXT <br> <br>Author: JustIn Case; Rating: 5; When: a year ago <br> I loved everything about the NH Collection Roma Centro: the location, the ambiance, the service and amenities. The staff is professional and extremely attentive to your needs! The breakfast is simply delicious. Good Job!<br> NEXT <br> <br>Author: Animaltex mascotas; Rating: 1; When: a year ago <br> I am very sad and feel very frustrated as my Rolex given to me by my father was stolen from the safe in my room, the manager at the time was very apologetic and explained that the cleaning lady was new and she didn’t come the following day. He reassured me that I would be reimbursed for my rolex and the cash that had been stolen, however that the insurance would take about a month to get back to him. Two month went pass he never answered my phone and at the end I managed to speak to him after he sent me an email saying that The insurance company at 99% will not be able to refund anything since there was not any break-in sign to the safe. Even though they manage to open the safe to stole my personal staff
I would never stay at this hotel or recommend it to anyone,<br> NEXT <br> <br>"
1,Hotel NH Collection Roma Giustiniano,https://www.nh-hotels.com/hotel/nh-collection-roma-giustiniano?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,+39 06 6828 1601,12.4656925,41.9069303,4.3,1008,"[]Author: Adriano Tamanza; Rating: 4; When: a week ago <br> The hotel is in a very good location close to lots of shops restaurants and the Vatican. Could use a little renovation. Cleanliness could be improved<br> NEXT <br> <br>Author: VICTORIA Santos Smith; Rating: 5; When: in the last week <br> This hotel is located perfectly. It’s not far from the Vatican, piazza Navonna and all the important cites in Rome. The hotel staff is not very friendly. Rooms and beds are a nice size and adequate.<br> NEXT <br> <br>Author: Ju; Rating: 5; When: 6 months ago <br> Had a very good stay in this NH! Very well located for the visits, friendly and helpful staff (thanks Sergio!), hotel is very clean, junior suite is amazing. Only little thing that could be improved is the breakfast, not so much choice in comparison with other NH collections, but staff was very nice. We will come back!<br> NEXT <br> <br>Author: Pablo Aponte; Rating: 5; When: a year ago <br> Nice hotel close to the Vatican and main attractions. Excellent place to stay in rome. I also ate in the restaurant there, it can be a little bit expensive, but it is worth it, the food was exquisite. The rooms are comfortable and well cleaned. When I got there I even got a room upgrade. Overall I had a pleasant stay in here and I recommend it 100%<br> NEXT <br> <br>Author: Giselle Espinal; Rating: 2; When: a year ago <br> Happy to be here in Italy and in a nice hotel like this but I could not get any sleep due to the uncomfortable mattress. Maybe this is due to a preference of a soft but a bit firm mattress that I have but I can not sleep because it feels as if I am laying on rocks. I woke up after a few 3 hrs of sleep now again in the middle of the night with back pain and aches in my neck. I’ve used the pillows as a topper. This is very unusual for me as I’ve slept in many hotel beds.<br> NEXT <br> <br>"
2,Grand Hotel Plaza,https://www.grandhotelplaza.com/?utm_source=google&utm_campaign=Knowledge_Graph&utm_medium=organic,+39 06 6992 1111,12.478788,41.905184,4.0,826,"[]Author: Kerryann Harman-Schufft; Rating: 5; When: a year ago <br> This is my favourite hotel in Rome. Its old world charm and architecture, gr8 service and our room was stylish and spotless. The bars r devine and at Christmas  the decorations and tree really beautiful. The Nazis occupied it during WW11. Exudes history. Excellent location. Good value for money. We stayed 4 nights. Loved the marble lion staircase. Class act!<br> NEXT <br> <br>Author: B. Cemre DİŞLİ; Rating: 3; When: a year ago <br> Very beautiful architecture, fantastic paintings and design. I do not like taste of coffee and cookies. Service is good and friendly.<br> NEXT <br> <br>Author: Carolina Gheri; Rating: 2; When: a year ago <br> I know that is a Plaza, and it's in Rome, but it was totally a delusion!
Apart the style, baroc everywhere, but it can be nice if you like it or you have a nice approach, but unfortunately the chambers were completely old style and also it wasn't almost impossible flush the toilet properly.
Service is nice, 'of course, is a Plaza hotel, but I think the price was overestimated for the offert.
Breakfast was good, I have to admit.
If it was a normal hotel, you can tolerate some things or imperfection, but in this case I think is really terrible the impact.<br> NEXT <br> <br>Author: Julius Weiß; Rating: 1; When: a year ago <br> Just asked if i can use their toilett. Receptionist with bald hair was super unfriendly and shoo me away. Definitely won't book this hotel on our next rome trip.<br> NEXT <br> <br>Author: Shaikha AlJaber; Rating: 1; When: a year ago <br> The hotel’s location is very nice. But the service is bad and the rooms are quite  old and different than how it looks on the internet, you can hear the above rooms walking steps and the toilets flushing and glasses in the room is never removed and there is a picky system for the “complementary water”! that we shouldn’t ask for. Wifi worked for 1 night and the rest  nights it was not working. Even on the phone people hang up on you without saying goodbye. Bad front desk service especially the night shift. Ordered a mini van to the airport and didn’t get a confirmation and when I called to confirm and It was forgotten about. I would sacrifice the location for a better service.<br> NEXT <br> <br>"
3,Hotel Accademia,http://www.accademiahotel.com/?utm_source=google&utm_medium=organic&utm_campaign=knowledge-graph,+39 06 6992 2607,12.4837491,41.9018565,4.0,731,"[]Author: massimo mancusi; Rating: 5; When: a month ago <br> 60mt from the trevi fountain best location<br> NEXT <br> <br>Author: Ionel Roman; Rating: 5; When: a year ago <br> A strategic location from where you have quick access to many attractions of Rome with cozy clean rooms, friendly and helpful staff and tasteful breakfast. We stayed here for 3 nights and had no problems, our room was cleaned every day, the breakfast was fresh and plentiful (not a lot of different things but enough for every taste) and the staff was very polite (from the reception to the cleaning and the kitchen). We also had an excellent spa day in the hotel with clean dry sauna, jacuzzi and hot steam Turkish bath.<br> NEXT <br> <br>Author: Mel Levi; Rating: 4; When: a year ago <br> We stayed 5 nights from Nov 9-14th.  Very pleased with the hotel.  GREAT location.  Nice rooms and breakfast.  Staff is wonderful and very helpful.  First night we were put in a small room as hotel was at 100% occupancy.  They moved us to a very nice room for nights 2-5.  Would certainly stay there again and recommend.<br> NEXT <br> <br>Author: Giovanna Gravina; Rating: 1; When: a year ago <br> Terrible experience! dirty rooms with cigarette smells! bad breakfast with few options. I definitely don't recommend it. I think they disregard the whole because they are in a good location. Not to mention the time we arrived in the room, with cigarette butts in the toilet and sheets and room stinking of cigarettes. We just didn't change hotels because it was time to go back to our country. Not sure how it fits into a 3 star hotel.<br> NEXT <br> <br>Author: Erin G; Rating: 3; When: a year ago <br> Three stars based on convenience and location.  I always keep an open mind when traveling abroad, and when staying in bigger cities I expect to pay more for a hotel room.  This hotel is definitely on the pricier side.  However, I wasn’t in Rome to hang out in a hotel room.  It was a place to sleep and served its purpose.

Pros:   Convenience and location.  It’s around the corner from the Trivi Fountain, walking distance to all the touristy spots and easy to find.  Complimentary breakfast and nice kitchen staff.   They were kind enough to let me borrow a wine opener, and in no hurry to have me return it.   Hot tea in the lobby...sometimes.

Cons:  This wasn’t the cleanest hotel.  The rooms and restrooms weren’t the cleanest.  Over priced and very loud.  You can hear people talking in the hallways and in the other rooms.  Looks like they are remodeling.

Bottom Line:  If this hotel did a better job cleaning the hotel rooms and restrooms I would stay here again.<br> NEXT <br> <br>"
4,Hotel Donna Laura Palace,https://www.donnalaurapalace.it/,+39 06 3260 0083,12.4690313,41.9161915,4.2,711,"[]Author: Ameer Meerzaee; Rating: 4; When: a year ago <br> Great accomodation with clean and tidy rooms. Good buffet breakfast with specially made coffee on request. Staff are nice and friendly. The only problem was the lack of tea or coffee in the room for the afternoon tea which we had to pay extra to get from the bar.
About 20 min walk to the city of Rome and public transport around the area are not reliable.<br> NEXT <br> <br>Author: Imran Shishir; Rating: 2; When: a year ago <br> Hotel room is great however we were told about the breakfast free but in the morning during checkout, they end up charging 7 dollar per person for breakfast.

During your visit make sure that you confirm with the receptionist about the additional charges . :)<br> NEXT <br> <br>Author: Joseph Bevan; Rating: 5; When: a year ago <br> A fantastic few days in Rome at the Donna Laura Palace.

Cozy and very clean room. Friendly and helpful staff. Stunning communal areas.

Very nice breakfast with ample selection.

A 10 minute walk to the Metro which was perfect for commuting into the city centre (another 10 minutes, max) and to the attractions. Also close to a tram stop, which we didn't use as we found the Metro more convenient.

Plenty of lovely restaurants and shops nearby- negating the need to travel into the city centre every evening for dinner. These restaurants tended to be slightly cheaper than those in the city centre and better quality. Also around a 20 minute walk from the Vatican.

The only thing that the room lacked was tea and coffee making facilities- but this really wasn't a problem.<br> NEXT <br> <br>Author: Dmac Efc; Rating: 5; When: a year ago <br> Excellent hotel special mention to Luke the barman supperb<br> NEXT <br> <br>Author: Dawn Hollyoake; Rating: 5; When: a year ago <br> Lovely stay. Very helpful young lady on reception<br> NEXT <br> <br>"
5,Atlante Star Hotel,https://www.atlantehotels.com/it/star-hotel/hotel.html,+39 06 686386,12.461906,41.904893,4.2,695,"[]Author: Lessley Ann; Rating: 5; When: 8 months ago <br> We took advantage of fabulous postcorona offer. And for the price we got more than expected. A modern room and breakfast in an outstanding panoramatic rooftop restaurant with huge glass windows. Internet worked well. Nothing to complain about.<br> NEXT <br> <br>Author: Chacha Durazo; Rating: 2; When: 8 months ago <br> Our AC doesn't work. The room is incredibly dated and questionably clean. Location is great but I will definitely look elsewhere in the future. They left our bags in the main lobby for several hours unattended even though we were promised they would put them in our room (we checked in early but as the room wasn't ready, we left our bags and returned in the evening several hours later). Carpet everywhere which is gross. Definitely not the 4 star they market themselves as.<br> NEXT <br> <br>Author: Marek Grabowski; Rating: 1; When: 5 months ago <br> SCAM, BEWARE - THIEFS OPERATE IN THE HOTEL

We were attacked by a thief inside the hotel in the morning while going for breakfast. He walked in freely to 3rd floor, and jumped on us in a narrow corridor, hitting me in the face and pushing down the stairs. Thankfully other guests came with help and he run away.
The hotel didn’t care. The reception was empty once I went down (nobody checks who enters the hotel). Finally the receptionist appeared and said he didn’t see anything (well, not surprisingly) and that’s a normal thing. They didn’t even bother to check if the thief left the hotel or to notify the police. I left my number for a manager who didn’t bother to call me. I never felt such disregard for guests even in 1-star hotels. Unless this hotel
cooperate with thiefs which would explain their approach.
CHOOSE THIS HOTEL FOR YOUR OWN RISK.<br> NEXT <br> <br>Author: Laurentiu Leonard; Rating: 3; When: 2 weeks ago <br> Nice view but very old furniture inside. Bad smell.<br> NEXT <br> <br>Author: philip carroll; Rating: 5; When: 4 months ago <br> Staff where fantastic rooms very clean would go back any time 🍀<br> NEXT <br> <br>"
6,Hotel Cosmopolita Roma,https://www.hotel-cosmopolita.com/,+39 06 997071,12.484156,41.89681,4.0,580,"[]Author: Benjamin Cooper; Rating: 1; When: a month ago <br> Unable to go to country because of the pandemic. Best the hotel could do is give a coupon that has to be redeemed in one year (Likely while country is still locked down).<br> NEXT <br> <br>Author: Krissy Butler; Rating: 5; When: 10 months ago <br> Found this website as we were looking for a family trip which might have to wait a year or two with current conditions. Had our honeymoon here 9 years ago! Fresh faced and in love love. Such lovely memories of all of you! We now have 2 children who we can't wait to bring to meet your beautiful country and share all we love! Stay safe and we'll see you all soon!<br> NEXT <br> <br>Author: R J; Rating: 5; When: a year ago <br> Great experience, the location can’t be beat. All the main attractions are walking distance from this hotel, except a short taxi to Vatican. The surrounding area felt very safe since it was on a busy street close to many restaurants and big shops. The staff are very nice and the rooms are clean, but a bit small. The front desk helped us find tours and tickets for every site we wanted to see, which was very useful since we came totally unprepared. 😀<br> NEXT <br> <br>Author: Anaïs Chagneaud; Rating: 1; When: 7 months ago <br> I booked four nights at this hotel for my brother's 18th birthday this summer. Because of the global pandemic, I asked to be refunded for the stay, specifying that a stay in one of the countries most affected by the epidemic was risky for us given our respective health conditions. They would not listen. All they proposed was a postponement of dates via the Booking.com website, but not a ticket, to avoid being obliged to refund them when the deadline expired. 4 stars and this hotel did not even make even a commercial gesture, despite my repeated requests and the fact that we are facing a force majeure event. I find this shameful. Some very small hotels that have lost much more in the crisis are refunding without question. I absolutely advise against this hotel, no understanding customer service. If I could, I wouldn't have put any stars on.

🇨🇵 J'avais réservé 4 nuits dans cet hôtel pour les 18 ans de mon frère cet été. À cause de la pandémie mondiale, j'ai demandé à être remboursée du séjour, en précisant qu'un séjour dans l'un des pays les plus touchés par l'épidémie était risqué pour nous au vu de nos états de santé respectifs. Ils n'ont rien voulu savoir. Tout ce qu'ils ont proposé, c'est un report de dates via le site Booking.com, mais pas d'avoir pour ne pas être obligés de le rembourser à expiration du délai. 4 étoiles et cet hôtel n'a même pas fait ne serait-ce qu'un geste commercial, malgré mes demandes répétées et le fait que nous faisons face à un évènement de force majeure. Je trouve cela honteux. Certains tout petits hôtels qui perdu bien plus dans la crise remboursent sans poser de questions. Je déconseille absolument cet hôtel, aucun service client compréhensif. Si j'avais pu, je n'aurais mis aucune étoile.<br> NEXT <br> <br>Author: David Dugas; Rating: 5; When: a year ago <br> I've stayed with Hotel Cosmopolita on all three of my trips to Rome over the past four years and will continue to do so.  On each visit I notice they make small updates / enhancements, the front desk, hallways, and rooms are clean (spotless, really), I feel safe with the keycard entrance (on the way to the elevator), and the staff - so, so nice and helpful.  Really, the staff is great.  I'd also say that it is centrally located.  Walking north, south, east and west - you are right in the middle of all of the sights.  This is a ""highly recommended"" by me.

Clean - yes
Quiet - yes
Safe - yes
Staff - awesome
Location - great
Price - quite reasonable given all the positive aspects of the hotel<br> NEXT <br> <br>"
7,Gran Meliá Rome,http://www.melia.com/en/hotels/italy/rome/gran-melia-rome/index.html,+39 800 788 333,12.4611078,41.8989781,4.5,542,"[]Author: Benoit Hanssen; Rating: 4; When: 3 months ago <br> Beautiful / elegant hotel. Great location. Matrasses are a bit hard.<br> NEXT <br> <br>Author: Yvon Ne; Rating: 1; When: 6 months ago <br> The only good thing about this hotel is the outdoor pool which made me choose this hotel. When Rome gets hot it’s great to have a place where you can refresh in the afternoon. That said at the Gran Melia you also have to be prepared to share this pool with a loud and drunk crowd that plays music and screams around, so it’s not the most relaxing place. Unfortunately also the staff is not very caring. For example in my room the power went out and even after an hour I sat in the dark. The staff didn’t ask if there was any progress or just offered an other room. It’s just that, the staff doesn’t care here, a five star hotel shouldn’t leave that feeling in the end. You can just go somewhere else except a pool is the thing you want.<br> NEXT <br> <br>Author: Alina Simeonova; Rating: 4; When: 6 months ago <br> NIce hotel in the center of Rome. it is close to multiple locations . All staff is nice and accomodating. We really enjoy our stay. Thanks a lot<br> NEXT <br> <br>Author: Stefano; Rating: 4; When: 8 months ago <br> The property is great, and in a lovely location, however it is a bit dated and in my view doesn't deserve the highest rating.
One major issue with communication: I called several times the hotel prior to my arrival, no answer. I sent an email, again, no answer.<br> NEXT <br> <br>Author: Rajiv Bhavsar; Rating: 1; When: 5 months ago <br> My friend and I checked in to the Villa Agrippina Hotel on Thursday, August 20, 2020.
The morning of the August, 20, 2020 is when everything went horribly wrong.
We woke up and went down for breakfast. After, we returned to the room to get ready for a scheduled tour of the Vatican. I asked my friend to get our passports from the safe. When he opened the safe, a wallet containing two passports, a driver’s license, 2000 Euros, $200 US dollars, a credit card and multiple sim cards were missing.
We begin to tear apart the room/our bags in case we ourselves had misplaced these items. We went through this process 3 times before my friend went down to reception.
At reception, he asked the hotel staff to check the log of scans to the room to see if anyone had entered while we were eating breakfast. The evening before we had entered the room at 7:30pm and then again at 1am after dinner. In the morning we entered at 10:30am. Allegedly, there had been no other entry scans.
He asked reception to double check as we were obviously beginning to panic at the disappearance of the wallet from the hotel safe. At this point, the staff refused to show us the print out of the entry log, only furthering our distress.
My friend returned to the room and we tore apart the room again. At that point, I myself went to reception and asked to speak with the Manager. The Manager arrived at our room and we asked him to review the cameras. He indicated that he needed a police warrant to do so.
However, when we asked him to call the police, he told us they would not come! The Manager did not seem to be interested in helping us find the missing wallet, nor in assisting us to figure out who entered our room and tampered with our locked safe.
Together with him, we searched our room, top to bottom, twice to no avail. We felt frustrated and disappointed with the lack of support and incompetent service, and demanded the Manager accompany us to the police station to file a report. This took an additional two hours.
At the police station, I pleaded with the Manager to please ask the staff to search the grounds of the hotel, as maybe someone threw away the wallet with the passports and took the cash. Our passports were what we cared about most. The Manager only agreed to this after pleading and pleading with him.
We returned to the hotel, the Manager, myself, my friend, and a housekeeper entered the room to tear it apart one more time. We began going through every item in the luggage. Flipped the mattress. Checked underneath the bed. Opened all the closets. Opened the safe and put our hands in every corner. Every section of the room was thoroughly swept.
The Manager and the housekeeper both concluded with us that the missing wallet containing our passports, cash, and credit cards were not in our room.
We spent the next 1.5-2 hours in the lobby with the Manager getting assistance on reissuing passports and rearranging our itinerary at our next destination with other hotels. After this, we returned the room.
We realized it was already 3:30pm and we had not eaten since the morning. My friend suggested we have lunch and I looked in the safe to find the wallet sitting exactly where we originally left it!!
Both of us were in complete disbelief. We ran downstairs to reception and were visibly in extreme distress. Shaking in anger. We asked for our car to immediately be brought to the front.
The Manager approached us and brazenly said “Oh I heard you found it” like nothing had happened! We were shocked by this.
We paid the bill as we no longer felt safe staying at the property. The blatant and disgusting behavior by the hotel is incomprehensible.
What we assume has happened is whoever took the wallet had returned it while we were downstairs with the Manager trying to figure out the situation with the consulate and our further bookings.
We immediately packed up our belongings and left the hotel<br> NEXT <br> <br>"
8,Hotel Ponte Sisto,https://www.hotelpontesisto.it/en/?utm_source=google&utm_medium=organic&utm_campaign=knowledge-graph,+39 06 686 3100,12.4718459,41.893246,4.4,531,"[]Author: Jodric Schomann; Rating: 3; When: 6 months ago <br> Perfect location, great service, great prices. But very dated! Probably great decoration and style in the 90s, would need a revamp! The breakfast was good but could be improved (fresher bread, more varieties of cheese, more styles of eggs...)<br> NEXT <br> <br>Author: AQUILA C; Rating: 1; When: 11 months ago <br> I am writing this review because I booked a stay at this hotel for my mother daughter 3 week vacation to Europe which included 3 days at this hotel May 3 - 6 2020.  I prepaid for the stay as there was no talk of Covid 19 or Pandemic at the time.  I have twice requested a refund of the prepaid amount and this hotel refuse to refund me the money. They offered me a credit that lasted for a year.  I explained that as a result is this Pandemic, I have no plans of visiting Europe. We were visiting London, Paris and 3 counties in Italy.  Who knows who will still be alive in.a year. This is the only hotel of the 6 that has refused to refund my money.  Since this is BEYOND my control, I figured they would just do the right thing.  There actions are greasy, thoughtless, desperate and lack any kind of compassion.  So buyers be ware.<br> NEXT <br> <br>Author: A R; Rating: 1; When: 6 months ago <br> We've contacted this property many times by phone and email and now with the ban on entry they have yet to respond to refund our booking. We were not able to travel there due to covid19 and now there is travel restriction!!! They are holding our money for ransom with no way to travel there anytime soon. They ignore calls and emails. This is the only property in all of Europe that has behaved this way. This is a disgusting display of customer service and poor business integrity. A bad first impression. Someone needs to contact me for a refund asap!!<br> NEXT <br> <br>Author: Steve D; Rating: 4; When: a year ago <br> Fairly nice place. Rooms are small, but it is more of a boutique hotel. So if you're not planning on being in the room much, it works. The breakfast buffet was well done. Plenty of different foods and drinks. Staff if friendly and courteous.  You're a little over a mile walk to the Vatican and the Coliseum.  They are close to many shops restaurants.<br> NEXT <br> <br>Author: Pat L; Rating: 5; When: a year ago <br> Nice clean and quiet hotel in the center of all sight seeing attractions...
Their staff speaks multiple languages which makes my trip a lot more pleasant..😃<br> NEXT <br> <br>"
9,Trianon Borgo Pio Srl,http://www.trianonborgopio.com/,+39 06 6860 0849,12.4616863,41.9041517,4.5,530,"[]Author: Dr. Francesco Prato; Rating: 1; When: 5 months ago <br> I stayed in this hotel twice. My first stay was great. Room on the 6th floor with an astonishing view. My second and last stay was quite the apposite. I booked a spacious room with view on the square, but I got downgraded to a first floor very dark and noisy room for the same price.
Don't book it, unless they confirm you in writing you get a room on the upper floors (4 5 6). Remaining floors are below the average and not worth the price they ask for.
There are many other nice hotels in the area and I will try them, before giving another chance to this one.
The one star is for the service. Very attentive especially in the breakfast room. I am sorry for this review but this is the way it is. Thanks.<br> NEXT <br> <br>Author: Becky White; Rating: 5; When: a year ago <br> Beautiful apartments! Bedroom, living and kitchen. Everything you need for home away from home.
The breakfast is included in the mornings and it’s on the rooftop of the hotel. The breakfast hosts are very kind and gracious. Views of Rome while we eat breakfast.<br> NEXT <br> <br>Author: Carole Widdows; Rating: 5; When: a year ago <br> Great staff, great breakfast very convenient location and our apartment was amazing. Will recommend to everyone who plans to visit Rome.<br> NEXT <br> <br>Author: D D; Rating: 4; When: a year ago <br> Very convenient location- close to the Vatican (5 min walk )and pretty close by (15-40 min walk) to other sites.
This is apartment hotel with fridge, kitchen, dishwasher etc.
While there are plenty of restaurants close by, it was good to have the option to come back after a long day and relax in a cool room with a simple home cooked meal and wine. There is a mini mart opposite and a bigger supermarket ( Coop) with very reasonable prices 2 blocks away. We got great Italian wines for 3euros there. The quality of Breakfast could be improved given the room price ( and I was happy that I had the option to fry the eggs downstairs rather than eat up) And we had the best cleaning person for our room - very very perceptive to what our needs were.
All in all, I would recommend this place<br> NEXT <br> <br>Author: Vineet Gupta; Rating: 2; When: a year ago <br> Great location, very close to Vatican, lots of restaurants nearby. The apartments look nice initially, but on closer inspection one sees lots of corners cut. The shower stall in the bathroom was 2 ft x 2 ft, and the entry to it was exactly 12 inches wide! Breakfast was OK, again looked better at first glance than it actually was. Staff is very friendly.<br> NEXT <br> <br>"
