,0,LAT,LON
0,BRITAIN,55.378051,-3.435973
1,THE SARK BRIDGE,35.6792525,-83.75046239999999
2,Scotland,56.49067119999999,-4.2026458
3,GERMANY,51.165691,10.451526
4,ENGLAND,52.3555177,-1.1743197
5,England,52.3555177,-1.1743197
6,Britain,55.378051,-3.435973
7,the Pas de Calais,50.5732769,2.3244679
8,Normandy,48.87987039999999,0.1712529
9,East Anglia,,
10,Surrey,51.31475930000001,-0.5599501
11,Thames,42.6004082,-81.87462889999999
12,Glasgow,55.864237,-4.251806
13,London,51.5073509,-0.1277583
14,Euston,39.0026418,-94.63186379999999
15,Austin,30.267153,-97.7430608
16,Piccadilly,41.6618524,-70.2006964
17,the Siegfried Line,36.1229434,-115.1713923
18,London,51.5073509,-0.1277583
19,Britain,55.378051,-3.435973
20,Finland,61.92410999999999,25.7481511
21,Archway Road,35.6668869,-81.90674159999999
22,London,51.5073509,-0.1277583
23,Erith,51.480818,0.174675
24,Blackheath,42.7515637,-83.13446789999999
25,Yorkshire,,
26,Yorkshire,,
27,Germany,51.165691,10.451526
28,Finland,61.92410999999999,25.7481511
29,Una Garden,,
30,Heidelberg,49.3987524,8.6724335
31,Blackheath,42.7515637,-83.13446789999999
32,Blackheath,42.7515637,-83.13446789999999
33,England,52.3555177,-1.1743197
34,France,46.227638,2.213749
35,England,52.3555177,-1.1743197
36,France,46.227638,2.213749
37,France,46.227638,2.213749
38,Dunkirk,37.4844925,-94.7419072
39,London,51.5073509,-0.1277583
40,Gordon Square,41.4844551,-81.72827140000001
41,the Sahara Desert,23.4162027,25.66283
42,London,51.5073509,-0.1277583
43,Wales,52.1306607,-3.7837117
44,Bordeaux,44.837789,-0.57918
45,England,52.3555177,-1.1743197
46,Wandsworth,51.45682739999999,-0.1896638
47,England,52.3555177,-1.1743197
48,England,52.3555177,-1.1743197
49,England,52.3555177,-1.1743197
50,Wellington,-41.2768778,174.7731458
51,Dunkirk,37.4844925,-94.7419072
52,London,51.5073509,-0.1277583
53,Britain,55.378051,-3.435973
54,England,52.3555177,-1.1743197
55,Britain,55.378051,-3.435973
56,the Albert Hall,51.5009088,-0.177366
57,Cambridge,52.2042666,0.1149085
58,Yorkshire,,
59,Norway,60.47202399999999,8.468945999999999
60,Easter,36.2680914,-95.7372468
61,St. Bruno,41.804729,-87.7219533
62,London,51.5073509,-0.1277583
63,Claridge,49.190252,-122.8241005
64,England,52.3555177,-1.1743197
65,Midlands,38.9318499,-77.023187
66,London,51.5073509,-0.1277583
67,MG,36.0941672,-95.8623758
68,BRITAIN,55.378051,-3.435973
69,Occupied Europe,,
70,France,46.227638,2.213749
71,Whitehall,38.989556,-76.75123099999999
72,the East End,41.8195972,-71.3983944
73,Britain,55.378051,-3.435973
74,the Isle of Wight,50.69384789999999,-1.304734
75,Portugal,39.39987199999999,-8.224454
76,Britain,55.378051,-3.435973
77,Kieboom,34.6738437,-82.8368654
78,Kieboom,34.6738437,-82.8368654
79,Hythe,51.071739,1.081937
80,Hamburg,53.5510846,9.9936819
81,Eire,53.1423672,-7.692053599999999
82,Ireland,53.1423672,-7.692053599999999
83,Eire,53.1423672,-7.692053599999999
84,Boyne,42.4925449,-83.4749185
85,Dresden,51.0504088,13.7372621
86,Germany,51.165691,10.451526
87,Victoria Station,28.8337383,-96.9894434
88,Wandsworth Prison,51.4498082,-0.1773806
89,Hamburg,53.5510846,9.9936819
90,England,52.3555177,-1.1743197
91,Britain,55.378051,-3.435973
92,Trafalgar Square,51.508039,-0.128069
93,Hoxton,41.8859755,-87.6487272
94,East London,51.55633,0.0655092
95,Britain,55.378051,-3.435973
96,London,51.5073509,-0.1277583
97,Berkeley Street,42.35043659999999,-71.0726569
98,Bletchley Park,51.9976597,-0.7406863
99,the British Isles,54.9857885,-4.411267
100,Bournemouth,50.719164,-1.880769
101,Germany,51.165691,10.451526
102,Victoria Station,28.8337383,-96.9894434
103,Europe,54.5259614,15.2551187
104,Finland,61.92410999999999,25.7481511
105,the East End,41.8195972,-71.3983944
106,the North Sea,56.511018,3.515625
107,Equator,37.9654242,-122.5230484
108,Aberdeen,57.149717,-2.094278
109,Denmark,56.26392,9.501785
110,Edinburgh,55.953252,-3.188267
111,Scotland,56.49067119999999,-4.2026458
112,Aberdeen,57.149717,-2.094278
113,the North Sea,56.511018,3.515625
114,Aberdeen,57.149717,-2.094278
115,Aberdeen,57.149717,-2.094278
116,the North Sea,56.511018,3.515625
117,Wohldorf,53.7138593,10.1590112
118,North Hamburg,53.5510846,9.9936819
119,Berlin,52.52000659999999,13.404954
120,England,52.3555177,-1.1743197
121,Sophien Terrace,34.4962874,-84.93055389999999
122,Hamburg,53.5510846,9.9936819
123,St. Paul’s,37.06250000000001,-95.677068
124,Russia,61.52401,105.318756
125,Farnborough,51.2868939,-0.7526149999999999
126,Kent,37.3106945,-89.5309896
127,Farnborough,51.2868939,-0.7526149999999999
128,Kent,37.3106945,-89.5309896
129,Farnborough,51.2868939,-0.7526149999999999
130,Hampshire,51.05769480000001,-1.3080629
131,Hamburg,53.5510846,9.9936819
132,Erith Marshes,51.5004606,0.148243
133,Blackheath,42.7515637,-83.13446789999999
134,Leicester,52.6368778,-1.1397592
135,Piccadilly Circus,51.509998,-0.1350018
136,Channel,37.7515098,-97.2291707
137,Hamburg,53.5510846,9.9936819
138,Hamburg,53.5510846,9.9936819
139,Britain,55.378051,-3.435973
140,Africa,-8.783195,34.508523
141,France,46.227638,2.213749
142,the West End,29.7398525,-95.4704787
143,London,51.5073509,-0.1277583
144,Berlin,52.52000659999999,13.404954
145,Piccadilly,41.6618524,-70.2006964
146,Leicester Square,51.5103594,-0.1301216
147,the National Gallery,38.891298,-77.019965
148,Euston Station,51.5280991,-0.1332084
149,Piccadilly,41.6618524,-70.2006964
150,Piccadilly Circus,51.509998,-0.1350018
151,Leicester Square,51.5103594,-0.1301216
152,Northern Line,,
153,Waterloo,42.492786,-92.34257749999999
154,Stockwell,36.8748201,-94.8771458
155,London,51.5073509,-0.1277583
156,Leicester Square,51.5103594,-0.1301216
157,Hamburg,53.5510846,9.9936819
158,Wandsworth Jail,51.4498082,-0.1773806
159,France,46.227638,2.213749
160,England,52.3555177,-1.1743197
161,East Anglia,,
162,the Pas de Calais,50.5732769,2.3244679
163,Berlin,52.52000659999999,13.404954
164,Normandy,48.87987039999999,0.1712529
165,Berlin,52.52000659999999,13.404954
166,the North Sea,56.511018,3.515625
167,Aberdeen,57.149717,-2.094278
168,Hamburg,53.5510846,9.9936819
169,Aberdeen,57.149717,-2.094278
170,Weymouth,42.2180724,-70.94103559999999
171,France,46.227638,2.213749
172,Hoxton,41.8859755,-87.6487272
173,Leicester Square,51.5103594,-0.1301216
174,Stockwell,36.8748201,-94.8771458
175,Lisdoonvarna,53.0301669,-9.2897106
176,the Emerald Isle,34.6779399,-76.95077619999999
177,North Wales,53.0711149,-3.8080783
178,Scotland,56.49067119999999,-4.2026458
179,Leicester Square,51.5103594,-0.1301216
180,North Africa,26.0197776,32.277834
181,Hamburg,53.5510846,9.9936819
182,France,46.227638,2.213749
183,Cherbourg,49.6337308,-1.622137
184,Iceland,64.963051,-19.020835
185,Canada,56.130366,-106.346771
186,Ceylon,7.873053999999999,80.77179699999999
187,the Middle East,29.2985278,42.5509603
188,the Isle of Man,54.236107,-4.548056
189,Britain,55.378051,-3.435973
190,Britain,55.378051,-3.435973
191,the Albert Hall,51.5009088,-0.177366
192,London,51.5073509,-0.1277583
193,Old Scotland Yard,51.5063501,-0.1257692
194,Finland,61.92410999999999,25.7481511
195,London,51.5073509,-0.1277583
196,Storm Island,41.1787061,-74.32598460000001
197,Storm Island,41.1787061,-74.32598460000001
198,Milwaukee,43.0389025,-87.9064736
199,Basingstoke,51.26654,-1.0923964
200,London,51.5073509,-0.1277583
201,Kensington,39.9934039,-75.1179823
202,Germany,51.165691,10.451526
203,Eton,51.49573549999999,-0.6044396
204,Sandhurst,51.3462419,-0.804268
205,London,51.5073509,-0.1277583
206,Hamburg,53.5510846,9.9936819
207,the Isle of Man,54.236107,-4.548056
208,South Africa,-30.559482,22.937506
209,Germany,51.165691,10.451526
210,Yorkshire,,
211,England,52.3555177,-1.1743197
212,the Isle of Man,54.236107,-4.548056
213,London,51.5073509,-0.1277583
214,London,51.5073509,-0.1277583
215,Scarborough,54.283113,-0.399752
216,Italy,41.87194,12.56738
217,Rome,41.9027835,12.4963655
218,corsos,39.0007662,-94.4979936
219,partigianos,49.60131149999999,6.131327799999999
220,Mississippi,32.3546679,-89.3985283
221,the town hall,40.7560917,-73.98450559999999
222,Hudson,42.2528649,-73.790959
223,London,51.5073509,-0.1277583
224,Kensington,39.9934039,-75.1179823
225,Italy,41.87194,12.56738
226,Oln,33.8288085,-118.2131156
227,West Prussia,41.3738765,-94.506357
228,Baden,48.00214,16.23091
229,Berlin,52.52000659999999,13.404954
230,Friedrichsfeld,51.6293993,6.6579885
231,Wesel,51.6643079,6.6295679
232,Eton,51.49573549999999,-0.6044396
233,Germany,51.165691,10.451526
234,Berlin,52.52000659999999,13.404954
235,London,51.5073509,-0.1277583
236,Norwich,52.6308859,1.297355
237,Dunkirk,37.4844925,-94.7419072
238,London,51.5073509,-0.1277583
239,Britain,55.378051,-3.435973
240,Norfolk,36.8507689,-76.28587259999999
241,France,46.227638,2.213749
242,Seine,48.6382687,2.4489006
243,England,52.3555177,-1.1743197
244,Norfolk,36.8507689,-76.28587259999999
245,Biggin Hill,51.312059,0.032802
246,Aldershot,51.248366,-0.7557509
247,England,52.3555177,-1.1743197
248,Royal Air Force,40.8073962,-73.1933707
249,Seine,48.6382687,2.4489006
250,Hamburg,53.5510846,9.9936819
251,Russia,61.52401,105.318756
252,Hamburg,53.5510846,9.9936819
253,Berlin,52.52000659999999,13.404954
254,Scotland,56.49067119999999,-4.2026458
255,05:21,,
256,Leica,40.726387,-74.0007237
257,Britain,55.378051,-3.435973
258,Rastenburg,54.07657,21.3750399
259,Germany,51.165691,10.451526
260,Europe,54.5259614,15.2551187
261,Europe,54.5259614,15.2551187
262,Britain,55.378051,-3.435973
263,France,46.227638,2.213749
264,Britain,55.378051,-3.435973
265,East Anglia,,
266,Scotland,56.49067119999999,-4.2026458
267,Normandy,48.87987039999999,0.1712529
268,the Strait of Dover,51.0450704,1.4520901
269,Calais,50.95129000000001,1.858686
270,Scotland,56.49067119999999,-4.2026458
271,the North Sea,56.511018,3.515625
272,Norway,60.47202399999999,8.468945999999999
273,France,46.227638,2.213749
274,Seine,48.6382687,2.4489006
275,Seine,48.6382687,2.4489006
276,East,39.0185336,-94.2792411
277,Cherbourg,49.6337308,-1.622137
278,the Pas de Calais,50.5732769,2.3244679
279,Normandy,48.87987039999999,0.1712529
280,Seine,48.6382687,2.4489006
281,Normandy,48.87987039999999,0.1712529
282,Brittany,48.2020471,-2.9326435
283,England,52.3555177,-1.1743197
284,East Anglia,,
285,London,51.5073509,-0.1277583
286,London,51.5073509,-0.1277583
287,England,52.3555177,-1.1743197
288,London,51.5073509,-0.1277583
289,London,51.5073509,-0.1277583
290,Liverpool Street,33.890494,-117.8302561
291,London,51.5073509,-0.1277583
292,France,46.227638,2.213749
293,London,51.5073509,-0.1277583
294,Yorkshire,,
295,Cardiff,51.48158100000001,-3.17909
296,Waterloo,42.492786,-92.34257749999999
297,Dover,38.9643531,-95.8914709
298,London,51.5073509,-0.1277583
299,Klamotte,52.1432114,5.3921185
300,the Wild West,43.5677083,-90.88242389999999
301,London,51.5073509,-0.1277583
302,Manchester,53.4807593,-2.2426305
303,the Great Eastern Hotel,22.5681736,88.34992179999999
304,Germany,51.165691,10.451526
305,East London,51.55633,0.0655092
306,Liverpool Street,33.890494,-117.8302561
307,Chancery Lane,51.516154,-0.1120214
308,the North Sea,56.511018,3.515625
309,England,52.3555177,-1.1743197
310,Germany,51.165691,10.451526
311,London,51.5073509,-0.1277583
312,Germany,51.165691,10.451526
313,Lisbon,38.7222524,-9.1393366
314,Germany,51.165691,10.451526
315,Wild West,42.20558270000001,-88.5489772
316,Britain,55.378051,-3.435973
317,Dayton,39.7589478,-84.1916069
318,London,51.5073509,-0.1277583
319,Whitehall,38.989556,-76.75123099999999
320,London,51.5073509,-0.1277583
321,Hamburg,53.5510846,9.9936819
322,England,52.3555177,-1.1743197
323,Normandy,48.87987039999999,0.1712529
324,the Pas de Calais,50.5732769,2.3244679
325,East Anglia,,
326,Euston Station,51.5280991,-0.1332084
327,Euston,39.0026418,-94.63186379999999
328,Holyhead,53.309441,-4.633038
329,Liverpool,32.6564981,-115.4763241
330,Glasgow,55.864237,-4.251806
331,Ireland,53.1423672,-7.692053599999999
332,Liverpool,32.6564981,-115.4763241
333,Belfast,54.59728500000001,-5.93012
334,Eire,53.1423672,-7.692053599999999
335,the Atlantic coast,-14.5994134,-28.6731465
336,Holyhead,53.309441,-4.633038
337,Dublin,53.3498053,-6.2603097
338,Liverpool,32.6564981,-115.4763241
339,Glasgow,55.864237,-4.251806
