,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,Ristorante Carlo Menta,,+39 06 580 3733,12.4727883,41.8896301,4.0,10488,"[]Author: Mateusz D; Rating: 3; When: 6 months ago <br> Cheap, classic Italian pizza, tasty tiramisu, too much salt for me<br> NEXT <br> <br>Author: mohamed badreldin mohamed ismail; Rating: 1; When: 7 months ago <br> Not satisfied ! Have been there recently and didn't enjoy the food. Prices are convenient, but quality was not. Hope it was only a case.<br> NEXT <br> <br>Author: Cristian Zaccardi; Rating: 4; When: 2 weeks ago <br> True authentic Roman cooking, classy local lunching or dining and wining in the bustling Trastevere neighborhood with its iconic landmarks footsteps away.
I loved it and it's not pricey at all.
They don't nickle'n'dime you, e.g. enough bread and extra grated cheese for your pasta granted.
Staff fast and professional.
Go there!<br> NEXT <br> <br>Author: Carlos Martínez; Rating: 4; When: 5 months ago <br> Good restaurants quality price. It is very cheap but with a high quality. If you are student, it is the best place to go!<br> NEXT <br> <br>Author: Miguel Garcia; Rating: 3; When: 3 months ago <br> Went back in Janurary of this year. Was not impressed my Girlfriend's food came out cold. Grazia & Graziella is better.<br> NEXT <br> <br>"
1,Bonci Pizzarium,http://www.bonci.it/,+39 06 3974 5416,12.4466709,41.9066758,4.3,5876,"[]Author: Andrew J. Neis; Rating: 5; When: 3 months ago <br> Now THIS is what pizza is supposed to be. After eating this you won't want to go back to anything else. Fresh ingredients and intriguing topping combinations had us trying a little piece of everything. Loved it!<br> NEXT <br> <br>Author: Hot Mamacita; Rating: 4; When: 6 months ago <br> Good after the Vatican city . By weight. And friendly servers .take away .cant really sit unless you want to stand at the tables . In a neighborhood that's not the cleanest<br> NEXT <br> <br>Author: Jodric Schomann; Rating: 5; When: 6 months ago <br> We love Napoletana pizzas but this one (pizza romana al taglio) was very good! Crusty, light and so many toppings! We especially loved the one with potatoes, the spicy one with courgettes, and the one with all kinds of cherry tomatoes. Better to take away :)<br> NEXT <br> <br>Author: Zdenek Lozias; Rating: 5; When: 6 months ago <br> One of the best pizzas I've ever had. Ordering it was a bit hectic, but it was so worth it.

We tried multiple types, and loved all of them.

It's a little far from the city centre but definitel worth visiting.<br> NEXT <br> <br>Author: Emilie Coalson; Rating: 5; When: 6 months ago <br> This place lives up to the hype - we tried several highly recommended pizza-by-the-slice places in Rome, and this one was definitely the best, if a bit out of the way. It was very popular - there was a small queue, but it went fast. The sfogli were also good.<br> NEXT <br> <br>"
2,Pizzeria Da Baffetto,http://www.pizzeriabaffetto.it/,+39 06 686 1617,12.4702938,41.8982758,4.0,4994,"[]Author: Marc Ramírez Invernon; Rating: 5; When: 6 months ago <br> Best pizza in Rome<br> NEXT <br> <br>Author: Arif Shafique; Rating: 4; When: 2 weeks ago <br> Really good pizza but the service could have been slightly better (take away)<br> NEXT <br> <br>Author: Jas & Em 姐妹留學散策; Rating: 1; When: a month ago <br> The servers here are the rudest ones I’ve ever met. One shouted at us impolitely when we asked if we could pay by card. The other slapped on my butt which was totally harassment when I stood up from my seat! Not gonna come here ever again. 101% NOT RECOMMENDED.<br> NEXT <br> <br>Author: Sara Manca; Rating: 5; When: 2 weeks ago <br> best pizzeria!! most of the time you need to wait to get a table because they dont take reservations (you will understand why once you get there 😊)

its worth to wait for 🍕🍕🍕<br> NEXT <br> <br>Author: English Teacher; Rating: 3; When: 8 months ago <br> Ok oizza. Tiramisu touristic.<br> NEXT <br> <br>"
3,L'Antica Birreria Peroni,http://www.anticabirreriaperoni.it/,+39 06 679 5310,12.4824441,41.8987803,4.4,4626,"[]Author: Martin Webb; Rating: 5; When: 7 months ago <br> Fantastic Peroni served by hosts with huge character. One not to miss<br> NEXT <br> <br>Author: Keeley Levers; Rating: 5; When: 6 months ago <br> Recommended here by our tour guide Davida from city wonderers and we are so glad we went! A true authentic Italian restaurant where the locals eat! So reasonably priced for the quality. My only issue which I feel I have to mention is that our waiter was not too inviting as we were tourists who didn't speak Italian, he practically chucked my meal on the table and I had to catch it 😅. I am not marking down the place for this issue as we feel it was just him personally as everyone else was very welcoming and other waiters were friendly and joking with their tables, even those tables with tourists. But if you want a VERY good meal please don't let this put you off.<br> NEXT <br> <br>Author: erwin starkl; Rating: 5; When: 8 months ago <br> Great food, good drinks, and perfect service. No fancy food, but you get something for your money. And till now, the best service in Rome, attentive and polite. Highly recommended. If you come to Rome, dont miss this place.<br> NEXT <br> <br>Author: Kayley Moore; Rating: 3; When: a year ago <br> This place has cheap food and decent portion sizes. Always pretty busy with tourists and Italians.
Not bad, fun for a birthday experience as they have a special little treat/show for any birthday guests<br> NEXT <br> <br>Author: Harriet Harvey; Rating: 5; When: 7 months ago <br> Probably the best meal we had in Rome! The portions were huge and very reasonably priced. The rigatoni with bacon and sausage was incredible and so was the tiramisu! Service was speedy and friendly, we went early at about 7pm ish and all the tables were full when we left. Will definitely come back here again.<br> NEXT <br> <br>"
4,Open Baladin,https://open-baladin-roma.business.site/,+39 06 683 8989,12.474626,41.893488,4.5,3880,"[]Author: Giuliana Trinchieri; Rating: 5; When: in the last week <br> Came here for lunch with some friends. The pumpkin ale was so good! The food was also well made, seasoned and delicious. Overall affordable as well.<br> NEXT <br> <br>Author: Ezekiel Mercau; Rating: 5; When: a month ago <br> Great bar with a vast variety of craft beers. Yhe La Touche Belgian ale is very good!<br> NEXT <br> <br>Author: Paul; Rating: 1; When: 7 months ago <br> We ordered Tomato caprese; it was totally un seasoned. The tomatoes were green and not ripe, no taste.
We tried to order a Beer Cocktail wich was presented on a Menu Board in the bar. They told us they have no Cocktails because they have no ice!
Other Food we ordered wasnt available.
We tried the chicken. It was well seasoned But very dry.<br> NEXT <br> <br>Author: Matt Sanders; Rating: 5; When: 5 months ago <br> Wide selection of beers, nice to find craft beer in Italy. The staff were friendly and knowledgeable. Craft beer in Italy still has a way to go in my opinion, but these guys are pushing forward.
Vegan snacks and food is also great.<br> NEXT <br> <br>Author: Daniele Calisi; Rating: 1; When: 6 months ago <br> I have been there for years, they have always been kind and professional. It never happened in three years that a pub does not allow me to give to my son his own food. They have good food, but definitely (or at least in my humble caring-parent opinion) not suitable as main meal for a 3 yo kid. Maybe something has changed in the last months: they refused to swap chairs to make my kid more comfortable, they do not have seats for children and they do not allow parents to give their own food to children. As a sad end of the story, while we were going away saying we cannot stay in a place where they do not allow to feed our son, they just answered ""please go away, we have other customers waiting"".
My son, as soon as we were out, expressed his clear-as-only-a-child-can opinion: ""they were not friendly, daddy"".<br> NEXT <br> <br>"
5,La Montecarlo,https://www.lamontecarlo.it/,+39 06 686 1877,12.4708788,41.8977064,4.1,3270,"[]Author: Gabriella Memarian; Rating: 5; When: a month ago <br> Very good food and very authentic for any travelers looking for a true Roman experience!<br> NEXT <br> <br>Author: Michael Tribett; Rating: 5; When: a month ago <br> This was truly one of my favorite meals in Rome, great prices and food.<br> NEXT <br> <br>Author: Marcos Beverina; Rating: 5; When: 5 months ago <br> Alta pizzuli y pasta. Great service. A classic of Rome!<br> NEXT <br> <br>Author: J Christopher; Rating: 3; When: 7 months ago <br> Pretty good food for the price, better than a lot of tourist traps, but not massively cheap. We got pretty much chased out / were rushed to finish our drinks so they could get the next people in.<br> NEXT <br> <br>Author: geo cotruta; Rating: 5; When: 7 months ago <br> It was a brilliant truly italian experience. I went with my fiance and we repeated, Twice. Try the wine, it is homemade and the salmon pasta. Those were our favorites. Truly recommended.
We are looking forward to go back just coz of this place.<br> NEXT <br> <br>"
6,Cacio e Pepe,http://www.trattoriacacioepepeprati.com/,+39 06 321 7268,12.4667578,41.9153099,4.2,2480,"[]Author: Andrzej Nowak; Rating: 4; When: 6 months ago <br> Good pasta, but too costly<br> NEXT <br> <br>Author: Chris Rosario; Rating: 4; When: 4 months ago <br> Second time here. I had a gricia and it was fine - it isn't my favorite roman pasta but I feel like I could find better elsewhere. I give it a 4 for low prices and fast service, this is not a great place for gastronomical adventures. If you need a quick lunch and you're in the area, this is the place to go.<br> NEXT <br> <br>Author: D Muc; Rating: 1; When: 7 months ago <br> Horrible food! All the pasta looks the same! They gave us 3 choices of pasta for the night. The Cacio e Pepe was the worst! Coming from a chef, never sprinkle pecorino romano on top of the Cacio e Pepe and over do it with Pepper. It was just a disgrace for the name it self. Do not recommend. The best Cacio e Pepe we found was in La Casetta di Trastevere. Recommend going there!<br> NEXT <br> <br>Author: Lorenzo Magagnin; Rating: 5; When: 8 months ago <br> We both ordered Cacio e Pepe and the owner asked us if we had tried the carbonara yet. We said we tried it already, to which she asked: 'but did you try it here?'. We said no obviously, and she proceeded serving us a free-of-charge carbonara plate. Plus, the cacio e pepe was great and we even received free watermelon to freshen up. Outstanding experience of the true Roman experience<br> NEXT <br> <br>Author: Gabriel Laine; Rating: 5; When: 8 months ago <br> Got the classic Cacio e Pepe, probably one of the best plates of pasta I’ve eaten. Totally affordable for €9, plus wine, great lunch!<br> NEXT <br> <br>"
7,Roscioli Salumeria con Cucina,,+39 06 687 5287,12.4742417,41.894256,4.4,2381,"[]Author: Kent Jakobsen; Rating: 5; When: 7 months ago <br> Very good place. Food and wine is superb<br> NEXT <br> <br>Author: Cyrille Dequidt; Rating: 5; When: 7 months ago <br> High quality dishes.
Nice service staff.<br> NEXT <br> <br>Author: Christiana Raht; Rating: 4; When: 5 months ago <br> Pretty tasty but my Cacio e Pepe didn’t pack as much flavour as I hoped. We enjoyed the wine cellar in the basement. My friend had a tomato based pasta that was delicious.<br> NEXT <br> <br>Author: hsaubewersy saurewesay; Rating: 5; When: 3 months ago <br> Absolutely if you find us in Rome you have to go to the best. Nothing to say, fully satisfied. They offer a taste of various types of bread and a dessert at the end. We had cacio e pepe and carbonara and a bottle of water. Without too many words, THE BEST EVER. I highly recommended this place.<br> NEXT <br> <br>Author: Sher Vasquez; Rating: 5; When: 8 months ago <br> Here's the thing.. I really don't even want to give Roscioli a rating... because I'm afraid it's already been discovered and I don't want to not be able to get a table next time I come to Rome (or let's get real, tomorrow when I go back for dinner again).

They are known for the cabonara, which is creamy perfection, but I cannot hold back my praises for the world's creamiest burrata and most mouth watering pasta: the cacio e pepe (which is four cheese & four peppers).  Oh my god.

The wine is great, the meats and cheeses are obviously fabulous (it's literally a stone cellar restaurant in the back of a butcher shop), but Jesus is that cacio e pepe pasta good.<br> NEXT <br> <br>"
8,AMALFI MADRE,,+39 06 3973 3165,12.458291,41.907092,4.0,1887,"[]Author: Tricky Moreira; Rating: 4; When: 5 months ago <br> Wood oven pizza. We walked by, saw the wood over flames, and had to go in (you don’t see too many wood ovens in Rome). Pizza was really good. I personally didn’t order a drink, and the server looked surprised. The Pizza took forever to come to the table (because they forgot to place the order). We were charge a £3 service fee (I don’t know if it’s bc I didn’t order a drink, or if it was an actual service tip). Our server sucked bc I don’t think he put the order in, nor did he ever come back to our table, but I didn’t come here for the service, or the water - I went for the wood oven pizza and it didn’t disappoint! #pizza<br> NEXT <br> <br>Author: Arabella Jones; Rating: 5; When: 7 months ago <br> Whenever I come to Rome it is a must visit restaurant. Best pizza ever, also not expensive. Really friendly waiters<br> NEXT <br> <br>Author: Hannah Stewart-Mathews; Rating: 5; When: 5 months ago <br> Best pizza I have ever had 👌  lovely staff and great wine. Easy to orders vegan option even though it's not on the menu. Staff are very accommodating of needs.<br> NEXT <br> <br>Author: Giovanni de francisci; Rating: 5; When: 6 months ago <br> Very good pizza. Friendly service   and lavish choice of beers. The tables are outside,  in a quiet area, properly distanced.
I would recommend this pizzeria<br> NEXT <br> <br>Author: Omar ben dali; Rating: 5; When: 8 months ago <br> We went to this restaurant on our first day in Rome so we had a little to compare it with, but as the trip progressed, we became certain that it was , in fact, AMAZING. Aside from the friendly waiter and the awesome pizzaiolo who came to check if we liked the pizza, the food itself is tasty. The homemade pasta has a great texture and the sauce is smooth and shiny, however the portion size is quite small, but that's a roman thing, apparently. The pizza was just great. That was the description a friend came up with.
We would certainly come back before we leave.<br> NEXT <br> <br>"
9,Giggetto,http://www.giggetto.it/,+39 06 686 1105,12.478335,41.892685,3.8,1863,"[]Author: Tony Colli; Rating: 5; When: a month ago <br> These guys definitely know how to cook! Cacio e Pepe is divine as were the fettuccine con carciofi along with the oxtail and osso buco. Great location in the Jewish Ghetto, so good that we ate here 2 days in a row during our 4 day stay. Scrumptious!<br> NEXT <br> <br>Author: Drew Francis; Rating: 5; When: 2 months ago <br> The jerusalem artichokes are outstanding. Every dish I had there was superior. Bustling atmosphere, lovely location.<br> NEXT <br> <br>Author: Vaidas Saldziunas; Rating: 2; When: 6 months ago <br> Unfortunatelly it turned our to be Very touristic place and overpriced, concidering poor quality of food.

Although it is supposed to be a family run restaurant, we've booked in advance for late Saturday dinner (05 09 2020), the service from the waiter we received was cold, careless, reserved ""to those tourists"" - the waiter asked all Italian tables how was the food, offered deserts and more, with us it was just clearing the table. It'd be fine for all I care, besides, Amatrice pasta was nice and proper, hence two stars.

BUT

The Carbonara was bad, really screwed - dry, with eggs overcooked and stuck to pasta in tiny pieces. How can you make a carbonara that bad in Rome, in a family restaurant? How can you - a waiter not ask how is/was the food if you clearly see plate almost untouched? Ignorant, careless? We are not complainers, we noted these things to hostess, who was surprised, but then again - just for above mentioned reasons you might skip this place and write it off to the ""yet another overpriced tourist trap in Rome"" until proven wrong.<br> NEXT <br> <br>Author: Heeythere Rdgz; Rating: 5; When: 6 months ago <br> Home made food and an exellent service, congrats to the owners, the maître who recommended us Carciofi alla Guidia (amazing dish), and the guy who served us, Stefano. First time with my family and if we come  to Rome, I’m sure we will visit the restaurant! Thank you!<br> NEXT <br> <br>Author: Giovanni Di Nucci; Rating: 1; When: 7 months ago <br> A legal robbery! 24€ for 4 heartichokes and 16€ for a plate of pasta. The square is plagued by pigeons and the table outside was uncomfortable. Very expensive and food quality below the Roman average. There are much better places around the same area.<br> NEXT <br> <br>"
