,Unnamed: 0,Unnamed: 0.1,lugares,LAT_google,LON_google,labels,Quotes,Position,cluster_label,Quotes_total,day
0,1.0,412.0,Paris,48.856614,2.3522218999999995,LIB,"<b>445</b><br>Langdon and Neveu just walked into the Paris branch of the Depository Bank of Zurich<br><b>440</b><br>Maintaining offices in Zurich, Kuala Lumpur, New York, and Paris, the bank had expanded its services in recent years to offer anonymous computer source code escrow services and faceless digitized backup<br><b>369</b><br>He told Sophie it was out near the tennis stadium on the western outskirts of Paris<br><b>167</b><br>Jacques Saunière was a very prominent and well-loved figure in Paris, and his murder will be news in the morning<br><b>479</b><br>Proof of that fact had been uncovered years ago in Paris’s Bibliothèque Nationale in papers that became known asLes Dossiers Secrets<br><b>12</b><br> «If you would be so kind,» Langdon said, doing his best to remain polite,» could you take the man’s name and number, and tell him I’ll try to call him before I leave Paris on Tuesday? Thank you<br><b>500</b><br>The BBC had flown Langdon to Teabing’s Paris estate for the filming<br><b>248</b><br> If all went as planned tonight in Paris, Aringarosa would soon be in possession of something that would make him the most powerful man in Christendom<br><b>617</b><br>His conversation with Paris had not at all been what he had imagined<br><b>1069</b><br>I’m going back to Paris in the morning<br><b>319</b><br>Clearly he was hosting a party while Sophie was away at school, and from the looks of the automobiles, some of Paris’s most influential people were in attendance<br><b>1005</b><br> One more thing to attend to before I return to Paris<br><b>446</b><br>  CHAPTER 43 André Vernet – president of the Paris branch of the Depository Bank of Zurich – lived in a lavish flat above the bank<br><b>55</b><br>«A scar on the face of Paris<br><b>564</b><br>Paris<br><b>334</b><br>Embassy had now become a full-fledged evacuation from Paris<br><b>1086</b><br>Paris ’ s ancient Rose Line<br><b>263</b><br>Embassy in Paris is a compact complex on Avenue Gabriel, just north of the Champs-Elysées<br><b>825</b><br>«I thought you were going to Paris<br><b>1047</b><br>It only made sense that Sophie, being the eldest, would stay in Paris to be taught and raised by Jacques, close to the heart and protection of the Priory<br><b>157</b><br>Eager to know how plans in Paris were progressing, he wished he could phone Silas<br><b>244</b><br>Long before the establishment of Greenwich as the prime meridian, the zero longitude of the entire world had passed directly through Paris, and through the Church of Saint-Sulpice<br><b>516</b><br>.»«My manservant tells me that not only are you in Paris, but you speak of the Grail<br><b>305</b><br>Her eyes remained fixed ahead down the long thoroughfare of Champs-Elysées, the two-mile stretch of posh storefronts that was often called the Fifth Avenue of Paris<br><b>618</b><br> Everything in Paris has gone terribly wrong<br><b>496</b><br>His estate outside of Paris was a seventeenth-century palace with two private lakes<br><b>1076</b><br>He had promised himself he would stop in the hotel lobby for a cafe au lait to clear his thoughts, but instead his legs carried him directly out the front door into the gathering Paris night<br><b>59</b><br>She said the curator had heard I would be lecturing in Paris this month and wanted to discuss something with me while I was here<br><b>1075</b><br>The bathrobe beside his bed bore the monogramHOTEL RITZPARIS <br><b>1</b><br>In 1975 Paris’s Bibliothèque Nationale discovered parchments known asLes Dossiers Secrets ,identifying numerous members of the Priory of Sion, including Sir Isaac Newton, Botticelli, Victor Hugo, and Leonardo Da Vinci<br><b>660</b><br>«Hold on, aren’t you supposed tobe in Paris this week?» «Iamin Paris<br><b>1053</b><br>«I know of a man at a bank in Paris who is probably very eager to see the return of this rosewood box<br><b>979</b><br>It would prevent Saunière from persuading Langdon to keep quiet, and it would ensure that once the keystone was in Teabing’s hands, Langdon would be in Paris for recruitment should Teabing need him<br><b>659</b><br>I also mentioned you would be in Paris soon and suggested you two chat<br><b>204</b><br>  CHAPTER 19 The Church of Saint-Sulpice, it is said, has the most eccentric history of any building in Paris<br><b>1092</b><br>Turning, he felt his feet again tracing the invisible path of the ancient Rose Line, carrying him across the courtyard to the Carrousel du Louvre – the enormous circle of grass surrounded by a perimeter of neatly trimmed hedges – once the site of Paris’s primeval nature-worshipping festivals… joyous rites to celebrate fertility and the Goddess<br><b>50</b><br>.» Singlehandedly responsible for filling Paris with Egyptian obelisks, art, and artifacts<br><b>192</b><br> Fumbling with the controls, Collet called up a Paris street map and recalibrated the GPS<br><b>139</b><br>It had a Paris phone number and extension on it<br><b>1054</b><br>Thinking of Paris, Langdon flashed on the threesénéchauxwho had been killed the night before<br><b>661</b><br>«Hold on, aren’t you supposed tobe in Paris this week?» «Iamin Paris<br><b>124</b><br>«One of his numeraries is in Paris tonight…»As Sister Sandrine listened to the odd request, she felt a deepening confusion<br><b>394</b><br>As the Vatican closed in, the Priory smuggled their documents from a Paris preceptory by night onto Templar ships in La Rochelle<br><b>282</b><br>The other half he sent to guard the only location in Paris where Robert Langdon could find safe harbor<br><b>1082</b><br> Yes! The streets of Paris, Langdon had learned years ago, were adorned with 135 of these bronze markers, embedded in sidewalks, courtyards, and streets, on a north-south axis across the city<br><b>1011</b><br>.»«The families of those in Paris who Silas…» He paused, swallowing the emotion<br><b>44</b><br>Across a staggeringly expansive plaza, the imposing facade of the Louvre rose like a citadel against the Paris sky<br><b>21</b><br>.» «Paris? Incredible<br><b>292</b><br> Tearing it open, she found four Paris phone numbers<br><b>709</b><br>She turned and staggered silently up the stairs, out of the house, and drove trembling back to Paris<br><b>164</b><br> Spring in Paris is not all your song boasts<br><b>20</b><br>The keystone is here in Paris<br><b>554</b><br>The most blatant M, of course, is emblazoned on the altar at Our Lady of Paris in London, which was designed by a former Grand Master of the Priory of Sion, Jean Cocteau<br><b>371</b><br>By broadcast-faxing photos of Langdon and Sophie to Paris travel authorities, hotels, and banks, Interpol would leave no options – no way to leave the city, no place to hide, and no way to withdraw cash without being recognized<br><b>1043</b><br>They had come to see Rosslyn Chapel before going back to Paris<br><b>1090</b><br>He knew that at the end of this tunnel stood the most mysterious of Parisian monuments – conceived and commissioned in the 1980s by the Sphinx himself, François Mitterrand, a man rumored to move in secret circles, a man whose final legacy to Paris was a place Langdon had visited only days before<br><b>1071</b><br>.»Langdon felt an unexpected sadness to realize he would be returning to Paris without her<br><b>137</b><br>Only a few of his colleagues knew he was in Paris<br><b>177</b><br> Sighing, she raised her eyes and gazed out at Paris’s dazzling landscape<br><b>333</b><br>We’re buying two tickets on the next train out of Paris<br><b>312</b><br> When she arrived at their Paris home, however, her grandfather was not there<br><b>127</b><br>«He lived in Paris<br><b>315</b><br>Jacques Saunière despised city driving and owned a car for one destination only – his vacation château in Normandy, north of Paris<br><b>397</b><br>.» «What truth? What secret could possibly be that powerful?» Langdon took a deep breath and gazed out at the underbelly of Paris leering in the shadows<br><b>569</b><br> As Aringarosa began dialing the number, he felt excited to know he would soon be in Paris<br><b>24</b><br> « Le capitainewas pleased to discover you were still in Paris tonight,» the agent said, speaking for the first time since they’d left the hotel<br><b>733</b><br> So far, the evidence they had uncovered was unhelpful: a single bullet buried in the floor; a paper with several symbols scrawled on it along with the wordsbladeandchalice;and a bloody spiked belt that PTS had told Collet was associated with the conservative Catholic group Opus Dei, which had caused a stir recently when a news program exposed their aggressive recruiting practices in Paris<br><b>190</b><br>Although Paris fire codes required windows above fifteen meters in public buildings be breakable in case of fire, exiting a Louvre second-story window without the help of a hook and ladder would be suicide<br><b>435</b><br>«Paris,» he said, and walked out the door<br><b>86</b><br>«It is in Paris<br><b>212</b><br>You are in Paris a short time<br><b>245</b><br>The brass marker in Saint-Sulpice was a memorial to the world’s first prime meridian, and although Greenwich had stripped Paris of the honor in 1888, the original Rose Line was still visible today<br><b>173</b><br>.»Standing in the kitchen of her Paris flat, Sophie felt a chill to hear him again after all these years<br><b>491</b><br>.» «And he lives in Paris?» «Teabing’s life passion is the Grail<br><b>22</b><br>Each had told Silas the exact same thing – that the keystone was ingeniously hidden at a precise location inside one of Paris’s ancient churches – the Eglise de Saint-Sulpice<br><b>268</b><br> A Paris exchange, followed by the three-digit code 454<br><b>734</b><br>«Monsieur Vernet, I am currently in charge of the Paris investigation<br><b>296</b><br>  CHAPTER 32 The security alarm on the west end of the Denon Wing sent the pigeons in the nearby Tuileries Gardens scattering as Langdon and Sophie dashed out of the bulkhead into the Paris night<br><b>322</b><br>Pulling the door closed, she fled the deserted house, and drove in a tearful stupor back to Paris<br><b>5</b><br>  PROLOGUE Louvre Museum, Paris 10:46 P<br><b>1012</b><br>«My Lord, before I return to Paris, there is one final matter I’d like to discuss – your impromptu flight to London<br><b>568</b><br> Things must have gone well in Paris tonight<br><b>130</b><br>When the Pope visited Paris a few years back, Fache had used all his muscle to obtain the honor of an audience<br><b>511</b><br>Designed by François Mansart in 1668 for the Count of Aufflay, it was one of Paris’s most significant historical châteaux<br><b>737</b><br>England was less than an hour from Paris, and yet a world away<br><b>9</b><br> Where the hell am I? The jacquard bathrobe hanging on his bedpost bore the monogram:HOTEL RITZPARIS <br><b>588</b><br>«The Merovingians founded Paris<br><b>599</b><br>I should admit, for my research, I have kept lists of men in Paris whom I thought might be good candidates for involvement in the Priory<br><b>1002</b><br>To successfully hide bugs in some of Paris’s most powerful offices, the British historian had turned to the Greeks<br><b>509</b><br>Who better to help us than a knight?» CHAPTER 52 The Sprawling 185-acre estate of Château Villette was located twenty-five minutes northwest of Paris in the environs of Versailles<br><b>309</b><br> We ’ re going to make it ,Sophie thought as she swung the SmartCar’s wheel to the right, cutting sharply past the luxurious Hôtel de Crillon into Paris’s tree-lined diplomatic neighborhood<br><b>662</b><br>«You called me collect fromParis? »«Take it out of my royalties, Jonas<br><b>35</b><br>The agent gunned the sedan across the junction and sped onto a wooded section of Rue Castiglione, which served as the northern entrance to the famed Tuileries Gardens – Paris’s own version of Central Park",1.0,0.0,"<b>1</b><br>In 1975 Paris’s Bibliothèque Nationale discovered parchments known asLes Dossiers Secrets ,identifying numerous members of the Priory of Sion, including Sir Isaac Newton, Botticelli, Victor Hugo, and Leonardo Da Vinci",3
4,41.0,507.0,Pompidou Center,48.860642,2.352245,LIB,"<b>41</b><br>Glancing left, he could make out the top of the ultramodern Pompidou Center, which housed the Museum of Modern Art",41.0,0.0,"<b>41</b><br>Glancing left, he could make out the top of the ultramodern Pompidou Center, which housed the Museum of Modern Art",3
19,449.0,971.0,the Quartier Latin,48.85085369999999,2.3455566,LIB,"<b>449</b><br> When I retire, Vernet told himself, I will fill my cellar with rare Bordeaux, adorn my salon with a Fragonard and perhaps a Boucher, and spend my days hunting for antique furniture and rare books in the Quartier Latin",449.0,0.0,"<b>449</b><br> When I retire, Vernet told himself, I will fill my cellar with rare Bordeaux, adorn my salon with a Fragonard and perhaps a Boucher, and spend my days hunting for antique furniture and rare books in the Quartier Latin",3
22,519.0,403.0,Notre Dame Cathedral,48.85296820000001,2.3499021,LIB,"<b>519</b><br>Gargoyles had always terrified Sophie as a child; that was, until her grandfather cured her of the fear by taking her atop Notre Dame Cathedral in a rainstorm",519.0,0.0,"<b>519</b><br>Gargoyles had always terrified Sophie as a child; that was, until her grandfather cured her of the fear by taking her atop Notre Dame Cathedral in a rainstorm",3
26,1084.0,503.0,Paris Observatory,48.8358925,2.3365123,LIB,"<b>1084</b><br>He had once followed the line from Sacré-Coeur, north across the Seine, and finally to the ancient Paris Observatory",1084.0,0.0,"<b>1084</b><br>He had once followed the line from Sacré-Coeur, north across the Seine, and finally to the ancient Paris Observatory",3
28,,,"<a href=""http://www.senat.fr/visite/jardin/index.html""target=""_blank""> Luxembourg Gardens </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>77274",48.8462217,2.3371605,TOUR,"[]<b>Author: </b>hafs Abdelwaheb; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>This will be my place to pass the weekend 👌🏻<br><br><b>Author: </b>Halim Hamdan; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Such a lovely place truly. There is banks, chairs and so many space to sit down and just enjoy a peaceful day with a partner, friend or family or your child/children. You will find people who play multiple activities and sports and you will find a great spots for taking pictures. Enjoy!<br><br><b>Author: </b>Claudio Tavares; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>A bit crowded, as usual, but very well kept and clean. One of my favorite parks in Paris. And props to the gardeners, the flowers are always bright, healthy and in excellent shape!<br><br><b>Author: </b>Diku 2627; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>It was one of the best place to spend summer time. Surrounded by trees and spacious place and moreover you will get needful thing to eat. Must visit and enjoy the atmosphere.<br><br><b>Author: </b>Véronique Robin; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Beautiful and peaceful garden, very pretty statues and elegant building for the Senate. You can play chess and there is a safe place for young children.
Two reservations: crowded and no toilets.<br><br>",,,,3
31,,,"<a href=""https://www.centrepompidou.fr/""target=""_blank""> The Centre Pompidou </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>45852",48.86064200000001,2.352245,TOUR,"[]<b>Author: </b>Cyril Martinot; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Interesting place with a lot going on, went there for the exhibition on protestation and loved it!<br><br><b>Author: </b>Laurie Bostian; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>My friend and I had a great experience exploring Centre Pompidou on one of our layovers in Paris. Definitely worth the trek! She had been before and was sure that I would love it as well. I'm an artist and try to visit as many museums as I can all over the world, seeking inspiration and insight.<br><br><b>Author: </b>Norma Goro; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>The bookstore at this center is wonderful, it has incredible titles, catalogs of past exhibitions and excellent editions, critiques and art reviews. The architecture of the Center is very interesting, the square fills with people talking, it is a place full of life and that offers art exhibitions that you can only find in Paris.<br><br><b>Author: </b>Alexander Fuchs; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Good collection of art. We showed up in time for our time slot but still had to wait 30min in line. Famous facade is currently under construction (August 2020)<br><br><b>Author: </b>Avand Fardi; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Good collection, good taste.

Don't forget to take a look at Paris itself from the top of Pompidou Museum buildings.

Splendid!<br><br>",,,,3
32,,,"<a href=""https://www.notredamedeparis.fr/""target=""_blank""> Cathédrale Notre-Dame de Paris </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>43246",48.85296820000001,2.3499021,TOUR,"[]<b>Author: </b>Priya Indian Vlogger in Germany; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>It is one of the most visited and beautiful church in Paris. There is a lot of history attached to it. You can visit this place very easily and conveniently via public transport. The ancient architecture is worth admiring in every aspects and you can take great shots of the church. The surrounding region is very beautiful and you can enjoy the natural and architectural beauty of this place by planning a day or half day trip to this place. There is a large shopping area with lots of restaurants and shop about a few hundred meters from this place.<br><br><b>Author: </b>권주환; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>At first, I feel sorry for the fire occurred last year. As one of the people who've visited here before the accident,  I hope the restoration ends successfully. Even though I have been here when I was about 12-13 years old, this structure gave an strong impression. It was big, and details all over the building were interesting. I hope to see this beautiful church again with my grown up sights.<br><br><b>Author: </b>Pamela Rajah; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Loved it...I had visited...before the actual fire...it was beautiful...as it was meant to be....I got on my knees...and prayed in this church...we even lit a candle...tried not to feed the birds...but...it was an amazing experience...my cousin's  loved it also.<br><br><b>Author: </b>Tom Sitt; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>I saw it before the fire and it was pretty cool to see. Seeing it now all damaged is sad but there are interesting facts and information posted around the church as it undergoes repairs...still worth it to go by and check it out.<br><br><b>Author: </b>Anil Rayarala; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>A place to visit once in a lifetime. Breathtaking and very picturesque. Structure is the best tourist attraction in Paris. Would love to visit again if ever have a chance. Most famous cathedral of the middle age .<br><br>",,,,3
33,,,"<a href=""http://www.paris-pantheon.fr/""target=""_blank""> Panthéon </a><br><b>Rating: </b>4.6<br><b>Popularity: </b><br>31314",48.8462218,2.3464138,TOUR,"[]<b>Author: </b>Generic Username; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Really stunning. This wasn’t on our list of places to visit but we were nearby and popped in. Very grand tributes to some of France’s monumental figures in history. Amazing architecture, it’s very moving inside.<br><br><b>Author: </b>Ido Naim; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Impressive monument and the burial grounds of some of the most famous and influential people ever lived.
A converted cathedral, older than 240 years. Super big, spacious and was built to mimic St. Paul's Cathedral in London.
The audio guide is pretty messy and requires you to go with the brochure as well. Make sure to not confuse the location market numbers with the audio guide numbers.<br><br><b>Author: </b>Chad Taylor; <br><b>Rating: </b>5<br><b>When: </b>3 weeks ago<br>Highly recommend! Nestled in the Latin Quarter, adjacent to The Sorbonne and other prominent architecture, the Pantheon commands attention; drawing the eye to its detail and grandeur. Inside, the eyes wander ever upward to the painted, patterned domes and vaulted ceilings.<br><br><b>Author: </b>Ricardo Marino; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>A national treasure and a monument to the Republic. The interior is grandiose and the crypt is also pretty nice. I just wish the heroes of the Republic that lay there had a decent explanation of their story, for now this is only true to a handful of them.<br><br><b>Author: </b>Aikaterini Stamou; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Impressive monument and museum.  Is overwhelming to see the burial grounds of some of the most  influential people ever lived.
And Foucault's pendulum was spectacular!!
Must visit place!<br><br>",,,,3
36,,,"<a href=""https://www.centrepompidou.fr/""target=""_blank""> The Centre Pompidou </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>45852",48.86064200000001,2.352245,MUSE,"[]<b>Author: </b>Cyril Martinot; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Interesting place with a lot going on, went there for the exhibition on protestation and loved it!<br><br><b>Author: </b>Laurie Bostian; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>My friend and I had a great experience exploring Centre Pompidou on one of our layovers in Paris. Definitely worth the trek! She had been before and was sure that I would love it as well. I'm an artist and try to visit as many museums as I can all over the world, seeking inspiration and insight.<br><br><b>Author: </b>Norma Goro; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>The bookstore at this center is wonderful, it has incredible titles, catalogs of past exhibitions and excellent editions, critiques and art reviews. The architecture of the Center is very interesting, the square fills with people talking, it is a place full of life and that offers art exhibitions that you can only find in Paris.<br><br><b>Author: </b>Alexander Fuchs; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Good collection of art. We showed up in time for our time slot but still had to wait 30min in line. Famous facade is currently under construction (August 2020)<br><br><b>Author: </b>Avand Fardi; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Good collection, good taste.

Don't forget to take a look at Paris itself from the top of Pompidou Museum buildings.

Splendid!<br><br>",,,,3
