,Unnamed: 0,Unnamed: 0.1,lugares,LAT_google,LON_google,labels,Quotes,Position,cluster_label,day,Quotes_total
20,771.0,1016.0,the famous Bridge of Angels,41.901788,12.4664617,LIB,"<b>771</b><br>And as if that were not enough, leading solely and directly to the castle’s main entrance stood the famous Bridge of Angels ",771.0,0.0,4,"<b>771</b><br>And as if that were not enough, leading solely and directly to the castle’s main entrance stood the famous Bridge of Angels "
21,781.0,24.0,Castle St. Angelo,41.90306320000001,12.466276,LIB,"<b>781</b><br>Il Passetto -The Little Passage-was a slender, three-quarter-mile tunnel built between Castle StAngelo and the Vatican<br><b>892</b><br> 
He had come for her at Castle StAngelo<br><b>961</b><br>Europe’s top scientists mocking religion as they secretly assembled in the Vatican’s own Castle StAngelo",781.0,0.0,4,"<b>781</b><br>Il Passetto -The Little Passage-was a slender, three-quarter-mile tunnel built between Castle StAngelo and the Vatican"
26,,,"<a href=""http://castelsantangelo.beniculturali.it/""target=""_blank""> Castel Sant'Angelo </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>54165",41.90306319999999,12.466276,TOUR,"[]<b>Author: </b>Ghazzal Mehdi; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Surely a five star place. Perhaps the most iconic in Rome? To be honest, Rome has so many iconic places that I lost the count...
Anyway, near to. Vetican, great bridges.. Simply outstanding...<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Greater sight from the outside, I hope the pictures make sense of the very nice place this is. The architecture is different from other landmarks as it was intended for a different purpose in the religious history. Prepare to walk a lot. I would recommend the walking tour if possible.<br><br><b>Author: </b>Marcel van Poeijer; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>This huge Castle is definitely worth a visit. Even though I did not go in (entrance fee = 15EU), I still loved the outside area and the little park next to it. When you go inside, it is recommended to go before sunrise, as the sunrise view on top of the terrace should be lovely.<br><br><b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Great place to visit with spectacular views all around Rome. Interesting artefacts and some Papal history to see. Some of the rooms are stunning. There are a lot of stairs so people with mobility issues may struggle although there is a lift to the second level which can be used on request. This does mean that you will lose out on the top terrace which provides the best views. All the staff were extremely helpful and kind.<br><br><b>Author: </b>Rich; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>A fine visit. The best thing about this castle is the view you get once you're on the top floor.<br><br>",,,4,
29,,,"<a href=""""target=""_blank""> St. Angelo Bridge </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>14851",41.901788,12.4664617,TOUR,"[]<b>Author: </b>Aayush Khandelwal; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>It's worth to visit. Look at the alignment with St Peters basilica. Sit near by on bridge and feel the beauty of place and architecture.<br><br><b>Author: </b>Vasilis Karaman; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Amazing bridge! The most beautiful I have ever seen. All these statues all over the road are in the highest level! At the night this beauty increases!!<br><br><b>Author: </b>Father Kenny Ang; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Seeing the statues of Saints Peter and Paul at the eastern end of this bridge reminds me that I’m standing in a city that witnessed the life of the early Christians. When I came here about two years ago, there were people dressed as Roman soldiers with whom tourists eagerly took pictures (I did too!). Unfortunately, I see that many visitors missed the ten statues of angels holding the symbols of Christ’s Passion devised by none other than Bernini (he wasn’t the only sculptor though; other sculptors collaborated in the project).<br><br><b>Author: </b>Dom Swatton; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Couldn't recommend this bridge more for crossing the water.
It has everything you need, clearly marked walkways, cobble stones and even statues.
Great views of the homeless camping along side the water.
Simply stunning<br><br><b>Author: </b>מאור לוי; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Their shark was, in this moment, a pioneering sheep. Credible grapefruits show us how goldfishes can be snails. An eager chicken is a grape of the mind! A powerful melon without bees is truly a chicken of boundless melons. Recent controversy aside, the chimpanzee of a peach becomes a painstaking lime; Few can name an amusing fish that isn't a confident camel. After a long day at school and work, they were lost without the pro-active giraffe that composed their peach. After a long day at school and work, a sympathetic squirrel without sheeps is truly a giraffe of dynamic sharks; Few can name a skillful lime that isn't a decisive cat. The kumquat is a cow!<br><br>",,,4,
32,,,"<a href=""https://web.uniroma1.it/ortobotanico/""target=""_blank""> Orto Botanico di Roma </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>3638",41.8923247,12.4628307,TOUR,"[]<b>Author: </b>tomas kochan; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>Doesn't worth the money..8€ I could spend a lot better.<br><br><b>Author: </b>Vladimir Kostic; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>Don't go here... 8eur ticket to see sad plants..many of them half dead... parts of the garden are literally a mess

there are many beautiful gardens in Rome that are better taken cared and more pleasant to spend time in... the only worthwhile place was a bench in bamboo section with a nice view (actually bamboo section was the only decent part)

All in all it was very sad experience for us<br><br><b>Author: </b>Alice Ho; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Maybe it's the time of the year. Not much plants nor flowers to see. Also not very well kept.<br><br><b>Author: </b>Dri Kool (thekoolitaly); <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>An absolute delight. During the summer can be an oasis to hide away from sun. Take a guided tour , highly recommended... although I'm not sure if their tours are only in Italian.<br><br><b>Author: </b>Kuala Bound; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>The hill is a huge help to the beauty of the garden. I was impressed by the massive ancient platanus next to the eleven fountains steps. And i liked also the tropical greenhouse but i fear they should find a way to increase its roof not enough high. Fens valley looked a bit messy. The Samples garden can be risky so pay attention to bees.<br><br>",,,4,
37,,,"<a href=""http://www.villafarnesina.it/""target=""_blank""> Villa Farnesina </a><br><b>Rating: </b>4.6<br><b>Popularity: </b><br>1488",41.89359939999999,12.4672868,TOUR,"[]<b>Author: </b>M in Paris; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Amazing ceiling painting from Raffaelo. It is mind blowing and definitely one of the more hidden unknown museums<br><br><b>Author: </b>JUZER KAPADIA; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>The wealthy Sienese banker Agostino Chigi commissioned this villa in 1508 for his lavish banquets and for sojourns with the courtesan Imperia, who allegedly inspired one of the Three Graces painted by Raphael in the Loggia of Cupid and Psyche.
Designed by the Sienese architect Baldassare Peruzzi, the harmonious Farnesina, with a central block and projecting wings, is one of the first true Renaissance villas. Peruzzi decorated some of the interiors himself, such as the Sala della Prospettiva upstairs, in which illusionistic frescoes create the impression of looking out over Rome through a marble colonnade.
The painted vault of the Sala di Galatea shows the position of the stars at the time of Chigi’s birth. After his death, the banking business collapsed, and in 1577 the villa was sold to the Farnese family.<br><br><b>Author: </b>Andrew Potts; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Beautiful building, amazing Raphael frescoes.<br><br><b>Author: </b>A. Lexander; <br><b>Rating: </b>2<br><b>When: </b>10 months ago<br>""Don't download the guide app it takes too long almost 5 minutes per room"" was said to us when we bought tickets and wanted to download the free guide app they ADVERTISED AS PART OF TICKET... What a joke. And that for 10€. Very rude and unfriendly people at ticket counter.<br><br><b>Author: </b># Volkmer; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The most amazing library I have ever seen in my life and probably the most amazing one I will ever see in my hole life. 😯 Just extraordinary fantastic. Extremely happy to be taken there.<br><br>",,,4,
44,,,"<a href=""http://castelsantangelo.beniculturali.it/""target=""_blank""> Castel Sant'Angelo </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>54165",41.90306319999999,12.466276,MUSE,"[]<b>Author: </b>Ghazzal Mehdi; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Surely a five star place. Perhaps the most iconic in Rome? To be honest, Rome has so many iconic places that I lost the count...
Anyway, near to. Vetican, great bridges.. Simply outstanding...<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Greater sight from the outside, I hope the pictures make sense of the very nice place this is. The architecture is different from other landmarks as it was intended for a different purpose in the religious history. Prepare to walk a lot. I would recommend the walking tour if possible.<br><br><b>Author: </b>Marcel van Poeijer; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>This huge Castle is definitely worth a visit. Even though I did not go in (entrance fee = 15EU), I still loved the outside area and the little park next to it. When you go inside, it is recommended to go before sunrise, as the sunrise view on top of the terrace should be lovely.<br><br><b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Great place to visit with spectacular views all around Rome. Interesting artefacts and some Papal history to see. Some of the rooms are stunning. There are a lot of stairs so people with mobility issues may struggle although there is a lift to the second level which can be used on request. This does mean that you will lose out on the top terrace which provides the best views. All the staff were extremely helpful and kind.<br><br><b>Author: </b>Rich; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>A fine visit. The best thing about this castle is the view you get once you're on the top floor.<br><br>",,,4,
47,,,"<a href=""http://www.leonardodavincimuseo.com/""target=""_blank""> Museum Leonardo Da Vinci Experience </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>1668",41.9021225,12.4615696,MUSE,"[]<b>Author: </b>Dr. Francesco Prato; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>A reduced version of the original museum in Vinci (near Florence) but with all the most important inventions showcased. You can also try them out. Well done.<br><br><b>Author: </b>Daniel Stiller; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>It waa a nice and informativ visit, although the tour is a littlebit shorter then expected first. Bit the audio guides are kreativ and well made and the workers are very helpful.

I can recommend it, espacially as a ""free"" addition to one of the city pass tourist tickets.<br><br><b>Author: </b>Kyle Taylor; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Very friendly staff, some awesome gifts and items for the house or friends :)<br><br><b>Author: </b>Paul R; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Really good value...nice place to escape the heat for a bit<br><br><b>Author: </b>Dave Ruijer; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Fun and interactive museum about the great ideas and creations from Leonardo Da Vinci. We went late afternoon without a line stopping us to enter the museum quickly. By entrance you get a map of the museum with pictures of the objects on it. With a little scanner, headphone included, you can tab on the picture what is relevant at the moment you stand in front of an object. You will here a voice in your selected language explaining the background of the piece. Several mechanical creations can be tried. By doing this you get close in the genius mind of Leonardo Da Vinci and realize he went far in front of his era. Also for kids this is a very educative museum wich stimulates the mind. After the tour in the museum you can buy fun souvenirs like T-shirts, books, etc.<br><br>",,,4,
48,,,"<a href=""http://www.villafarnesina.it/""target=""_blank""> Villa Farnesina </a><br><b>Rating: </b>4.6<br><b>Popularity: </b><br>1488",41.89359939999999,12.4672868,MUSE,"[]<b>Author: </b>M in Paris; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Amazing ceiling painting from Raffaelo. It is mind blowing and definitely one of the more hidden unknown museums<br><br><b>Author: </b>JUZER KAPADIA; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>The wealthy Sienese banker Agostino Chigi commissioned this villa in 1508 for his lavish banquets and for sojourns with the courtesan Imperia, who allegedly inspired one of the Three Graces painted by Raphael in the Loggia of Cupid and Psyche.
Designed by the Sienese architect Baldassare Peruzzi, the harmonious Farnesina, with a central block and projecting wings, is one of the first true Renaissance villas. Peruzzi decorated some of the interiors himself, such as the Sala della Prospettiva upstairs, in which illusionistic frescoes create the impression of looking out over Rome through a marble colonnade.
The painted vault of the Sala di Galatea shows the position of the stars at the time of Chigi’s birth. After his death, the banking business collapsed, and in 1577 the villa was sold to the Farnese family.<br><br><b>Author: </b>Andrew Potts; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Beautiful building, amazing Raphael frescoes.<br><br><b>Author: </b>A. Lexander; <br><b>Rating: </b>2<br><b>When: </b>10 months ago<br>""Don't download the guide app it takes too long almost 5 minutes per room"" was said to us when we bought tickets and wanted to download the free guide app they ADVERTISED AS PART OF TICKET... What a joke. And that for 10€. Very rude and unfriendly people at ticket counter.<br><br><b>Author: </b># Volkmer; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The most amazing library I have ever seen in my life and probably the most amazing one I will ever see in my hole life. 😯 Just extraordinary fantastic. Extremely happy to be taken there.<br><br>",,,4,
54,,,"<a href=""https://www.museocriminologico.it/""target=""_blank""> Museum of Criminology </a><br><b>Rating: </b>3.5<br><b>Popularity: </b><br>60",41.8976285,12.4667171,MUSE,"[]<b>Author: </b>maxine lloyd; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>We came from England to attend the museum which showed on the internet that it was open, we got a taxi and made our way to the door only to be told that it was closed!! Even though the door was clearly open!! Very disappointed by the ladies response to us. Update your page if you’re going to be closed!! Wasted journey would not recommend wasting your time or money clearly do not want your business as they were too busy talking on the doorstep!!!!!<br><br><b>Author: </b>Rise Above; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Very interesting place! If you like criminal novels!<br><br><b>Author: </b>YourGuideInRomeDotCom FrancescoApice; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Ihe museum is CLOSED , and it won't open for at least 18/24 months !  There is a renovation need , but no band has been published yet ...<br><br><b>Author: </b>Raphael Aretakis; <br><b>Rating: </b>4<br><b>When: </b>5 years ago<br>We bumped into this museum while wandering the city. It was an amazing surprise for us. We ended up seeing things we would normally never see. If you like police novels and criminal stories, that is the place to be!!<br><br><b>Author: </b>Julia Coleman; <br><b>Rating: </b>1<br><b>When: </b>3 years ago<br>Still closed for work no information as to when it's reopening :( was disappointed really wanted to visit.<br><br>",,,4,
