,Unnamed: 0,Unnamed: 0.1,lugares,LAT_google,LON_google,labels,Quotes,Position,cluster_label,Quotes_total,day
10,390.0,246.0,Piazza della Rotunda,41.8992619,12.4768866,LIB,"<b>408</b><br>.”
As they rounded the corner into Piazza della Rotunda, the Pantheon rose before them<br><b>390</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",390.0,1.0,"<b>390</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",4
11,391.0,383.0,Sant’Eustachio,41.8997351,12.4746038,LIB,"<b>391</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",391.0,1.0,"<b>391</b><br>Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",4
15,521.0,830.0,Via Cola di Riezo,41.9079743,12.465208,LIB,"<b>521</b><br>The path intersected the Margherita Bridge, Via Cola di Riezo, and passed through Piazza del Risorgimento, hitting no churches at all until it dead-ended abruptly at the center of St",521.0,0.0,"<b>521</b><br>The path intersected the Margherita Bridge, Via Cola di Riezo, and passed through Piazza del Risorgimento, hitting no churches at all until it dead-ended abruptly at the center of St",4
19,742.0,240.0,Piazza Navona,41.8991633,12.4730742,LIB,"<b>742</b><br> 
Dead center of Piazza Navona, outside the church of St",742.0,0.0,"<b>742</b><br> 
Dead center of Piazza Navona, outside the church of St",4
20,771.0,1016.0,the famous Bridge of Angels,41.901788,12.4664617,LIB,"<b>771</b><br>And as if that were not enough, leading solely and directly to the castle’s main entrance stood the famous Bridge of Angels ",771.0,0.0,"<b>771</b><br>And as if that were not enough, leading solely and directly to the castle’s main entrance stood the famous Bridge of Angels ",4
21,781.0,24.0,Castle St. Angelo,41.90306320000001,12.466276,LIB,"<b>892</b><br> 
He had come for her at Castle StAngelo<br><b>781</b><br>Il Passetto -The Little Passage-was a slender, three-quarter-mile tunnel built between Castle StAngelo and the Vatican<br><b>961</b><br>Europe’s top scientists mocking religion as they secretly assembled in the Vatican’s own Castle StAngelo",781.0,0.0,"<b>781</b><br>Il Passetto -The Little Passage-was a slender, three-quarter-mile tunnel built between Castle StAngelo and the Vatican",4
23,,,"<a href=""https://www.turismoroma.it/it/node/1516""target=""_blank""> Piazza Navona </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>120149",41.8991633,12.4730742,TOUR,"[]<b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>So beautiful, and so crowded sometimes. It is sometimes impossible to get a good picture in this plaza, but it is Rome, you need to enjoy the life that comes with it. Is a great place to have dinner and if you wait time enough you can take a very good night picture. Just be patience.<br><br><b>Author: </b>Creative Jay; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Incredible place. The massive church as you walk onto the plaza is amazing. Make sure you go inside and view it, words can not describe how stunning it is. Go day or night and enjoy this place. The only negative is the restaurants. Just avoid them if you can<br><br><b>Author: </b>Shelby Elkins; <br><b>Rating: </b>5<br><b>When: </b>2 weeks ago<br>Free to enter and walk around. Beautiful fountains, access to a nice church, and plenty of places to eat. A must visit site when you are in Rome! Highly recommend!<br><br><b>Author: </b>Bert Parham; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>A fantastic place to go and people watch, enjoy pretty good food and ice cream. We visited several times as our hotel was in close proximity. Each time of day brings something different.<br><br><b>Author: </b>Kai; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>It was really calming and relaxing. Honestly I would love to go there again. The restaurants and coffee shops where top quality and the place was magnificent.<br><br>",,,,4
26,,,"<a href=""http://castelsantangelo.beniculturali.it/""target=""_blank""> Castel Sant'Angelo </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>54181",41.90306319999999,12.466276,TOUR,"[]<b>Author: </b>Ghazzal Mehdi; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Surely a five star place. Perhaps the most iconic in Rome? To be honest, Rome has so many iconic places that I lost the count...
Anyway, near to. Vetican, great bridges.. Simply outstanding...<br><br><b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Greater sight from the outside, I hope the pictures make sense of the very nice place this is. The architecture is different from other landmarks as it was intended for a different purpose in the religious history. Prepare to walk a lot. I would recommend the walking tour if possible.<br><br><b>Author: </b>Marcel van Poeijer; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>This huge Castle is definitely worth a visit. Even though I did not go in (entrance fee = 15EU), I still loved the outside area and the little park next to it. When you go inside, it is recommended to go before sunrise, as the sunrise view on top of the terrace should be lovely.<br><br><b>Author: </b>Ken Saberi; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Great place to visit with spectacular views all around Rome. Interesting artefacts and some Papal history to see. Some of the rooms are stunning. There are a lot of stairs so people with mobility issues may struggle although there is a lift to the second level which can be used on request. This does mean that you will lose out on the top terrace which provides the best views. All the staff were extremely helpful and kind.<br><br><b>Author: </b>Rich; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>A fine visit. The best thing about this castle is the view you get once you're on the top floor.<br><br>",,,,4
27,,,"<a href=""https://www.turismoroma.it/it/luoghi/campo-de%E2%80%99-fiori-e-piazza-farnese""target=""_blank""> Campo de' Fiori </a><br><b>Rating: </b>4.4<br><b>Popularity: </b><br>40690",41.8955904,12.4721829,TOUR,"[]<b>Author: </b>Wunderklumpen; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>It is okay. But not worth to visit.<br><br><b>Author: </b>Marlene Münch Schuster; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>As most piazzas, it is beautiful. And I like Giordano Bruno, although I have been told he was lacking charm<br><br><b>Author: </b>SilverWolf Beats; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>A good place to spend time with friends and family.  There's bars, restaurants and many more.  Police is always visible in the area to insure people follows safety protocol. Just a five minutes walk from the main road..<br><br><b>Author: </b>Deniz Hassan; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Splendid square comprised of four roughly equal sides. It houses several pleasant establishments for drink and food. The water fountain has excellent pressure and nice, cool water.<br><br><b>Author: </b>Vladimir Balaz; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>The place is famous for final moments on Giordano Bruno. The place, however, also has its own atmosphere. It is lively, with many people, shops and cafes. And there are flower shops as well, of course.<br><br>",,,,4
28,,,"<a href=""""target=""_blank""> St. Angelo Bridge </a><br><b>Rating: </b>4.7<br><b>Popularity: </b><br>14856",41.901788,12.4664617,TOUR,"[]<b>Author: </b>Aayush Khandelwal; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>It's worth to visit. Look at the alignment with St Peters basilica. Sit near by on bridge and feel the beauty of place and architecture.<br><br><b>Author: </b>Vasilis Karaman; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Amazing bridge! The most beautiful I have ever seen. All these statues all over the road are in the highest level! At the night this beauty increases!!<br><br><b>Author: </b>Father Kenny Ang; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Seeing the statues of Saints Peter and Paul at the eastern end of this bridge reminds me that I’m standing in a city that witnessed the life of the early Christians. When I came here about two years ago, there were people dressed as Roman soldiers with whom tourists eagerly took pictures (I did too!). Unfortunately, I see that many visitors missed the ten statues of angels holding the symbols of Christ’s Passion devised by none other than Bernini (he wasn’t the only sculptor though; other sculptors collaborated in the project).<br><br><b>Author: </b>Dom Swatton; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Couldn't recommend this bridge more for crossing the water.
It has everything you need, clearly marked walkways, cobble stones and even statues.
Great views of the homeless camping along side the water.
Simply stunning<br><br><b>Author: </b>מאור לוי; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Their shark was, in this moment, a pioneering sheep. Credible grapefruits show us how goldfishes can be snails. An eager chicken is a grape of the mind! A powerful melon without bees is truly a chicken of boundless melons. Recent controversy aside, the chimpanzee of a peach becomes a painstaking lime; Few can name an amusing fish that isn't a confident camel. After a long day at school and work, they were lost without the pro-active giraffe that composed their peach. After a long day at school and work, a sympathetic squirrel without sheeps is truly a giraffe of dynamic sharks; Few can name a skillful lime that isn't a decisive cat. The kumquat is a cow!<br><br>",,,,4
