,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,Hotel NH Collection Roma Centro,https://www.nh-hotels.com/hotel/nh-collection-roma-centro?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,+39 06 328481,12.4687189,41.909606,4.2,1191,"[]<b>Author: </b>PM B; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Was here for work. Good advice on the current state of the lock down. Friendly staff, very very clean hotel!<br><br><b>Author: </b>paul alvarado; <br><b>Rating: </b>4<br><b>When: </b>3 months ago<br>Friendly staff. Nice rooms.<br><br><b>Author: </b>Daniele Corti; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Well located. Rooms are cleaned and comfortable. A bit too noisy. Breakfast is good despite nothing special. Hotel is good for a short stay<br><br><b>Author: </b>JustIn Case; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>I loved everything about the NH Collection Roma Centro: the location, the ambiance, the service and amenities. The staff is professional and extremely attentive to your needs! The breakfast is simply delicious. Good Job!<br><br><b>Author: </b>Animaltex mascotas; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>I am very sad and feel very frustrated as my Rolex given to me by my father was stolen from the safe in my room, the manager at the time was very apologetic and explained that the cleaning lady was new and she didn’t come the following day. He reassured me that I would be reimbursed for my rolex and the cash that had been stolen, however that the insurance would take about a month to get back to him. Two month went pass he never answered my phone and at the end I managed to speak to him after he sent me an email saying that The insurance company at 99% will not be able to refund anything since there was not any break-in sign to the safe. Even though they manage to open the safe to stole my personal staff
I would never stay at this hotel or recommend it to anyone,<br><br>"
1,Hotel NH Collection Roma Giustiniano,https://www.nh-hotels.com/hotel/nh-collection-roma-giustiniano?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,+39 06 6828 1601,12.4656925,41.9069303,4.3,1017,"[]<b>Author: </b>Adriano Tamanza; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>The hotel is in a very good location close to lots of shops restaurants and the Vatican. Could use a little renovation. Cleanliness could be improved<br><br><b>Author: </b>Franklin Walton; <br><b>Rating: </b>1<br><b>When: </b>in the last week<br>This place is not worth your money. Horrible.   Don’t pay for the breakfast with your stay.  We ended up going out for breakfast for our 4 day stay because the breakfast was so horrible.  They never changed the room towels etc.  not worth the money at all. You pay for the location of the hotel.  Not the quality of the hotel<br><br><b>Author: </b>VICTORIA Santos Smith; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>This hotel is located perfectly. It’s not far from the Vatican, piazza Navonna and all the important cites in Rome. The hotel staff is not very friendly. Rooms and beds are a nice size and adequate.<br><br><b>Author: </b>Ju; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Had a very good stay in this NH! Very well located for the visits, friendly and helpful staff (thanks Sergio!), hotel is very clean, junior suite is amazing. Only little thing that could be improved is the breakfast, not so much choice in comparison with other NH collections, but staff was very nice. We will come back!<br><br><b>Author: </b>Giselle Espinal; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>Happy to be here in Italy and in a nice hotel like this but I could not get any sleep due to the uncomfortable mattress. Maybe this is due to a preference of a soft but a bit firm mattress that I have but I can not sleep because it feels as if I am laying on rocks. I woke up after a few 3 hrs of sleep now again in the middle of the night with back pain and aches in my neck. I’ve used the pillows as a topper. This is very unusual for me as I’ve slept in many hotel beds.<br><br>"
2,Starhotels Michelangelo,http://www.starhotels.com/en/our-hotels/michelangelo-rome/,+39 06 398739,12.4544592,41.89881949999999,4.4,947,"[]<b>Author: </b>David St; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Great hotel near the Vatican. The hotel was close to public transport and where the locals ate. So getting an authentic Local experience and food was  simple.<br><br><b>Author: </b>Amanda Rose; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Overall we enjoyed our experience. Rooms were clean and nice. Staff met accommodations. We only ate there for morning breakfast which was the same each morning. Not many additional amenities to the hotel. Very close to Vatican but far from other tourists stops<br><br><b>Author: </b>Bob P.; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Great location near everything! Friendly staff with good english. That's important to me since I'm totally ignorant of other languages. I might have been "" put on the elevator"" a bit due to a ""reservation foul-up"" that wouldn't make the room price I had reserved available for 2 days. They gave me an ""upgraded"" room for the first 2 days for the original price but said I would either have to move to the cheaper room after that or pay the upgraded price to stay in the original room. I decided to stay put. Who wants to pack up and move? Long story short it might have been a simple bait and switch type of thing, but I'm not sure. Oh, the room is nice but I don't know what the ""upgrade might be"". Recommend none the less.<br><br><b>Author: </b>Kay Munsterteiger; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great location to get to the Vatican,  nice and clean rooms, helpful staff, great hot breakfast<br><br><b>Author: </b>M G; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Elegant hotel located on a 5 minute walk from St. Peter's square. We received a room upgrade upon arrival, which was a nice gesture. If possible get a room with balcony as you can see the Dome from there. The hotel is spotlessly clean and the room was spacious and well-equipped as compared to other Rome hotels we have visited.  The hotel's staff was courteous and welcoming (apart for some of the waitresses at the restaurant, who were not very attentive - e.g. they would not ask if you need anything like espresso). The hotel is in a very convenient and quiet location. One thing that could be improved is the breakfast - while the variety was satisfactory, it was one and the same each morning. The New Year's buffet dinner was a bit of a disappointment - the mood was not particularly festive and it closed before the start of the new year. Food was also a bit on the bland side.<br><br>"
3,Best Western Plus Hotel Spring House,http://www.hotelspringhouse.com/,+39 06 3972 0948,12.4517011,41.9073982,4.4,858,"[]<b>Author: </b>Adam Gyökhegyi; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Staff was extremely helpful and attentive! :) Payed great attention to cleanliness throughout the hotel at every step, sanitizing even the pen I signed in with. The location is superb, especially if you have tickets to the Vatican Museum which is just around the corner. Shops, metro, etc. all within walking distance, major downtown sights about 20 minutes by public transport. The room was impressive, comfortable, well air conditioned. Breakfast seemed a bit chaotic at first, but was eventually handled really well with the possibility for open air seating.<br><br><b>Author: </b>Islam Faress; <br><b>Rating: </b>1<br><b>When: </b>9 months ago<br>Terrible Experience.

Extremely noisy rooms and 45 minutes waiting in the queue for breakfast!!

The WiFi signal is non-existent. The water in the shower in annoyingly weak!

It doesn't look anything like a 2 star hotel even.<br><br><b>Author: </b>David Connell; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great staff.  Very helpful.  Extremely professional.   Room spotless.  3 minutes from Cipro Metro Station and the same from Vatican Museum entrance .  I would highly recommend.   Breakfast is free and great choice.<br><br><b>Author: </b>ElysonGavin Lebig; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Overall, my experience with this hotel was fantastic! I almost want to rate it 5 stars, but it was not perfect.  First, the service staff was extremely friendly and helpful.  In this hotel, the elevator is extremely small, a common hotel feature throughout Europe, so I got worried because my family brought a lot of luggage.  Yet, I think the staff is aware of this, so they offer to bring your luggage to your room, which created a good, initial impression on me.  In addition to the staff, I  liked the room my family got.  The room was very clean and modern-looking; furthermore, it also came with a nice, spacious patio!  After seeing my room, I still could not believe I was in a best western hotel.  The only reason why I can't give this hotel 5 stars is the room tends to get hot very easily.  The room has AC, but it is very weak.  Besides a few problems, I would most definitely recommend this hotel to anyone traveling to Rome!<br><br><b>Author: </b>Sandy Kelver; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>We stayed 4 nights at this Best Western Plus hotel in Rome.  All the staff are friendly, helpful and make you feel welcomed from the minute you walk in the front door.  Rooms are a good size and very clean.  Bedding and towels are a nice quality.  The hotel is located within a 5 minute walk from the subway station and Vatican museum.  The bar and restaurant, located inside the hotel, offers a small menu but the variety of food offered is likely to appeal to most everyone.  The food is yummy!  If we were to return to Rome we would definitely stay here.<br><br>"
4,Atlante Star Hotel,https://www.atlantehotels.com/it/star-hotel/hotel.html,+39 06 686386,12.461906,41.904893,4.2,718,"[]<b>Author: </b>Ruth Winig; <br><b>Rating: </b>4<br><b>When: </b>3 weeks ago<br>What we loved:
This hotel has a magical leg up on all others - the view! Yes, you will pay more for it but WOW. It is special to come home after touring Rome and sit atop a roof gazing at St Peters Basilica and looking over the city. We did this every night and every morning ❤️
The staff! Amazing, nice, well spoken and support needs and requests in a timely manner (speak many languages!)
Cleanliness!(with one exception see below)
Breakfast - full breakfast that included Italian favorites (cornetti yum!) and traditional American (bacon and eggs yum!)
Drinks! Delicious
Coffee - hot and ready!

What wasn’t so great:
We chose this hotel during the pandemic for its convenient location to the Vatican and its restaurant and bar. We were disappointed that both evening occasions in the roof top bar our waiter (same both evenings) was not accommodating and somewhat rude. On our last night we asked to sit on top and they said it was closed, and seated us on the lower level, then a half hour later we saw service occurring upstairs - why pay for a supreme view of as a guest you can’t access it during “open” hours? We settled for the Lower level, still nice views and then at 10:55 we asked for one more drink - people had bottles of wine on ice still so we figured good to go. We were told by the waiter “ no the bar is closed” he then walked upstairs to the roof top area weren’t allowed to drink at. We continued to wait for our bill only to see the bartender make another full tray of drinks and coffee. What??!?! We were stung a bit but shrugged it off. Just felt wrong.<br><br><b>Author: </b>Lessley Ann; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>We took advantage of fabulous postcorona offer. And for the price we got more than expected. A modern room and breakfast in an outstanding panoramatic rooftop restaurant with huge glass windows. Internet worked well. Nothing to complain about.<br><br><b>Author: </b>Chacha Durazo; <br><b>Rating: </b>2<br><b>When: </b>10 months ago<br>Our AC doesn't work. The room is incredibly dated and questionably clean. Location is great but I will definitely look elsewhere in the future. They left our bags in the main lobby for several hours unattended even though we were promised they would put them in our room (we checked in early but as the room wasn't ready, we left our bags and returned in the evening several hours later). Carpet everywhere which is gross. Definitely not the 4 star they market themselves as.<br><br><b>Author: </b>Marek Grabowski; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>SCAM, BEWARE - THIEFS OPERATE IN THE HOTEL

We were attacked by a thief inside the hotel in the morning while going for breakfast. He walked in freely to 3rd floor, and jumped on us in a narrow corridor, hitting me in the face and pushing down the stairs. Thankfully other guests came with help and he run away.
The hotel didn’t care. The reception was empty once I went down (nobody checks who enters the hotel). Finally the receptionist appeared and said he didn’t see anything (well, not surprisingly) and that’s a normal thing. They didn’t even bother to check if the thief left the hotel or to notify the police. I left my number for a manager who didn’t bother to call me. I never felt such disregard for guests even in 1-star hotels. Unless this hotel
cooperate with thiefs which would explain their approach.
CHOOSE THIS HOTEL FOR YOUR OWN RISK.<br><br><b>Author: </b>philip carroll; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Staff where fantastic rooms very clean would go back any time 🍀<br><br>"
5,Twenty One Hotel,http://www.twentyonerome.com/,+39 06 3260 9607,12.4691696,41.9090941,4.2,718,"[]<b>Author: </b>Deborah Paklos; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>We've stayed here twice and the staff are friendly, polite and patient with my basic Italian! Last visit were given a roof top room with brilliant views of St. Peters. Immaculately clean.  Wonderful breakfast. For us - when in Rome - it Hotel 21!<br><br><b>Author: </b>Michael Fowler2; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Very clean and well presented with modern decor. Very good air conditioning! The breakfast menu has a good range and the staff would make barrista coffee to order. There is a great gelato place across the street.<br><br><b>Author: </b>Samuli Sarlin; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Really nice hotel in good position. Clean and classy rooms. Easy to find and nice bar and restaurant in 1st floor. Very good place to spend weekend without children. Only price was bit high, but if 200€ to 300€ does not matter to you, this will be great selection.<br><br><b>Author: </b>Jessica Jacobs; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great hotel! Clean and comfortable room. The staff was nice and accommodated us in checking in early. The breakfast buffet is excellent, lots of choices, and worth the money. Conveniently located to many great places to eat and a metro stop.<br><br><b>Author: </b>Guilherme Ferrari; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Good place to explore Rome from. Away from the crowd but just a few minutes away from the most famous landmarks and Vaticano. One of the few options around with it's own parking. Downsides with strong cigarette smell in the bathroom, bed and noise.<br><br>"
6,Villa Agrippina Gran Meliá,https://www.melia.com/en/hotels/italy/rome/villa-agrippina-gran-melia/index.htm,+39 800 788 333,12.4611078,41.8989781,4.4,562,"[]<b>Author: </b>J W; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>If you need a place with a pool in Rome this is a good solution.
However there was a lot of small annoying things that you would not expect in a 5 star hotel.
Electricity was out for an hour in our room because the rooms fuse blew while we were getting ready and the seemingly overworked girl at the reception did not really care much... the electrician was very apologetic while we were standing there in the dark in our underwear. The employee smoking corner is right next to the gym which then smelled badly of smoke. Late check out was a huge deal to get 30min more until 1:30 and the guy promptly did not tell his colleagues who then called us rather persistently to get us out of the room. My birthday was also completely ignored.... so why bother make me fill in your form with that information. And lastly when we asked for a possibility to upgrade to a room not facing the alley we were offered only crazy expensive options of200€ more per night while on their website the difference to a room with a view would have been only a fraction of that.
All in all not a great performance and mostly unnecessary. Did it ruin the stay? No... but if you want to be a five star hotel you are measured by different standards... and the GranMelia Rome failed.<br><br><b>Author: </b>Benoit Hanssen; <br><b>Rating: </b>4<br><b>When: </b>5 months ago<br>Beautiful / elegant hotel. Great location. Matrasses are a bit hard.<br><br><b>Author: </b>Alexey Miroshnichenko; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>My partner and I were robbed at Villa Agrippina on the 22 of August, 2020. My wallet containing two passports, credit cards, cash and SIM cards was stolen right from the room safe. The manager on duty was not helpful at assisting us in figuring out what had happened. He refused to review the tapes and show us the door log citing privacy issue. The manager accompanied us to the police station to write a report. Upon arrival from the police station we had turned the room upside down together with the manager and a housekeeper - nothing was found. We spent a couple of hours in the lobby discussing the details with the consulate over the phone about getting our passports reissued. Upon return to the room we discovered that the stolen wallet was placed back into the safe.
We ran downstairs to reception to confront the manager, he approached us and brazenly said “Oh I heard you found it” like nothing had happened. The manager denied having any involvement in the theft of my wallet.
We quickly packed our belongings, paid the bill and left the hotel as we no longer felt safe staying at the property.
What we assumed had happened is whoever took the wallet had returned it while we were downstairs with the manager trying to figure out the situation with the consulate and our further hotel reservations.
Till this day we have not received any news of the investigation, the hotel general manager has reached out to us but nothing has been resolved.
Avoid this hotel!!!<br><br><b>Author: </b>Yvon Ne; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>The only good thing about this hotel is the outdoor pool which made me choose this hotel. When Rome gets hot it’s great to have a place where you can refresh in the afternoon. That said at the Gran Melia you also have to be prepared to share this pool with a loud and drunk crowd that plays music and screams around, so it’s not the most relaxing place. Unfortunately also the staff is not very caring. For example in my room the power went out and even after an hour I sat in the dark. The staff didn’t ask if there was any progress or just offered an other room. It’s just that, the staff doesn’t care here, a five star hotel shouldn’t leave that feeling in the end. You can just go somewhere else except a pool is the thing you want.<br><br><b>Author: </b>Alina Simeonova; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>NIce hotel in the center of Rome. it is close to multiple locations . All staff is nice and accomodating. We really enjoy our stay. Thanks a lot<br><br>"
7,Trianon Borgo Pio Srl,http://www.trianonborgopio.com/,+39 06 6860 0849,12.4616863,41.9041517,4.5,536,"[]<b>Author: </b>Dr. Francesco Prato; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>I stayed in this hotel twice. My first stay was great. Room on the 6th floor with an astonishing view. My second and last stay was quite the apposite. I booked a spacious room with view on the square, but I got downgraded to a first floor very dark and noisy room for the same price.
Don't book it, unless they confirm you in writing you get a room on the upper floors (4 5 6). Remaining floors are below the average and not worth the price they ask for.
There are many other nice hotels in the area and I will try them, before giving another chance to this one.
The one star is for the service. Very attentive especially in the breakfast room. I am sorry for this review but this is the way it is. Thanks.<br><br><b>Author: </b>Becky White; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Beautiful apartments! Bedroom, living and kitchen. Everything you need for home away from home.
The breakfast is included in the mornings and it’s on the rooftop of the hotel. The breakfast hosts are very kind and gracious. Views of Rome while we eat breakfast.<br><br><b>Author: </b>Carole Widdows; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great staff, great breakfast very convenient location and our apartment was amazing. Will recommend to everyone who plans to visit Rome.<br><br><b>Author: </b>D D; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Very convenient location- close to the Vatican (5 min walk )and pretty close by (15-40 min walk) to other sites.
This is apartment hotel with fridge, kitchen, dishwasher etc.
While there are plenty of restaurants close by, it was good to have the option to come back after a long day and relax in a cool room with a simple home cooked meal and wine. There is a mini mart opposite and a bigger supermarket ( Coop) with very reasonable prices 2 blocks away. We got great Italian wines for 3euros there. The quality of Breakfast could be improved given the room price ( and I was happy that I had the option to fry the eggs downstairs rather than eat up) And we had the best cleaning person for our room - very very perceptive to what our needs were.
All in all, I would recommend this place<br><br><b>Author: </b>Vineet Gupta; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>Great location, very close to Vatican, lots of restaurants nearby. The apartments look nice initially, but on closer inspection one sees lots of corners cut. The shower stall in the bathroom was 2 ft x 2 ft, and the entry to it was exactly 12 inches wide! Breakfast was OK, again looked better at first glance than it actually was. Staff is very friendly.<br><br>"
8,Hotel Pacific Rome,http://www.hotelpacificroma.com/,+39 06 3973 2085,12.446086,41.910571,3.6,521,"[]<b>Author: </b>Pilu Vander; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Good ubication, not expensive and a very good breakfast. The inky thing es that is seems to old the building<br><br><b>Author: </b>rey nor; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Clean, comfortable, warm, good food, friendly staff, walking distance to Vatican<br><br><b>Author: </b>Hong Nguyen; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>This place is dated. Room has broken air conditioning. I'm here July 2019 during a heat wave. Asked for a two bedroom on a pilgrimage trip, end up with a king size bed for two. They're trying to accommodate or work with us....separating the beds in half in a hot room.<br><br><b>Author: </b>Beth Davies (Beth); <br><b>Rating: </b>4<br><b>When: </b>2 years ago<br>Staff all very kind and welcoming. The main room was comfortable and was cleaned daily, although the bathroom did have mould in the shower. Breakfast was very nice, there was lots of options, fresh fruit etc. Overall, a fairly good place to stay.<br><br><b>Author: </b>E M Quiceno; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Clean, old and style fashion.
Nice and smart service.
Excellent smell in all building.
Nice reception area.
Smart staff<br><br>"
9,Hotel Sant'Angelo,http://www.hotelsantangelo.it/,+39 06 324 2000,12.472514,41.90571500000001,4.0,473,"[]<b>Author: </b>neil Carnell; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>If anybody is trying to find good deals for hotels visit RoomBully.  com booked a hotel on there and they had the best rates anywhere!

Highly recommended stay! Place is in the heart of the city.. so can see the spots by foot.. really hospitable.. and the breakfast and happy hours menu (on the house) is to die for!<br><br><b>Author: </b>سليم Saleem; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>The Staff is very nice and cooperative especially Ms.Sylvia who was of great help and dedication. Great location But old furniture. Part of the Hotel rooms are in another building about 70 metres from the main Hotel. You will have to enter a special code to enter that  building and ascend to first floor where there is a separated ward which contains the hotel rooms. The room contains a safe lock and a small refrigator. Can be noisy as it appears there is no sound isolation.<br><br><b>Author: </b>Juan C. Nogueira; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Dirty, small, tiny elevator, dated. Not comfortable.<br><br><b>Author: </b>Steve Moore; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>This place is in a great location. Staff are friendly and helpful. Rooms are old world small and we had the smallest shower I've ever seen (yes we're from US). If you're 250 lbs+ you're going to struggle. However, the complimentary breakfasts and happy hours win the day and I give this quaint hotel 5 stars for a great experience!<br><br><b>Author: </b>juan G; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>The people are very friendly and ready to help. We had a very good time during our stay.  Rooms are okay, clean and housekeeping done every day. I had issues with the pillows, I found them very firm; however, they did find me a softer one. Breakfast is a good value, we decided to  have breakfast at the hotel after paying 50 for breakfast the first day at the near by bakery.<br><br>"
