,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,Sant' Eustachio Il Caffè,https://www.santeustachioilcaffe.it/,+39 06 6880 2048,12.4754254,41.8982749,4.2,5914,"[]<b>Author: </b>Maria Bondarenko; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Super busy and not very friendly. Coffee is good but very expensive. This costs 6.8 eur<br><br><b>Author: </b>Lou Mustillo; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Very good espresso and pastries, but service is slow. Good location. Staff were friendly. Many pastry choices.<br><br><b>Author: </b>Tina Leong; <br><b>Rating: </b>5<br><b>When: </b>12 months ago<br>Best espresso I've had in my entire life. Never had espresso so creamy and smooth. Not a hint of burn/bitter taste like the ones we get in North America. Pastries were good too. I went there every day while I was in Rome for a week. I love the novelty of being able to stand by the bar and seeing the pros at work and listening to the clicking of cups, hissing of the espresso machines. Sitting is over-rated. Hey, when in Rome right. Can't wait to be back! Thank you Eustachio!<br><br><b>Author: </b>Carol Murillo; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>This is a must stop! This place has been her since early 50's...their coffee is amazing...I had the coffee granita with fresh whipped cream!!!<br><br><b>Author: </b>Want ToGo; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Love the coffee, location and service. The owner’s daughter is amazingly kind. Only downside is the price.

Service: 4/5
Food: 4/5
Price: 2/5<br><br>"
1,Cantina e Cucina,http://www.cantinaecucina.it/,+39 06 689 2574,12.4716376,41.8979905,4.6,5883,"[]<b>Author: </b>Phùng Lê Yến Vy; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>I had a splendid time here. All the dishes were well-seasoned with top-notch ingredients! I particularly enjoyed burrata cheese here. Moreover, the service was PERFECT. The friendly atmosphere and the kind welcome that I received from the waitress Martina impressed us! We'll be back just because of you Martina. Great job~<br><br><b>Author: </b>Priscila Rodrigues; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Very welcoming place with an awesome food. Martina was our waitress and she was very friendly and quick with our orders. Very happy with my lunch! The mushroom lasagna is the best I ever had.<br><br><b>Author: </b>John Von Bryan Umali; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>I must say that this restaurant is one of the best restaurant here in Rome. The food was first class and the service excellent. Our waitress Roxy was helpful, attentive and efficient. I would certainly go back to this restaurant.<br><br><b>Author: </b>Rachel Cross; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>SUPER cute atmosphere in a small Italian alley with candles on the tables. The food is amazing as well as they service. They speak perfect English. Eating here at least once is a must.<br><br><b>Author: </b>david west; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Good food good service happy to recommend would return when back in Rome deep fried artichoke worth a shot.<br><br>"
2,La Zanzara,http://www.lazanzararoma.com/,+39 06 6839 2227,12.4601173,41.9060974,4.0,2955,"[]<b>Author: </b>Ioannis; <br><b>Rating: </b>4<br><b>When: </b>2 weeks ago<br>Very beautiful outdoor seating and friendly service. The dishes offered are based on local cuisine, slightly revisited. Ideal for a relaxing lunch.<br><br><b>Author: </b>Cristiano Cesolari; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>I'm from Rome but since a while leaving abroad, was taking my son to view the beauties of the city and we discovered la zanzara. We had a super tasty lunch. The dishes where really good and the service really nice. The prices are in the middle range but the quality of the ingredients was really good. Another plus the place is clean and hygiene looks pretty good.<br><br><b>Author: </b>vince nava; <br><b>Rating: </b>4<br><b>When: </b>a week ago<br>Good but not cheap...<br><br><b>Author: </b>Michael Gugenheimer; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Wide variety of choices, tasty food and polite waiters!<br><br><b>Author: </b>István Szekeres; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>A tad overpriced. But great location, professional service, a fine selection of beers and wines.<br><br>"
3,Caffè Portofino,https://www.caffeportofino.it/?utm_source=googlemaps&utm_campaign=Local&utm_medium=organic&utm_content=link_home_gmaps,+39 06 3211 0837,12.4670168,41.9081764,4.3,2674,"[]<b>Author: </b>Michael Quintana; <br><b>Rating: </b>3<br><b>When: </b>7 months ago<br>Maybe it was just me, but the service was incredibly slow and unfriendly. My waiter also forgot a portion of my order and didn’t apologize when I pointed it out to her.<br><br><b>Author: </b>Li Kyu Li; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Very fresh juice!
The juice was 4.8€, but they gave a lot of free nuts.<br><br><b>Author: </b>Daniel Loo; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Solid place with decent prices. Breakfast was okay but service was quick and the prices are reasonable. Not a bad place to start the day. Got the Italian breakfast - you can pick four items. Coffee, juice, pastry, and water<br><br><b>Author: </b>Matt Ownbey; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>Excellent service and ambiance.<br><br><b>Author: </b>Timar Ivo Batis; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Coffee was good. Hot chocolate was absolutely terrible.<br><br>"
4,Roscioli Salumeria con Cucina,http://www.salumeriaroscioli.com/,+39 06 687 5287,12.4742417,41.894256,4.4,2395,"[]<b>Author: </b>Kent Jakobsen; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Very good place. Food and wine is superb<br><br><b>Author: </b>Cyrille Dequidt; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>High quality dishes.
Nice service staff.<br><br><b>Author: </b>Kutter Tan; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Easy booking, just through Google map.and click on reserve a table. The food here was really really good. I asked the waiter for recommendation for a selection of cured meats.  It was okay. Then I had Amatriciana and it was perfect. The pasta was al dente, just my type. And I can taste the sauce in every bite I took on the pasta. I would go back to this restaurant. Just make sure to book as they look busy.<br><br><b>Author: </b>Andrew Mackenzie; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>A great deli. We selected a few great cheeses and enjoyed them.<br><br><b>Author: </b>Christiana Raht; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Pretty tasty but my Cacio e Pepe didn’t pack as much flavour as I hoped. We enjoyed the wine cellar in the basement. My friend had a tomato based pasta that was delicious.<br><br>"
5,Ristorante Bar del Fico,https://www.bardelfico.com/it/,+39 06 6889 1373,12.4707292,41.89937819999999,4.0,2051,"[]<b>Author: </b>Gahil John; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Lounge Bar is super service!!!<br><br><b>Author: </b>Livio F; <br><b>Rating: </b>4<br><b>When: </b>6 months ago<br>Decent place with good selection of finger food. All in all you can't expect anything more than a standard bar. The benefit comes from the location. A plus is the free WiFi. Staff courtesy is acceptable. In summary, the place is worth a visit. But I found the prices a little high.<br><br><b>Author: </b>Lebsack Stephens; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>If you want to eat in a place where the menu is interesting and authentic, where staff are genuinely interested in their customers, where the wine on offer complements the food and where you feel that you are experiencing real and Italian hospitality, then this is the place to visit.<br><br><b>Author: </b>Spiros Adams-Florou; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Excellent drinks (had a really good Paloma!) and really tasty food to accompany it! With our second drink we got a platter of delicacies, some empanadas, delicious little vegeburger, potatoes with cacio e Pepe sauce, croquettes etc. mmmm. Highly recommend<br><br><b>Author: </b>Mordjann Souilamas; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>The waiters are soooooo rude and incompetent it’s unbelievable<br><br>"
6,Abbey Theatre Irish Pub,https://www.abbey-rome.com/,+39 06 686 1341,12.4706,41.8983,4.4,1433,"[]<b>Author: </b>John Samuels; <br><b>Rating: </b>5<br><b>When: </b>12 months ago<br>I'm updating my previous review based on more experience attending Abbey Theatre and Pub to watch sporting events. Turns out this may be the best spot in Rome to view American football and international football broadcasts in English. The food is solid. I really don't understand why pubs/restaurants are loathe to offer some of the fine, artisanal Italian beers. Best pub food in Rome.<br><br><b>Author: </b>John Hales; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>I love the Abbey theatre! The staff are always friendly and amazing. The food is delicious and the Pub itself has a genuine friendly atmosphere. That's why I'm a regular customer!<br><br><b>Author: </b>Waldo GER; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Very nice pub with a cool irish owner
Little expensive but this us rome so ...<br><br><b>Author: </b>Michael Hayles; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Great bar and make sure you meet Irish Mike, what a character. It’s barmen like this that make a place what it is.<br><br><b>Author: </b>Colzz; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>It’s a nice Irish bar, the prices of drinks & food is very reasonable and it has a lovely cozy atmosphere. It looks small when you first enter but there’s tables and booths around the corner. The barman from Liverpool was cool. He was always friendly and helpful even when he was busy. He also remembered us when we came back several days later. If you’re a traveller and looking for a comfortable and reasonably priced bar then this is for you. Recommended.<br><br>"
7,Osteria Cacio e Pepe,https://osteriacacioepepe.com/,+39 06 8957 2853,12.469377,41.8908478,4.1,1371,[]<b>Author: </b>Pablo Gándara; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Very nice food. A place for Roman people but also for outsiders. Good housewine<br><br><b>Author: </b>Shruti R; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>The food (ravioli and Cacio e Pepe) was incredible. Great location and service was really hospitable (John served us).<br><br><b>Author: </b>Sven; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>You can watch the football there while eating :) and the food is very good<br><br><b>Author: </b>Maciej Charzyński; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Nice service. Excellent WOW tiramisu!<br><br><b>Author: </b>Carlos Martínez; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>Terrible restaurant. It has very low quality and the size of the dishes is terrible. I don't know if it is always like this of if it had a bad day. But I dont recomend this place.<br><br>
8,Cul De Sac,http://www.enotecaculdesacroma.it/,+39 06 6880 1094,12.4720808,41.8977225,4.3,1370,"[]<b>Author: </b>Pacific Northwest; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>I've been twice over the last week and everything I have ordered has been absolutely delicious. Pasta with broccoli, ox tail, vegetables, meatballs, all excellent and will not disappoint. Reasonably priced and served professionally with care and attention to detail.<br><br><b>Author: </b>Ece Aksoy; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>Nice food but not so special, and wonderful selection of wine. The desert was delicious.<br><br><b>Author: </b>Andy Musgrove; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>Good food but service was slow and just ignored a request for a few things which was a shame.<br><br><b>Author: </b>Bert Parham; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Good food, a nice staff, and great atmosphere. Just a good place all around and one of our favorites during our stay back in January 2020<br><br><b>Author: </b>Edward Jones; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Good food in an area inundated with tourist hotspots. Great wine selection too<br><br>"
9,Panino Divino,http://www.paninodivino.it/,+39 06 3973 7803,12.4583955,41.90691809999999,4.7,1156,"[]<b>Author: </b>Emilie Coalson; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Very nice food and a lovely, energetic lady served us. We asked for her recommendations and she definitely steered us right! A great takeaway lunch for a picnic.<br><br><b>Author: </b>Xin Italie; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Good paninis, nothing special. It was still a very good place. Fresh ingredients and kind staff. Very small place and can get crowded<br><br><b>Author: </b>Murdoch Montgomery; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>We were traveling through Europe with my wife in Italy, Bellisimo, but when we are remembering our journy ......... We always always always always remember ""Panino Divino"", They are within our memories (: (:<br><br><b>Author: </b>Adam Gray; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Excellent food - don't miss it!<br><br><b>Author: </b>Ira; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Cosy tiny place with great sandwiches and very friendly owner. A must try!<br><br>"
