,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,"InterContinental Paris - Le Grand, an IHG Hotel",https://www.ihg.com/intercontinental/hotels/gb/en/paris/parhb/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-FR-_-PARHB,+33 1 40 07 32 32,2.3307253,48.8708361,4.6,2403,"[]<b>Author: </b>Monacojetset1977 Ralph Berteil; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>The best hotel in Paris, with Le Bristol. Fantastic rooms, great restaurant (landmark Café de la Paix), and such an anticipating staff.🙏<br><br><b>Author: </b>Natalyn Chan; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>THE BREAKFAST. what can I say. I miss Paris so much<br><br><b>Author: </b>Melissa Jackson; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>If anybody is trying to find good deals for hotels visit RoomBuIIy.  com booked a hotel on there and they had the best rates anywhere!

The hotel is in a very good location. Small room but well-maintained and exceptional service. You can go to boutiques, department stores, and the Louvre museum by walk. The food was really rich and delicious. Would highly recommend it!<br><br><b>Author: </b>J Wu; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The hotel gave us early check in at 11am. We were just off from red eye that we were very appreciated. There were some construction near our room making some noise, the hotel offer complimentary breakfast for us which is a very sweet touch. Recommened, a truly 5-stars experience.<br><br><b>Author: </b>Nida Abudalbouh; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>I love this hotel..
The rooms are spacious. The service is great.and most important is the the amazing location..
Every time  I visit Paris I stay in it<br><br>"
1,Novotel Paris Les Halles,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0785&merchantid=seo-maps-FR-0785&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNTg3MTktNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,+33 1 42 21 31 31,2.3465318,48.8607658,4.4,2120,"[]<b>Author: </b>brian rogers; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>A good place for parents because you can see the playroom from the bar.

Very nice & helpful folks all around this amazing hotel. Great rooms in a great neighborhood to stroll around in. At Christmas, there's a small x-mas market next door, and it's near a million shops.

From the lounge, you can see the only entrance/exit from the children's playroom, so if you want to grab an espresso or something stronger, you can keep an eye on your kids (6yoa & 7 yoa at the time of this writing). If you do stop by the bar, ask for Fares (Ferris), a very understanding bartender who doesn't bat an eyelash when you run to the playroom to see who's crying!<br><br><b>Author: </b>Anastasiya Maykut; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>I came to Paris for my 20th birthday. My friends had easily contacted the management and they organized a beautiful surprise in my room for that day. They circled up on me constantly and were very kind and welcoming. The breakfast was very good: croissants were amazing! Also the pastry chef is amazing! Quentin Lechat. Recommend!<br><br><b>Author: </b>Ilko Radulov; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Great hotel in the Paris city center, everything you need for a great family vacation. Extremely friendly staff. Great service, very comfortable beds. They offer a rich buffet breakfast. Incredible organization and hygiene! I recommend it.<br><br><b>Author: </b>Neil Timson; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>This place is amazing, especially for the amount of money. By far the best Novotel I’ve stayed in. From the point of approaching the front door, the staff were completely on point. They were amazingly nice and accommodating. We were able to check into our room early. The room is spacious and well equipped. It’s modern and clean with 2 beds. Extremely happy with my choice and wouldn’t think of staying on another hotel<br><br><b>Author: </b>Federica Marzola; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>There are so many reasons why I love this hotel!
First of all: Kindness!
Here I found the best receptionist ever: Djamel! He’s very kind and he will help you to find everything you’re looking for spend a great holiday! He will do the best he can to be sure you have all you need! So if you are staying in this hotel, ask for him!
Second: this hotel is located right in the city centre so in few minutes by walk you have the opportunity to visit the most famous attractions! If you prefer use the public transport, the underground station in right in front of the entrance of the hotel!
Third: the hotel is clean and you can also enjoy a great and continental breakfast, full of delicious croissants and waffles and cheese!

Ci sono molte ragioni per cui amo questo hotel!
Prima di tutto: gentilezza!
Qui ho trovato il receptionist migliore in assoluto: Djamel! Lui è molto gentile e ti aiuterà a trovare tutto ciò che stai cercando per trascorrere la tua vacanza nel migliore dei modi! Lui farà tutto ciò che può per assicurarsi che tu stia comodo e abbia ciò di cui hai bisogno. Quindi... se decidete di stare qui, chiedete di Djamel!
Secondo: l’hotel è situato nel centro della città e in pochi minuti si ha la possibilità di   Raggiungere (a piedi o in metro) le attrazioni più famose. (La stazione della metro è proprio davanti all’entrata dell’hotel).
Per concludere: la colazione e la pulizia dell’hotel sono eccezionali.
Raccomando vivamente questo posto😘<br><br>"
2,The Westin Paris - Vendôme,https://www.marriott.com/hotels/travel/parvw-the-westin-paris-vendome/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_Mjc4MjE5OC03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D,+33 1 44 77 11 11,2.3271121,48.8654924,4.3,2046,"[]<b>Author: </b>Hil; <br><b>Rating: </b>1<br><b>When: </b>5 months ago<br>My door card didn’t work and I replaced it twice a day i stayed here.  I asked them to replace it and had to go downstairs every day I stayed at this hotel. The last two days of my trip I received a new card for my room twice. One in the morning, one at night. The staff would apologize and wouldn’t do anything to solve the main problem.

It’s frustrating to go up and down to find out that I can’t get into the room.

The room service left my room door open after cleaning it our second day. The heat would barely work and I would come back to my room finding the window wide open.

It’s 40 degrees out. I stayed here 6 days and I checked out leaving sick.<br><br><b>Author: </b>Jaime Plath; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>We spent two nights at the Westin Vendome for our New Years trip to Paris.  We were beyond excited to be in the city of love! Upon arrival at the Westin we were told the room wasn’t ready although we were there at the scheduled check in time of 3pm.

The front desk staff did everything they could do to find us a room that was cleaned and ready but as Titanium Elite members we had already been upgraded to the largest room in our room category they had available.  We were obviously ready to hit the ground running and get out into the city but we were requested to wait until our room was ready.  However that time was undetermined so we were given a courtesy drink at the bar for each of us. While they held our luggage we made our way to the bar where we were delightfully surprised at the ambiance and friendly staff.  Plus the drinks were delicious!  We thought it was an amazing start to our few days in Paris as we sat enjoying our cocktails and snacks. After an hour our room was still not ready and the staff comped another round of drinks for us. Although it was frustrating not to be able to get in and clean up after arriving from the long trip and embarking on the city but we really enjoyed the relaxed start to the weekend and were thankful for the time at the bar.
Once we got checked into our room we were able to get to the streets of Paris!  We made it back to our room later that night to find a bottle of champagne and chocolate provided on the house!    We were recently engaged and couldn’t have been more pleased at the service the Westin was providing. Excellent touch!  The following evening we were upgraded to a suite which exceeded out expectation! It was HUGE!  We had two balconies which gave us a view of the Tuileries garden.  We thoroughly enjoyed the extra space especially the sitting room area.  Lastly of note was the breakfast, which was comprised of a full buffet including everything from pastries & coffees to made to order eggs.  We enjoyed this every morning as a perfect start to our day.  We would highly recommend this hotel for your stay in Paris - great location, excellent amenities & incredible staff.<br><br><b>Author: </b>Alex Everything; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>my stay was great. the staff are helpful and the rooms are well furnished.i have used this hotel for all my Paris trips. it has a great continental breakfast with everything from sushi to omelets.  so if I could I would rate it not 1 not 2 not the not four not five but six stars.
visit it our forever wish you had is my advice.<br><br><b>Author: </b>Kenya Avidis; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>I visited last July, and had a great stay here! Close proximity to all major attractions in the area. Overall very nice hotel.<br><br><b>Author: </b>Ali El; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>this is really the worst Hotel I've ever seen. This hotel is getting long in the tooth... I was here in September.. I can absolutely not recommend this hotel: bad service! My room was not really clean. The breakfast was a joke!!! And the staff is not friendly...Even a 3 star Hotel has a better service... but they ask an unreasonable price.   Never again this hotel!!!<br><br>"
3,Saint James Albany Paris Hôtel Spa,http://www.saintjamesalbany.com/,+33 1 44 58 43 21,2.3307997,48.864294,4.0,1073,"[]<b>Author: </b>Jonathan Schnaittacher; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>The location is great, as it is situated right next to the Louvre and other sights. The staff is very nice and the service is great, as well as the food that can be delivered to your room. Overall a great place if you are planning to stay in Paris over night.<br><br><b>Author: </b>Charlie Roy; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>It seems they have closed, perhaps permanently.

6th time back to St. James & Albany. Over past 20 years it's been refurbished quit a bit. Mostly good smart changes. One of the few hotels with a grand piano available, although currently lacking a bench. I've heard guests playing Chopin & Rachmaninov pretty well here. Fairly good breakfasts, good bar after 4 PM. On warm days try meals in their courtyard. Very clean, but still showing signs of wear and age. Rooms on courtyards are very quiet. One of the best locations in all of Paris right on Rue de Rivoli across from the Tuileries. Walk to metro station across street. Multiple great restaurants within 5-10 minute walk. Very nice staff. Helpful.<br><br><b>Author: </b>Kevin DVSteentje; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Excellent Hotel, with 5 star service!!  Top location in the center and very close to the metro.  Very good for business or weekend in Paris<br><br><b>Author: </b>Jackie Schwarzinger; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>fantastic location, excellent and friendly staff, relaxing pool area for a swim in between sightseeing. room was clean, bed was comfortable and all together for Paris standards spacious and well equipped.

negative: the room is quite dark (I didn't mind, I'd rather have a dark room than noisy street) and the walls are very thin. you can hear people walking down the hall, talking in other rooms etc.

nonetheless I'd book again!<br><br><b>Author: </b>Manuela Llaneza; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Beautiful hotel located in the 1st district.
The breakfast was very good but the rooms a bit old fashioned.
I want to stand out a concierge who helped us every time we need a ride in the city, he was very friendly and helpful.<br><br>"
4,Citadines Les Halles Paris (Apart hotel Paris),https://www.citadines.com/france/paris/citadines-les-halles-paris.html,+33 1 40 39 26 50,2.3469293,48.8606655,4.1,815,"[]<b>Author: </b>BlizzyFoxTF; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Impeccable location but also a bit old for our taste. The showers and the door can be finicky. Some of the staff are good and friendly. The lobby is very comfy with a coffee machine.

Room types are pretty weirdly categorized though, as in 1 Bedroom > Classic studio > Deluxe studio<br><br><b>Author: </b>Jacob Chuh; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The best thing about it was the location. Walking distance to many famous places. We enjoyed the free coffee in the lobby. The best free coffee we had at any hotel we stayed in.
We'd definitely recommend to our friends and family and most definitely book it again if we come to Paris.<br><br><b>Author: </b>Silent K; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Good position and friendly and helpful staff. Room was ok but water pressure and water temperature in bathroom wasn’t great, especially in the mornings. And the small kitchen was good enough for simple meals although there wasn’t really anywhere to sit to eat. Renovation work was noisy during the day but there is a warning about that and we were never in much. It was very central to everything with Les Halles station right there. We left a day early to avoid the rail strike that might have left us stranded as it is anticipated to become more widespread.<br><br><b>Author: </b>Maggy Francillette; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Quite an extensive shop for all sporting goods, equipment,  clothing,  etc..... prices are good,  especially if you take advantage of their specials.<br><br><b>Author: </b>Travel To Know; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>An excellent studio hotel.<br><br>"
5,Sofitel Le Scribe Paris Opéra,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0663&merchantid=seo-maps-FR-0663&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNjIxNzMtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,+33 1 44 71 24 24,2.3297304,48.8705685,4.4,802,"[]<b>Author: </b>Md Rimon Uddin; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Very good.. Excellent condition<br><br><b>Author: </b>Mohammad Zeeshan; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>Luxury hotel. Highly recommended.<br><br><b>Author: </b>Mehdi Morad; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A beautiful address nestled in the heart of Paris. There is not one major attraction that you can’t reach walking. Beautiful rooms, recently renovated and very warm service. The place to stay in<br><br><b>Author: </b>Leanne Neumann; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Spent 2 nights in this hotel for a birthday weekend. It is in an amazing central location which meant everything was in a good walking distance which was helpful as the strike was on. The hotel is beautifully decorated include the new refurbished room which had all facilities. The buffet breakfast has to be the best I have had! I would stay here again!<br><br><b>Author: </b>Fabien Faure; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Wonderful hotel located in the center of Paris !
My wife and I stayed there for two nights and we absolutely enjoyed the location. The hotel was newly renovated and the personnel was very attentive and receptive to our needs.
It was my wife’s birthday and the GM has a birthday cake delivered to our room with a kind handwritten note...<br><br>"
6,"Holiday Inn Paris - Notre Dame, an IHG Hotel",https://www.ihg.com/holidayinn/hotels/gb/en/paris/parnd/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-FR-_-PARND,+33 1 81 69 00 60,2.3423043,48.8527923,4.2,689,"[]<b>Author: </b>Bartosz; <br><b>Rating: </b>4<br><b>When: </b>2 weeks ago<br>Nice place. Helpful staff but not very much place in 1 person room.<br><br><b>Author: </b>Nikole Nelson; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>I'm a young female who travelled here solo last year, and found the staff super helpful! They were able to answer all of my questions and make my trip very convenient. Great hospitality! Would recommend!<br><br><b>Author: </b>Adriaan Rems; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>The reception staff is really friendly and gave us some useful parking tips. The roof top terrace is an absolute delight to wind down after a long day of discovering Paris, with views spanning most of central Paris. The rooms are pretty standard Holiday Inn and good overall. I especially enjoyed the multi-jet shower and the strong air conditioning and useful fridge. Would recommend!<br><br><b>Author: </b>Stephen Collin; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Great staff...pretty good views<br><br><b>Author: </b>Matt Holdrege; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>Great location and some of the best views of Paris from the rooftop, accessible to all guests.<br><br>"
7,Citadines Saint-Germain-des-Prés Paris (Apart hotel Paris),https://www.citadines.com/france/paris/citadines-saint-germain-des-prs-paris.html,+33 1 44 07 70 00,2.3408736,48.8555091,4.3,664,"[]<b>Author: </b>Toni Matsuo; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Stayed a week in the summer and it was quiet and very clean in my 1 bedroom apt. There was space for 4 comfortably. There were wonderful restaurants very close and we walked every where because it was close to everything we had planned (i.e. museums, parks, ice cream, etc...)<br><br><b>Author: </b>Bruno Sorrilha; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>Between Louvre and Notre dame, indoor parking available, very friendly staff, all good for me.<br><br><b>Author: </b>Margaret Lindstrom; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>This hotel was phenomenal! Clean, quiet, great location, and very reasonable rates...but the feature that makes this hotel a ""perfect 5 star"" experience was the staff. The desk staff was consistently the epitome of excellent service. No matter what the problem/question they were always, always courteous, helpful, and patient. I would stay here again in a heartbeat because of the staff. I will encourage my family, and friends to stay here next time they are in Paris.<br><br><b>Author: </b>Amanda Ko; <br><b>Rating: </b>1<br><b>When: </b>a year ago<br>Unprofessional, rude, and unaccommodating - worst customer service I’ve ever experienced. *Discrimination against Asians.

My family and I have been traveling all day from Chicago. We knew that check-in is at 3pm so we decided to just check our bags since we arrived at noon. The front desk told us that our room wouldn’t be ready until 3 but there are smaller rooms available now. We said we’ll wait for the bigger room that we have booked. (Why would we stay at a smaller room when we paid for the big room???) We left to explore and returned at 2 to nap in the lobby since we have been awake for 24 hours.

Right at 3pm, one of the ladies informs us that our room wouldn’t be ready for an additional 45-60 mins. A smaller room was available, but she suggested to just wait since our original room is much bigger. It’s 4:15 and they haven’t checked in on us so I asked what was going on. I stated my valid complaints and this other lady was so unapologetic and unaccommodating. She couldn’t care less that we weren’t being taken cared for. She said the room was going to take another 30 mins... I kept asking why and they accused us that it was because we wanted a bigger room.

No. You guys are wrong. We just wanted the room we booked. We have been awake for 24 hours adjusting from Chicago to Paris time, so all we want to do is sleep in our room that was suppose to be ready at 3pm. We never asked for a change or upgrade. Stop blaming your customers for your incompetence. The room wasn’t ready when they should have been - this is your responsibility. What’s the point of having a check-in when the rooms aren’t ready? They literally said “just because we have a check in doesn’t mean the rooms are ready” - OK, so I guess customers can just check out whenever because they’re not “ready” right at check-out.

I had to raise my voice at them in front of other visitors lecturing how this was wrong and unacceptable and they did not apologize. We demanded to speak to their manager and after a few minutes the lady comes back and said that our room was ready. (Wow, how convenient. How long were you guys keeping that room from us?) The manager didn’t even come out to apologize. We left the lobby and entered our room very angry. What a great welcoming by the entire staff.

I’m not sure why this hotel has over 4 stars when their customer service is a joke and the staff is so unwelcoming. Is this how you treat all customers or just Asians? We are Korean-Americans and it felt as though we were being discriminated because they were friendly towards all the Caucasians. We were lied to about our room’s availability multiple times, the staff blamed us for their mistakes, they didn’t apologize or offer any discounts to make up for their poor hospitality.

Later that day, they slipped an apology letter with a box of chocolate. They addressed us as mister... We’re all females! They can’t even apologize correctly or in person. Here’s an advice: get the suffix right and apologize to our face to make it personal.

To Citadines Saint-Germain-Des-Pres, do better. Much better.

*Be advised:
Housekeeping is only once a week and if you need additional stuff like toilet paper and towels, they charge you extra! The hallways smells like rotten eggs and therefore they have to use harsh chemicals to mask the smell.*<br><br><b>Author: </b>Caryl Lamothe; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Great location! Walking distance to a lot of attractions and restaurants! Right on the Seine! Kitchen was great, as somewhere to keep drinks cold! Had everything we needed! Hotel is older, but gets lots of traffic due to location...<br><br>"
8,"Holiday Inn Paris Opera - Grands Blvds, an IHG Hotel",https://www.ihg.com/holidayinn/hotels/gb/en/paris/parpp/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-FR-_-PARPP,+33 1 47 70 25 55,2.343683399999999,48.87157670000001,4.1,565,"[]<b>Author: </b>Hillary Hart; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>The location was strategic, feel glad been chosen this hotel for it location to easily access to center of Paris. Even the room is not that big, but everything we need were there. The room was tidy up timely. The buffet  breakfast is good. I like the bacon & sausage the most, tasty. Overall 4 nights stay was good.<br><br><b>Author: </b>A P; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Very well located hotel and friendly staff.<br><br><b>Author: </b>Marlene Olson; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Wonderful hotel. Basic, but so nice. Clean updated, the rooms are spacious for European standards. Also right off the Metro line, which helps so so much. They knew it was my daughter's birthday so they left us some treats which was so thoughtful. It is also close to grocery stores, and restaurants.Overall wonderful stay!<br><br><b>Author: </b>Josiah Jack; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Perfect location, great price, clean, comfy bed, great shower, and the staff were super helpful and friendly.  Only a short walk from the Louvre.  Good restaurants nearby.  Right by the metro/subway.<br><br><b>Author: </b>Lesty Diaz; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>I loved our stay in this hotel. The place is smaller than what I’m used to. The great thing about it is it’s in the center of everything. There are great food places around and the train station entrance is just in front. The best feature of this place is their staff. They provide excellent service especially the front desk team. Great experience overall!<br><br>"
9,Hôtel Britannique - Paris Centre,http://www.hotel-britannique.fr/,+33 1 42 33 74 59,2.3464944,48.8582861,4.6,526,"[]<b>Author: </b>Elsy Rached; <br><b>Rating: </b>3<br><b>When: </b>2 months ago<br>This hotel is a good choice if you don’t want to spend a fortune for a Paris stay. The staff was very friendly and kind, I almost never experienced this kind of welcome in this hotel level. They offer predictable clean and comfortable accommodation. I was also very satisfied with the breakfast, simple but enough.<br><br><b>Author: </b>Adam Stone; <br><b>Rating: </b>4<br><b>When: </b>2 months ago<br>Nice hotel. I loved my stay here. Centrally located and easy to go around almost any where in Paris. The staff was very welcoming.<br><br><b>Author: </b>Manoella Costa; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>I was at the hotel for one night, and it was a great experience. The hotel is excellent, very cozy and in a great location, being close to a metro station and allowing you to walk on foot if you want to enjoy the view. The amazing room and the service from everyone was wonderful. I will definitely be back when I go to Paris again.<br><br><b>Author: </b>Alison Johnson; <br><b>Rating: </b>5<br><b>When: </b>3 weeks ago<br>Everything about this place was excellent.
Customer service, excellent.
Room, excellent.
The view excellent.

They go above and beyond to make sure their guest was provided the best service possible!
Henry was a huge help! So we’re the 3 young ladies working the front reception. The stay was absolutely stupendous.

They worked diligently with my (now) fiancé on my beautiful engagement! They gave directions, they gave amazing recommendations and even helped my fiancé with a wardrobe malfunction!

During our check out we needed tickets to board the train because if France’s lack of contactless pay. Henry came to our rescue and gave us to train tickets!

Everything about our stay here was absolutely impeccable! If you are debating on staying here please do!<br><br><b>Author: </b>Christine Ratzell; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Excellent hotel. We love it. We had been before and it lived up to our memories. Great location especially to get to good restaurants. Staff very friendly. Breakfast has lots of choice and good quality.<br><br>"
