,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews
0,O'Sullivans Grands Boulevards,https://www.osullivans-pubs.com/pub-irlandais/grands-boulevards/,+33 1 40 26 73 41,2.342792,48.87136599999999,3.8,2941,"[]<b>Author: </b>Joe; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Sick atmosphere<br><br><b>Author: </b>Safaa Norredine; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Nice chill bar when u donno where to go :)

The waiters there are extra nice btw :))<br><br><b>Author: </b>Lea; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Really great place to go! The staff are so friendly and happy to help! The drinks are awesome and the food is great! Would definitely come back!<br><br><b>Author: </b>Terry Quinn; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>It was nice to go to a real Irish pub while visiting Paris. Jamison is not an easy drink to find but they had it! Food was good and the atmosphere was friendly. We watched the Women's Word cup game and we're not pressured in any way to leave. It was also great to have a person from Ireland to wait on us. (Sorry I don't remember his name)<br><br><b>Author: </b>A. OULDELALA; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>Nice place to gather, but too noisy though.<br><br>"
1,Le Fumoir,http://www.lefumoir.com/,+33 1 42 92 00 24,2.340837,48.86041,4.3,2458,"[]<b>Author: </b>Yvonne D'Arcy; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Nice place.. very comfortable good food and service. Very close to the Louvre.<br><br><b>Author: </b>Joseph Lieu; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>A classic cafe / bistro in the area. Definitely a step up compared to many other local joints. The service is attentive (for Pris standards) but the coffee could be better. I like their dessert and I’ll certainly come back when in the area. The terrace in front of the Louvre is exceptional.<br><br><b>Author: </b>David Gonzalez; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>It's ok for a casual drink a little bit pricey but understandable due to it's location<br><br><b>Author: </b>Julius Park; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Enjoyable meal and pleasant service.  I don't speak French but they were very accommodating.  Our server spoke English and explained both menu items and wines.  Very good dessert (coconut tapioca)<br><br><b>Author: </b>Lucia Ojeda Morales; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Very good restaurant, a little pricey, but what isn’t in Paris. We ordered two menus for three people and was very good to dinner time. We ate a little bit of the best choices of the restaurant and we liked.<br><br>"
2,Kong,http://www.kong.fr/,+33 1 40 39 09 00,2.343116,48.859286,3.7,2335,"[]<b>Author: </b>Guillaume Hébert; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>I think the vibe is cool. I've been here quite a few times and i wanna share with you because this place is hip and cool. Excellent roof surrounded by glasses, fabulous view, nice people here. Everything looks perfect.<br><br><b>Author: </b>Stjepan Kujadin; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Really nice place in Paris to visit during your stay. Host was super nice. Cocktails were good, nothing special. Food was okay, find it a bit overpriced for the quality given. The views are beautiful and the restaurant decor is stunning. I enjoyed the music a lot<br><br><b>Author: </b>Paulo GHINATO; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>We’ve been to Kong twice... 2015 New Year’s Eve, when I asked Vanessa to marry me and 2018 along with our then 3-year old daughter Gabriela. Good memories... beautiful place, great food and environment...<br><br><b>Author: </b>James Hughes; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>Really beautiful restaurant in one of the best locations of Paris, service is friendly and efficient. Only negative, despite the food and drinks being very good, was that it is very overpriced for the quality. For what we spent on food + drinks, we could have easily eaten at a 1* Michelin restaurant. Overall, worth checking out and definitely would go back.<br><br><b>Author: </b>Najla Kurbeh (Noojy); <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>One le my all time faves in Paris! And Kenzo too is one of my all time fave designers ;)
Beautiful set up, central location, great staff, you need to reserve in advance most of the time. Deco, food presentation as well as taste, lighting, view & music.<br><br>"
3,Le Café Marly,https://cafe-marly.com/,+33 1 49 26 06 60,2.3359927,48.86166890000001,3.8,2045,"[]<b>Author: </b>Peter Noorkoiv; <br><b>Rating: </b>1<br><b>When: </b>a week ago<br>I thought the days of restaurant rip offs were over.
Style over substance, terrible food at grossly inflated price.
My wife and my friends wife received cold steaks, we complained, promptly told we’d have to be out by 9.00 because of the curfew. Leaving us no time to refuse the meal.
Unless you have money to throw in the Seine, don’t waste your time.<br><br><b>Author: </b>Regan Boord; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>The view was beautiful and the food was delicious. My family experienced great hospitality during our meal. The food is VERY expensive, so if you are looking for a cheaper meal, try the Louvre food court or a restaurant nearby. However, the experience was fantastic.<br><br><b>Author: </b>JAN NE7E; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Excepcional service, delicious food in a very especial
night; my birthday. I would recommend  the Marly to anyone who wants a great evening.<br><br><b>Author: </b>Imad GEAGEA; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Delicious food, lovely staff!<br><br><b>Author: </b>Maximilian Kunz; <br><b>Rating: </b>3<br><b>When: </b>10 months ago<br>It seems like the place lost its edge. The first time I visited was good, really pricey but in line with location and food quality. Second time was for breakfast which was simply not good enough given the price and last time.was the worst. 8€ for a badly tasting cup of tea...sorry won't go again.<br><br>"
4,Le Paradis du Fruit,http://www.leparadisdufruit.fr/,+33 1 40 39 93 99,2.345058,48.861123,3.6,2014,"[]<b>Author: </b>Google Gebruiker; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Delicious food, a bit pricey on the contrary.<br><br><b>Author: </b>Jan Keromnes; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>The avocado toast here are exceptional. The banana waffle is great too.Other dishes are quite good as well, but I'm personally not a fan of their salads, and their juices are a bit too sweet. We always come back for the avocado toasts. :)<br><br><b>Author: </b>Zeeshan Elahi; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>I stumbled upon this place. My wife and I are here in Paris from London and were looking for desserts and a hot drink. We were having difficulty making up our mind. However, the server took her time and gave us her feedback and even brought the manager (Nathanial) to help. Nathanial took it upon himself to ensure we had the perfect dessert. It was excellent! The people who work there are fantastic. The manager is excellent. They care about their customers very much. We must have spoken to Nathanial for at least a half hour and he really helped us with other places to see, visit, and go eat at.<br><br><b>Author: </b>Андрей «Ince» Ничиперович; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Good steaks! And nice decorations<br><br><b>Author: </b>gökçe tekin; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Nice and cozy place with healty foods
Ps:if you want fast food or something fried,dont enter<br><br>"
5,Breakfast In America,http://breakfast-in-america.com/,+33 1 43 54 50 28,2.3510738,48.847805,4.2,1803,"[]<b>Author: </b>David Brownell; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>The price is right and it reminds me of home. If you come before the rush the service is also really good. You gotta love the bottomless coffee<br><br><b>Author: </b>Penny Black; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>I always get better service at night here. The day servers forget your orders and take forever to bring you the bill. Food is so-so, but for those who come from North America who want a nostalgic dish with a side of fries, it might hit the spot. Just remember to be patient.<br><br><b>Author: </b>Amaury CHANTUNG SOBANDI; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>The food was great and had a cozy atmosphere!
Service a bit slow but nice people!<br><br><b>Author: </b>Cylou Germanos; <br><b>Rating: </b>5<br><b>When: </b>11 months ago<br>Best diner in Paris.
All day breakfast with amazing pancake and excellent potatoes.
The music is exactly what we expect from a diner<br><br><b>Author: </b>Damon Calderbank; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Was very pleased. While visiting Paris it was quite nice to eat at somewhere that felt like a home cooked breakfast. As much as we loved the Paris food, sometimes we wanted a traditional breakfast from home! Haha. This place did the trick!!<br><br>"
6,Le Black Dog,http://blackdog-bar.com/,+33 1 42 71 22 27,2.3492322,48.8594196,4.4,1755,"[]<b>Author: </b>Kris Doug; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Very good food and beer. Awesome music BUT I'd like a bit more metal variety. Excellent place! Metal heads shall visit !<br><br><b>Author: </b>Darrin Taylor; <br><b>Rating: </b>4<br><b>When: </b>11 months ago<br>Really nice. Full metal music with the black tshirt and beard people to match.<br><br><b>Author: </b>Connor MacLeod; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>Heavy metal bar - Themed decor drinks are quite nice too. Music choices were tailored to the hour and well done.<br><br><b>Author: </b>Allucard Nomed; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Good music, nice beers, tasty steaks.. had some nice conversations with the bartender about music and such. will definately go again when I'm in Paris!<br><br><b>Author: </b>Flammie Pirinen (Flammie); <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>One of the few metal pubs I managed to find in Paris, the metal they play is really nice, not the obvious hit songs or radio-friendly rock anything like that. Nice selection of beers, nothing spectacular but better than average dive bar or cafe around. The service is I think typical to Paris, not super-friendly or polite but works fast. The bar has plenty of room inside and it's also in the neighbourhood where there are a lot of bars to visit if you want to hop around.<br><br>"
7,Candelaria,http://www.candelaria-paris.com/,+33 1 42 74 41 28,2.364034,48.862981,4.3,1634,"[]<b>Author: </b>John McGown; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Perfect place for a tortilla followed by great drink in the backstage!
Simple & class.<br><br><b>Author: </b>Ashvini; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Excellent bar with the cozy lightings! Tuesday tacos is one of the best deals ☺️<br><br><b>Author: </b>Mihika Shilpi; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Great tacos, best margaritas I’ve ever had, fun atmosphere, friendly staff, quick service and usually a interesting conversation with other guests. Love Candelaria!<br><br><b>Author: </b>Mary U; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>Taco Tuesday is the best! 3 tacos for 6€, though tbh the tacos are more like “baby tacos” than full size tacos. 3 tacos doesn’t quite fill you up. However, they are delicious 🤩 try all of them if you can. These are the duck molé tacos and WOW!! Plus the hot sauce is great! There is a patio for the taqueria part<br><br><b>Author: </b>Paul G; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Lovely hidden high-class cocktail bar, with a great selection of lovely spirits and extremely knowledgeable barstaff. A total must!!!<br><br>"
8,Les Piétons resto bar tapas Paris 4,https://www.lespietons.com/,+33 1 40 29 49 13,2.3499455,48.859186,4.3,1625,"[]<b>Author: </b>Alexandra Meyer; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>I went here once the restaurant’s reopened and I absolutely love this place! I love Spanish food and this was definitely a lovely piece of Spain in France. Amazing service and friendly people.<br><br><b>Author: </b>Star Famier; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>Very nice bar, where we are very welcomed. And the food is just amazing. Cynthia and Carlos are perfect as usual. Big up to the team!!<br><br><b>Author: </b>savannah wagoner; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>The food was really good, I highly recommend.<br><br><b>Author: </b>Valentina Gesini; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>One of the few places in Paris where you can eat in a good way without spending much money. The guys are very nice and they care about the clients. Nice experience<br><br><b>Author: </b>Rebecca Cameron; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>A great local tapas bar located on a small energetic street in Paris filled with other bars and restaurants.
The staff are always very welcoming, and serve one of the best sangrias in town! Authentic, not too pricey and enjoyable every time.<br><br>"
9,Harry's New York Bar,http://www.harrysbar.fr/,+33 1 42 61 71 14,2.3320688,48.86920180000001,4.4,1462,"[]<b>Author: </b>Priyadharshni RAMANUJAM; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>It's cute and cosy and the staff is really ""American friendly"" (!) eventhough it's Paris. The cocktails are good and they have the normal amount of alcohol. The décor is apparently American sports teams but I don't know if it's football or basketball or basketball or something else.<br><br><b>Author: </b>Iris Z; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Was there in january. Never felt so classy before. There was live piano music and I was absolutely living my Audrey Hepburn dream<br><br><b>Author: </b>Chris Madden; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Pricey but good cocktails. I'd recommend the superb Sidecar! Hot dogs didn't look all that but I didn't eat them to be fair, so can only comment on aesthetics.<br><br><b>Author: </b>Patrizia U.; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>So we were there just after new year around 4 pm or so. It is a very cute place and very stylish look about it but there was no atmosphere.  There was one guy behind the bar which was chatting to the french guests and the other side of the bar was left without taking an order  we waited 15 minutes and then we left as we felt we were being ignored.not sure if in the evening it is better with better service or more buzz but it was disappointing. Probably still worth to have a peak inside just to see but maybe evening is better!<br><br><b>Author: </b>Sabrina H; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>On a Saturday evening, we went in the basement of Harry’s New York Bar, where attentive waitresses and waiters serve a variety of fine gin, vodka and whiskey. The ambience is intimate and classy. Vivid conversations are damned by the lofty Bordeaux red cushions. For the musical ear, a pianist skilfully unites jazz and classics. If you feel like dancing thereafter, just visit the bar next door where live music is played and a vibrant crowd of locals, expats and some tourists hit the dance floor and enjoy a good night out together 💃🏼🕺🏻👯‍♂️🧍🏼‍♂️!<br><br>"
